Date,Open,High,Low,Close,Volume,Change
2011-01-03,3254,3382,3241,3312,104868,0.01782421634910869
2011-01-04,3318,3363,3273,3306,62600,-0.0018115942028985588
2011-01-05,3331,3331,3203,3261,92739,-0.01361161524500909
2011-01-06,3254,3453,3247,3376,203231,0.03526525605642439
2011-01-07,3337,3414,3324,3350,78583,-0.007701421800947905
2011-01-10,3318,3375,3228,3267,116513,-0.024776119402985075
2011-01-11,3267,3311,3260,3286,90987,0.005815733088460284
2011-01-12,3324,3446,3299,3396,212894,0.033475349969567914
2011-01-13,3427,3427,3311,3344,86081,-0.01531213191990577
2011-01-14,3324,3343,3254,3299,80104,-0.013456937799043112
2011-01-17,3292,3324,3203,3203,108314,-0.0290997271900576
2011-01-18,3203,3292,3183,3222,70615,0.005931938807368198
2011-01-19,3267,3267,3167,3229,66098,0.0021725636250775615
2011-01-20,3228,3254,3183,3184,43035,-0.013936203158872673
2011-01-21,3235,3235,3091,3126,88939,-0.01821608040201006
2011-01-24,3139,3177,3087,3094,76419,-0.010236724248240514
2011-01-25,3100,3174,3097,3171,114554,0.02488687782805421
2011-01-26,3292,3645,3286,3645,1521453,0.14947965941343422
2011-01-27,4010,4189,3978,4190,4035758,0.14951989026063095
2011-01-28,4356,4407,3798,3972,3284225,-0.05202863961813842
2011-01-31,3926,4272,3817,3953,3007308,-0.004783484390735171
2011-02-01,4036,4138,3888,3998,1050636,0.011383759170250363
2011-02-07,3972,4100,3907,3921,627089,-0.019259629814907475
2011-02-08,3920,3965,3747,3819,837044,-0.02601377199693955
2011-02-09,3862,3945,3766,3819,852244,0.0
2011-02-10,3849,4048,3632,3658,1369371,-0.04215763288819063
2011-02-11,3657,3734,3555,3569,413217,-0.02433023510114818
2011-02-14,3683,3817,3567,3607,542594,0.010647240123283774
2011-02-15,3561,3760,3561,3677,383150,0.019406709176601034
2011-02-16,3677,3824,3587,3697,581830,0.00543921675278769
2011-02-17,3657,3747,3369,3440,467140,-0.06951582364078979
2011-02-18,3446,3497,3350,3498,206405,0.016860465116279144
2011-02-21,3491,3549,3375,3389,209825,-0.031160663236134978
2011-02-22,3356,3369,3203,3254,253647,-0.0398347595160814
2011-02-23,3254,3311,3145,3165,172151,-0.02735095267363241
2011-02-24,3139,3254,3119,3120,212608,-0.014218009478673022
2011-02-25,3183,3254,3145,3146,122559,0.008333333333333304
2011-02-28,3174,3228,3129,3130,87801,-0.005085823267641398
2011-03-02,3094,3155,3087,3114,89463,-0.005111821086261958
2011-03-03,3148,3247,3148,3242,117134,0.04110468850353244
2011-03-04,3267,3267,3187,3229,108373,-0.004009870450339292
2011-03-07,3228,3273,3196,3203,86288,-0.008052028491793095
2011-03-08,3190,3279,3190,3267,120462,0.019981267561660854
2011-03-09,3267,3286,3142,3142,218382,-0.0382614018977655
2011-03-10,3145,3187,3116,3142,95853,0.0
2011-03-11,3119,3164,3094,3123,94251,-0.006047103755569716
2011-03-14,3043,3065,2933,2970,202373,-0.04899135446685876
2011-03-15,2924,3004,2690,2819,196821,-0.0508417508417508
2011-03-16,2805,2863,2748,2778,146051,-0.014544164597374953
2011-03-17,2693,2738,2632,2723,168554,-0.01979841612670985
2011-03-18,2767,2876,2754,2851,106594,0.04700697759823713
2011-03-21,2863,2943,2863,2924,65813,0.0256050508593475
2011-03-22,2924,2975,2901,2966,52327,0.014363885088919393
2011-03-23,3011,3011,2917,2950,55430,-0.0053944706675657095
2011-03-24,2985,3065,2979,3018,65191,0.0230508474576272
2011-03-25,3011,3071,3011,3024,61981,0.001988071570576455
2011-03-28,3029,3100,3027,3027,50111,0.0009920634920634885
2011-03-29,3059,3059,3013,3037,49757,0.0033036009250082543
2011-03-30,3043,3116,3023,3030,102931,-0.002304906157392206
2011-03-31,3029,3068,2985,2986,69736,-0.014521452145214497
