Date,Open,High,Low,Close,Volume,Change
2014-12-12,4197,4339,3571,3589,1280243,
2014-12-15,3638,4022,3521,3789,451972,0.0557258289217053
2014-12-16,3788,3905,3488,3555,175349,-0.061757719714964354
2014-12-17,3546,3646,3504,3505,88002,-0.01406469760900142
2014-12-18,3504,3796,3454,3747,217472,0.0690442225392296
2014-12-19,3746,3922,3630,3906,143151,0.04243394715772619
2014-12-22,3905,4481,3872,4223,225917,0.08115719406041988
2014-12-23,4105,4314,4022,4148,92958,-0.017759886336727426
2014-12-24,4105,4556,4097,4390,231032,0.058341369334619086
2014-12-26,4389,4431,4172,4348,89765,-0.009567198177676484
2014-12-29,4331,4355,4180,4215,43697,-0.03058877644894209
2014-12-30,4189,4239,4038,4198,55581,-0.004033214709371347
2015-01-02,4206,4264,4055,4190,43557,-0.0019056693663649371
2015-01-05,4155,4405,4097,4407,56017,0.05178997613365155
2015-01-06,4372,4506,4322,4423,84197,0.003630587701384247
2015-01-07,4431,4472,4322,4357,36653,-0.01492199864345467
2015-01-08,4339,4405,4289,4357,22948,0.0
2015-01-09,4356,4448,4139,4223,39869,-0.030755106724810632
2015-01-12,4097,4314,4097,4281,33428,0.013734312100402546
2015-01-13,4239,4472,4222,4390,55953,0.025461340808222488
2015-01-14,4422,4689,4264,4691,71176,0.06856492027334848
2015-01-15,4748,4982,4664,4924,130358,0.049669580046898254
2015-01-16,4923,5124,4756,4924,86112,0.0
2015-01-19,5090,5658,5065,5475,343758,0.11190089358245325
2015-01-20,5524,5750,5349,5692,148667,0.0396347031963471
2015-01-21,5641,5758,5574,5650,65612,-0.0073787772312017275
2015-01-22,5783,5783,5508,5592,79737,-0.010265486725663742
2015-01-23,5532,5591,5307,5550,116370,-0.007510729613733891
2015-01-26,5541,6092,5466,6009,171571,0.08270270270270275
2015-01-27,5924,6492,5891,6259,119241,0.0416042602762523
2015-01-28,6192,6542,6192,6343,50041,0.013420674229110086
2015-01-29,6326,6409,6075,6117,51783,-0.035629828157023535
2015-01-30,6066,6259,5683,5875,101329,-0.03956187673696254
2015-02-02,5783,5958,5632,5842,44796,-0.005617021276595691
2015-02-03,5850,5941,5566,5842,60840,0.0
2015-02-04,5891,6709,5641,6401,146138,0.09568640876412182
2015-02-05,6568,6876,6409,6643,141095,0.03780659271988762
2015-02-06,6726,7093,6609,7002,150996,0.05404184856239658
2015-02-09,7118,7168,6626,6777,96889,-0.03213367609254503
2015-02-10,6709,7143,6551,7011,103273,0.03452855245683928
2015-02-11,7018,7084,6759,6902,77485,-0.015546997575238919
2015-02-12,6801,6843,6568,6752,100786,-0.021732831063459912
2015-02-13,6651,7510,6601,7345,352839,0.08782582938388628
2015-02-16,7318,7744,7051,7052,224541,-0.03989108236895844
2015-02-17,6910,7051,6509,6943,125078,-0.015456608054452592
2015-02-23,6943,7419,6659,7011,96922,0.009794037159729152
2015-02-24,7076,7794,7010,7678,244323,0.09513621452003984
2015-02-25,7844,7944,7327,7395,106380,-0.03685855691586348
2015-02-26,7327,7635,7176,7453,74425,0.007843137254901933
2015-02-27,7452,7544,7210,7261,66357,-0.02576143834697442
2015-03-02,7118,7218,6926,7061,70706,-0.027544415369783803
2015-03-03,7010,7294,6843,6843,81478,-0.030873813907378533
2015-03-04,6776,6976,6725,6852,63841,0.0013152126260411734
2015-03-05,6926,6984,6809,6827,50511,-0.0036485697606538636
2015-03-06,7001,7285,6809,7227,143593,0.05859088911674237
2015-03-09,7394,7610,7227,7428,151143,0.027812370278123666
2015-03-10,7552,7577,6901,7119,127074,-0.04159935379644586
2015-03-11,7110,7118,6792,6977,75880,-0.019946621716533275
2015-03-12,7026,7084,6884,6902,63592,-0.010749605847785615
2015-03-13,6884,6984,6742,6902,76070,0.0
2015-03-16,6910,7010,6759,6819,51913,-0.012025499855114474
2015-03-17,6826,7227,6792,6943,126933,0.01818448452852328
2015-03-18,7034,7043,6668,6743,65462,-0.028805991646262408
2015-03-19,6792,6792,6234,6593,112109,-0.022245291413317547
2015-03-20,6459,6910,6326,6710,92065,0.01774609434248453
2015-03-23,6709,6893,6576,6710,47045,0.0
2015-03-24,6709,6934,6625,6919,58914,0.031147540983606614
2015-03-25,7010,7310,6851,7278,140278,0.05188611070964022
2015-03-26,7093,7143,6751,6843,97391,-0.05976916735366855
2015-03-27,6910,6910,6568,6635,28577,-0.030396025135174587
2015-03-30,6751,6751,6450,6501,38185,-0.020195930670685702
2015-03-31,6568,6718,6426,6535,43969,0.005229964620827587
2015-04-01,6534,6534,6392,6460,40985,-0.011476664116296886
2015-04-02,6618,6642,6317,6376,58796,-0.013003095975232193
2015-04-03,6442,6459,6166,6285,64544,-0.014272271016311122
2015-04-06,6259,6334,6133,6268,37697,-0.0027048528241845338
2015-04-07,6359,6718,6342,6593,143922,0.051850670070197724
2015-04-08,6659,6751,6467,6601,81942,0.0012134081601697932
2015-04-09,6668,7001,6668,6843,99517,0.03666111195273447
2015-04-10,6893,7143,6759,6793,63540,-0.007306736811340087
2015-04-13,6809,7736,6776,7661,255880,0.1277785956131312
2015-04-14,7644,7719,7344,7511,150147,-0.01957968933559584
2015-04-15,7502,7502,7102,7311,484915,-0.02662761283450943
2015-04-16,7844,8020,7486,7711,315157,0.054712077691150274
2015-04-17,7678,7744,7302,7711,150235,0.0
2015-04-20,7427,7970,7352,7737,163137,0.0033718065101802086
2015-04-21,7744,8178,7577,7745,139254,0.001033992503554293
2015-04-22,7560,8445,7360,7970,257464,0.02905100064557775
2015-04-23,8011,8028,7344,7587,105562,-0.0480552070263488
2015-04-24,7669,7744,7285,7378,73547,-0.027547120073810438
2015-04-27,7302,7486,7218,7219,54464,-0.021550555706153385
2015-04-28,7252,7252,6784,6843,137246,-0.05208477628480401
2015-04-29,6910,7126,6792,6961,96568,0.01724389887476252
2015-04-30,6926,6934,6442,6660,136378,-0.04324091366183025
2015-05-04,6626,6626,6125,6235,77804,-0.06381381381381379
2015-05-06,6225,6225,5299,5425,329519,-0.12991178829190053
2015-05-07,5591,5858,5508,5825,207197,0.07373271889400912
2015-05-08,5741,6392,5708,6167,124540,0.05871244635193129
2015-05-11,6334,6426,6008,6335,81338,0.02724177071509648
2015-05-12,6417,6559,6175,6309,61811,-0.004104183109707948
2015-05-13,6317,6326,6042,6301,38943,-0.001268029798700221
2015-05-14,6300,6951,6225,6435,100449,0.021266465640374488
2015-05-15,6492,6584,6309,6451,61669,0.002486402486402417
2015-05-18,6467,6467,5950,6176,80806,-0.042629049759727144
