Date,Open,High,Low,Close,Volume,Change
2011-01-03,3295,3350,3290,3345,66397,0.016717325227963542
2011-01-04,3345,3380,3325,3345,67747,0.0
2011-01-05,3375,3375,3290,3350,72076,0.001494768310911887
2011-01-06,3375,3470,3340,3455,149089,0.03134328358208949
2011-01-07,3475,3510,3420,3465,94107,0.0028943560057888007
2011-01-10,3460,3560,3410,3455,181013,-0.0028860028860029363
2011-01-11,3440,3455,3365,3410,113522,-0.013024602026049159
2011-01-12,3430,3430,3350,3355,68957,-0.016129032258064502
2011-01-13,3340,3395,3285,3295,85230,-0.01788375558867361
2011-01-14,3345,3345,3275,3300,63350,0.0015174506828528056
2011-01-17,3325,3325,3240,3240,84181,-0.018181818181818188
2011-01-18,3245,3370,3245,3305,69058,0.020061728395061706
2011-01-19,3380,3400,3300,3300,136053,-0.001512859304084735
2011-01-20,3345,3345,3270,3300,87245,0.0
2011-01-21,3275,3300,3230,3245,57798,-0.01666666666666672
2011-01-24,3230,3330,3210,3330,90478,0.026194144838212585
2011-01-25,3390,3390,3290,3290,119540,-0.012012012012011963
2011-01-26,3300,3385,3295,3375,88936,0.02583586626139822
2011-01-27,3415,3415,3350,3380,60760,0.001481481481481417
2011-01-28,3420,3435,3295,3295,105988,-0.025147928994082802
2011-01-31,3270,3345,3215,3280,79335,-0.004552352048558417
2011-02-01,3285,3340,3285,3320,58388,0.012195121951219523
2011-02-07,3340,3345,3245,3265,127516,-0.016566265060240948
2011-02-08,3295,3380,3270,3380,192287,0.03522205206738138
2011-02-09,3385,3470,3355,3370,231312,-0.00295857988165682
2011-02-10,3400,3440,3365,3405,214106,0.010385756676557945
2011-02-11,3495,3690,3465,3515,697889,0.032305433186490484
2011-02-14,3580,3670,3515,3610,522849,0.027027027027026973
2011-02-15,3680,3685,3475,3475,332386,-0.037396121883656486
2011-02-16,3480,3615,3445,3490,248319,0.004316546762589857
2011-02-17,3480,3585,3430,3530,274973,0.011461318051575908
2011-02-18,3590,3800,3580,3650,1049045,0.03399433427762033
2011-02-21,3730,4080,3720,4005,1385594,0.09726027397260273
2011-02-22,3980,3980,3795,3920,653372,-0.02122347066167296
2011-02-23,3920,4185,3845,4000,784784,0.020408163265306145
2011-02-24,3980,4000,3630,3695,518978,-0.07625000000000004
2011-02-25,3695,3780,3595,3740,333370,0.012178619756427533
2011-02-28,3895,4080,3765,3855,897996,0.03074866310160429
2011-03-02,3865,3930,3650,3675,311777,-0.046692607003890996
2011-03-03,3750,3875,3710,3825,295059,0.04081632653061229
2011-03-04,3855,4020,3800,3935,629089,0.02875816993464042
2011-03-07,3930,4010,3800,3800,422168,-0.03430749682337997
2011-03-08,3800,3950,3800,3930,350025,0.03421052631578947
2011-03-09,3950,4080,3900,3925,511161,-0.0012722646310432406
2011-03-10,3945,4000,3800,3805,343581,-0.030573248407643305
2011-03-11,3745,3800,3610,3680,476379,-0.03285151116951379
2011-03-14,3730,3735,3425,3510,404294,-0.04619565217391308
2011-03-15,3530,3630,3260,3510,362172,0.0
2011-03-16,3480,3600,3480,3560,188057,0.014245014245014342
2011-03-17,3400,3535,3400,3505,167548,-0.015449438202247201
2011-03-18,3515,3680,3515,3630,213280,0.03566333808844502
2011-03-21,3730,3800,3635,3775,198235,0.03994490358126712
