Date,Open,High,Low,Close,Volume,Change
2017-07-24,13100,15000,11150,12600,1191,
2017-07-25,12500,12500,12500,12500,50,-0.007936507936507908
2017-07-26,12500,12500,12500,12500,398,0.0
2017-07-27,12150,12150,12150,12150,73,-0.028000000000000025
2017-07-28,11800,11800,11800,11800,60,-0.028806584362139898
2017-07-31,11800,11800,11800,11800,0,0.0
2017-08-01,11800,11800,11800,11800,0,0.0
2017-08-02,11800,11800,11800,11800,0,0.0
2017-08-03,11800,11800,11800,11800,0,0.0
2017-08-04,11800,11800,11800,11800,0,0.0
2017-08-07,11800,11800,11800,11800,0,0.0
2017-08-08,11800,11800,11800,11800,0,0.0
2017-08-09,12000,12000,12000,12000,50,0.016949152542372836
2017-08-10,12000,12000,12000,12000,0,0.0
2017-08-11,12100,12100,12100,12100,41,0.008333333333333304
2017-08-14,12100,12500,12100,12500,59,0.03305785123966931
2017-08-16,12500,12500,12500,12500,0,0.0
2017-08-17,10650,12600,10650,12550,83,0.0040000000000000036
2017-08-18,12600,13000,12600,13000,62,0.03585657370517925
2017-08-21,13200,13200,13200,13200,75,0.01538461538461533
2017-08-22,13200,13400,13200,13400,19,0.015151515151515138
2017-08-23,13400,13400,13400,13400,0,0.0
2017-08-24,13050,13050,13050,13050,100,-0.026119402985074647
2017-08-25,13100,14000,13100,14000,104,0.07279693486590033
2017-08-28,14200,15000,14200,15000,150,0.0714285714285714
2017-08-29,16000,16000,16000,16000,100,0.06666666666666665
2017-08-30,16000,16000,16000,16000,50,0.0
2017-08-31,18000,18000,18000,18000,88,0.125
2017-09-01,18500,18500,18500,18500,16,0.02777777777777768
2017-09-04,19000,19000,18000,19000,380,0.027027027027026973
2017-09-05,19000,19000,19000,19000,379,0.0
2017-09-06,19200,19200,19200,19200,200,0.010526315789473717
2017-09-07,19200,19200,19200,19200,0,0.0
2017-09-08,19150,19150,19150,19150,0,-0.0026041666666666297
2017-09-11,19000,19000,19000,19000,0,-0.007832898172323799
2017-09-12,19000,19000,19000,19000,0,0.0
2017-09-13,18000,18000,18000,18000,14,-0.052631578947368474
2017-09-14,18000,18000,18000,18000,0,0.0
2017-09-15,18000,18000,18000,18000,0,0.0
2017-09-18,18000,18000,18000,18000,0,0.0
2017-09-19,18000,18000,18000,18000,0,0.0
2017-09-20,18000,18000,18000,18000,0,0.0
2017-09-21,18500,18500,17000,17000,61,-0.05555555555555558
2017-09-22,17050,17050,17050,17050,300,0.002941176470588225
2017-09-25,17050,17050,17050,17050,0,0.0
2017-09-26,17050,17050,17050,17050,0,0.0
2017-09-27,17050,17050,17050,17050,0,0.0
2017-09-28,17050,17050,17050,17050,0,0.0
2017-09-29,17050,17050,17050,17050,0,0.0
2017-10-10,17050,17050,17050,17050,0,0.0
2017-10-11,17600,18500,17600,18500,889,0.08504398826979465
2017-10-12,18900,18900,18900,18900,15,0.021621621621621623
2017-10-13,18350,18500,18350,18500,117,-0.021164021164021163
2017-10-16,18000,18000,18000,18000,2021,-0.027027027027026973
2017-10-17,18500,18500,18500,18500,1,0.02777777777777768
2017-10-18,19000,19500,19000,19000,1008,0.027027027027026973
2017-10-19,19900,19900,19900,19900,8,0.047368421052631504
2017-10-20,20500,20500,18200,18200,501,-0.085427135678392
2017-10-23,18800,18800,18800,18800,50,0.03296703296703307
2017-10-24,18800,18800,18800,18800,5,0.0
2017-10-25,18800,18800,18800,18800,63,0.0
2017-10-26,18300,18300,18300,18300,100,-0.02659574468085102
2017-10-27,18450,18450,18450,18450,245,0.008196721311475308
2017-10-30,18450,18450,18450,18450,130,0.0
2017-10-31,18450,18450,18450,18450,0,0.0
2017-11-01,18450,18450,18450,18450,0,0.0
2017-11-02,18450,18450,18450,18450,0,0.0
2017-11-03,17950,17950,17950,17950,100,-0.027100271002710064
2017-11-06,18200,18200,18200,18200,91,0.013927576601671321
2017-11-07,18200,18200,18200,18200,110,0.0
2017-11-08,18200,18200,18200,18200,50,0.0
2017-11-09,18200,18200,18200,18200,40,0.0
2017-11-10,18000,18000,18000,18000,250,-0.01098901098901095
2017-11-13,18000,18000,18000,18000,0,0.0
2017-11-14,17500,17500,17500,17500,530,-0.02777777777777779
2017-11-15,17500,17500,17500,17500,390,0.0
2017-11-16,17500,17500,17500,17500,260,0.0
2017-11-17,17500,17500,17500,17500,0,0.0
2017-11-20,18000,18000,18000,18000,1,0.02857142857142847
2017-11-21,18000,18000,18000,18000,70,0.0
2017-11-22,18500,18500,18500,18500,1,0.02777777777777768
2017-11-23,18500,18500,18500,18500,0,0.0
2017-11-24,18500,18500,18500,18500,0,0.0
2017-11-27,18000,18000,18000,18000,244,-0.027027027027026973
2017-11-28,18000,18000,18000,18000,0,0.0
2017-11-29,18000,18000,18000,18000,0,0.0
2017-11-30,18500,18500,18500,18500,10,0.02777777777777768
2017-12-01,18500,18500,18500,18500,270,0.0
2017-12-04,18500,18500,18500,18500,0,0.0
2017-12-05,18500,18500,18500,18500,0,0.0
2017-12-06,18500,18500,18500,18500,0,0.0
2017-12-07,18500,18500,18500,18500,10,0.0
2017-12-08,18500,18500,18500,18500,0,0.0
2017-12-11,18500,18500,18500,18500,0,0.0
2017-12-12,18500,18500,18500,18500,0,0.0
2017-12-13,18500,18500,18500,18500,0,0.0
2017-12-14,19050,19050,19050,19050,1,0.029729729729729648
2017-12-15,19050,19050,19050,19050,0,0.0
2017-12-18,19050,19050,19050,19050,0,0.0
2017-12-19,20000,20000,20000,20000,88,0.04986876640419946
2017-12-20,22000,22000,22000,22000,1,0.10000000000000009
2017-12-21,23000,23000,23000,23000,1,0.045454545454545414
2017-12-22,22350,22350,22350,22350,100,-0.02826086956521734
2017-12-26,21700,21700,21700,21700,1,-0.029082774049216997
2017-12-27,21700,21700,21700,21700,0,0.0
2017-12-28,21700,21700,21700,21700,0,0.0
2018-01-02,21700,21700,21700,21700,0,0.0
2018-01-03,21700,21700,21700,21700,0,0.0
2018-01-04,21700,21700,21700,21700,0,0.0
2018-01-05,21700,21700,21700,21700,0,0.0
2018-01-08,22350,22350,22350,22350,1,0.02995391705069128
2018-01-09,21700,21700,21700,21700,100,-0.029082774049216997
2018-01-10,21700,21700,21700,21700,0,0.0
2018-01-11,21700,21700,21700,21700,0,0.0
2018-01-12,21700,21700,21700,21700,0,0.0
2018-01-15,21700,21700,21700,21700,0,0.0
2018-01-16,22000,22000,22000,22000,1,0.01382488479262678
2018-01-17,21400,21400,21400,21400,100,-0.027272727272727226
2018-01-18,21400,21400,21400,21400,106,0.0
2018-01-19,21400,21400,21400,21400,0,0.0
2018-01-22,20100,20100,20100,20100,100,-0.06074766355140182
2018-01-23,20100,20100,20100,20100,0,0.0
2018-01-24,20100,20100,20100,20100,91,0.0
2018-01-25,20100,20900,20100,20900,113,0.03980099502487566
2018-01-26,20300,20300,20300,20300,68,-0.028708133971291905
2018-01-29,20200,20200,20200,20200,0,-0.0049261083743842304
2018-01-30,20100,20100,20100,20100,0,-0.004950495049504955
2018-01-31,19900,19900,19900,19900,0,-0.00995024875621886
2018-02-01,21000,21000,21000,21000,5,0.055276381909547645
2018-02-02,20400,20400,20400,20400,100,-0.02857142857142858
2018-02-05,20500,20500,20500,20500,1000,0.004901960784313708
2018-02-06,19950,19950,19950,19950,100,-0.02682926829268295
2018-02-07,19400,19400,19400,19400,100,-0.027568922305764465
2018-02-08,18850,19300,18850,19300,103,-0.005154639175257714
2018-02-09,18750,18750,18750,18750,47,-0.02849740932642486
2018-02-12,20000,20000,20000,20000,5,0.06666666666666665
2018-02-13,19450,20000,19450,20000,95,0.0
2018-02-14,20000,20000,20000,20000,0,0.0
2018-02-19,20000,20000,20000,20000,0,0.0
2018-02-20,20000,20000,20000,20000,0,0.0
2018-02-21,20000,20000,20000,20000,0,0.0
2018-02-22,20500,20500,20500,20500,6,0.02499999999999991
2018-02-23,19950,19950,19950,19950,100,-0.02682926829268295
2018-02-26,20000,20000,20000,20000,1,0.0025062656641603454
2018-02-27,20000,20000,20000,20000,0,0.0
2018-02-28,20000,20000,20000,20000,0,0.0
2018-03-02,20000,20000,20000,20000,15,0.0
2018-03-05,20000,20000,20000,20000,0,0.0
2018-03-06,19800,19800,19800,19800,0,-0.010000000000000009
2018-03-07,20000,20000,20000,20000,497,0.010101010101010166
2018-03-08,20000,20000,20000,20000,0,0.0
2018-03-09,20000,20000,20000,20000,0,0.0
2018-03-12,20000,20000,20000,20000,0,0.0
2018-03-13,20000,20000,20000,20000,0,0.0
2018-03-14,20000,20000,20000,20000,0,0.0
2018-03-15,19450,19450,19450,19450,1,-0.02749999999999997
2018-03-16,20000,20000,20000,20000,1,0.028277634961439535
2018-03-19,19450,19450,19450,19450,100,-0.02749999999999997
2018-03-20,19500,19500,19500,19500,50,0.0025706940874035134
2018-03-21,19500,19500,19500,19500,0,0.0
2018-03-22,19800,19800,19800,19800,1,0.01538461538461533
2018-03-23,19800,19800,19800,19800,0,0.0
2018-03-26,19500,19500,19500,19500,0,-0.015151515151515138
2018-03-27,19500,19500,19500,19500,0,0.0
2018-03-28,19500,19500,19500,19500,0,0.0
2018-03-29,19500,19500,19500,19500,0,0.0
2018-03-30,19500,19500,19500,19500,0,0.0
2018-04-02,19500,19500,19500,19500,0,0.0
2018-04-03,19500,19500,19500,19500,5,0.0
2018-04-04,19500,19500,19500,19500,0,0.0
2018-04-05,19500,19500,19500,19500,0,0.0
2018-04-06,18950,19000,18950,19000,103,-0.02564102564102566
2018-04-09,19000,19000,19000,19000,0,0.0
2018-04-10,19500,19500,19500,19500,1,0.026315789473684292
2018-04-11,19500,19500,19500,19500,0,0.0
2018-04-12,19500,19500,19500,19500,0,0.0
2018-04-13,19500,19500,19500,19500,0,0.0
2018-04-16,19500,19500,19500,19500,0,0.0
2018-04-17,19000,19000,19000,19000,0,-0.02564102564102566
2018-04-18,18450,18450,16200,16200,101,-0.1473684210526316
2018-04-19,16000,18600,16000,18600,1123,0.14814814814814814
2018-04-20,19000,19500,19000,19500,3,0.048387096774193505
2018-04-23,19500,20000,19500,20000,1437,0.02564102564102555
2018-04-24,20000,20500,20000,20500,11,0.02499999999999991
2018-04-25,18500,20000,18500,20000,55,-0.024390243902439046
2018-04-26,19450,19450,19450,19450,100,-0.02749999999999997
2018-04-27,18900,20000,18900,20000,101,0.028277634961439535
2018-04-30,19450,19450,19450,19450,100,-0.02749999999999997
2018-05-02,18900,18900,18900,18900,100,-0.028277634961439535
2018-05-03,18350,19000,18350,19000,101,0.005291005291005346
2018-05-04,18450,18450,18450,18450,100,-0.02894736842105261
2018-05-08,17950,18800,17950,18800,101,0.01897018970189701
2018-05-09,18800,18800,18750,18800,121,0.0
2018-05-10,19000,19000,18800,18800,120,0.0
2018-05-11,18800,18800,16200,18650,31,-0.007978723404255317
2018-05-14,18150,18700,17000,18700,131,0.002680965147453085
2018-05-15,18200,18200,18200,18200,100,-0.0267379679144385
2018-05-16,17700,18300,17700,18300,103,0.005494505494505475
2018-05-17,17800,17800,17800,17800,100,-0.02732240437158473
2018-05-18,17300,17300,15250,15250,111,-0.1432584269662921
2018-05-21,17500,17500,17500,17500,1,0.14754098360655732
2018-05-23,17000,17000,17000,17000,100,-0.02857142857142858
2018-05-24,16550,16900,16550,16900,101,-0.00588235294117645
2018-05-25,17500,17500,17500,17500,1,0.035502958579881616
2018-05-28,18000,18000,18000,18000,1,0.02857142857142847
2018-05-29,18200,18200,18200,18200,1,0.011111111111111072
2018-05-30,18500,18800,18500,18800,6,0.03296703296703307
2018-05-31,18300,18900,18300,18900,101,0.005319148936170137
2018-06-01,18350,18500,18350,18500,101,-0.021164021164021163
2018-06-04,18500,18500,17000,18000,2298,-0.027027027027026973
2018-06-05,17500,18200,17500,18200,102,0.011111111111111072
2018-06-07,17700,18200,17700,18200,101,0.0
2018-06-08,17700,17700,17500,17500,110,-0.038461538461538436
2018-06-11,17300,17300,17000,17000,110,-0.02857142857142858
2018-06-12,17000,17500,16500,16500,231,-0.02941176470588236
2018-06-14,18800,18800,18800,18800,1,0.1393939393939394
2018-06-15,18300,18300,16500,16500,101,-0.12234042553191493
2018-06-18,16500,16500,16500,16500,0,0.0
2018-06-19,14400,18000,14400,14450,3,-0.12424242424242427
2018-06-20,14850,16500,14500,16500,144,0.1418685121107266
2018-06-21,16050,17000,14550,14550,102,-0.11818181818181817
2018-06-22,15000,15000,14550,14550,2001,0.0
2018-06-25,14950,14950,14950,14950,100,0.027491408934707806
2018-06-26,15400,15400,15400,15400,100,0.030100334448160515
2018-06-27,15900,15900,15900,15900,100,0.032467532467532534
2018-06-28,15900,18250,13650,13650,15,-0.14150943396226412
2018-06-29,15650,15650,15650,15650,2214,0.14652014652014644
2018-07-02,17950,17950,17950,17950,1,0.14696485623003186
2018-07-03,20000,20000,20000,20000,1,0.11420612813370479
2018-07-04,20000,20000,20000,20000,4,0.0
2018-07-05,19450,19450,19450,19450,100,-0.02749999999999997
2018-07-06,18900,18900,18900,18900,100,-0.028277634961439535
2018-07-09,18350,18350,18350,18350,100,-0.02910052910052907
2018-07-10,19000,19000,19000,19000,1,0.03542234332425065
2018-07-11,18450,18450,18450,18450,100,-0.02894736842105261
2018-07-12,17950,18300,17950,18300,101,-0.008130081300813052
2018-07-13,17800,18500,17800,18500,101,0.010928961748633892
2018-07-16,18000,18000,18000,18000,100,-0.027027027027026973
2018-07-17,20700,20700,20700,20700,1,0.1499999999999999
2018-07-18,19950,19950,19950,19950,100,-0.036231884057971064
2018-07-19,18400,18400,18400,18400,100,-0.07769423558897248
2018-07-20,18400,18400,18400,18400,12,0.0
2018-07-23,17800,17800,17800,17800,100,-0.03260869565217395
2018-07-24,19000,19000,17750,17750,2,-0.002808988764044895
2018-07-25,17250,17250,17250,17250,100,-0.028169014084507005
2018-07-26,16750,17700,16750,17700,101,0.026086956521739202
2018-07-27,17700,18500,17700,18500,5,0.04519774011299438
2018-07-30,16750,17500,16750,17500,106,-0.05405405405405406
2018-07-31,15200,15200,14900,14900,366,-0.14857142857142858
2018-08-01,12750,17000,12750,12800,5,-0.14093959731543626
2018-08-02,14650,14700,12750,12750,3288,-0.00390625
2018-08-03,14000,14000,11150,11200,6,-0.1215686274509804
2018-08-06,12800,12800,11200,11200,519,0.0
2018-08-07,9660,12850,9660,9820,407,-0.12321428571428572
2018-08-08,11250,11250,11250,11250,7,0.14562118126272905
2018-08-09,11600,12900,11600,12900,101,0.14666666666666672
2018-08-10,11500,12800,11500,12800,183,-0.007751937984496138
2018-08-13,12450,12450,11600,11600,151,-0.09375
2018-08-14,11600,11600,11600,11600,220,0.0
2018-08-16,11950,12400,11300,12400,107,0.06896551724137923
2018-08-17,13900,13900,13900,13900,6,0.12096774193548376
2018-08-20,15500,15500,15500,15500,1,0.1151079136690647
2018-08-21,13200,16800,13200,13200,137,-0.1483870967741936
2018-08-22,13000,13000,13000,13000,1,-0.015151515151515138
2018-08-23,14500,14500,14500,14500,1,0.11538461538461542
2018-08-24,12350,14400,12350,13000,260,-0.10344827586206895
2018-08-27,14500,14500,14500,14500,1,0.11538461538461542
2018-08-28,14000,14000,14000,14000,35,-0.03448275862068961
2018-08-29,16000,16000,15500,15500,4,0.1071428571428572
2018-08-30,15000,15000,15000,15000,5,-0.032258064516129004
2018-08-31,14500,14500,14500,14500,5,-0.033333333333333326
2018-09-03,14500,16500,14500,14500,22,0.0
2018-09-04,14500,14500,14500,14500,11,0.0
2018-09-05,14100,14100,14100,14100,100,-0.02758620689655178
2018-09-06,16200,16200,14800,14800,21,0.049645390070921946
2018-09-07,12600,14500,12600,14500,507,-0.020270270270270285
2018-09-10,12550,14250,12350,12350,440,-0.14827586206896548
2018-09-11,14000,14000,13500,13500,3,0.09311740890688269
2018-09-12,13450,13450,13300,13300,16,-0.014814814814814836
2018-09-13,13500,13500,13200,13200,13,-0.007518796992481258
2018-09-14,12850,12850,12850,12850,102,-0.02651515151515149
2018-09-17,13900,13900,13500,13500,11,0.05058365758754868
2018-09-18,12000,12900,12000,12000,377,-0.11111111111111116
2018-09-19,12800,12800,12800,12800,10,0.06666666666666665
2018-09-20,12800,12800,12800,12800,10,0.0
2018-09-21,12100,12100,12100,12100,110,-0.0546875
2018-09-27,13900,13900,11050,11150,28,-0.07851239669421484
2018-09-28,12200,12200,12150,12150,13,0.08968609865470856
2018-10-01,13600,13600,12700,12700,49,0.04526748971193406
2018-10-02,14300,14300,12800,12800,37,0.007874015748031482
2018-10-04,12550,12550,12500,12500,24,-0.0234375
2018-10-05,13800,13800,13000,13800,152,0.10400000000000009
2018-10-08,12000,12900,11850,11850,1099,-0.14130434782608692
2018-10-10,12800,12800,12800,12800,1,0.08016877637130793
2018-10-11,12450,12800,12450,12800,101,0.0
2018-10-12,14500,14500,14500,14500,1,0.1328125
2018-10-15,12350,16500,12350,16500,101,0.13793103448275867
2018-10-16,16500,16500,16500,16500,50,0.0
2018-10-17,14050,14050,14050,14050,100,-0.14848484848484844
2018-10-18,16100,16100,11950,12800,13,-0.08896797153024916
2018-10-19,13900,13900,13900,13900,1,0.0859375
2018-10-22,11900,12700,11850,11850,103,-0.14748201438848918
2018-10-23,13600,13600,10100,10100,1412,-0.14767932489451474
2018-10-24,10450,11600,8600,10050,1840,-0.004950495049504955
2018-10-25,8550,11500,8550,11500,99,0.14427860696517403
2018-10-26,9800,13150,9800,13150,101,0.14347826086956528
2018-10-29,13150,13800,13150,13800,10,0.049429657794676896
2018-10-30,13350,13350,13350,13350,0,-0.03260869565217395
2018-10-31,13000,13000,11350,13000,203,-0.02621722846441943
2018-11-01,11050,14800,11050,14800,25,0.1384615384615384
2018-11-02,12950,12950,12950,12950,100,-0.125
2018-11-05,14800,14800,11050,11500,51,-0.11196911196911197
2018-11-06,13200,13200,11000,11000,33,-0.04347826086956519
2018-11-07,11000,11000,11000,11000,20,0.0
2018-11-08,12500,12500,12500,12500,1,0.13636363636363646
2018-11-09,12000,12000,12000,12000,1,-0.040000000000000036
2018-11-12,11000,11000,10200,10200,4,-0.15000000000000002
2018-11-13,11000,11000,10000,10000,8,-0.019607843137254943
2018-11-14,10250,10250,9720,9720,201,-0.028000000000000025
2018-11-15,11000,11150,9800,9800,143,0.008230452674897082
2018-11-16,10050,10050,10000,10000,201,0.020408163265306145
2018-11-19,10000,11000,9100,11000,202,0.10000000000000009
2018-11-20,11000,11000,11000,11000,10,0.0
2018-11-21,11000,11000,9510,9510,6,-0.1354545454545455
2018-11-22,10000,10500,9550,9550,204,0.004206098843322792
2018-11-23,9830,10500,9280,10500,203,0.09947643979057585
2018-11-26,10200,10200,9010,9020,104,-0.14095238095238094
2018-11-27,9150,9150,9150,9150,400,0.014412416851441234
2018-11-28,10000,10000,10000,10000,2,0.09289617486338808
2018-11-29,8500,9940,8500,9940,2,-0.006000000000000005
2018-11-30,10200,10200,9660,9670,202,-0.02716297786720323
2018-12-03,11000,11000,10500,10500,30,0.0858324715615304
2018-12-04,12000,12000,12000,12000,1,0.1428571428571428
2018-12-05,10200,13400,10200,13000,1477,0.08333333333333326
2018-12-06,11050,11050,11050,11050,0,-0.15000000000000002
2018-12-07,12450,12450,12000,12000,2,0.08597285067873295
2018-12-10,10200,10200,10200,10200,101,-0.15000000000000002
2018-12-11,9910,10150,8860,10150,202,-0.004901960784313708
2018-12-12,10000,10000,9200,9200,369,-0.09359605911330049
2018-12-13,10500,10500,9110,9110,36,-0.009782608695652173
2018-12-14,10000,10000,7880,10000,202,0.09769484083424818
2018-12-17,9000,9000,8610,8610,1202,-0.139
2018-12-18,9900,9900,7470,7470,12,-0.132404181184669
2018-12-19,8590,8590,8590,8590,1,0.14993306559571629
2018-12-20,8840,9500,8350,8350,291,-0.027939464493597188
2018-12-21,8590,8590,8590,8590,200,0.028742514970059974
2018-12-24,9870,9870,8650,8650,396,0.006984866123399325
2018-12-26,8900,9800,8900,8950,603,0.034682080924855585
2018-12-27,9210,9210,8910,8910,201,-0.004469273743016755
2018-12-28,10000,10000,7590,7590,3,-0.14814814814814814
2019-01-02,8720,8720,8720,8720,1165,0.1488801054018445
2019-01-03,8970,8970,8970,8970,200,0.028669724770642224
2019-01-04,9230,9230,8710,9230,251,0.02898550724637672
2019-01-07,10000,10000,7910,7910,103,-0.14301191765980503
2019-01-08,9050,9050,6750,6750,201,-0.1466498103666245
2019-01-09,7760,7760,7760,7760,1,0.14962962962962956
2019-01-10,8920,8920,8110,8110,3,0.045103092783505216
2019-01-11,8350,8350,8350,8350,200,0.0295930949445129
2019-01-14,8630,8630,8630,8630,200,0.033532934131736525
2019-01-15,9920,9920,9920,9920,1,0.14947856315179608
2019-01-16,9640,9640,9640,9640,200,-0.028225806451612878
2019-01-17,9920,9920,9920,9920,1,0.029045643153526868
2019-01-18,11400,11400,11400,11400,1,0.14919354838709675
2019-01-21,11100,11750,11100,11750,101,0.030701754385964897
2019-01-22,13000,13000,10000,11950,53,0.017021276595744705
2019-01-23,11950,13600,10200,13600,59,0.13807531380753146
2019-01-24,13600,15450,13600,15450,2,0.13602941176470584
2019-01-25,13150,13150,13150,13150,0,-0.1488673139158576
2019-01-28,11200,12550,11200,12550,121,-0.04562737642585546
2019-01-29,10700,12000,10700,12000,97,-0.043824701195219085
2019-01-30,12000,12000,12000,12000,0,0.0
2019-01-31,11700,11700,11700,11700,100,-0.025000000000000022
2019-02-01,13450,13450,13450,13450,1,0.14957264957264949
2019-02-07,11450,11450,11450,11450,101,-0.14869888475836435
2019-02-08,13000,13000,13000,13000,1,0.1353711790393013
2019-02-11,11050,12900,11050,11350,102,-0.12692307692307692
2019-02-12,10800,10800,10800,10800,100,-0.048458149779735726
2019-02-13,10500,11050,10500,11050,202,0.02314814814814814
2019-02-14,10750,11350,10750,11350,101,0.02714932126696823
2019-02-15,11050,11700,11050,11700,101,0.03083700440528636
2019-02-18,12500,12500,12500,12500,1,0.06837606837606836
2019-02-19,12000,12000,12000,12000,100,-0.040000000000000036
2019-02-20,13700,13700,11600,12500,3,0.04166666666666674
2019-02-21,12500,12950,12500,12950,2,0.03600000000000003
2019-02-22,11950,11950,11950,11950,100,-0.07722007722007718
2019-02-25,13600,13600,13600,13600,1,0.13807531380753146
2019-02-26,12000,12000,11600,11600,6,-0.1470588235294118
2019-02-27,12850,12850,12850,12850,1,0.10775862068965525
2019-02-28,11950,11950,11950,11950,100,-0.07003891050583655
2019-03-04,11650,12300,11650,12300,101,0.029288702928870203
2019-03-05,11950,12300,11950,12300,101,0.0
2019-03-06,12300,12300,12300,12300,1,0.0
2019-03-07,11950,12250,11950,12250,101,-0.004065040650406471
2019-03-08,13000,13000,13000,13000,1,0.061224489795918435
2019-03-11,12400,12400,12400,12400,100,-0.0461538461538461
2019-03-12,12050,12350,12050,12350,101,-0.0040322580645161255
2019-03-13,11950,11950,11950,11950,100,-0.03238866396761131
2019-03-14,12000,12000,10200,10200,705,-0.14644351464435146
2019-03-15,9900,10200,9900,10200,311,0.0
2019-03-18,10200,10200,9410,9410,11,-0.07745098039215681
2019-03-19,10500,10500,8940,10300,1019,0.0945802337938364
2019-03-20,8910,9010,8910,9010,4,-0.12524271844660195
2019-03-21,9270,9270,8910,8910,202,-0.011098779134295245
2019-03-22,9000,9000,9000,9000,100,0.010101010101010166
2019-03-25,10250,10250,9050,9050,2,0.005555555555555536
2019-03-26,9310,10200,9060,9060,211,0.0011049723756906271
2019-03-27,9320,10250,9320,9320,202,0.028697571743929284
2019-03-28,9590,10450,9050,9060,273,-0.027896995708154515
2019-03-29,9360,9360,9110,9110,201,0.0055187637969094094
2019-04-01,9380,9380,8910,8910,202,-0.021953896816684915
2019-04-02,9110,9110,8910,8910,505,0.0
2019-04-03,9170,9170,8910,8910,201,0.0
2019-04-04,8910,8910,8420,8420,968,-0.05499438832772163
2019-04-05,9600,9600,9600,9600,50,0.14014251781472686
2019-04-08,10500,10500,10500,10500,1,0.09375
2019-04-09,10200,10200,10200,10200,100,-0.02857142857142858
2019-04-10,9600,9600,9600,9600,200,-0.05882352941176472
2019-04-11,8400,10300,8200,10300,1150,0.07291666666666674
2019-04-12,8800,9930,8800,9930,22,-0.03592233009708734
2019-04-15,11000,11000,11000,11000,1,0.10775427995971798
2019-04-16,9350,9350,9350,9350,16,-0.15000000000000002
2019-04-17,9080,9600,8700,9600,281,0.02673796791443861
2019-04-18,8170,10250,8160,10100,513,0.05208333333333326
2019-04-19,8600,10050,8600,10050,772,-0.004950495049504955
2019-04-22,9760,9760,9760,9760,200,-0.028855721393034828
2019-04-23,9480,9980,8300,9980,631,0.02254098360655732
2019-04-24,10200,10200,8490,10000,189,0.002004008016031955
2019-04-25,10200,10200,8500,9790,531,-0.02100000000000002
2019-04-26,9490,9490,8700,8700,15,-0.11133810010214507
2019-04-29,7910,9500,7910,9500,3,0.09195402298850586
2019-04-30,8100,8900,8100,8900,401,-0.06315789473684208
2019-05-02,10150,10150,9500,9500,95,0.0674157303370786
2019-05-03,10500,10500,10150,10150,2,0.06842105263157894
2019-05-07,11000,11000,11000,11000,1,0.08374384236453203
2019-05-08,9350,9350,9350,9350,507,-0.15000000000000002
2019-05-09,9350,9350,8050,8050,403,-0.13903743315508021
2019-05-10,8280,9200,8100,9200,202,0.1428571428571428
2019-05-13,10200,10200,8050,9600,306,0.04347826086956519
2019-05-14,8160,9970,8160,9970,99,0.038541666666666696
2019-05-15,8480,9100,8480,9100,171,-0.08726178535606821
2019-05-16,9000,9000,9000,9000,25,-0.01098901098901095
2019-05-17,7920,7920,7920,7920,2,-0.12
2019-05-20,9000,9000,9000,9000,1,0.13636363636363646
2019-05-21,7910,8980,7910,8980,2,-0.0022222222222222365
