Date,Open,High,Low,Close,Volume,Change
2011-01-03,1300,1401,1285,1342,356501,0.010542168674698704
2011-01-04,1336,1401,1290,1291,278978,-0.03800298062593144
2011-01-05,1276,1327,1262,1324,165928,0.025561580170410547
2011-01-06,1332,1332,1281,1295,175704,-0.021903323262839836
2011-01-07,1300,1332,1276,1301,135094,0.004633204633204713
2011-01-10,1309,1322,1262,1282,137862,-0.014604150653343528
2011-01-11,1267,1368,1262,1324,200207,0.032761310452418035
2011-01-12,1327,1383,1294,1375,345456,0.038519637462235634
2011-01-13,1378,1397,1336,1342,378534,-0.02400000000000002
2011-01-14,1341,1355,1313,1328,152310,-0.010432190760059634
2011-01-17,1336,1368,1322,1356,139165,0.02108433734939763
2011-01-18,1368,1368,1322,1324,114320,-0.02359882005899705
2011-01-19,1322,1387,1313,1388,274775,0.048338368580060465
2011-01-20,1383,1471,1355,1356,786573,-0.023054755043227626
2011-01-21,1350,1410,1336,1360,227840,0.002949852507374562
2011-01-24,1359,1406,1332,1337,157081,-0.016911764705882404
2011-01-25,1336,1346,1300,1342,182949,0.0037397157816005944
2011-01-26,1341,1346,1294,1301,109109,-0.03055141579731746
2011-01-27,1300,1327,1276,1277,126710,-0.0184473481936972
2011-01-28,1276,1309,1276,1295,78147,0.014095536413469167
2011-01-31,1258,1309,1235,1236,135746,-0.0455598455598456
2011-02-01,1235,1262,1188,1203,327990,-0.02669902912621358
2011-02-07,1207,1230,1170,1175,190586,-0.023275145469659142
2011-02-08,1179,1235,1165,1185,183046,0.008510638297872353
2011-02-09,1188,1248,1188,1240,170546,0.04641350210970474
2011-02-10,1235,1262,1188,1189,133507,-0.041129032258064524
2011-02-11,1198,1211,1151,1180,148306,-0.007569386038687953
2011-02-14,1179,1184,1142,1157,101986,-0.019491525423728784
2011-02-15,1156,1211,1128,1194,177527,0.03197925669835788
2011-02-16,1202,1290,1198,1277,285850,0.06951423785594635
2011-02-17,1313,1359,1216,1263,535599,-0.01096319498825371
2011-02-18,1258,1262,1179,1208,228821,-0.043547110055423555
2011-02-21,1202,1220,1132,1134,230044,-0.0612582781456954
2011-02-22,1132,1137,1031,1046,350574,-0.07760141093474426
2011-02-23,1026,1110,1022,1055,198430,0.008604206500955947
2011-02-24,1049,1091,1035,1050,158562,-0.004739336492891044
2011-02-25,1059,1087,1035,1088,111273,0.036190476190476106
2011-02-28,1073,1096,1059,1092,112442,0.003676470588235281
2011-03-02,1073,1128,1073,1078,113049,-0.012820512820512775
2011-03-03,1082,1132,1077,1124,119592,0.042671614100185495
2011-03-04,1132,1170,1091,1152,161186,0.02491103202846978
2011-03-07,1161,1161,1132,1148,71055,-0.00347222222222221
2011-03-08,1147,1318,1082,1319,1064955,0.14895470383275256
2011-03-09,1341,1364,1276,1314,666732,-0.0037907505686125553
2011-03-10,1300,1318,1216,1245,395834,-0.05251141552511418
2011-03-11,1202,1235,1188,1217,237957,-0.02248995983935742
2011-03-14,1174,1179,1077,1134,335939,-0.06820049301561215
2011-03-15,1114,1151,966,1018,435973,-0.10229276895943562
2011-03-16,1022,1077,1008,1050,221435,0.03143418467583503
2011-03-17,1008,1049,980,1014,258120,-0.03428571428571425
2011-03-18,1026,1073,1026,1064,175869,0.04930966469428011
2011-03-21,1082,1114,1073,1101,104169,0.03477443609022557
2011-03-22,1119,1142,1100,1111,103764,0.009082652134423164
2011-03-23,1151,1151,1096,1124,131462,0.011701170117011772
2011-03-24,1123,1142,1110,1120,62040,-0.003558718861209953
2011-03-25,1132,1151,1110,1134,108540,0.012499999999999956
2011-03-28,1137,1161,1119,1138,78184,0.003527336860670305
2011-03-29,1151,1235,1147,1180,307684,0.03690685413005279
2011-03-30,1207,1225,1184,1217,163180,0.031355932203389836
2011-03-31,1225,1262,1220,1245,140054,0.023007395234182493
2011-04-01,1248,1285,1220,1254,132618,0.0072289156626506035
2011-04-04,1258,1281,1230,1249,59335,-0.003987240829346095
2011-04-05,1285,1309,1267,1295,210869,0.03682946357085659
2011-04-06,1300,1318,1281,1286,115736,-0.006949806949806958
2011-04-07,1290,1410,1285,1384,563095,0.07620528771384127
2011-04-08,1378,1415,1332,1347,241551,-0.026734104046242768
2011-04-11,1346,1364,1258,1295,230487,-0.03860430586488495
2011-04-12,1294,1300,1239,1263,120783,-0.024710424710424728
2011-04-13,1258,1336,1253,1291,177527,0.022169437846397466
2011-04-14,1290,1290,1239,1259,110307,-0.02478698683191327
2011-04-15,1267,1281,1235,1273,117737,0.011119936457505863
2011-04-18,1285,1313,1239,1263,108737,-0.00785545954438338
2011-04-19,1248,1262,1225,1240,90451,-0.0182106096595408
2011-04-20,1267,1327,1253,1328,166168,0.07096774193548394
2011-04-21,1341,1359,1281,1324,95647,-0.003012048192771122
2011-04-22,1322,1350,1267,1268,293507,-0.04229607250755285
2011-04-25,1281,1290,1253,1259,91351,-0.007097791798107211
2011-04-26,1253,1258,1184,1185,152438,-0.05877680698967436
2011-04-27,1262,1359,1248,1314,719460,0.1088607594936708
2011-04-28,1313,1327,1239,1259,214395,-0.041856925418569224
2011-04-29,1253,1271,1198,1227,124474,-0.025416997617156434
2011-05-02,1235,1359,1225,1360,286684,0.10839445802770986
2011-05-03,1336,1397,1327,1388,432837,0.020588235294117574
2011-05-04,1401,1406,1364,1384,90796,-0.0028818443804035088
2011-05-06,1378,1378,1332,1365,96364,-0.013728323699422007
2011-05-09,1374,1471,1374,1458,558506,0.06813186813186811
2011-05-11,1452,1498,1406,1490,577917,0.021947873799725626
2011-05-12,1466,1545,1461,1541,473386,0.03422818791946303
2011-05-13,1554,1743,1549,1624,2002267,0.05386112913692398
2011-05-16,1651,1730,1633,1638,619443,0.008620689655172376
2011-05-17,1633,1693,1600,1647,331528,0.005494505494505475
2011-05-18,1646,1656,1531,1541,420341,-0.06435944140862171
2011-05-19,1554,1591,1475,1481,347045,-0.03893575600259569
2011-05-20,1494,1558,1489,1499,237863,0.012153950033761074
2011-05-23,1498,1526,1443,1490,159279,-0.006004002668445585
2011-05-24,1489,1536,1447,1481,184846,-0.006040268456375841
2011-05-25,1480,1517,1387,1402,194604,-0.053342336259284306
2011-05-26,1434,1475,1406,1463,109312,0.043509272467902926
2011-05-27,1452,1512,1452,1472,109080,0.0061517429938482415
2011-05-30,1489,1507,1447,1467,90557,-0.0033967391304348116
2011-05-31,1489,1489,1406,1458,98124,-0.006134969325153339
2011-06-01,1498,1595,1484,1560,448229,0.06995884773662553
2011-06-02,1507,1572,1498,1522,170363,-0.024358974358974383
2011-06-03,1540,1568,1512,1537,122795,0.009855453350854138
2011-06-07,1521,1531,1457,1481,98769,-0.03643461288223815
2011-06-08,1466,1494,1401,1411,137248,-0.04726536124240377
2011-06-09,1415,1434,1383,1421,88744,0.00708717221828481
2011-06-10,1415,1429,1327,1333,158378,-0.06192821956368755
2011-06-13,1341,1364,1285,1301,104558,-0.02400600150037513
2011-06-14,1300,1401,1300,1347,156078,0.035357417371252975
2011-06-15,1364,1383,1341,1356,44765,0.006681514476614803
2011-06-16,1313,1341,1309,1328,45950,-0.020648967551622377
2011-06-17,1346,1364,1276,1305,69816,-0.017319277108433728
2011-06-20,1318,1322,1248,1254,101582,-0.039080459770114984
2011-06-21,1285,1290,1179,1217,168432,-0.029505582137161035
2011-06-22,1248,1300,1244,1263,157317,0.03779786359901394
2011-06-23,1258,1346,1248,1249,108712,-0.011084718923198733
2011-06-24,1248,1318,1248,1310,91843,0.048839071257005706
2011-06-27,1290,1304,1267,1286,75716,-0.018320610687022953
2011-06-28,1313,1313,1253,1254,93022,-0.02488335925349927
2011-06-29,1281,1285,1244,1263,72588,0.0071770334928229484
2011-06-30,1267,1294,1262,1282,55820,0.0150435471100554
2011-07-01,1300,1410,1300,1379,221434,0.07566302652106094
2011-07-04,1406,1480,1378,1467,195399,0.06381435823060189
2011-07-05,1484,1484,1429,1463,84465,-0.0027266530334014716
2011-07-06,1452,1480,1429,1458,79574,-0.0034176349965823194
2011-07-07,1461,1517,1452,1476,104838,0.012345679012345734
2011-07-08,1475,1475,1392,1407,115045,-0.0467479674796748
2011-07-11,1397,1438,1364,1434,144362,0.019189765458422103
2011-07-12,1410,1461,1368,1375,153251,-0.04114365411436538
2011-07-13,1378,1415,1374,1411,50014,0.026181818181818084
2011-07-14,1410,1424,1387,1402,56132,-0.006378454996456395
2011-07-15,1410,1475,1387,1467,122286,0.04636233951497859
2011-07-18,1489,1526,1457,1458,175456,-0.006134969325153339
2011-07-19,1452,1489,1429,1481,107234,0.01577503429355276
2011-07-20,1507,1512,1443,1448,114465,-0.022282241728561747
2011-07-21,1424,1457,1410,1411,84673,-0.025552486187845336
2011-07-22,1438,1438,1368,1388,163491,-0.016300496102055306
2011-07-25,1392,1595,1374,1569,571844,0.1304034582132565
2011-07-26,1586,1651,1521,1629,623381,0.03824091778202687
2011-07-27,1628,1642,1558,1587,208314,-0.025782688766114226
2011-07-28,1549,1623,1540,1569,145200,-0.011342155009451793
2011-07-29,1591,1600,1536,1573,128262,0.002549394518801762
2011-08-01,1614,1633,1545,1564,236796,-0.005721551176096629
2011-08-02,1536,1586,1461,1481,339063,-0.05306905370843995
2011-08-03,1429,1434,1359,1384,367035,-0.06549628629304527
2011-08-04,1410,1447,1346,1351,207691,-0.023843930635838118
2011-08-05,1230,1294,1202,1273,292427,-0.0577350111028867
2011-08-08,1211,1290,1082,1111,462991,-0.12725844461901026
2011-08-09,1045,1110,943,1083,374371,-0.025202520252025185
2011-08-10,1156,1207,1128,1143,260804,0.05540166204986141
2011-08-11,1082,1239,1063,1231,318682,0.07699037620297466
2011-08-12,1276,1290,1174,1185,263604,-0.037367993501218555
2011-08-16,1235,1271,1220,1240,216936,0.04641350210970474
2011-08-17,1244,1350,1230,1328,328673,0.07096774193548394
2011-08-18,1341,1346,1230,1263,229598,-0.048945783132530174
2011-08-19,1184,1198,1096,1097,265821,-0.13143309580364215
2011-08-22,1096,1151,1045,1088,232250,-0.008204193254329972
2011-08-23,1096,1142,1096,1134,109251,0.04227941176470584
2011-08-24,1161,1174,1087,1088,132711,-0.040564373897707284
2011-08-25,1147,1179,1087,1101,169473,0.011948529411764719
2011-08-26,1096,1119,1073,1106,54460,0.004541326067211582
2011-08-29,1142,1161,1119,1157,109524,0.04611211573236895
2011-08-30,1184,1188,1142,1152,98215,-0.004321521175453813
2011-08-31,1147,1235,1137,1222,210806,0.06076388888888884
2011-09-01,1239,1276,1174,1185,227706,-0.030278232405892003
2011-09-02,1184,1202,1147,1198,97153,0.010970464135021007
2011-09-05,1165,1276,1151,1245,332334,0.03923205342237068
2011-09-06,1230,1262,1123,1166,263733,-0.06345381526104421
2011-09-07,1188,1220,1184,1212,149386,0.039451114922812947
2011-09-08,1244,1244,1174,1180,98242,-0.02640264026402639
2011-09-09,1170,1207,1170,1194,79778,0.011864406779660941
2011-09-14,1193,1198,1132,1152,92910,-0.035175879396984966
2011-09-15,1239,1244,1147,1180,321218,0.02430555555555558
2011-09-16,1216,1230,1184,1203,110292,0.019491525423728895
2011-09-19,1184,1216,1174,1180,121073,-0.019118869492934287
2011-09-20,1151,1193,1147,1194,65617,0.011864406779660941
2011-09-21,1207,1276,1193,1227,286761,0.027638190954773822
2011-09-22,1193,1216,1174,1203,110923,-0.019559902200488977
2011-09-23,1151,1156,1110,1120,89872,-0.06899418121363254
2011-09-26,1132,1147,971,1004,209075,-0.10357142857142854
2011-09-27,1040,1073,1031,1050,149563,0.04581673306772904
2011-09-28,1059,1096,1040,1041,79476,-0.008571428571428563
2011-09-29,1026,1096,1022,1097,62968,0.053794428434197794
2011-09-30,1100,1128,1087,1111,71005,0.012762078395624377
2011-10-04,1054,1054,1003,1041,85121,-0.06300630063006296
2011-10-05,1059,1063,999,1000,97670,-0.03938520653218058
2011-10-06,1054,1137,1035,1069,266780,0.06899999999999995
2011-10-07,1105,1123,1082,1092,128871,0.021515434985968085
2011-10-10,1096,1188,1096,1175,193970,0.07600732600732596
2011-10-11,1207,1225,1165,1166,167044,-0.007659574468085073
2011-10-12,1165,1336,1147,1319,914629,0.13121783876500848
2011-10-13,1318,1415,1304,1324,675519,0.0037907505686125553
2011-10-14,1313,1336,1271,1319,268136,-0.003776435045317217
2011-10-17,1346,1374,1318,1365,242363,0.03487490523123582
2011-10-18,1318,1374,1318,1375,196461,0.0073260073260073
2011-10-19,1401,1452,1359,1360,484164,-0.010909090909090868
2011-10-20,1364,1466,1364,1375,540324,0.011029411764705843
2011-10-21,1410,1545,1397,1481,1361700,0.0770909090909091
2011-10-24,1554,1642,1484,1513,1112741,0.02160702228224176
