Date,Open,High,Low,Close,Volume,Change
2011-01-03,16982,17312,16746,17076,491902,0.011132164850781612
2011-01-04,17076,17170,16651,17029,590267,-0.0027524010306863023
2011-01-05,16793,17406,16604,16982,789709,-0.0027599976510658264
2011-01-06,17359,17453,16604,16652,600507,-0.019432340124838077
2011-01-07,16699,18161,16463,17360,1081737,0.04251741532548636
2011-01-10,17265,17878,17029,17454,741887,0.005414746543778826
2011-01-11,17453,17642,17218,17360,359258,-0.005385584966196899
2011-01-12,17359,17548,17170,17360,304473,0.0
2011-01-13,17501,17548,16840,17218,351527,-0.008179723502304115
2011-01-14,17123,17123,16699,16793,304986,-0.02468347078638633
2011-01-17,16793,16793,15708,15944,705216,-0.05055677961055205
2011-01-18,15991,16227,15897,15944,253272,0.0
2011-01-19,16085,16227,15802,16133,194436,0.011853988961364692
2011-01-20,16038,16510,15802,15850,342321,-0.01754168474555262
2011-01-21,15897,15944,15189,15190,400418,-0.04164037854889591
2011-01-24,15331,15566,15095,15473,197669,0.018630678077682594
2011-01-25,15708,15802,15236,15284,271141,-0.012214825825631714
2011-01-26,15472,15991,15472,15756,440791,0.030881968071185595
2011-01-27,15661,15802,15331,15473,198651,-0.017961411525767912
2011-01-28,15472,15661,14906,15001,241455,-0.030504750210043285
2011-01-31,14717,15283,14670,14671,278427,-0.021998533431104583
2011-02-01,14906,15142,14765,14859,160795,0.012814395746711282
2011-02-07,15048,15378,15000,15190,127073,0.022276061646140377
2011-02-08,15142,15425,14953,15048,189332,-0.009348255431204766
2011-02-09,15095,15095,14481,14671,183817,-0.025053163211057994
2011-02-10,14670,14812,14576,14576,134311,-0.006475359552859383
2011-02-11,14387,14623,13963,13963,317877,-0.04205543358946218
2011-02-14,14246,14529,14057,14293,163550,0.023633889565279675
2011-02-15,14434,14529,14198,14340,142028,0.0032883229552929105
2011-02-16,14859,15142,14434,14435,284288,0.00662482566248257
2011-02-17,14529,14623,13821,13916,200951,-0.035954277797021095
2011-02-18,13963,14481,13963,14482,124517,0.04067260707099751
2011-02-21,14529,14717,14434,14624,88911,0.009805275514431777
2011-02-22,14340,14812,14293,14388,227321,-0.016137855579868687
2011-02-23,14434,15236,14387,15190,566742,0.05574089519043657
2011-02-24,15708,15850,14859,14859,713538,-0.021790651744568845
2011-02-25,14953,15095,14340,14529,257696,-0.022208762366242696
2011-02-28,14434,14623,14246,14388,180787,-0.009704728474086322
2011-03-02,14387,14906,14387,14624,227508,0.016402557686961305
2011-03-03,14812,14859,14529,14765,182910,0.009641684901531722
2011-03-04,14859,14859,14529,14624,186671,-0.009549610565526612
2011-03-07,14623,14906,14623,14718,143382,0.006427789934354555
2011-03-08,14765,14859,14529,14812,175430,0.006386737328441416
2011-03-09,14812,14812,14434,14435,203506,-0.02545233594382934
2011-03-10,14481,14529,13963,14199,256438,-0.016349151368202253
2011-03-11,13963,14057,13680,13727,296618,-0.033241777589971155
2011-03-14,13491,13727,12689,13114,414469,-0.04465651635462953
2011-03-15,13727,14104,12736,13303,717933,0.014412078694524988
2011-03-16,13491,13632,12972,13208,252692,-0.007141246335413021
2011-03-17,13113,14104,12972,13586,676119,0.028619018776499194
2011-03-18,13680,14057,13680,13869,267439,0.020830266450758028
2011-03-21,14151,14340,13963,14152,211423,0.020405220275434344
2011-03-22,14151,14151,13774,13963,175343,-0.01335500282645563
2011-03-23,14010,14340,13821,14246,219359,0.020267850748406424
2011-03-24,14953,16368,14717,16369,1181475,0.14902428751930374
2011-03-25,16793,16840,15614,16180,1737066,-0.011546215407172045
2011-03-28,16085,16274,15614,16039,630116,-0.008714462299134751
2011-03-29,16038,16463,15755,16322,1016218,0.017644491551842334
2011-03-30,16651,17123,16368,16369,1183517,0.002879549074868315
2011-03-31,16463,16463,15802,15803,436649,-0.03457755513470584
2011-04-01,15944,16793,15944,16369,716438,0.03581598430677713
2011-04-04,16274,16510,15991,16180,278386,-0.011546215407172045
2011-04-05,16227,16793,16038,16699,563053,0.03207663782447456
2011-04-06,16651,17076,16368,16463,619082,-0.01413258278938856
2011-04-07,16699,17453,16651,16982,991618,0.03152523841341193
2011-04-08,17029,17548,16699,17076,805247,0.005535272641620459
2011-04-11,17265,17406,16793,16888,387512,-0.01100960412274532
2011-04-12,16840,16887,16085,16275,378453,-0.03629796305068689
2011-04-13,16274,16510,16227,16369,192358,0.0057757296466973695
2011-04-14,16274,16651,16133,16275,304302,-0.005742562160180875
2011-04-15,16368,17076,16085,16888,615183,0.03766513056835641
2011-04-18,17265,17642,17029,17265,673860,0.022323543344386465
2011-04-19,16982,17595,16793,16841,399966,-0.02455835505357662
2011-04-20,17595,18161,17265,17265,1088075,0.025176652217801854
2011-04-21,17595,18019,17170,17548,812835,0.01639154358528816
2011-04-22,17406,17736,16746,17076,574656,-0.026897652154091678
2011-04-25,16982,17123,16651,17076,329091,0.0
2011-04-26,17076,17265,16416,16558,387881,-0.03033497306160693
2011-04-27,16463,17170,15850,16322,954483,-0.014252929097717137
2011-04-28,16463,16510,15661,15661,382016,-0.04049748805293474
2011-04-29,15661,15991,15378,15708,216167,0.0030010854990103475
2011-05-02,15708,16038,15661,15850,134290,0.009039979628215011
2011-05-03,15661,15802,14765,14954,413248,-0.05652996845425873
2011-05-04,14906,15331,14906,15048,208967,0.006285943560251361
2011-05-06,14765,15236,14481,14624,241984,-0.02817650186071241
2011-05-09,14812,14953,14623,14765,150607,0.009641684901531722
2011-05-11,14859,15236,14812,14907,153728,0.009617338300033973
2011-05-12,14670,14765,14010,14152,403259,-0.05064734688401418
2011-05-13,14246,14387,14010,14152,171228,0.0
2011-05-16,14010,14434,13963,14105,103648,-0.0033210853589599187
2011-05-17,14151,14246,13821,14199,122103,0.006664303438496999
2011-05-18,14246,14387,13632,13727,214694,-0.033241777589971155
2011-05-19,13680,13774,12878,12925,410311,-0.05842500182122823
2011-05-20,12925,13208,12830,12878,222213,-0.0036363636363636598
2011-05-23,13019,13349,12736,12737,324447,-0.010948905109489093
2011-05-24,12878,12925,12595,12737,139677,0.0
2011-05-25,12972,13113,10849,11227,691107,-0.1185522493522807
2011-05-26,11415,11745,11179,11699,442621,0.042041507081143736
2011-05-27,11604,11981,11462,11510,356853,-0.016155226942473733
2011-05-30,11510,11698,10944,11133,309008,-0.0327541268462207
2011-05-31,11462,12783,11415,12784,1415543,0.14829785322913858
2011-06-01,12547,12642,12123,12265,581278,-0.040597622027534364
2011-06-02,12029,13255,11793,12595,1120060,0.026905829596412634
2011-06-03,12547,12878,11840,11982,461874,-0.048670107185391
2011-06-07,11793,11934,11368,11463,221373,-0.043314972458687984
2011-06-08,11510,11934,11510,11888,217625,0.03707580912501096
2011-06-09,11745,12217,11745,11935,202893,0.0039535666218035725
2011-06-10,12029,12123,11274,11274,348917,-0.05538332635106824
2011-06-13,11227,11368,10472,10661,213197,-0.054372893383005105
2011-06-14,10613,11085,10519,10803,181427,0.01331957602476308
2011-06-15,10802,11510,10802,11180,332089,0.03489771359807459
2011-06-16,11038,11510,10944,11038,208998,-0.01270125223613594
2011-06-17,11274,11415,10896,11321,268250,0.02563870266352608
2011-06-20,11462,11557,11179,11180,120493,-0.012454730147513415
2011-06-21,11321,11415,11038,11227,106361,0.004203935599284447
2011-06-22,11415,11604,11274,11321,201675,0.008372673020397237
2011-06-23,11321,11462,11179,11180,129825,-0.012454730147513415
2011-06-24,11321,11321,10991,11321,232604,0.012611806797853342
2011-06-27,11274,11462,11085,11227,202674,-0.008303153431675647
2011-06-28,11415,12076,11415,11604,480264,0.03357976307116761
2011-06-29,11840,11981,11510,11699,153474,0.008186832126852783
2011-06-30,11745,11887,11415,11557,142123,-0.012137789554662826
2011-07-01,11651,11793,11415,11699,229020,0.012286925672752469
2011-07-04,11840,12029,11793,11840,226165,0.012052312163432832
2011-07-05,11840,12076,11698,12076,255769,0.019932432432432368
2011-07-06,11981,12170,11887,12123,189375,0.00389201722424648
2011-07-07,12076,12500,11981,12029,317712,-0.007753856306194851
2011-07-08,12123,12359,11698,11699,298250,-0.027433701887106143
2011-07-11,11604,11698,11415,11416,168944,-0.024190101718095547
2011-07-12,11132,11274,10991,11038,199319,-0.03311142256482136
2011-07-13,11038,11321,10991,11086,156518,0.004348613879326058
2011-07-14,11179,11698,11179,11604,335873,0.04672559985567393
2011-07-15,11557,11745,11368,11557,187309,-0.0040503274732850425
2011-07-18,11651,11887,11510,11793,212808,0.020420524357532166
2011-07-19,11793,12076,11651,11840,280822,0.0039854150767404395
2011-07-20,11981,12123,11698,11746,245858,-0.007939189189189233
2011-07-21,11887,12453,11793,12265,779648,0.04418525455474209
2011-07-22,12264,12359,12076,12076,236114,-0.015409702405218106
2011-07-25,11934,12029,11462,11510,312694,-0.04686982444518051
2011-07-26,11462,11840,11462,11652,195480,0.01233709817549955
2011-07-27,11557,11651,11462,11510,151584,-0.01218674905595607
2011-07-28,11321,11698,11274,11510,156863,0.0
2011-07-29,11651,11793,11510,11510,144439,0.0
2011-08-01,11604,12076,11604,12076,311677,0.04917463075586448
2011-08-02,12217,12595,11745,11888,523216,-0.01556806889698581
2011-08-03,11604,11698,11321,11416,184499,-0.0397039030955586
2011-08-04,11604,11651,10944,10944,213862,-0.041345480028030845
2011-08-05,9717,10142,9528,9670,401119,-0.11641081871345027
2011-08-08,9179,9623,8255,8321,359027,-0.13950361944157186
2011-08-09,7264,7774,7075,7595,487585,-0.08724912871049151
2011-08-10,8019,8236,7943,8048,280656,0.059644502962475254
2011-08-11,7453,8472,7302,8359,200365,0.03864314115308143
2011-08-12,8679,8877,8340,8340,172278,-0.002272999162579281
2011-08-16,8821,9132,8632,9076,164319,0.08824940047961638
2011-08-17,8915,9425,8868,9208,281439,0.014543851917144135
2011-08-18,9208,9368,8585,8718,234531,-0.05321459600347522
2011-08-19,8160,8340,7783,7850,216578,-0.09956412021105754
2011-08-22,7755,8009,7547,7736,153721,-0.014522292993630614
2011-08-23,7830,8160,7830,8057,195190,0.041494312306101344
2011-08-24,8189,8283,7792,7793,157668,-0.032766538413801616
2011-08-25,7840,7981,7566,7595,150870,-0.025407416912613834
2011-08-26,7566,7717,7500,7633,80540,0.005003291639236407
2011-08-29,7792,8283,7774,8151,162679,0.0678632254683611
2011-08-30,8302,8594,8245,8302,195014,0.018525334314807962
2011-08-31,8283,8377,8104,8255,153682,-0.0056612864370031435
2011-09-01,8349,8623,8302,8321,169179,0.007995154451847286
2011-09-02,8330,8528,8179,8284,87576,-0.0044465809397908895
2011-09-05,8113,8113,7641,7661,134539,-0.07520521487204246
2011-09-06,7302,7538,7236,7274,151242,-0.05051559848583731
2011-09-07,7491,7538,7321,7444,129212,0.02337091009073422
2011-09-08,7557,7594,7264,7302,89705,-0.019075765717356252
2011-09-09,7302,7434,7160,7180,90295,-0.01670775130101343
2011-09-14,7217,7255,6651,6661,118707,-0.07228412256267414
2011-09-15,6792,6840,5972,6095,336491,-0.08497222639243351
2011-09-16,6179,6462,6179,6340,249628,0.040196882690730185
2011-09-19,6340,6462,6217,6236,113857,-0.016403785488959044
2011-09-20,6170,6321,6066,6274,102491,0.00609364977549709
2011-09-21,6396,6736,6302,6651,195899,0.06008925725215164
2011-09-22,6368,6509,6330,6378,121178,-0.04104645917907079
2011-09-23,6047,6123,5755,5764,169729,-0.0962684227030417
2011-09-26,5773,5934,4934,4934,246132,-0.1439972241498959
2011-09-27,4962,5179,4962,5010,195625,0.015403323875152086
2011-09-28,5104,5264,4773,4774,188918,-0.047105788423153716
2011-09-29,4764,4896,4674,4849,215825,0.015710096355257663
2011-09-30,4905,5198,4905,5010,178346,0.033202722210765145
2011-10-04,4632,4773,4538,4774,111343,-0.047105788423153716
2011-10-05,5028,5028,4670,4717,151742,-0.011939673229995784
2011-10-06,4839,5085,4839,4868,98995,0.032011871952512205
2011-10-07,5000,5566,5000,5331,285281,0.09511092851273628
2011-10-10,5292,5717,5283,5576,212117,0.0459576064528231
2011-10-11,5745,6160,5707,5887,341312,0.05577474892395973
2011-10-12,5972,6056,5811,5859,151982,-0.0047562425683710385
2011-10-13,6038,6623,6038,6387,423056,0.0901177675371223
2011-10-14,6406,6707,6094,6680,267312,0.04587443244089551
2011-10-17,6792,6934,6528,6670,405802,-0.0014970059880239361
2011-10-18,6651,6651,6321,6406,159271,-0.03958020989505251
2011-10-19,6462,6547,6132,6170,137918,-0.03684046206681235
2011-10-20,6226,6396,5830,5887,102742,-0.04586709886547813
2011-10-21,5962,6255,5943,6132,119072,0.041617122473246226
2011-10-24,6415,6415,6226,6274,110372,0.02315720808871502
2011-10-25,6387,6415,6255,6293,112642,0.0030283710551481935
2011-10-26,6207,6849,6009,6595,352515,0.04798982996980783
2011-10-27,6783,6868,6519,6868,293227,0.04139499620924947
2011-10-28,7245,7774,7057,7076,801420,0.03028538147932447
2011-10-31,7264,7264,6670,6717,221986,-0.050734878462408095
2011-11-01,6509,6651,6472,6482,175405,-0.03498585678130117
2011-11-02,6226,6415,6151,6387,132765,-0.014655970379512495
2011-11-03,6509,6509,6245,6246,93219,-0.022076092062000896
2011-11-04,6585,6623,6415,6472,115474,0.036183157220621265
2011-11-07,6604,7170,6424,6802,333372,0.05098887515451178
2011-11-08,6811,6943,6623,6632,155005,-0.024992649220817453
2011-11-09,6707,6830,6500,6529,86417,-0.015530759951749129
2011-11-10,6226,6264,6056,6057,153893,-0.0722928472966764
2011-11-11,6179,6255,6132,6180,74894,0.020307082714214886
2011-11-14,6330,6556,6226,6548,167831,0.059546925566343
2011-11-15,6509,6509,6236,6283,129103,-0.040470372632865015
2011-11-16,6358,6368,6066,6066,119284,-0.03453764125417791
2011-11-17,6132,6141,5990,6132,63966,0.010880316518298683
2011-11-18,6038,6038,5868,5944,77829,-0.030658838878017014
2011-11-21,5849,5887,5698,5698,82425,-0.041386271870794133
2011-11-22,5566,5924,5556,5849,68078,0.026500526500526478
2011-11-23,5755,5915,5472,5566,67942,-0.04838433920328267
2011-11-24,5415,5821,5415,5614,65170,0.008623787279913753
2011-11-25,5575,5755,5330,5425,58861,-0.03366583541147128
2011-11-28,5424,6104,5424,5585,57274,0.029493087557603603
2011-11-29,5689,5707,5585,5698,56257,0.020232766338406538
2011-11-30,5632,5773,5547,5557,42657,-0.024745524745524716
2011-12-01,5830,5830,5566,5651,102154,0.016915601943494618
2011-12-02,5651,5651,5519,5548,62813,-0.01822686250221195
2011-12-05,5632,6019,5632,5831,228659,0.051009372746935844
2011-12-06,5858,5990,5679,5708,78967,-0.02109415194649289
2011-12-07,5802,6085,5679,5925,148822,0.038016818500350436
2011-12-08,5953,6783,5953,6604,642305,0.11459915611814342
2011-12-09,6556,7132,6415,6585,933774,-0.002877044215626845
2011-12-12,6726,6821,6349,6491,348756,-0.01427486712224757
2011-12-13,6415,6556,6217,6255,156452,-0.03635803420120165
