Date,Open,High,Low,Close,Volume,Change
2011-01-03,13750,14148,13630,14069,395910,0.032208363903154735
2011-01-04,14268,15144,13909,15105,718746,0.07363707441893519
2011-01-05,15144,15981,14945,15464,802883,0.02376696458126437
2011-01-06,15663,15702,15025,15384,316920,-0.005173305742369405
2011-01-07,15384,16061,15144,15344,295619,-0.0026001040041602197
2011-01-10,15384,16380,15384,16301,699716,0.06236965589155363
2011-01-11,16300,16340,15663,15822,621226,-0.029384700325133406
2011-01-12,15902,16260,15224,15424,617718,-0.02515484768044496
2011-01-13,15583,15742,15025,15344,420227,-0.005186721991701226
2011-01-14,15344,16221,15184,16141,487547,0.05194212721584979
2011-01-17,16500,16739,15782,15902,513958,-0.014807013196208363
2011-01-18,15782,16021,15463,15543,242854,-0.02257577663187016
2011-01-19,15623,16340,15623,16301,463510,0.04876793411825253
2011-01-20,16141,17137,16141,16899,697497,0.036684865959143664
2011-01-21,17018,17057,16340,16739,385873,-0.009468015858926537
2011-01-24,16739,17456,16460,17417,305427,0.04050421172113028
2011-01-25,17536,17576,16539,16699,525857,-0.041224091404949204
2011-01-26,16659,17018,16460,16739,315676,0.002395353015150592
2011-01-27,16818,17257,16579,17058,307139,0.019057291355517147
2011-01-28,17217,17257,16021,16141,547205,-0.053757767616367635
2011-01-31,15663,15702,14985,14986,575541,-0.07155690477665577
2011-02-01,15344,16101,15344,15783,330280,0.05318297077272116
2011-02-07,16181,16739,16021,16659,274774,0.05550275613001321
2011-02-08,16818,17057,16221,16460,179468,-0.011945494927666722
2011-02-09,16420,16659,15902,16580,254385,0.007290400972053357
2011-02-10,16699,16739,16021,16341,187061,-0.014414957780458426
2011-02-11,16460,16460,15623,15663,249267,-0.04149072884156413
2011-02-14,15742,16061,15344,15424,275627,-0.015258890378599288
2011-02-15,15702,15942,15423,15424,171500,0.0
2011-02-16,15583,16021,15463,15464,186271,0.002593360995850613
2011-02-17,15623,15862,14945,15703,279161,0.01545525090532851
2011-02-18,15782,16619,15503,16620,337508,0.0583964847481373
2011-02-21,16619,16858,16380,16500,207815,-0.0072202166064981865
2011-02-22,16101,16699,15822,16540,253496,0.00242424242424244
2011-02-23,16539,16898,16141,16420,285279,-0.00725513905683195
