Date,Open,High,Low,Close,Volume,Change
2011-01-03,1605,1631,1605,1619,953,0.007467330429371533
2011-01-04,1659,1659,1605,1628,7028,0.005558987029030238
2011-01-05,1631,1641,1599,1603,1934,-0.01535626535626533
2011-01-06,1641,1641,1601,1630,6473,0.016843418590143378
2011-01-07,1629,1641,1572,1614,2319,-0.009815950920245453
2011-01-10,1629,1629,1555,1589,3217,-0.015489467162329573
2011-01-11,1629,1629,1590,1612,1240,0.014474512271869022
2011-01-12,1610,1622,1597,1601,7003,-0.006823821339950409
2011-01-13,1599,1641,1583,1614,902,0.008119925046845777
2011-01-14,1608,1631,1599,1625,1335,0.006815365551424923
2011-01-17,1626,1626,1594,1596,848,-0.017846153846153845
2011-01-18,1599,1636,1572,1596,1461,0.0
2011-01-19,1599,1599,1537,1566,2372,-0.018796992481203034
2011-01-20,1581,1581,1526,1530,6804,-0.02298850574712641
2011-01-21,1530,1540,1508,1516,3193,-0.009150326797385588
2011-01-24,1532,1563,1485,1527,6171,0.0072559366754616494
2011-01-25,1542,1560,1490,1550,2478,0.015062213490504295
2011-01-26,1581,1597,1508,1582,10081,0.020645161290322678
2011-01-27,1581,1641,1553,1641,5747,0.03729456384323648
2011-01-28,1636,1665,1553,1582,6270,-0.03595368677635591
2011-01-31,1576,1620,1558,1584,2792,0.0012642225031604948
2011-02-01,1583,1643,1540,1596,1535,0.007575757575757569
2011-02-07,1592,1645,1590,1628,973,0.020050125313283207
2011-02-08,1594,1686,1586,1591,1251,-0.022727272727272707
2011-02-09,1590,1597,1563,1586,1408,-0.00314267756128217
2011-02-10,1581,1586,1494,1513,24582,-0.04602774274905419
2011-02-11,1512,1551,1494,1530,7022,0.011235955056179803
2011-02-14,1514,1532,1501,1527,2892,-0.0019607843137254832
2011-02-15,1526,1530,1499,1523,5972,-0.0026195153896528822
2011-02-16,1521,1572,1487,1546,5789,0.015101772816809023
2011-02-17,1544,1553,1517,1530,1063,-0.010349288486416586
2011-02-18,1499,1553,1490,1555,6324,0.016339869281045694
2011-02-21,1553,1553,1494,1511,5369,-0.028295819935691302
2011-02-22,1519,1540,1448,1488,3819,-0.015221707478491053
2011-02-23,1462,1487,1386,1417,12756,-0.04771505376344087
2011-02-24,1393,1448,1365,1367,9736,-0.035285815102328866
2011-02-25,1396,1396,1357,1372,1113,0.003657644476956934
2011-02-28,1396,1396,1331,1372,9410,0.0
2011-03-02,1416,1423,1346,1372,10729,0.0
2011-03-03,1409,1508,1357,1490,22227,0.0860058309037901
2011-03-04,1590,1590,1439,1490,2340,0.0
2011-03-07,1581,1599,1476,1486,3987,-0.0026845637583892135
2011-03-08,1499,1508,1421,1504,4127,0.01211305518169592
2011-03-09,1535,1535,1464,1504,14376,0.0
2011-03-10,1503,1581,1485,1516,10210,0.007978723404255428
2011-03-11,1514,1544,1490,1518,5201,0.0013192612137202797
2011-03-14,1508,1508,1466,1500,1206,-0.011857707509881465
2011-03-15,1553,1553,1439,1440,3394,-0.040000000000000036
2011-03-16,1448,1508,1398,1500,7938,0.04166666666666674
2011-03-17,1476,1492,1476,1490,120,-0.00666666666666671
2011-03-18,1530,1530,1474,1481,6490,-0.006040268456375841
2011-03-21,1453,1508,1453,1479,17317,-0.0013504388926400823
2011-03-22,1446,1517,1446,1518,2837,0.026369168356997985
2011-03-23,1474,1514,1474,1490,467,-0.01844532279314892
2011-03-24,1514,1530,1370,1486,12221,-0.0026845637583892135
2011-03-25,1459,1530,1459,1518,2593,0.021534320323014722
2011-03-28,1490,1553,1490,1541,246,0.015151515151515138
2011-03-29,1540,1553,1487,1536,650,-0.0032446463335495945
2011-03-30,1497,1549,1497,1516,3145,-0.01302083333333337
2011-03-31,1485,1645,1485,1559,1045,0.02836411609498679
2011-04-01,1624,1624,1485,1559,1093,0.0
2011-04-04,1517,1579,1517,1546,1173,-0.008338678640153918
2011-04-05,1576,1576,1532,1541,714,-0.0032341526520052177
2011-04-06,1535,1590,1514,1573,8774,0.020765736534717805
2011-04-07,1615,1618,1570,1612,644,0.024793388429751984
2011-04-08,1638,1672,1608,1659,40071,0.029156327543424343
2011-04-11,1661,1800,1661,1735,76668,0.045810729355033164
2011-04-12,1699,1873,1699,1724,18976,-0.006340057636887608
2011-04-13,1722,1759,1659,1701,25615,-0.013341067285382868
2011-04-14,1672,1714,1605,1655,12833,-0.027042915931804856
2011-04-15,1654,1704,1603,1624,11736,-0.018731117824773436
2011-04-18,1643,1659,1565,1628,20903,0.0024630541871921707
2011-04-19,1626,1704,1508,1534,17070,-0.057739557739557745
2011-04-20,1535,1599,1528,1578,22853,0.028683181225554133
2011-04-21,1583,1636,1576,1619,7621,0.025982256020278927
2011-04-22,1618,1732,1599,1678,29625,0.03644224830142062
2011-04-25,1727,1727,1647,1699,16415,0.012514898688915421
2011-04-26,1722,1853,1691,1768,106160,0.04061212477928189
2011-04-27,1759,1878,1727,1806,112294,0.02149321266968318
2011-04-28,1827,1846,1681,1749,19514,-0.031561461794019974
2011-04-29,1714,1800,1693,1714,9644,-0.020011435105774744
2011-05-02,1718,1768,1709,1742,29495,0.016336056009334854
2011-05-03,1737,1787,1714,1783,12929,0.023536165327210146
2011-05-04,1750,1896,1750,1893,134833,0.06169377453729674
2011-05-06,1862,1892,1773,1774,59659,-0.06286318013734815
2011-05-09,1773,1842,1716,1717,25576,-0.03213077790304397
2011-05-11,1718,1803,1716,1737,18696,0.011648223645893907
2011-05-12,1743,1823,1743,1815,5024,0.04490500863557867
2011-05-13,1754,1850,1754,1806,4119,-0.0049586776859503745
2011-05-16,1803,1805,1741,1803,133,-0.0016611295681062677
2011-05-17,1805,1940,1782,1907,174307,0.05768164170826395
2011-05-18,1896,1947,1672,1674,123184,-0.1221814368117462
2011-05-19,1693,1750,1645,1692,50653,0.010752688172043001
2011-05-20,1652,1737,1652,1701,6743,0.005319148936170137
2011-05-23,1727,1727,1618,1712,50065,0.0064667842445620405
2011-05-24,1659,1709,1631,1671,27562,-0.02394859813084116
2011-05-25,1633,1718,1633,1719,17565,0.02872531418312385
2011-05-26,1714,1714,1649,1657,27466,-0.03606748109365909
2011-05-27,1641,1699,1599,1651,12247,-0.0036210018105009567
2011-05-30,1618,1656,1592,1601,11043,-0.030284675953967333
2011-05-31,1599,1643,1599,1619,4235,0.011242973141786461
2011-06-01,1618,1645,1597,1609,14077,-0.0061766522544780544
2011-06-02,1599,1674,1592,1605,10638,-0.0024860161591050423
2011-06-03,1592,1626,1563,1625,10839,0.012461059190031154
2011-06-07,1586,1631,1544,1566,10276,-0.03630769230769226
2011-06-08,1549,1668,1549,1619,101525,0.0338441890166028
2011-06-09,1583,1679,1576,1641,9799,0.013588634959851742
2011-06-10,1603,1686,1494,1495,155496,-0.08897014015843996
2011-06-13,1462,1549,1270,1271,240075,-0.14983277591973243
2011-06-14,1270,1297,1158,1205,104584,-0.05192761605035401
2011-06-15,1233,1279,1183,1207,41807,0.0016597510373443924
2011-06-16,1174,1200,1164,1168,20401,-0.03231151615575811
2011-06-17,1167,1320,1119,1248,55339,0.06849315068493156
2011-06-20,1247,1261,1162,1166,24807,-0.0657051282051282
2011-06-21,1192,1192,1149,1168,13125,0.0017152658662091813
2011-06-22,1167,1226,1158,1175,20494,0.0059931506849315586
2011-06-23,1176,1279,1160,1189,11898,0.01191489361702125
2011-06-24,1176,1250,1176,1237,9968,0.04037005887300249
2011-06-27,1254,1254,1174,1193,26059,-0.035569927243330635
2011-06-28,1256,1256,1185,1221,10381,0.023470243084660503
2011-06-29,1261,1261,1190,1244,12323,0.018837018837018826
2011-06-30,1212,1268,1206,1235,5624,-0.007234726688102877
2011-07-01,1233,1315,1219,1291,5025,0.04534412955465594
2011-07-04,1300,1315,1247,1280,4891,-0.008520526723470145
2011-07-05,1279,1313,1233,1235,19787,-0.03515625
2011-07-06,1233,1242,1197,1244,12379,0.007287449392712642
2011-07-07,1233,1254,1212,1246,9142,0.001607717041800738
2011-07-08,1210,1318,1210,1239,6651,-0.005617977528089901
2011-07-11,1242,1275,1233,1268,2545,0.023405972558514954
2011-07-12,1212,1306,1212,1252,7212,-0.012618296529968487
2011-07-13,1233,1275,1233,1239,1140,-0.010383386581469645
2011-07-14,1233,1275,1233,1276,1396,0.02986279257465707
2011-07-15,1265,1290,1233,1252,9391,-0.018808777429467072
2011-07-18,1252,1277,1233,1264,15205,0.009584664536741228
2011-07-19,1334,1334,1247,1304,6605,0.03164556962025311
2011-07-20,1336,1346,1302,1339,20520,0.026840490797545913
2011-07-21,1370,1537,1357,1539,142516,0.14936519790888725
2011-07-22,1761,1766,1741,1768,66313,0.14879792072774523
2011-07-25,2029,2029,2029,2030,31667,0.1481900452488687
2011-07-26,2331,2331,2105,2105,796036,0.03694581280788167
2011-07-27,2162,2166,1910,2058,787210,-0.02232779097387172
2011-07-28,1992,2362,1992,2364,713898,0.14868804664723023
2011-07-29,2559,2715,2473,2716,302973,0.1489001692047378
2011-08-01,2925,2939,2559,2739,1069270,0.008468335787923387
2011-08-02,2655,3144,2655,3146,733665,0.14859437751004023
2011-08-03,3094,3616,3086,3616,711731,0.14939605848696758
2011-08-04,3441,4068,3364,3817,789021,0.05558628318584069
2011-08-05,3478,4050,3460,3754,428678,-0.016505108724128914
2011-08-08,3657,3999,3190,3192,289492,-0.14970697922216303
2011-08-09,2742,2971,2715,2716,54919,-0.14912280701754388
2011-08-10,2742,3076,2477,2844,834824,0.04712812960235646
2011-08-11,2422,2893,2422,2666,435114,-0.06258790436005623
2011-08-12,2838,2838,2513,2574,272783,-0.03450862715678915
2011-08-16,2715,2875,2655,2822,233767,0.09634809634809627
2011-08-17,2975,3199,2820,3201,296412,0.1343019135364989
2011-08-18,3565,3565,3126,3475,296081,0.08559825054670411
2011-08-19,3030,3268,2952,2953,224932,-0.15021582733812955
2011-08-22,2879,2925,2513,2515,179533,-0.14832373857094483
2011-08-23,2564,2664,2440,2537,147299,0.008747514910536713
2011-08-24,2624,2624,2237,2238,211815,-0.11785573512022074
2011-08-25,2268,2331,1954,2009,233107,-0.1023235031277927
2011-08-26,2027,2129,1896,2058,181622,0.024390243902439046
2011-08-29,2093,2111,1992,2067,114391,0.004373177842565523
2011-08-30,2042,2093,1969,2021,105474,-0.022254475084663716
2011-08-31,2036,2322,2036,2322,203606,0.14893617021276606
2011-09-01,2468,2664,2308,2515,464426,0.08311800172265293
2011-09-02,2491,2509,2195,2249,282328,-0.10576540755467201
2011-09-05,2129,2148,1951,1952,148031,-0.1320586927523344
2011-09-06,1894,1915,1743,1783,149196,-0.086577868852459
2011-09-07,1827,1949,1827,1921,101174,0.07739764441951769
2011-09-08,1883,1915,1695,1714,89506,-0.10775637688703799
2011-09-09,1647,1780,1647,1780,28980,0.03850641773628949
2011-09-14,1737,1933,1722,1749,50773,-0.01741573033707866
2011-09-15,1816,1919,1691,1875,129035,0.07204116638078895
2011-09-16,1942,1944,1832,1849,60992,-0.013866666666666694
2011-09-19,1848,1862,1709,1709,40352,-0.07571660356949705
