Date,Open,High,Low,Close,Volume,Change
2011-01-03,2144,2168,2130,2151,60235,0.0032649253731342753
2011-01-04,2175,2178,2147,2168,48781,0.00790330079032997
2011-01-05,2168,2185,2130,2131,64149,-0.017066420664206605
2011-01-06,2130,2164,2110,2111,94822,-0.00938526513374005
2011-01-07,2107,2137,2107,2128,67098,0.008053055423969724
2011-01-10,2124,2137,2090,2097,141742,-0.014567669172932285
2011-01-11,2086,2124,2066,2090,75962,-0.0033381020505484083
2011-01-12,2073,2113,2066,2073,64015,-0.008133971291865993
2011-01-13,2083,2086,2063,2087,54089,0.006753497346840387
2011-01-14,2086,2096,2025,2060,105042,-0.012937230474365125
2011-01-17,2039,2080,2029,2029,74389,-0.015048543689320404
2011-01-18,1998,2046,1998,2029,65510,0.0
2011-01-19,2029,2063,2029,2049,42472,0.009857072449482418
2011-01-20,2049,2063,2032,2046,36605,-0.0014641288433382416
2011-01-21,2042,2056,2015,2036,56106,-0.004887585532746819
2011-01-24,1995,2032,1988,1999,46246,-0.018172888015717037
2011-01-25,1971,2015,1971,2012,40838,0.006503251625813
2011-01-26,2039,2120,2008,2094,129861,0.040755467196819106
2011-01-27,2069,2090,2018,2073,24688,-0.01002865329512892
2011-01-28,2073,2090,2032,2060,47325,-0.006271104679208883
2011-01-31,2063,2063,2018,2036,33019,-0.011650485436893177
2011-02-01,2042,2069,2022,2036,47019,0.0
2011-02-07,2001,2093,2001,2073,33112,0.018172888015717037
2011-02-08,2076,2083,2012,2032,52240,-0.019778099372889546
2011-02-09,2008,2056,2008,2032,45897,0.0
2011-02-10,2056,2056,2015,2016,40051,-0.007874015748031482
2011-02-11,2042,2042,1981,2012,37617,-0.001984126984126977
2011-02-14,2015,2039,1984,2009,59317,-0.0014910536779324524
2011-02-15,1995,2022,1988,2022,45608,0.006470881035340881
2011-02-16,2056,2056,1998,2005,26409,-0.008407517309594437
2011-02-17,2032,2035,2001,2032,47010,0.013466334164588423
2011-02-18,2052,2052,1998,2019,28773,-0.006397637795275579
2011-02-21,2022,2049,2015,2026,50492,0.0034670629024269317
2011-02-22,2008,2025,1988,1988,55353,-0.01875616979269501
2011-02-23,1974,2056,1964,1975,70305,-0.006539235412474809
2011-02-24,1968,1988,1917,1961,58980,-0.00708860759493668
2011-02-25,1934,1968,1934,1961,63667,0.0
2011-02-28,1940,1974,1923,1961,46917,0.0
2011-03-02,1968,2015,1927,2002,18457,0.020907700152983155
2011-03-03,2029,2035,1981,1999,27246,-0.0014985014985015033
2011-03-04,1981,2025,1981,1999,30362,0.0
2011-03-07,2029,2029,1981,2009,44322,0.005002501250625402
2011-03-08,2022,2022,1957,1978,57148,-0.015430562468889963
2011-03-09,2005,2005,1968,1988,25777,0.005055611729019249
2011-03-10,2005,2005,1957,1982,31166,-0.003018108651911433
