Date,Open,High,Low,Close,Volume,Change
2018-03-15,30767,30767,26372,26508,1468375,
2018-03-16,27256,27826,25541,26771,436829,0.009921533122076331
2018-03-19,27955,28525,26635,26815,402209,0.00164356953419742
2018-03-20,25981,26596,25581,26332,159377,-0.018012306544844314
2018-03-21,26332,26552,24177,24617,204110,-0.06512987999392372
2018-03-22,24222,24747,22551,22947,183387,-0.0678392980460657
2018-03-23,22552,25012,22157,22507,293543,-0.01917461977600554
2018-03-26,22853,23163,21953,22244,100354,-0.011685253476696134
2018-03-27,22416,24131,22021,23387,176102,0.051384643049811274
2018-03-28,22992,23872,22682,22727,110236,-0.028220806430923173
2018-03-29,22943,24128,22898,23738,177932,0.04448453381440576
2018-03-30,23733,24303,23338,23518,66185,-0.009267840593141785
2018-04-02,23469,23734,21974,21980,93845,-0.06539671740794284
2018-04-03,21975,22240,21230,21540,74759,-0.020018198362147355
2018-04-04,22595,27955,22595,26376,1803125,0.2245125348189414
2018-04-05,26152,26197,24262,25453,328080,-0.03499393387928418
2018-04-06,25539,28089,24964,26024,656720,0.022433504891368417
2018-04-09,25407,26727,25407,25892,113302,-0.00507224100830006
2018-04-10,26018,27118,24963,27123,258636,0.047543642824038335
2018-04-11,27252,27427,26197,26508,111682,-0.022674482911182348
2018-04-12,26593,27338,25978,26464,154135,-0.0016598762637693998
2018-04-13,26503,30328,26373,28794,1291431,0.08804413542926248
2018-04-16,29888,35693,29493,33453,2675075,0.16180454261304433
2018-04-17,33451,35826,32791,34377,995774,0.02762084118016328
2018-04-18,36927,40572,34506,36047,921204,0.04857899176775171
2018-04-19,36044,39299,34859,35739,1103010,-0.008544400366188643
2018-04-20,34944,35999,32789,33629,397697,-0.05903914491172113
2018-04-23,36042,39427,32482,34333,1263234,0.02093431264682266
2018-04-24,34328,34858,31648,32794,287211,-0.04482567791920311
2018-04-25,33185,34860,31780,31871,273450,-0.02814539244983838
2018-04-26,31872,33102,30682,31167,157713,-0.022089046468576456
2018-04-27,32001,36046,30286,33102,1471016,0.0620848974877275
2018-04-30,39557,42987,39162,42993,1351213,0.2988036976617727
2018-05-02,43953,54942,43953,45718,1924822,0.0633824110901775
2018-05-03,43954,47254,41979,44619,842186,-0.02403867185791153
2018-05-04,44617,49017,42861,46817,809526,0.04926152535915196
2018-05-08,45053,47253,41538,42333,425424,-0.09577717495781446
2018-05-09,42417,43077,35953,39168,582413,-0.07476436822337185
2018-05-10,43733,45933,41318,41894,779040,0.0695976307189543
2018-05-11,41056,43476,38901,43037,395133,0.02728314317085978
2018-05-14,44612,49012,43778,45938,742628,0.06740711480818828
2018-05-15,45275,59565,43955,59565,1336329,0.29663894814750313
2018-05-16,51870,74510,50550,65280,6201055,0.09594560564089649
2018-05-17,68793,72748,62198,66819,2120197,0.02357536764705892
2018-05-18,65279,68574,63079,66159,913585,-0.00987743007228481
2018-05-21,64180,66815,61540,64621,591514,-0.023247026103780266
2018-05-23,62199,69673,58904,66599,1330792,0.030609244672784364
2018-05-24,66813,67473,60218,61544,557865,-0.07590204057117977
2018-05-25,48792,52747,43953,45938,1389961,-0.25357467827895486
2018-05-28,57365,59565,57145,59565,574458,0.29663894814750313
2018-05-29,61541,71432,58246,63302,2404462,0.06273818517585839
2018-05-30,67253,81102,65933,78688,3035504,0.24305709140311516
2018-05-31,74509,84399,72749,77369,1730306,-0.016762403416022753
