Date,Open,High,Low,Close,Volume,Change
2013-07-01,2900,2900,2465,2465,27500,
2013-07-02,2100,2100,2100,2100,7000,-0.14807302231237318
2013-07-03,1785,1785,1785,1785,30300,-0.15000000000000002
2013-07-04,1785,1785,1785,1785,7600,0.0
2013-07-05,0,0,0,1610,0,-0.0980392156862745
2013-07-08,1850,1850,1850,1850,100,0.14906832298136652
2013-07-09,1850,1850,1850,1850,1200,0.0
2013-07-10,2100,2100,2100,2100,2000,0.1351351351351351
2013-07-11,2100,2100,2100,2100,3300,0.0
2013-07-12,2000,2100,2000,2100,14700,0.0
2013-07-15,2200,2200,2000,2195,34000,0.0452380952380953
2013-07-16,2240,2240,2000,2200,20100,0.002277904328018332
2013-07-17,2115,2300,1880,2300,31500,0.045454545454545414
2013-07-18,2400,2640,2400,2415,8900,0.050000000000000044
2013-07-19,2650,2650,2645,2645,2100,0.09523809523809534
2013-07-22,2650,2650,2500,2500,10000,-0.05482041587901698
2013-07-23,2500,2500,2500,2500,15900,0.0
2013-07-24,2500,2500,2500,2500,2000,0.0
2013-07-25,2500,2500,2500,2500,5000,0.0
2013-07-26,0,0,0,2340,0,-0.06399999999999995
2013-07-29,0,0,0,2190,0,-0.0641025641025641
2013-07-30,2450,2450,2350,2350,10000,0.0730593607305936
2013-07-31,2300,2450,2300,2300,10000,-0.021276595744680882
2013-08-01,2170,2300,2170,2300,2100,0.0
2013-08-02,2350,2350,2350,2350,3700,0.021739130434782705
2013-08-05,2400,2400,2400,2400,4200,0.02127659574468077
2013-08-06,0,0,0,2300,0,-0.04166666666666663
2013-08-07,2300,2350,2200,2200,21600,-0.04347826086956519
2013-08-08,2200,2400,2180,2200,20000,0.0
2013-08-09,2190,2190,2180,2180,20000,-0.009090909090909038
2013-08-12,2300,2300,2200,2200,10200,0.00917431192660545
2013-08-13,2190,2190,2180,2180,5000,-0.009090909090909038
2013-08-14,2200,2200,2200,2200,20000,0.00917431192660545
2013-08-16,2300,2300,2300,2300,10100,0.045454545454545414
2013-08-19,0,0,0,2300,0,0.0
2013-08-20,2200,2200,2200,2200,35700,-0.04347826086956519
