Date,Open,High,Low,Close,Volume,Change
2013-05-30,9000,10350,9000,10350,481546,
2013-05-31,11900,11900,11750,11900,3147904,0.1497584541062802
2013-06-03,12200,12350,11450,12150,5255396,0.021008403361344463
2013-06-04,12150,12250,10600,11300,2711946,-0.06995884773662553
2013-06-05,11300,11400,10200,10200,1512415,-0.09734513274336287
2013-06-07,9900,10100,9260,9480,2087239,-0.07058823529411762
2013-06-10,9750,10300,9650,10100,1968043,0.06540084388185652
2013-06-11,10050,10650,9960,10050,1232099,-0.004950495049504955
2013-06-12,10200,11400,10000,11000,4117394,0.0945273631840795
2013-06-13,10700,10750,10200,10350,1404828,-0.05909090909090908
2013-06-14,10450,10600,9670,9950,1293626,-0.03864734299516903
2013-06-17,9720,9810,9160,9400,917470,-0.055276381909547756
2013-06-18,9520,9840,9470,9750,764047,0.037234042553191404
2013-06-19,9770,9770,9290,9300,437826,-0.0461538461538461
2013-06-20,9200,9260,8960,9170,458729,-0.013978494623655968
2013-06-21,8950,9580,8730,9580,707902,0.04471101417666312
2013-06-24,9600,9620,9020,9020,338172,-0.05845511482254695
2013-06-25,9000,9180,8450,8700,585755,-0.03547671840354771
2013-06-26,8980,9450,8800,9330,885941,0.07241379310344831
2013-06-27,9660,10400,9570,10200,1210388,0.09324758842443726
2013-06-28,10200,10350,9940,10100,872295,-0.009803921568627416
2013-07-01,9600,9980,9420,9810,3121857,-0.02871287128712874
2013-07-02,9690,10150,9400,10050,1606560,0.024464831804281273
2013-07-03,9940,10300,9800,10200,1513117,0.014925373134328401
2013-07-04,10150,10250,9860,9900,784768,-0.02941176470588236
2013-07-05,9910,10000,9720,9990,589648,0.009090909090909038
2013-07-08,9960,10300,9200,9400,1807934,-0.05905905905905906
2013-07-09,9480,9480,8910,9290,815648,-0.011702127659574457
2013-07-10,9310,9350,9130,9130,337635,-0.017222820236813763
2013-07-11,9140,9560,9140,9540,655438,0.04490690032858713
2013-07-12,9540,9580,9270,9500,483878,-0.004192872117400381
2013-07-15,9580,9980,9480,9970,1129952,0.049473684210526336
2013-07-16,10100,10600,9910,10500,2108005,0.053159478435305996
2013-07-17,10500,10700,10250,10350,2327058,-0.014285714285714235
2013-07-18,10450,10950,10350,10650,2411289,0.02898550724637672
2013-07-19,10400,10500,10050,10250,975935,-0.03755868544600938
2013-07-22,10200,10450,9990,10300,780884,0.004878048780487809
2013-07-23,10300,10350,9990,10050,506866,-0.024271844660194164
2013-07-24,10000,10100,9670,9890,816052,-0.015920398009950265
2013-07-25,9810,10200,9640,10100,813301,0.02123356926188058
2013-07-26,10100,10200,9880,9950,484588,-0.014851485148514865
2013-07-29,10100,10100,9280,9410,1089844,-0.05427135678391959
2013-07-30,9350,9700,9250,9700,541823,0.03081827842720508
2013-07-31,9750,9980,9500,9950,926616,0.025773195876288568
2013-08-01,9920,9990,9790,9870,407677,-0.008040201005025116
2013-08-02,9970,9970,9790,9850,211398,-0.0020263424518743856
2013-08-05,9950,9950,9640,9720,279808,-0.013197969543147225
2013-08-06,9710,9840,9590,9800,283495,0.008230452674897082
2013-08-07,9750,9770,9520,9630,253024,-0.01734693877551019
2013-08-08,9630,10100,9510,9990,690681,0.03738317757009346
2013-08-09,9910,10150,9820,9910,431287,-0.00800800800800805
2013-08-12,9990,10300,9970,10000,965505,0.00908173562058523
2013-08-13,9990,10100,9760,9800,412172,-0.020000000000000018
2013-08-14,9820,9820,9520,9700,291856,-0.010204081632653073
