Date,Open,High,Low,Close,Volume,Change
2011-01-03,4325,4325,4100,4100,168689,-0.004854368932038833
2011-01-04,4100,4170,3700,3940,152661,-0.039024390243902474
2011-01-05,4025,4250,3810,3825,286219,-0.029187817258883197
2011-01-06,3845,4015,3785,3830,196444,0.0013071895424836555
2011-01-07,3705,3810,3620,3685,126728,-0.037859007832898195
2011-01-10,3680,3780,3620,3670,47745,-0.004070556309362261
2011-01-11,3555,3740,3530,3570,131208,-0.027247956403269713
2011-01-12,3570,3690,3545,3570,44746,0.0
2011-01-13,3650,3650,3460,3465,53015,-0.02941176470588236
2011-01-14,3520,3520,3400,3425,39579,-0.011544011544011523
2011-01-17,3470,3470,3300,3360,90431,-0.01897810218978102
2011-01-18,3310,3430,3310,3395,27202,0.01041666666666674
2011-01-19,3445,3690,3390,3540,70146,0.042709867452135564
2011-01-20,3700,4070,3700,4070,501304,0.14971751412429368
2011-01-21,4305,4415,3700,3740,545997,-0.08108108108108103
2011-01-24,3750,3980,3750,3895,92666,0.041443850267379734
2011-01-25,3940,3960,3685,3755,85648,-0.03594351732991019
2011-01-26,3675,3850,3605,3740,46588,-0.003994673768308976
2011-01-27,3700,3815,3665,3700,36513,-0.010695187165775444
2011-01-28,3840,3845,3680,3830,39771,0.03513513513513522
2011-01-31,3825,3860,3710,3710,24031,-0.031331592689295085
2011-02-01,3640,3795,3640,3770,37396,0.016172506738544534
2011-02-07,3960,3960,3790,3885,56596,0.0305039787798409
2011-02-08,3950,3950,3850,3860,39680,-0.006435006435006385
2011-02-09,3930,3930,3810,3890,24314,0.007772020725388629
2011-02-10,3890,3930,3835,3835,20602,-0.014138817480719768
2011-02-11,3810,3880,3750,3760,30296,-0.019556714471968717
2011-02-14,3885,4320,3850,4320,492388,0.14893617021276606
2011-02-15,4320,4495,4095,4450,330260,0.03009259259259256
2011-02-16,4450,4890,4350,4700,430107,0.05617977528089879
2011-02-17,4700,4890,4580,4850,246402,0.03191489361702127
2011-02-18,4840,5300,4840,5000,425354,0.030927835051546282
2011-02-21,5020,5200,4750,4850,187190,-0.030000000000000027
2011-02-22,4900,4900,4505,4615,161215,-0.04845360824742273
2011-02-23,4535,4600,4245,4325,192184,-0.06283856988082337
2011-02-24,4365,4410,4200,4400,147407,0.01734104046242768
2011-02-25,4355,4445,4110,4370,128561,-0.006818181818181834
2011-02-28,4380,4640,4300,4455,129108,0.0194508009153318
2011-03-02,4440,4790,4410,4575,164469,0.026936026936027035
2011-03-03,4525,4840,4480,4700,130429,0.02732240437158473
2011-03-04,4795,5140,4725,4765,254451,0.01382978723404249
2011-03-07,4765,4950,4730,4740,80033,-0.005246589716684125
2011-03-08,4700,4845,4600,4755,113276,0.0031645569620253333
2011-03-09,4810,4810,4510,4580,73188,-0.03680336487907465
2011-03-10,4550,4625,4255,4450,63394,-0.028384279475982543
2011-03-11,4375,4435,4145,4145,108616,-0.06853932584269662
2011-03-14,4110,4130,3720,3840,174298,-0.0735826296743064
2011-03-15,3800,4010,3400,3540,125378,-0.078125
2011-03-16,3540,3700,3305,3540,116361,0.0
2011-03-17,3400,3595,3360,3580,70766,0.011299435028248483
2011-03-18,3685,3900,3685,3820,82325,0.06703910614525133
2011-03-21,3805,4195,3805,4190,98659,0.09685863874345557
2011-03-22,4205,4380,4080,4100,64881,-0.021479713603818618
2011-03-23,4240,4240,3955,3955,46655,-0.03536585365853662
2011-03-24,3965,4145,3905,4050,58157,0.02402022756005051
2011-03-25,4070,4125,3960,3960,33696,-0.022222222222222254
2011-03-28,4095,4100,3855,3865,55301,-0.023989898989899006
2011-03-29,3880,4035,3775,3880,34704,0.0038809831824062613
2011-03-30,3930,3930,3780,3845,64961,-0.009020618556700999
2011-03-31,3920,3920,3820,3820,28108,-0.006501950585175553
2011-04-01,3895,4380,3890,4300,74995,0.12565445026178002
2011-04-04,4300,4640,4220,4355,119942,0.012790697674418539
2011-04-05,4305,4435,4170,4280,78505,-0.01722158438576349
2011-04-06,4370,4480,4230,4295,86370,0.003504672897196359
2011-04-07,4295,4500,4280,4405,64011,0.025611175785797524
2011-04-08,4490,4800,4455,4750,157852,0.0783200908059023
2011-04-11,4750,4850,4620,4670,94150,-0.01684210526315788
2011-04-12,4670,4785,4490,4755,162710,0.01820128479657379
2011-04-13,4900,4900,4565,4595,186320,-0.03364879074658256
2011-04-14,4515,4690,4500,4520,67404,-0.016322089227421066
2011-04-15,4555,4750,4500,4745,112973,0.0497787610619469
2011-04-18,4710,4850,4505,4550,99786,-0.04109589041095896
2011-04-19,4400,4600,4290,4410,78155,-0.03076923076923077
2011-04-20,4410,4495,4220,4380,122824,-0.006802721088435382
2011-04-21,4480,4480,4300,4300,86855,-0.0182648401826484
2011-04-22,4300,4620,4300,4530,106236,0.05348837209302326
2011-04-25,4600,4695,4350,4410,104675,-0.026490066225165587
2011-04-26,4410,4570,4250,4560,127380,0.03401360544217691
2011-04-27,4940,4960,4400,4500,300367,-0.013157894736842146
2011-04-28,4530,4650,4480,4535,104414,0.007777777777777883
2011-04-29,4535,4600,4335,4390,85264,-0.0319735391400221
2011-05-02,4390,4550,4315,4400,68975,0.002277904328018332
2011-05-03,4310,4450,4310,4405,40940,0.001136363636363713
2011-05-04,4450,4540,4365,4500,70212,0.02156640181611813
2011-05-06,4490,4520,4330,4435,57384,-0.014444444444444482
2011-05-09,4500,4545,4375,4465,38604,0.006764374295377573
2011-05-11,4500,4680,4410,4480,114264,0.0033594624860022737
2011-05-12,4430,4495,4320,4410,63805,-0.015625
2011-05-13,4415,4510,4370,4420,49972,0.0022675736961450532
2011-05-16,4365,4450,4315,4350,43165,-0.015837104072398245
2011-05-17,4340,4440,4130,4430,106913,0.01839080459770126
2011-05-18,4445,4500,4300,4495,39789,0.0146726862302482
2011-05-19,4500,4510,4370,4490,16304,-0.0011123470522803602
2011-05-20,4490,4680,4370,4630,116993,0.031180400890868487
2011-05-23,4700,4700,4410,4415,87620,-0.04643628509719222
2011-05-24,4400,4515,4210,4330,127407,-0.01925254813137034
2011-05-25,4300,4455,4275,4365,24658,0.008083140877598094
2011-05-26,4300,4460,4300,4380,80415,0.0034364261168384758
2011-05-27,4385,4385,4215,4215,47549,-0.03767123287671237
2011-05-30,4250,4335,4120,4140,21968,-0.017793594306049876
2011-05-31,4005,4200,4005,4135,50181,-0.0012077294685990392
2011-06-01,4130,4220,4060,4060,45588,-0.01813784764207982
2011-06-02,4085,4085,3870,3935,48052,-0.030788177339901468
2011-06-03,3880,3990,3880,3935,20003,0.0
2011-06-07,3850,3980,3850,3860,9595,-0.019059720457433316
2011-06-08,3860,3960,3800,3875,16469,0.0038860103626943143
2011-06-09,3810,3990,3700,3990,73020,0.029677419354838808
2011-06-10,4020,4050,3775,3990,31461,0.0
2011-06-13,3990,4000,3760,3885,69692,-0.02631578947368418
2011-06-14,4050,4050,3850,3880,83505,-0.0012870012870013214
2011-06-15,3930,3960,3855,3855,16486,-0.006443298969072142
2011-06-16,3750,3885,3720,3785,19252,-0.01815823605706879
2011-06-17,3790,3855,3665,3665,29806,-0.031704095112285335
2011-06-20,3550,3665,3525,3600,41723,-0.017735334242837686
2011-06-21,3620,3650,3580,3600,12166,0.0
2011-06-22,3685,3895,3665,3840,26644,0.06666666666666665
2011-06-23,3880,3880,3765,3855,10275,0.00390625
2011-06-24,3920,3970,3825,3960,29157,0.027237354085603016
2011-06-27,4000,4035,3915,3925,24806,-0.008838383838383868
2011-06-28,3990,4000,3910,3940,15388,0.003821656050955413
2011-06-29,4000,4000,3880,3985,8910,0.011421319796954377
2011-06-30,4020,4020,3880,3975,10604,-0.0025094102885822034
2011-07-01,3990,4225,3980,4110,76503,0.03396226415094339
2011-07-04,4200,4200,4100,4115,26928,0.0012165450121655041
2011-07-05,4115,4185,4050,4130,30648,0.0036452004860267895
2011-07-06,4170,4170,4010,4100,10846,-0.007263922518159771
2011-07-07,4130,4130,3990,4030,21506,-0.017073170731707332
2011-07-08,4040,4045,3920,3975,12882,-0.013647642679900707
2011-07-11,3975,4060,3940,4020,20478,0.01132075471698113
2011-07-12,4060,4060,3930,3995,10060,-0.006218905472636815
2011-07-13,3970,4050,3970,3980,12028,-0.003754693366708417
2011-07-14,4000,4000,3910,3995,11952,0.0037688442211054607
2011-07-15,4050,4050,3900,3945,17283,-0.01251564455569465
2011-07-18,3960,4135,3905,4130,37348,0.04689480354879594
2011-07-19,4150,4300,4110,4185,30120,0.013317191283293006
2011-07-20,4200,4200,4100,4170,32676,-0.0035842293906810374
2011-07-21,4200,4395,4140,4300,110887,0.031175059952038398
2011-07-22,4340,4390,4235,4370,34937,0.016279069767441756
2011-07-25,4470,4500,4280,4350,37774,-0.004576659038901587
2011-07-26,4400,4400,4290,4370,42403,0.0045977011494253706
2011-07-27,4380,4540,4280,4390,102062,0.004576659038901587
2011-07-28,4490,4625,4350,4625,343670,0.05353075170842825
2011-07-29,4660,4870,4525,4550,192535,-0.01621621621621616
2011-08-01,4650,4670,4405,4570,46600,0.00439560439560438
2011-08-02,4500,4590,4300,4370,64064,-0.043763676148796504
2011-08-03,4265,4370,4140,4370,152339,0.0
2011-08-04,4405,4450,4280,4280,48575,-0.020594965675057253
2011-08-05,4000,4190,3820,3950,62199,-0.0771028037383178
