Date,Open,High,Low,Close,Volume,Change
2011-06-02,15300,17075,13275,15100,1483560,
2011-06-03,15500,16175,14250,14425,393428,-0.04470198675496684
2011-06-07,14249,14500,12350,13300,328377,-0.07798960138648181
2011-06-08,13250,13325,12275,12350,250172,-0.0714285714285714
2011-06-09,12574,14150,12574,13225,313576,0.07085020242914974
2011-06-10,13075,13300,12000,12025,126255,-0.09073724007561434
2011-06-13,11775,11900,10225,10325,320187,-0.14137214137214138
2011-06-14,10425,11150,10275,10425,192187,0.009685230024213176
2011-06-15,10575,11550,10300,10950,202713,0.050359712230215736
2011-06-16,10600,11150,10550,10850,87983,-0.0091324200913242
2011-06-17,11250,11700,10475,10575,161804,-0.025345622119815614
2011-06-20,10850,10850,9975,10100,103616,-0.044917257683215084
2011-06-21,10200,10750,9475,10325,174454,0.022277227722772297
2011-06-22,11050,11850,11050,11850,335790,0.14769975786924938
2011-06-23,12150,12625,11375,11675,441121,-0.014767932489451518
2011-06-24,11749,12500,11574,12225,320487,0.047109207708779355
2011-06-27,12050,14000,11900,13650,428425,0.1165644171779141
2011-06-28,13250,13350,12350,12375,228381,-0.09340659340659341
2011-06-29,12650,12724,11850,12075,98717,-0.024242424242424288
2011-06-30,12075,12225,11700,11875,74752,-0.0165631469979296
2011-07-01,12125,12750,12000,12600,124136,0.06105263157894747
2011-07-04,12700,12925,12425,12500,72539,-0.007936507936507908
2011-07-05,12325,12650,12275,12450,60085,-0.0040000000000000036
2011-07-06,12625,13650,12375,13250,276191,0.06425702811244971
2011-07-07,13425,13750,13125,13250,135188,0.0
2011-07-08,13100,13500,13000,13300,112250,0.0037735849056603765
2011-07-11,14200,14850,13650,14150,238670,0.06390977443609014
2011-07-12,13750,13900,13050,13550,99298,-0.04240282685512364
2011-07-13,13500,13750,13300,13750,48383,0.014760147601476037
2011-07-14,13550,13750,13100,13250,50071,-0.036363636363636376
2011-07-15,13000,13350,12950,13200,42700,-0.0037735849056603765
2011-07-18,13300,13850,13150,13800,66390,0.045454545454545414
2011-07-19,13700,14350,13650,14100,78513,0.021739130434782705
2011-07-20,14400,14400,13700,13900,62170,-0.014184397163120588
2011-07-21,13850,14000,13550,13550,43754,-0.025179856115107868
2011-07-22,13550,15400,13550,14650,172231,0.08118081180811809
2011-07-25,14750,15300,14300,14600,70897,-0.0034129692832765013
2011-07-26,14600,15800,14300,15350,288727,0.051369863013698724
2011-07-27,15750,16200,14700,14700,259138,-0.04234527687296419
2011-07-28,14100,14850,14000,14600,269940,-0.006802721088435382
2011-07-29,14350,15050,14200,14300,207944,-0.020547945205479423
2011-08-01,14700,14800,14250,14400,141841,0.006993006993007089
2011-08-02,14500,14550,13600,14000,136566,-0.02777777777777779
2011-08-03,13500,13850,13050,13050,168150,-0.06785714285714284
2011-08-04,13400,13650,12300,12350,138448,-0.05363984674329503
2011-08-05,11050,11700,10700,11450,217999,-0.07287449392712553
2011-08-08,11000,11900,9750,10050,318170,-0.12227074235807855
2011-08-09,10200,10250,8600,9500,200932,-0.05472636815920395
2011-08-10,10350,10900,10000,10900,95329,0.1473684210526316
2011-08-11,10900,12200,10850,11550,432868,0.059633027522935755
2011-08-12,12000,12350,11250,11550,247001,0.0
2011-08-16,12050,12900,12000,12600,217989,0.09090909090909083
2011-08-17,12550,14450,12200,14450,354038,0.14682539682539675
2011-08-18,15000,15700,13650,14600,557787,0.01038062283737018
2011-08-19,13850,14500,13400,13650,320812,-0.06506849315068497
2011-08-22,13700,14800,13700,14050,315429,0.0293040293040292
2011-08-23,14500,15300,14150,14450,543538,0.028469750889679624
2011-08-24,14800,14800,13500,13500,269534,-0.06574394463667821
2011-08-25,13800,14150,12550,12550,172862,-0.07037037037037042
2011-08-26,12650,13550,12650,13400,222202,0.06772908366533859
