Date,Open,High,Low,Close,Volume,Change
2011-01-03,3065,3110,3025,3075,105023,0.014851485148514865
2011-01-04,3080,3110,3015,3050,140773,-0.008130081300813052
2011-01-05,3070,3070,2980,3030,94802,-0.006557377049180357
2011-01-06,3045,3295,2975,3175,529051,0.04785478547854782
2011-01-07,3190,3240,3110,3200,155628,0.007874015748031482
2011-01-10,3260,3270,3180,3200,139235,0.0
2011-01-11,3220,3220,3130,3185,88176,-0.004687499999999956
2011-01-12,3200,3235,3130,3195,173141,0.0031397174254317317
2011-01-13,3195,3225,3070,3095,165563,-0.031298904538341166
2011-01-14,3090,3155,3035,3145,155108,0.016155088852988664
2011-01-17,3185,3185,3035,3055,153164,-0.02861685214626386
2011-01-18,3065,3120,3040,3080,110373,0.008183306055646433
2011-01-19,3080,3155,3050,3150,184013,0.022727272727272707
2011-01-20,3165,3620,3160,3620,4601966,0.14920634920634912
2011-01-21,3575,3980,3485,3770,5028042,0.04143646408839774
2011-01-24,3870,4245,3840,4005,4315478,0.06233421750663126
2011-01-25,4040,4055,3795,4000,1722970,-0.0012484394506866447
2011-01-26,4095,4425,3970,4250,3465864,0.0625
2011-01-27,4205,4225,4030,4080,955502,-0.040000000000000036
2011-01-28,4125,4350,3870,4010,2056393,-0.01715686274509809
2011-01-31,3880,4260,3810,4065,914062,0.013715710723191998
2011-02-01,4065,4260,4045,4100,814473,0.008610086100861114
2011-02-07,4195,4200,3980,3980,389057,-0.029268292682926855
2011-02-08,3965,4085,3800,3820,595420,-0.04020100502512558
2011-02-09,3825,4200,3825,4000,795941,0.04712041884816753
2011-02-10,4000,4050,3855,3900,293072,-0.025000000000000022
2011-02-11,3925,3960,3800,3835,223199,-0.01666666666666672
2011-02-14,3845,4155,3845,4110,534741,0.07170795306388533
2011-02-15,4220,4685,4140,4570,2919113,0.1119221411192215
2011-02-16,4575,4575,4355,4520,940667,-0.01094091903719907
2011-02-17,4550,4790,4350,4440,1712290,-0.017699115044247815
2011-02-18,4465,4690,4420,4640,897110,0.04504504504504503
2011-02-21,4675,4865,4575,4575,1170743,-0.014008620689655138
2011-02-22,4535,4550,4240,4250,731910,-0.07103825136612019
2011-02-23,4220,4370,4025,4025,461098,-0.05294117647058827
2011-02-24,4065,4095,3500,3800,860628,-0.05590062111801242
2011-02-25,3800,4055,3690,3885,540407,0.022368421052631593
2011-02-28,3980,4250,3980,4060,434588,0.04504504504504503
2011-03-02,3930,4185,3920,4060,408934,0.0
2011-03-03,4100,4295,4070,4295,437359,0.05788177339901468
2011-03-04,4340,4350,4195,4270,304062,-0.005820721769499437
2011-03-07,4310,4310,4185,4205,173235,-0.015222482435597207
2011-03-08,4240,4265,4015,4060,397449,-0.03448275862068961
2011-03-09,4100,4190,3965,4100,547683,0.009852216748768461
2011-03-10,4150,4150,3995,4030,271398,-0.017073170731707332
2011-03-11,3915,3995,3875,3975,265482,-0.013647642679900707
2011-03-14,3965,3965,3610,3700,352828,-0.0691823899371069
2011-03-15,3635,3775,3185,3370,461871,-0.08918918918918917
2011-03-16,3320,3575,3320,3520,312679,0.04451038575667665
2011-03-17,3370,3495,3265,3405,266530,-0.032670454545454586
2011-03-18,3470,3860,3430,3795,677894,0.1145374449339207
2011-03-21,3725,3905,3725,3765,251217,-0.007905138339920903
2011-03-22,3805,3805,3635,3670,210616,-0.025232403718459473
2011-03-23,3750,3900,3715,3730,299949,0.016348773841961872
2011-03-24,3800,4285,3750,4150,2279433,0.11260053619302957
2011-03-25,4150,4185,3975,3975,525430,-0.04216867469879515
2011-03-28,4030,4030,3820,3855,313301,-0.030188679245283012
2011-03-29,3850,3990,3815,3915,233179,0.015564202334630295
2011-03-30,3990,4070,3950,3995,274028,0.020434227330779153
2011-03-31,4045,4045,3870,3950,202462,-0.01126408010012514
2011-04-01,3950,4170,3865,4065,585613,0.029113924050632844
2011-04-04,4040,4135,4015,4045,328430,-0.004920049200492049
2011-04-05,4080,4175,4030,4140,312390,0.023485784919653918
2011-04-06,4240,4490,4105,4200,1241588,0.01449275362318847
2011-04-07,4225,4365,4160,4305,480019,0.02499999999999991
2011-04-08,4315,4460,4285,4290,363779,-0.0034843205574912606
2011-04-11,4285,4385,4215,4270,241341,-0.004662004662004615
2011-04-12,4295,4670,4275,4510,861444,0.0562060889929743
2011-04-13,4515,4575,4075,4165,1023927,-0.0764966740576497
2011-04-14,4175,4255,4060,4180,349294,0.0036014405762305746
2011-04-15,4230,4245,4095,4180,233665,0.0
2011-04-18,4190,4200,3850,3855,695376,-0.0777511961722488
2011-04-19,3785,3920,3700,3700,364810,-0.04020752269779504
2011-04-20,3740,3900,3740,3800,217798,0.027027027027026973
2011-04-21,3875,3930,3790,3830,199649,0.007894736842105177
2011-04-22,3960,4055,3670,3710,581337,-0.031331592689295085
2011-04-25,3755,3755,3590,3625,196687,-0.022911051212938016
2011-04-26,3595,3660,3435,3475,321649,-0.04137931034482756
2011-04-27,3475,3585,3470,3550,245499,0.021582733812949728
2011-04-28,3560,3675,3455,3490,133643,-0.016901408450704203
2011-04-29,3500,3610,3380,3600,222986,0.03151862464183375
2011-05-02,3610,3770,3575,3700,147385,0.02777777777777768
2011-05-03,3740,3740,3580,3590,81902,-0.02972972972972976
2011-05-04,3565,3645,3515,3550,75674,-0.011142061281337101
2011-05-06,3550,3595,3410,3430,110251,-0.033802816901408406
2011-05-09,3435,3500,3410,3435,63145,0.001457725947521915
2011-05-11,3440,3570,3440,3505,117406,0.020378457059679667
2011-05-12,3510,3545,3445,3470,78026,-0.0099857346647646
2011-05-13,3500,3550,3440,3530,120572,0.01729106628242083
2011-05-16,3550,3550,3440,3490,203855,-0.011331444759206777
2011-05-17,3400,3550,3400,3470,155916,-0.005730659025787954
2011-05-18,3475,3485,3255,3295,239745,-0.050432276657060515
2011-05-19,3350,3475,3250,3345,244565,0.015174506828528056
2011-05-20,3340,3420,3330,3345,123184,0.0
2011-05-23,3300,3385,3150,3150,105063,-0.058295964125560484
2011-05-24,3030,3230,3030,3170,104623,0.006349206349206327
2011-05-25,3130,3205,2900,2905,176807,-0.08359621451104104
2011-05-26,2950,3170,2950,3100,132773,0.06712564543889843
2011-05-27,3185,3185,3055,3105,69485,0.001612903225806539
2011-05-30,3070,3475,3070,3330,569726,0.07246376811594213
2011-05-31,3275,3350,3230,3350,126836,0.006006006006006093
2011-06-01,3405,3425,3180,3250,173874,-0.02985074626865669
