Date,Open,High,Low,Close,Volume,Change
2011-01-03,592,598,588,594,66660,0.0033783783783782884
2011-01-04,597,605,593,600,218709,0.010101010101010166
2011-01-05,600,604,596,600,191841,0.0
2011-01-06,606,606,597,599,112047,-0.0016666666666667052
2011-01-07,598,601,590,590,255234,-0.015025041736227096
2011-01-10,589,594,588,589,224110,-0.0016949152542372614
2011-01-11,592,592,585,587,149320,-0.00339558573853993
2011-01-12,587,590,585,587,101610,0.0
2011-01-13,590,645,586,614,913115,0.04599659284497437
2011-01-14,614,618,606,612,90695,-0.0032573289902280145
2011-01-17,612,620,602,602,183287,-0.016339869281045805
2011-01-18,606,606,598,602,74003,0.0
2011-01-19,600,606,600,605,180298,0.004983388704318914
2011-01-20,607,617,602,615,191000,0.016528925619834656
2011-01-21,617,617,609,612,109400,-0.004878048780487809
2011-01-24,612,620,608,613,179370,0.0016339869281045694
2011-01-25,613,615,604,608,128650,-0.00815660685154973
2011-01-26,603,612,603,607,142562,-0.00164473684210531
2011-01-27,609,616,602,609,367060,0.0032948929159801743
2011-01-28,610,615,601,614,169260,0.008210180623973828
2011-01-31,609,615,605,605,146710,-0.014657980456026065
2011-02-01,608,674,605,622,2059551,0.028099173553719048
2011-02-07,629,670,629,650,1161490,0.045016077170418
2011-02-08,651,658,635,650,424172,0.0
2011-02-09,645,656,644,651,320130,0.0015384615384614886
2011-02-10,651,688,648,660,989251,0.01382488479262678
2011-02-11,671,671,643,645,247101,-0.022727272727272707
2011-02-14,645,649,628,636,361679,-0.013953488372092981
2011-02-15,636,638,629,637,100650,0.0015723270440251014
2011-02-16,626,640,625,637,108770,0.0
2011-02-17,637,637,615,631,232400,-0.009419152276295084
2011-02-18,628,636,618,627,133390,-0.006339144215530945
2011-02-21,627,629,621,627,126710,0.0
2011-02-22,627,627,609,609,356381,-0.028708133971291905
2011-02-23,600,613,600,608,87969,-0.0016420361247947435
2011-02-24,607,628,600,610,108920,0.00328947368421062
2011-02-25,605,637,605,625,109456,0.024590163934426146
2011-02-28,624,634,613,629,102894,0.006399999999999961
2011-03-02,629,630,611,613,152230,-0.025437201907790197
2011-03-03,623,627,611,617,96161,0.006525285481239873
2011-03-04,618,634,616,624,153711,0.011345218800648205
2011-03-07,625,625,609,619,178332,-0.008012820512820484
2011-03-08,618,618,609,613,189190,-0.009693053311793265
2011-03-09,613,622,612,616,73660,0.004893964110929794
2011-03-10,620,620,608,610,83662,-0.009740259740259716
2011-03-11,615,615,603,608,104190,-0.003278688524590123
2011-03-14,601,616,598,605,117812,-0.004934210526315819
2011-03-15,597,609,564,573,233800,-0.05289256198347103
2011-03-16,564,597,564,580,68510,0.01221640488656206
2011-03-17,562,580,556,580,118320,0.0
2011-03-18,583,594,580,585,80631,0.008620689655172376
2011-03-21,590,603,585,598,82880,0.022222222222222143
2011-03-22,595,610,592,605,56100,0.0117056856187292
2011-03-23,605,605,597,598,61739,-0.011570247933884281
2011-03-24,600,605,597,601,38221,0.0050167224080268635
2011-03-25,604,605,597,603,89070,0.0033277870216306127
2011-03-28,608,608,594,606,95430,0.004975124378109541
2011-03-29,606,607,601,602,119501,-0.0066006600660065695
2011-03-30,602,612,601,603,66410,0.0016611295681063787
2011-03-31,605,610,602,607,138050,0.0066334991708125735
2011-04-01,608,608,603,606,56621,-0.0016474464579900872
2011-04-04,615,615,603,609,105240,0.004950495049504955
2011-04-05,610,610,604,608,136660,-0.0016420361247947435
2011-04-06,609,619,606,610,121281,0.00328947368421062
2011-04-07,611,619,606,613,165830,0.004918032786885185
2011-04-08,617,617,607,610,140280,-0.004893964110929905
2011-04-11,610,611,607,610,90066,0.0
2011-04-12,610,610,605,607,98072,-0.004918032786885296
2011-04-13,609,613,607,610,133554,0.0049423393739702615
2011-04-14,613,626,608,620,515247,0.016393442622950838
2011-04-15,625,630,615,616,311863,-0.006451612903225823
2011-04-18,617,660,616,647,871430,0.05032467532467533
2011-04-19,650,699,628,631,2003267,-0.02472952086553326
2011-04-20,645,645,617,621,635338,-0.015847860538827252
2011-04-21,622,625,615,619,249145,-0.0032206119162641045
2011-04-22,620,627,615,623,201686,0.00646203554119551
2011-04-25,625,639,618,634,228060,0.017656500802568198
2011-04-26,634,689,634,660,2205008,0.04100946372239744
2011-04-27,661,664,647,648,751970,-0.018181818181818188
2011-04-28,647,655,630,636,222010,-0.01851851851851849
2011-04-29,631,639,624,626,214430,-0.01572327044025157
2011-05-02,618,639,618,632,368780,0.009584664536741228
2011-05-03,631,635,626,629,116820,-0.004746835443038
2011-05-04,633,657,628,643,232831,0.022257551669316422
2011-05-06,642,659,640,650,280880,0.010886469673405896
2011-05-09,657,660,645,651,368042,0.0015384615384614886
2011-05-11,650,656,638,640,205582,-0.016897081413210446
2011-05-12,637,646,634,636,130042,-0.006249999999999978
2011-05-13,640,647,637,645,97720,0.014150943396226356
2011-05-16,656,656,637,644,108740,-0.0015503875968991832
2011-05-17,644,644,587,606,654680,-0.05900621118012417
2011-05-18,608,622,608,616,246544,0.01650165016501659
2011-05-19,619,619,599,604,237504,-0.01948051948051943
2011-05-20,605,610,596,606,69352,0.0033112582781456013
2011-05-23,601,606,584,584,320260,-0.0363036303630363
2011-05-24,580,598,580,589,129430,0.008561643835616417
2011-05-25,585,593,581,584,162362,-0.008488964346349714
2011-05-26,596,598,584,598,72090,0.023972602739726012
2011-05-27,600,600,586,596,69760,-0.0033444816053511683
2011-05-30,598,599,584,584,84142,-0.020134228187919434
2011-05-31,592,593,583,587,47214,0.005136986301369939
2011-06-01,592,592,582,582,95560,-0.008517887563884163
2011-06-02,585,585,563,573,156174,-0.015463917525773141
2011-06-03,579,580,564,567,135311,-0.010471204188481686
2011-06-07,557,570,549,550,122402,-0.029982363315696703
2011-06-08,553,559,540,553,99330,0.005454545454545379
2011-06-09,550,556,550,552,51591,-0.001808318264014508
2011-06-10,552,557,548,556,64550,0.007246376811594235
2011-06-13,558,559,550,552,63810,-0.007194244604316502
2011-06-14,549,556,549,549,30490,-0.005434782608695676
2011-06-15,548,557,545,554,64390,0.00910746812386165
2011-06-16,553,553,541,543,63159,-0.019855595667869985
2011-06-17,543,545,520,542,110280,-0.0018416206261510082
2011-06-20,535,549,535,539,91121,-0.005535055350553542
2011-06-21,540,550,539,542,141060,0.005565862708719838
2011-06-22,549,549,541,543,22997,0.0018450184501845879
2011-06-23,540,546,536,540,70990,-0.0055248618784530246
2011-06-24,549,556,542,550,90500,0.0185185185185186
2011-06-27,550,599,547,565,133292,0.027272727272727337
2011-06-28,573,575,565,573,93340,0.014159292035398341
2011-06-29,581,594,574,594,163252,0.03664921465968596
2011-06-30,598,601,591,599,173420,0.008417508417508435
2011-07-01,610,610,596,598,104524,-0.0016694490818029983
2011-07-04,600,602,591,598,75070,0.0
2011-07-05,595,597,584,589,186310,-0.015050167224080258
2011-07-06,590,595,588,594,42250,0.008488964346349714
2011-07-07,591,608,591,606,161480,0.02020202020202011
2011-07-08,606,615,606,614,143820,0.013201320132013139
2011-07-11,613,613,599,601,133520,-0.021172638436482094
2011-07-12,601,648,599,603,208220,0.0033277870216306127
2011-07-13,605,617,603,614,97172,0.018242122719734688
2011-07-14,612,615,597,602,71423,-0.019543973941368087
2011-07-15,599,610,598,607,95120,0.008305647840531671
2011-07-18,610,615,607,615,73700,0.01317957166392092
2011-07-19,615,615,606,615,75882,0.0
2011-07-20,619,633,610,633,355370,0.029268292682926855
2011-07-21,634,634,625,625,60253,-0.012638230647709303
2011-07-22,629,631,619,620,134460,-0.008000000000000007
2011-07-25,621,626,617,622,183183,0.003225806451612856
2011-07-26,627,634,621,628,154000,0.009646302250803762
2011-07-27,630,632,624,632,187294,0.006369426751592355
2011-07-28,628,639,619,639,313860,0.011075949367088667
2011-07-29,635,640,630,637,81727,-0.003129890453834161
2011-08-01,637,637,620,631,288840,-0.009419152276295084
2011-08-02,628,635,615,627,201582,-0.006339144215530945
2011-08-03,627,627,606,609,175184,-0.028708133971291905
2011-08-04,609,619,602,602,104524,-0.011494252873563204
2011-08-05,591,591,543,574,151216,-0.046511627906976716
2011-08-08,561,572,488,492,688384,-0.1428571428571429
2011-08-09,440,478,436,461,776956,-0.0630081300813008
2011-08-10,476,525,476,525,416556,0.1388286334056399
2011-08-11,490,529,480,528,115561,0.005714285714285783
2011-08-12,534,550,530,539,181630,0.02083333333333326
2011-08-16,537,565,533,554,209150,0.027829313543599188
2011-08-17,554,560,539,550,164640,-0.0072202166064981865
2011-08-18,553,555,540,547,156228,-0.00545454545454549
2011-08-19,530,543,525,531,159245,-0.029250457038391242
2011-08-22,512,549,512,530,104082,-0.0018832391713747842
2011-08-23,523,550,523,541,99646,0.020754716981132182
2011-08-24,555,555,536,545,109170,0.007393715341959428
2011-08-25,547,547,525,542,141280,-0.0055045871559632475
2011-08-26,542,543,531,533,60669,-0.016605166051660514
2011-08-29,537,539,534,535,32002,0.0037523452157599557
2011-08-30,538,540,535,537,34885,0.0037383177570093906
2011-08-31,537,544,537,544,64170,0.013035381750465591
2011-09-01,549,560,546,553,117650,0.016544117647058876
2011-09-02,560,562,550,550,72380,-0.005424954792043413
2011-09-05,548,552,540,546,115420,-0.0072727272727273196
2011-09-06,533,544,525,532,59560,-0.02564102564102566
2011-09-07,534,557,533,550,150821,0.03383458646616533
2011-09-08,555,555,540,550,33160,0.0
2011-09-09,551,553,535,544,53620,-0.010909090909090868
2011-09-14,553,553,520,520,171692,-0.044117647058823484
2011-09-15,522,538,511,522,119450,0.0038461538461538325
2011-09-16,522,537,522,536,43505,0.026819923371647514
2011-09-19,536,539,529,529,14700,-0.013059701492537323
2011-09-20,530,538,520,531,57395,0.003780718336483968
2011-09-21,535,535,523,531,20500,0.0
2011-09-22,526,530,520,529,64110,-0.0037664783427495685
2011-09-23,516,530,490,505,174154,-0.04536862003780717
2011-09-26,505,510,471,473,108656,-0.06336633663366331
2011-09-27,482,495,473,495,78443,0.04651162790697683
2011-09-28,505,505,492,495,31121,0.0
2011-09-29,499,503,486,502,49881,0.014141414141414232
2011-09-30,500,504,498,502,45889,0.0
2011-10-04,500,500,474,477,140740,-0.04980079681274896
2011-10-05,479,490,456,465,113000,-0.02515723270440251
2011-10-06,466,501,466,500,326970,0.07526881720430101
2011-10-07,500,522,497,510,266642,0.020000000000000018
2011-10-10,504,520,504,515,12760,0.009803921568627416
2011-10-11,517,520,516,519,26175,0.007766990291262044
2011-10-12,519,521,511,519,46557,0.0
2011-10-13,519,525,516,523,80532,0.007707129094412402
2011-10-14,520,526,509,517,34800,-0.01147227533460804
2011-10-17,519,520,511,519,70582,0.003868471953578423
2011-10-18,519,519,509,509,107200,-0.019267822736030782
2011-10-19,510,517,504,509,44410,0.0
2011-10-20,506,519,500,503,85395,-0.011787819253438081
2011-10-21,506,513,501,508,71067,0.00994035785288272
2011-10-24,515,518,501,504,85430,-0.007874015748031482
2011-10-25,510,510,503,508,39085,0.007936507936507908
2011-10-26,510,511,501,507,41360,-0.0019685039370078705
2011-10-27,507,519,504,517,72050,0.019723865877712132
2011-10-28,523,524,513,517,62750,0.0
2011-10-31,512,519,490,512,176089,-0.009671179883945835
2011-11-01,510,510,500,509,13253,-0.005859375
2011-11-02,508,508,495,507,167069,-0.003929273084479323
2011-11-03,505,507,503,505,29690,-0.0039447731755424265
2011-11-04,505,520,505,518,178735,0.025742574257425765
2011-11-07,514,522,513,517,52064,-0.0019305019305019266
2011-11-08,517,535,514,528,208366,0.02127659574468077
2011-11-09,529,537,527,527,124650,-0.0018939393939394478
2011-11-10,519,521,508,514,65323,-0.024667931688804545
2011-11-11,533,533,514,516,56670,0.0038910505836575737
2011-11-14,527,538,519,538,190593,0.04263565891472876
2011-11-15,537,562,531,548,450880,0.018587360594795488
2011-11-16,545,564,545,555,220962,0.012773722627737127
2011-11-17,554,559,538,549,121400,-0.010810810810810811
2011-11-18,541,554,541,551,31880,0.0036429872495447047
2011-11-21,542,557,537,548,28350,-0.005444646098003658
2011-11-22,547,552,535,550,45100,0.0036496350364962904
2011-11-23,557,629,532,567,733611,0.030909090909090997
2011-11-24,561,572,539,545,184991,-0.03880070546737213
2011-11-25,536,553,531,543,107293,-0.003669724770642202
2011-11-28,549,585,537,560,116232,0.03130755064456725
2011-11-29,565,619,553,575,400454,0.02678571428571419
2011-11-30,580,614,575,606,211310,0.05391304347826087
2011-12-01,618,618,595,595,105761,-0.018151815181518205
2011-12-02,608,610,589,590,86480,-0.008403361344537785
2011-12-05,600,600,570,590,113909,0.0
2011-12-06,599,602,578,600,126191,0.016949152542372836
2011-12-07,600,602,584,592,221088,-0.013333333333333308
2011-12-08,593,608,581,600,85320,0.013513513513513598
2011-12-09,599,638,599,628,601791,0.046666666666666634
2011-12-12,640,640,616,626,142261,-0.0031847133757961776
2011-12-13,624,624,590,611,307150,-0.02396166134185307
2011-12-14,611,612,598,600,83550,-0.018003273322422242
2011-12-15,601,602,590,601,130264,0.0016666666666667052
2011-12-16,603,610,601,607,35092,0.009983361064891838
2011-12-19,607,608,544,596,295290,-0.018121911037891292
2011-12-20,597,602,580,600,117510,0.006711409395973256
2011-12-21,600,619,598,604,122742,0.006666666666666599
2011-12-22,603,609,601,604,105564,0.0
2011-12-23,606,607,604,606,117930,0.0033112582781456013
2011-12-26,607,608,599,608,121728,0.0033003300330032292
2011-12-27,607,610,599,610,169556,0.00328947368421062
2011-12-28,599,615,599,612,82529,0.003278688524590123
2011-12-29,612,612,595,604,149527,-0.013071895424836555
2012-01-02,598,605,596,602,46641,-0.0033112582781457123
2012-01-03,598,600,580,597,175430,-0.00830564784053156
2012-01-04,599,599,576,583,274392,-0.02345058626465657
2012-01-05,583,593,577,585,85933,0.0034305317324185847
2012-01-06,589,589,580,587,44050,0.0034188034188034067
2012-01-09,576,590,576,587,28368,0.0
2012-01-10,588,593,580,588,136671,0.0017035775127767216
2012-01-11,590,594,585,585,91850,-0.005102040816326481
2012-01-12,588,591,578,586,64262,0.0017094017094017033
2012-01-13,584,597,580,592,285631,0.010238907849829282
2012-01-16,586,594,579,579,122441,-0.02195945945945943
2012-01-17,580,590,576,583,60731,0.006908462867012188
2012-01-18,582,600,580,590,173490,0.012006861063464935
2012-01-19,586,597,584,594,112271,0.006779661016949046
