Date,Open,High,Low,Close,Volume,Change
2011-01-03,487176,496512,470053,491848,419969,0.009583746425851691
2011-01-04,493402,496510,479394,482509,266828,-0.01898757339665913
2011-01-05,488730,499624,460714,482509,476963,0.0
2011-01-06,485608,485608,465385,470058,316338,-0.02580470001595825
2011-01-07,465385,476279,442034,454492,625975,-0.03311506239655537
2011-01-10,454483,460711,448260,459162,233541,0.010275208364503685
2011-01-11,460712,460712,440474,457605,233418,-0.003390960053314518
2011-01-12,457597,460712,446704,457605,233051,0.0
2011-01-13,459160,476283,454488,474727,446044,0.037416549207285765
2011-01-14,480942,485615,471606,485622,303252,0.022950032334373205
2011-01-17,485619,487176,473167,476283,188859,-0.019231006832474695
2011-01-18,479394,479394,452928,452936,276023,-0.04901917557418589
2011-01-19,452928,473166,452928,466945,263227,0.030929314516841222
2011-01-20,471608,536985,462272,536986,1483273,0.14999839381511748
2011-01-21,538532,552541,522973,529203,991615,-0.014493860175125661
2011-01-24,530755,538533,516747,526090,391911,-0.00588243074963668
2011-01-25,532313,569665,526083,538543,1216539,0.02367085479670772
2011-01-26,535427,552542,524526,552551,406944,0.026010922061933783
2011-01-27,554098,561884,543204,543212,287856,-0.016901607272450825
2011-01-28,549433,549433,533868,543212,233054,0.0
2011-01-31,546324,554103,535430,546325,273336,0.005730727598064922
2011-02-01,550996,571226,544766,560333,651403,0.025640415503592084
2011-02-07,566553,580562,555660,575898,382021,0.027778124793649495
2011-02-08,575897,610137,571226,588350,643975,0.0216218844309235
2011-02-09,591460,596125,569666,594575,295192,0.010580436814821015
2011-02-10,591463,633487,591463,631931,837311,0.0628280704705042
2011-02-11,647491,669279,594566,613254,1107169,-0.029555441970721463
2011-02-14,622582,628811,607024,627262,345943,0.02284208500882179
2011-02-15,625699,627256,580560,608585,467162,-0.0297754367393529
2011-02-16,605467,622582,591458,613254,261889,0.0076718946408471655
2011-02-17,617919,642821,608576,624149,492306,0.01776588493511655
2011-02-18,631926,642820,627255,639714,261345,0.024937955520236255
2011-02-21,639706,645935,631926,639714,185730,0.0
2011-02-22,638150,638150,610133,622593,230673,-0.026763522449094412
2011-02-23,613245,622582,600795,613254,223171,-0.015000168649502932
2011-02-24,622584,630371,605468,608585,261031,-0.007613484787706182
2011-02-25,610131,621033,600795,611697,175883,0.005113500990001407
2011-02-28,616365,647496,611693,645940,489157,0.05598033013076731
2011-03-02,653714,734656,652157,711312,1319602,0.1012044462333963
2011-03-03,711301,726874,698858,715981,603012,0.006563926940639231
2011-03-04,717533,770444,705075,768902,685443,0.07391397257748467
2011-03-07,759559,781346,758002,765789,520478,-0.004048630384626439
2011-03-08,767336,793795,751763,756450,573366,-0.012195265275421807
2011-03-09,764221,775115,726868,756450,454700,0.0
2011-03-10,768893,790681,759556,784466,552627,0.037036155727411035
2011-03-11,779791,793799,761118,775128,340285,-0.011903638908505876
2011-03-14,765783,770448,703528,747111,709888,-0.036144997987429206
2011-03-15,778231,807805,706639,767345,1064334,0.027082990345477453
2011-03-16,767337,773565,743992,768902,461917,0.0020290742755866287
2011-03-17,753329,800019,748665,781354,820785,0.016194521538505535
2011-03-18,784461,814034,781346,809370,730337,0.03585570688829898
2011-03-21,812476,824927,798468,824935,507243,0.019231006832474584
2011-03-22,824932,851391,812480,829605,545728,0.005661052082891471
2011-03-23,824928,840493,807805,809370,405739,-0.024391125897264332
2011-03-24,817152,831160,801586,831161,464997,0.026923409565464462
2011-03-25,831157,835822,792240,793805,601654,-0.044944360960150975
2011-03-28,778236,798473,675513,715981,3909027,-0.09803919098519154
2011-03-29,723753,745541,677064,728433,1750468,0.017391522959408157
2011-03-30,728426,747099,717533,726876,552827,-0.0021374649418683944
2011-03-31,715976,745550,701967,739328,554358,0.01713084487587979
2011-04-01,740880,831158,739322,806257,1380707,0.09052680271814406
2011-04-04,814030,826489,795357,803144,453658,-0.003861051749008082
2011-04-05,809362,809362,787574,795362,335224,-0.009689420577131846
2011-04-06,798468,835820,784460,796918,966354,0.001956341892119573
2011-04-07,801583,818705,781346,781354,363674,-0.019530240250565267
2011-04-08,789128,795349,729987,747111,1004858,-0.04382520598857875
2011-04-11,734661,773571,715981,758007,703696,0.01458417825463676
2011-04-12,758001,772009,748665,767345,348167,0.012319147448506484
2011-04-13,767338,768895,754887,765789,265746,-0.0020277710808045413
2011-04-14,770453,773568,742437,764232,310206,-0.0020331971339363486
2011-04-15,764226,807808,753332,803144,695249,0.05091647562520274
2011-04-18,809363,848280,795355,821822,1266444,0.02325610351319307
2011-04-19,818708,824930,793799,818709,460473,-0.0037879248791100606
2011-04-20,834274,863841,818708,846726,808597,0.03422095030102268
2011-04-21,859176,926103,842053,902759,1239957,0.06617607112572421
2011-04-22,893414,932331,814036,862290,1483064,-0.04482813242515449
2011-04-25,874742,930775,871627,930776,756859,0.0794233958413062
2011-04-26,930773,972798,916765,947897,1009865,0.018394329032978884
2011-04-27,952562,958791,919874,930776,387077,-0.018062089024440398
2011-04-28,927656,935435,884074,926106,412845,-0.005017318882308941
2011-04-29,918320,935435,904312,924550,221653,-0.0016801532437971112
2011-05-02,921431,932332,894972,916767,267944,-0.008418149369963768
2011-05-03,908978,913650,876297,905872,248809,-0.011884153770805428
2011-05-04,915210,936997,884079,915211,343111,0.010309403536040485
2011-05-06,902753,902753,849828,854508,359736,-0.06632678147443594
2011-05-09,842050,852943,806247,810926,394216,-0.05100244819241018
2011-05-11,824931,859177,812480,845169,310524,0.042227034279330056
2011-05-12,828046,857621,821817,857621,251963,0.014733148044947297
2011-05-13,866956,927661,843611,915211,572042,0.06715087433726552
2011-05-16,913653,919875,885637,899646,214568,-0.017007007127318174
2011-05-17,891860,898088,880966,884081,131018,-0.01730124960262147
2011-05-18,870066,910534,863837,910542,391182,0.029930515416573877
2011-05-19,927659,938552,905864,905872,614788,-0.005128813388069919
2011-05-20,902755,916763,879403,908985,215870,0.003436467845346902
2011-05-23,910538,910538,846724,846726,277800,-0.06849287942045246
2011-05-24,824932,877851,824932,871629,181398,0.029410931044989708
2011-05-25,871622,880959,740877,740885,1412718,-0.14999959845301158
2011-05-26,745554,807809,739325,801588,941482,0.08193309353003508
2011-05-27,832713,891853,824927,840500,1051366,0.048543640872867444
2011-05-30,874738,902754,778230,810926,1313761,-0.035186198691255166
2011-05-31,828041,851386,809361,840500,1162048,0.03646941891122002
2011-06-01,840496,849832,772012,790692,624225,-0.05925996430696012
2011-06-02,748667,772012,683291,745554,1179363,-0.057086703798697847
2011-06-03,731544,762675,687962,706642,699231,-0.0521920612054928
2011-06-07,700412,715978,602355,607028,1902751,-0.14096812813277448
2011-06-08,607025,625698,582115,625706,1499872,0.030769585587485215
2011-06-09,627259,677063,616365,659948,970975,0.05472538220825762
2011-06-10,666168,672396,613249,621036,647027,-0.05896222126591788
2011-06-13,607030,607030,530759,530760,1295245,-0.14536355380364419
2011-06-14,536982,591458,536982,571229,1114811,0.07624726806843007
2011-06-15,575897,602355,569667,577454,565426,0.010897555971423056
2011-06-16,566552,616364,555658,593019,919369,0.02695452797971787
2011-06-17,610136,619479,586791,602358,482094,0.015748230663773066
2011-06-20,610137,611694,560332,560333,448343,-0.06976748046842574
2011-06-21,565003,586791,530757,561890,740367,0.0027787048058922625
2011-06-22,568106,579007,541647,557220,442829,-0.008311235295164532
2011-06-23,557216,571224,540093,563446,399135,0.011173324719141453
2011-06-24,564999,602351,557212,600801,630626,0.06629739140929214
2011-06-27,600794,610131,586785,600801,424187,0.0
2011-06-28,607028,610136,575897,575898,323851,-0.041449664697628674
2011-06-29,585234,588349,554103,574341,479318,-0.0027036037631663623
2011-06-30,575898,579013,541653,544769,790905,-0.051488575602299025
2011-07-01,549439,565005,538539,544769,886159,0.0
2011-07-04,554098,585229,549433,585237,787555,0.07428469681644878
2011-07-05,580557,600795,577449,585237,516751,0.0
2011-07-06,594570,597684,569667,591463,459040,0.010638425116662242
2011-07-07,596122,633482,586785,628819,1017074,0.06315864221430578
2011-07-08,631929,635044,616364,619480,519703,-0.014851650474937972
2011-07-11,624139,647490,611688,628819,678484,0.0150755472331634
2011-07-12,610137,617923,586792,588350,658346,-0.06435715205806436
2011-07-13,594567,610132,586788,610141,350059,0.03703747769185006
2011-07-14,599243,600800,557218,574341,651745,-0.05867496201697642
2011-07-15,565001,585232,563444,580567,420306,0.010840249956036496
2011-07-18,586785,586785,564998,572785,427801,-0.01340413767919979
2011-07-19,568109,616363,566551,608585,862548,0.06250163673978903
2011-07-20,619477,627257,596126,607028,692158,-0.0025583936508458693
2011-07-21,616360,658384,616360,656835,1636326,0.08205058086282668
2011-07-22,661504,681727,652160,661504,989539,0.007108330098122062
2011-07-25,653718,666169,630374,631931,655092,-0.04470570094814241
2011-07-26,631926,667722,617918,667730,674917,0.0566501722498185
2011-07-27,669282,680176,656831,663061,464880,-0.006992347206206118
2011-07-28,638148,661499,636590,655278,381023,-0.011737984891284525
2011-07-29,673955,678627,633487,645940,558817,-0.014250440271152076
