Date,Open,High,Low,Close,Volume,Change
2011-01-03,744,789,741,757,369818,0.0257452574525745
2011-01-04,757,765,735,755,102685,-0.0026420079260237594
2011-01-05,755,760,725,725,158815,-0.039735099337748325
2011-01-06,722,749,714,728,172456,0.004137931034482678
2011-01-07,728,747,712,712,92291,-0.02197802197802201
2011-01-10,712,732,712,715,149047,0.004213483146067398
2011-01-11,715,725,700,715,78468,0.0
2011-01-12,711,721,710,711,94556,-0.005594405594405605
2011-01-13,712,730,712,722,82070,0.015471167369901506
2011-01-14,722,725,711,722,20565,0.0
2011-01-17,722,722,714,716,105897,-0.008310249307479256
2011-01-18,709,730,709,720,86499,0.005586592178770999
2011-01-19,710,725,710,715,42254,-0.00694444444444442
2011-01-20,712,742,712,732,116242,0.023776223776223793
2011-01-21,733,768,727,740,155841,0.010928961748633892
2011-01-24,745,746,728,732,84442,-0.010810810810810811
2011-01-25,744,745,730,736,136340,0.005464480874316946
2011-01-26,740,797,728,759,324623,0.03125
2011-01-27,772,855,750,800,672362,0.05401844532279321
2011-01-28,808,822,773,773,271215,-0.03374999999999995
2011-01-31,770,770,735,747,231138,-0.03363518758085382
2011-02-01,737,757,736,741,46430,-0.008032128514056214
2011-02-07,757,776,734,759,26258,0.02429149797570851
2011-02-08,759,760,736,759,69083,0.0
2011-02-09,745,759,670,726,101117,-0.04347826086956519
2011-02-10,742,742,710,719,37923,-0.009641873278236957
2011-02-11,719,719,691,716,46153,-0.004172461752433909
2011-02-14,701,720,699,699,47370,-0.023743016759776525
2011-02-15,699,721,699,708,73284,0.012875536480686733
2011-02-16,708,740,708,732,43534,0.03389830508474567
2011-02-17,726,732,708,713,38221,-0.025956284153005438
2011-02-18,721,730,703,710,35974,-0.0042075736325385416
2011-02-21,717,729,690,690,25218,-0.028169014084507005
2011-02-22,708,708,675,683,57015,-0.010144927536231862
2011-02-23,683,725,681,725,81546,0.061493411420205035
2011-02-24,739,739,712,725,44368,0.0
2011-02-25,728,760,715,756,78905,0.04275862068965508
2011-02-28,769,769,728,728,39869,-0.03703703703703709
2011-03-02,705,735,705,728,44573,0.0
2011-03-03,735,737,708,729,12537,0.0013736263736263687
2011-03-04,729,734,718,723,42389,-0.008230452674897082
2011-03-07,734,734,701,732,21577,0.012448132780082943
2011-03-08,732,745,726,732,59839,0.0
2011-03-09,740,740,720,725,51842,-0.0095628415300546
2011-03-10,735,735,714,730,14115,0.006896551724137945
2011-03-11,730,730,705,716,19581,-0.019178082191780854
2011-03-14,722,722,684,696,21858,-0.027932960893854775
2011-03-15,720,720,592,650,190625,-0.06609195402298851
2011-03-16,643,677,643,653,64165,0.004615384615384688
2011-03-17,665,665,633,652,60023,-0.0015313935681470214
2011-03-18,654,670,644,644,33741,-0.012269938650306789
2011-03-21,648,675,648,666,27379,0.03416149068322971
2011-03-22,671,672,660,665,55952,-0.0015015015015015232
2011-03-23,687,687,647,649,33511,-0.024060150375939893
2011-03-24,650,662,638,638,68845,-0.016949152542372836
2011-03-25,638,651,634,649,53759,0.01724137931034475
2011-03-28,648,659,641,658,21169,0.013867488443759735
2011-03-29,659,660,651,660,10323,0.003039513677811634
2011-03-30,660,667,651,657,30291,-0.004545454545454519
2011-03-31,667,668,655,667,19767,0.015220700152207112
2011-04-01,672,672,655,660,31566,-0.010494752623688153
2011-04-04,663,669,656,668,12031,0.0121212121212122
2011-04-05,643,680,643,670,29298,0.0029940119760478723
2011-04-06,677,677,645,666,61951,-0.005970149253731294
2011-04-07,676,688,658,664,43075,-0.0030030030030030463
2011-04-08,670,683,655,683,46259,0.028614457831325213
2011-04-11,681,690,660,686,28184,0.004392386530014614
2011-04-12,687,687,670,680,44985,-0.008746355685131157
2011-04-13,680,690,673,685,28666,0.007352941176470562
2011-04-14,688,688,670,671,14228,-0.020437956204379604
2011-04-15,690,690,671,675,25763,0.005961251862891315
2011-04-18,670,687,652,671,30045,-0.00592592592592589
2011-04-19,671,677,653,668,26046,-0.0044709388971684305
2011-04-20,668,669,650,663,82809,-0.007485029940119792
2011-04-21,663,665,645,648,95545,-0.022624434389140302
