Date,Open,High,Low,Close,Volume,Change
2018-10-26,9000,11700,8470,11700,15149648,
2018-10-29,12450,14750,10350,11950,16609357,0.02136752136752129
2018-10-30,12000,13700,11850,12300,7440381,0.029288702928870203
2018-10-31,12750,13050,11100,11250,3109920,-0.08536585365853655
2018-11-01,11200,11650,10600,11350,2371212,0.008888888888888946
2018-11-02,11900,12700,11350,11700,3206512,0.03083700440528636
2018-11-05,11850,13300,11600,13300,3402824,0.1367521367521367
2018-11-06,13150,14300,12600,13750,4382804,0.03383458646616533
2018-11-07,13600,15350,13150,13900,4589180,0.01090909090909098
2018-11-08,14450,14900,13900,14250,1682474,0.02517985611510798
2018-11-09,14250,14650,13150,14300,2137809,0.0035087719298245723
2018-11-12,14100,14200,13500,13550,930340,-0.05244755244755239
2018-11-13,12950,13300,12400,13200,1287461,-0.02583025830258301
2018-11-14,13000,13150,12200,12250,898247,-0.07196969696969702
2018-11-15,12250,13250,12100,12700,913518,0.03673469387755102
2018-11-16,12650,12700,11650,11650,721642,-0.08267716535433067
2018-11-19,11850,12000,10800,11050,1053004,-0.05150214592274682
2018-11-20,10800,11700,10650,11450,983295,0.03619909502262453
2018-11-21,11150,11300,10750,11000,648124,-0.0393013100436681
2018-11-22,11200,11350,10050,10100,819809,-0.08181818181818179
2018-11-23,10050,10900,9910,10550,865146,0.044554455445544594
2018-11-26,10450,10800,10250,10450,375025,-0.009478672985781977
2018-11-27,10500,11250,10500,10800,1053931,0.03349282296650724
2018-11-28,10800,10850,10500,10500,387696,-0.02777777777777779
2018-11-29,10600,10900,10450,10650,484886,0.014285714285714235
2018-11-30,11050,11550,10550,10650,940198,0.0
2018-12-03,10800,10800,10250,10450,459774,-0.018779342723004744
2018-12-04,10550,11000,10300,10850,435324,0.038277511961722466
2018-12-05,10400,10550,10250,10250,519112,-0.055299539170506895
2018-12-06,10300,10400,9580,9580,381862,-0.06536585365853653
2018-12-07,9730,9870,9500,9700,171754,0.012526096033402823
2018-12-10,9610,9610,9060,9120,231544,-0.0597938144329897
2018-12-11,9240,9310,8780,8810,185225,-0.033991228070175405
2018-12-12,8890,9050,8720,8980,213704,0.0192962542565267
2018-12-13,9010,9100,8710,8720,178259,-0.028953229398663738
2018-12-14,8670,8770,8070,8120,250941,-0.06880733944954132
2018-12-17,8090,8090,7450,7700,202140,-0.051724137931034475
2018-12-18,7650,8310,7460,8010,390183,0.04025974025974022
2018-12-19,7950,8240,7780,8190,165010,0.022471910112359605
2018-12-20,8050,8250,7880,7960,103879,-0.028083028083028094
