Date,Open,High,Low,Close,Volume,Change
2011-01-03,2460,2515,2409,2479,35093,0.00731409995936616
2011-01-04,2487,2525,2442,2476,29334,-0.0012101653892698794
2011-01-05,2484,2484,2442,2448,33015,-0.011308562197092087
2011-01-06,2446,2515,2432,2479,43192,0.012663398692810413
2011-01-07,2455,2534,2455,2530,41212,0.02057281161758784
2011-01-10,2501,2598,2497,2544,60076,0.005533596837944632
2011-01-11,2520,2580,2520,2559,33632,0.005896226415094352
2011-01-12,2525,2580,2525,2559,42053,0.0
2011-01-13,2561,2580,2487,2535,57731,-0.009378663540445475
2011-01-14,2515,2580,2515,2540,22371,0.0019723865877712132
2011-01-17,2501,2571,2450,2466,48101,-0.029133858267716528
2011-01-18,2501,2501,2450,2484,23845,0.007299270072992803
2011-01-19,2484,2487,2446,2489,19106,0.0020128824476650653
2011-01-20,2515,2515,2455,2457,3993,-0.012856568903173993
2011-01-21,2497,2497,2363,2374,45258,-0.03378103378103381
2011-01-24,2396,2437,2358,2397,51696,0.009688289806234263
2011-01-25,2396,2442,2391,2402,46859,0.0020859407592823676
2011-01-26,2400,2442,2358,2406,83508,0.0016652789342215257
2011-01-27,2432,2484,2396,2453,69882,0.01953449709060684
2011-01-28,2450,2479,2423,2453,37569,0.0
2011-01-31,2450,2479,2414,2453,25270,0.0
2011-02-01,2428,2469,2428,2453,35376,0.0
2011-02-07,2501,2626,2446,2457,61098,0.0016306563391765838
2011-02-08,2487,2487,2419,2429,13690,-0.01139601139601143
2011-02-09,2428,2460,2400,2429,37151,0.0
2011-02-10,2396,2455,2377,2406,33005,-0.009468917249897069
2011-02-11,2414,2419,2377,2415,20694,0.0037406483790523026
2011-02-14,2396,2432,2330,2351,22668,-0.02650103519668734
2011-02-15,2322,2396,2322,2374,24066,0.009783071033602653
2011-02-16,2414,2414,2363,2397,27967,0.009688289806234263
2011-02-17,2386,2419,2317,2379,58002,-0.007509386733416723
2011-02-18,2377,2450,2354,2415,24379,0.015132408575031508
2011-02-21,2414,2423,2345,2397,53140,-0.007453416149068359
2011-02-22,2330,2386,2266,2268,52026,-0.053817271589486904
2011-02-23,2266,2322,2248,2250,32260,-0.007936507936507908
2011-02-24,2248,2304,2197,2253,52291,0.0013333333333334085
2011-02-25,2262,2294,2239,2296,20632,0.019085663559698096
2011-02-28,2304,2358,2239,2300,20933,0.0017421602787457413
2011-03-02,2285,2289,2202,2258,31612,-0.01826086956521744
2011-03-03,2229,2322,2229,2282,17293,0.010628875110717528
2011-03-04,2271,2312,2271,2296,10388,0.006134969325153339
2011-03-07,2330,2330,2253,2300,15688,0.0017421602787457413
2011-03-08,2253,2304,2253,2277,23133,-0.010000000000000009
2011-03-09,2396,2414,2258,2282,17304,0.002195871761089263
2011-03-10,2280,2299,2258,2282,21063,0.0
2011-03-11,2280,2280,2225,2282,22354,0.0
2011-03-14,2304,2304,2165,2199,29098,-0.03637160385626648
2011-03-15,2193,2304,2072,2181,51436,-0.008185538881309684
2011-03-16,2178,2258,2173,2212,18295,0.01421366345712971
2011-03-17,2211,2211,2142,2186,13991,-0.01175406871609408
2011-03-18,2188,2285,2183,2258,78796,0.032936870997255285
2011-03-21,2299,2299,2225,2263,34340,0.0022143489813994943
2011-03-22,2276,2280,2183,2250,79423,-0.0057445868316393645
2011-03-23,2276,2276,2211,2258,19512,0.003555555555555534
2011-03-24,2285,2285,2216,2258,18158,0.0
2011-03-25,2258,2271,2253,2258,23977,0.0
2011-03-28,2258,2368,2225,2273,34024,0.006643046944198483
2011-03-29,2271,2294,2211,2258,33429,-0.006599208095028564
2011-03-30,2276,2276,2225,2253,14854,-0.0022143489813994943
2011-03-31,2258,2271,2211,2263,26916,0.004438526409232146
2011-04-01,2285,2350,2262,2282,12187,0.008395934600088362
2011-04-04,2322,2322,2239,2282,32502,0.0
2011-04-05,2294,2335,2276,2337,49780,0.024101665205959577
2011-04-06,2335,2377,2294,2314,27161,-0.009841677364142098
2011-04-07,2340,2358,2285,2304,23721,-0.004321521175453813
2011-04-08,2312,2322,2280,2286,25922,-0.0078125
2011-04-11,2308,2330,2280,2282,11253,-0.0017497812773403787
2011-04-12,2285,2312,2266,2304,49783,0.009640666082383786
2011-04-13,2327,2327,2266,2286,50531,-0.0078125
2011-04-14,2285,2299,2258,2286,25177,0.0
2011-04-15,2285,2396,2280,2286,72867,0.0
2011-04-18,2285,2308,2248,2282,43251,-0.0017497812773403787
2011-04-19,2280,2304,2229,2258,25288,-0.010517090271691454
2011-04-20,2285,2285,2239,2268,30888,0.004428697962798989
2011-04-21,2276,2276,2229,2253,58716,-0.006613756613756627
2011-04-22,2211,2266,2207,2253,52873,0.0
2011-04-25,2262,2304,2253,2253,62466,0.0
2011-04-26,2253,2396,2225,2268,127227,0.0066577896138482195
2011-04-27,2276,2322,2266,2273,79614,0.0022045855379189128
2011-04-28,2276,2276,2248,2258,25683,-0.006599208095028564
2011-04-29,2271,2304,2271,2282,21100,0.010628875110717528
2011-05-02,2285,2330,2276,2296,23797,0.006134969325153339
2011-05-03,2345,2345,2276,2304,16151,0.0034843205574912606
2011-05-04,2220,2312,2220,2291,29278,-0.0056423611111111605
2011-05-06,2285,2330,2258,2296,37978,0.002182453077258728
2011-05-09,2322,2636,2276,2636,670075,0.1480836236933798
2011-05-11,2718,2792,2455,2540,1528877,-0.036418816388467334
2011-05-12,2538,2682,2469,2517,934477,-0.009055118110236182
2011-05-13,2547,2644,2428,2443,502633,-0.029400079459674267
2011-05-16,2442,2506,2386,2438,301245,-0.002046663937781412
2011-05-17,2455,2556,2446,2525,257529,0.03568498769483175
2011-05-18,2566,2626,2506,2549,227239,0.009504950495049513
2011-05-19,2534,2622,2487,2613,170501,0.02510788544527265
2011-05-20,2617,2617,2525,2613,92655,0.0
2011-05-23,2626,2626,2487,2521,114635,-0.03520857252200538
2011-05-24,2465,2534,2442,2479,96367,-0.01666005553351846
2011-05-25,2479,2520,2455,2479,64797,0.0
2011-05-26,2492,2552,2469,2544,63506,0.026220250100847053
2011-05-27,2580,2612,2484,2544,79653,0.0
2011-05-30,2552,2552,2479,2479,46641,-0.025550314465408785
2011-05-31,2450,2571,2446,2525,76526,0.01855586930213793
2011-06-01,2497,2556,2487,2559,38243,0.013465346534653477
2011-06-02,2525,2525,2479,2525,88591,-0.013286440015631062
2011-06-03,2515,2525,2423,2489,38841,-0.01425742574257427
2011-06-07,2469,2487,2432,2476,35698,-0.005222981116914438
2011-06-08,2484,2484,2377,2443,50999,-0.013327948303715642
2011-06-09,2442,2520,2404,2489,15877,0.018829308227588992
2011-06-10,2492,2497,2428,2466,34310,-0.009240658899156262
2011-06-13,2465,2469,2423,2425,42110,-0.016626115166261113
2011-06-14,2354,2501,2354,2415,49196,-0.004123711340206171
2011-06-15,2446,2469,2404,2438,13740,0.00952380952380949
2011-06-16,2442,2442,2340,2351,47716,-0.03568498769483186
2011-06-17,2327,2373,2280,2282,47132,-0.02934921310080818
2011-06-20,2304,2350,2258,2351,27059,0.030236634531113138
2011-06-21,2377,2377,2327,2351,7424,0.0
2011-06-22,2350,2428,2299,2337,36947,-0.005954912803062484
2011-06-23,2304,2368,2304,2342,12965,0.0021394950791613354
2011-06-24,2289,2354,2289,2351,23699,0.0038428693424423788
2011-06-27,2289,2304,2262,2263,56505,-0.03743088047639298
2011-06-28,2266,2335,2266,2296,8501,0.014582412726469318
2011-06-29,2294,2340,2289,2314,4361,0.007839721254355503
2011-06-30,2285,2354,2285,2342,9320,0.012100259291270454
2011-07-01,2350,2363,2317,2351,25877,0.0038428693424423788
2011-07-04,2368,2373,2322,2337,43088,-0.005954912803062484
2011-07-05,2322,2487,2322,2461,67008,0.05305947796320076
2011-07-06,2460,2483,2404,2471,39592,0.00406338886631441
2011-07-07,2487,2525,2446,2508,37963,0.014973694860380471
2011-07-08,2506,2510,2442,2479,13289,-0.011562998405103664
2011-07-11,2469,2469,2396,2420,28199,-0.023799919322307406
2011-07-12,2419,2419,2363,2420,23678,0.0
2011-07-13,2423,2501,2381,2443,42387,0.009504132231404894
2011-07-14,2506,2506,2419,2499,17952,0.022922636103151817
2011-07-15,2530,2530,2442,2489,51178,-0.00400160064025612
2011-07-18,2534,2534,2442,2499,31620,0.004017677782241824
2011-07-19,2506,2506,2446,2499,12716,0.0
2011-07-20,2487,2534,2404,2489,87674,-0.00400160064025612
2011-07-21,2455,2492,2455,2494,29395,0.002008838891121023
2011-07-22,2492,2622,2487,2503,117159,0.003608660785886064
2011-07-25,2497,2556,2455,2521,65662,0.007191370355573268
2011-07-26,2525,2525,2487,2525,35715,0.0015866719555732711
2011-07-27,2525,2530,2474,2530,44315,0.001980198019801982
2011-07-28,2530,2829,2520,2687,1051142,0.06205533596837953
2011-07-29,2709,2718,2607,2656,257073,-0.01153703014514329
2011-08-01,2658,2733,2648,2660,156845,0.001506024096385561
2011-08-02,2677,2691,2589,2660,131478,0.0
2011-08-03,2622,2801,2594,2716,339416,0.021052631578947434
2011-08-04,2704,2713,2626,2678,114781,-0.013991163475699508
2011-08-05,2460,2602,2419,2494,231293,-0.06870799103808811
2011-08-08,2442,2580,2119,2369,323601,-0.05012028869286289
2011-08-09,2096,2294,2014,2029,305713,-0.14352047277332203
2011-08-10,2072,2211,2072,2106,194868,0.03794972893050774
2011-08-11,1975,2110,1944,2106,185054,0.0
2011-08-12,2202,2285,2018,2074,219801,-0.015194681861348536
2011-08-16,2183,2258,2165,2181,110546,0.051591128254580454
2011-08-17,2183,2266,2151,2258,141829,0.035304906006419
2011-08-18,2280,2280,2128,2203,98283,-0.024357838795394104
2011-08-19,2156,2161,2045,2046,67543,-0.07126645483431682
2011-08-22,2119,2119,1980,2029,41652,-0.008308895405669592
2011-08-23,2072,2110,2026,2101,17896,0.03548546081813697
2011-08-24,2119,2202,2045,2084,46438,-0.008091385054735833
2011-08-25,2142,2142,2045,2074,19578,-0.004798464491362786
2011-08-26,2018,2096,2018,2096,19051,0.01060752169720347
2011-08-29,2151,2178,2119,2152,56561,0.026717557251908497
2011-08-30,2207,2294,2161,2250,78660,0.04553903345724897
2011-08-31,2258,2294,2188,2227,40203,-0.010222222222222244
2011-09-01,2207,2262,2193,2212,83384,-0.006735518634934934
2011-09-02,2193,2239,2123,2199,32037,-0.005877034358046984
2011-09-05,2202,2202,2119,2166,45129,-0.01500682128240105
2011-09-06,2211,2211,2045,2125,60641,-0.018928901200369386
2011-09-07,2110,2211,2110,2194,30699,0.03247058823529403
2011-09-08,2178,2266,2147,2186,29560,-0.003646308113035568
2011-09-09,2211,2211,2123,2162,18915,-0.010978956999085132
2011-09-14,2123,2183,2096,2116,13398,-0.021276595744680882
2011-09-15,2128,2207,2096,2111,11826,-0.0023629489603024245
2011-09-16,2165,2170,2082,2148,22345,0.017527238275698798
2011-09-19,2096,2147,2091,2135,30286,-0.006052141527001842
2011-09-20,2077,2216,2077,2166,16163,0.014519906323185117
2011-09-21,2165,2202,2119,2143,52988,-0.01061865189289013
2011-09-22,2147,2147,2064,2074,37152,-0.03219785347643489
2011-09-23,2004,2072,1939,1983,43048,-0.04387656702025078
2011-09-26,1994,1994,1690,1734,104970,-0.12556732223903178
2011-09-27,1759,1888,1759,1844,39649,0.06343713956170705
2011-09-28,1852,1985,1833,1867,45917,0.012472885032537961
2011-09-29,1806,1898,1801,1862,11357,-0.0026780931976432276
2011-09-30,1861,2009,1842,2009,17017,0.07894736842105265
2011-10-04,1811,1934,1811,1872,26389,-0.06819313091090096
2011-10-05,1870,2014,1811,1839,33594,-0.017628205128205177
2011-10-06,1971,1971,1842,1862,12071,0.012506797172376238
2011-10-07,1888,1888,1806,1872,34249,0.005370569280343629
2011-10-10,1874,1958,1861,1913,50223,0.021901709401709324
2011-10-11,1934,2018,1921,1978,81654,0.03397804495556711
2011-10-12,1975,2188,1949,2079,53212,0.05106167846309395
2011-10-13,2086,2258,2086,2148,63803,0.03318903318903321
2011-10-14,2147,2299,2147,2212,185357,0.029795158286778367
2011-10-17,2207,2487,2202,2489,375572,0.12522603978300184
2011-10-18,2404,2510,2386,2489,82797,0.0
2011-10-19,2534,2534,2446,2471,62282,-0.00723182000803535
2011-10-20,2534,2534,2396,2438,44976,-0.013354917037636582
2011-10-21,2442,2510,2423,2448,56344,0.00410172272354381
2011-10-24,2497,2506,2396,2508,53628,0.02450980392156854
2011-10-25,2552,2552,2450,2479,26790,-0.011562998405103664
2011-10-26,2479,2479,2442,2479,42546,0.0
2011-10-27,2487,2534,2428,2512,44286,0.013311819281968562
2011-10-28,2525,2576,2450,2499,35824,-0.0051751592356688025
2011-10-31,2525,2525,2442,2512,58712,0.005202080832332978
2011-11-01,2534,2534,2147,2503,31005,-0.003582802547770658
2011-11-02,2484,2576,2354,2476,68010,-0.010787055533360013
2011-11-03,2571,2571,2437,2471,33042,-0.0020193861066235552
2011-11-04,2469,2561,2419,2521,49044,0.02023472278429783
2011-11-07,2566,2566,2487,2549,38767,0.011106703689012232
2011-11-08,2501,2571,2487,2549,35391,0.0
2011-11-09,2543,2889,2543,2862,258538,0.12279325225578663
2011-11-10,2805,3170,2682,2803,475632,-0.020614954577218736
2011-11-11,2949,2949,2779,2825,126048,0.007848733499821625
2011-11-14,2907,2907,2745,2820,82629,-0.001769911504424737
2011-11-15,2764,2820,2718,2779,69727,-0.014539007092198575
2011-11-16,2851,2851,2741,2743,55464,-0.01295430010795251
2011-11-17,2653,2792,2576,2738,134038,-0.0018228217280350512
2011-11-18,2658,2755,2617,2747,32888,0.0032870708546384186
2011-11-21,2636,2801,2636,2711,39334,-0.013105205678922482
2011-11-22,2644,2745,2622,2636,92026,-0.027665068240501633
2011-11-23,2626,2699,2497,2572,57967,-0.02427921092564489
2011-11-24,2487,2764,2487,2530,76481,-0.016329704510108844
2011-11-25,2520,2598,2484,2489,49659,-0.016205533596837962
2011-11-28,2576,2576,2479,2517,109146,0.011249497790277285
2011-11-29,2525,2617,2525,2540,67154,0.009137862534763563
2011-11-30,2530,2576,2506,2576,28390,0.014173228346456623
2011-12-01,2580,2718,2543,2692,114201,0.045031055900621064
2011-12-02,2737,2834,2658,2813,150590,0.04494799405646366
2011-12-05,2783,2820,2733,2774,113341,-0.013864201919658758
2011-12-06,2737,2829,2713,2766,82989,-0.002883922134102379
2011-12-07,2755,2820,2626,2728,81813,-0.013738250180766465
2011-12-08,2728,2769,2699,2716,62977,-0.004398826979472137
2011-12-09,2709,2745,2626,2719,55924,0.0011045655375552244
2011-12-12,2805,2805,2663,2711,48131,-0.0029422581831555217
2011-12-13,2677,2755,2653,2711,43210,0.0
2011-12-14,2672,2750,2672,2728,28111,0.0062707488011803925
2011-12-15,2626,2713,2626,2701,37496,-0.009897360703812308
2011-12-16,2737,2737,2640,2682,23748,-0.007034431691965937
2011-12-19,2663,2728,2280,2374,525810,-0.11483967188665178
2011-12-20,2404,2474,2340,2392,180559,0.0075821398483570945
2011-12-21,2474,2580,2432,2517,173130,0.052257525083612144
2011-12-22,2576,2576,2497,2540,62448,0.009137862534763563
2011-12-23,2543,2787,2543,2757,269434,0.08543307086614171
2011-12-26,2682,2792,2682,2738,58614,-0.006891548784911161
2011-12-27,2741,2796,2672,2678,34016,-0.021913805697589495
2011-12-28,2737,2792,2677,2762,49789,0.031366691560866355
2011-12-29,2699,2774,2682,2766,49127,0.0014482259232440065
2012-01-02,2792,3170,2774,2964,338148,0.07158351409978314
2012-01-03,2995,3077,2926,3060,191350,0.03238866396761142
2012-01-04,3119,3203,2980,3042,97617,-0.00588235294117645
2012-01-05,3018,3096,2949,3019,128505,-0.00756081525312291
2012-01-06,2995,3041,2856,3010,120010,-0.0029811195760185427
2012-01-09,2935,3133,2889,3111,131001,0.033554817275747606
2012-01-10,3207,3497,3114,3416,545560,0.0980392156862746
2012-01-11,3594,3594,3280,3411,295681,-0.0014637002341920669
2012-01-12,3401,3432,3225,3392,194037,-0.005570214013485786
2012-01-13,3423,3423,3271,3401,73565,0.0026533018867924696
2012-01-16,3309,3447,3309,3406,81915,0.0014701558365186607
2012-01-17,3350,3391,3331,3370,58908,-0.010569583088667067
2012-01-18,3360,3391,3285,3319,67712,-0.015133531157270008
2012-01-19,3316,3396,3142,3314,44817,-0.0015064778547755342
2012-01-20,3336,3428,3271,3406,57459,0.02776101388050689
2012-01-25,3401,3483,3316,3401,76753,-0.0014679976512037562
2012-01-26,3386,3483,3377,3452,58965,0.014995589532490472
2012-01-27,3414,3502,3406,3439,39446,-0.0037659327925839703
2012-01-30,3529,3833,3447,3642,297342,0.05902878743820872
2012-01-31,3676,3760,3617,3660,119699,0.0049423393739702615
2012-02-01,3640,3750,3599,3743,123954,0.022677595628415315
2012-02-02,3755,3825,3668,3779,153200,0.009617953513224586
2012-02-03,3787,3843,3704,3771,63904,-0.00211696215930135
2012-02-06,3838,3838,3691,3729,64025,-0.011137629276054106
2012-02-07,3719,3806,3686,3756,129465,0.007240547063555924
