Date,Open,High,Low,Close,Volume,Change
2011-01-03,102811,105876,100219,102111,100119,-0.006885886849706813
2011-01-04,102816,103290,100225,101404,136204,-0.006923837784371889
2011-01-05,99028,102328,97141,99517,195112,-0.018608733383298492
2011-01-06,98094,102103,98094,100460,158604,0.009475767959243209
2011-01-07,100225,102112,99046,101404,188087,0.009396774835755517
2011-01-10,103513,103513,98560,99989,120037,-0.01395408465149306
2011-01-11,98566,99744,95744,97159,234248,-0.02830311334246771
2011-01-12,96211,102112,95268,101404,340599,0.043691268950895035
2011-01-13,103760,103760,98568,101404,171369,0.0
2011-01-14,99265,107522,99265,107063,414753,0.055806477062048776
2011-01-17,109410,111532,105162,107299,582965,0.0022043096120976102
2011-01-18,117899,123321,117434,123335,641373,0.1494515326331094
2011-01-19,115769,131571,112234,115789,4665423,-0.06118295698706777
2011-01-20,114830,114830,107525,108714,745100,-0.06110252269213834
2011-01-21,109656,109891,101403,104469,457230,-0.03904740879739499
2011-01-24,103047,110839,102582,103526,560208,-0.00902660119269827
2011-01-25,103754,110124,101632,102111,1226651,-0.013668064061202023
2011-01-26,102335,105870,99269,99989,382767,-0.020781306617308593
2011-01-27,100223,105645,99045,102347,335183,0.02358259408534935
2011-01-28,102580,103758,100453,102347,121838,0.0
2011-01-31,104696,110597,102340,109893,470350,0.07372956706107647
2011-02-01,112013,112013,106356,110601,291250,0.006442630558816331
2011-02-07,112231,112231,107278,108007,164429,-0.02345367582571589
2011-02-08,108232,111063,105876,109422,150872,0.013101002712787135
2011-02-09,111532,111532,107527,109893,157382,0.004304436036628889
2011-02-10,107994,110594,106102,106592,159344,-0.030038309992447165
2011-02-11,107996,112240,107283,110837,260974,0.03982475232662863
2011-02-14,112469,116717,107525,111780,710306,0.008507989209379563
2011-02-15,112705,128510,108940,125929,1228038,0.1265789944533906
2011-02-16,124040,127571,118848,122628,1334766,-0.026213183619341107
2011-02-17,125445,136059,120736,129702,3155644,0.05768666210000983
