Date,Open,High,Low,Close,Volume,Change
2011-01-03,33700,33750,32700,33400,54210,0.006024096385542244
2011-01-04,33600,33600,32700,32750,49422,-0.019461077844311392
2011-01-05,32700,33200,32500,32900,33783,0.004580152671755711
2011-01-06,32750,34000,32750,33200,83731,0.00911854103343468
2011-01-07,33550,34450,33300,34250,43035,0.031626506024096335
2011-01-10,34700,34750,33600,34000,29221,-0.007299270072992692
2011-01-11,34000,34400,33150,33800,26077,-0.00588235294117645
2011-01-12,33800,33800,33150,33200,40525,-0.017751479289940808
2011-01-13,33200,33800,33200,33500,54280,0.009036144578313143
2011-01-14,33200,34000,33200,33600,26931,0.0029850746268655914
2011-01-17,33700,34000,32600,33000,41607,-0.017857142857142905
2011-01-18,32600,33550,32350,33400,28610,0.0121212121212122
2011-01-19,33050,34400,32800,33750,37407,0.010479041916167775
2011-01-20,33400,34000,33400,33600,12511,-0.004444444444444473
2011-01-21,33900,33900,32000,32600,31185,-0.029761904761904767
2011-01-24,32650,32650,31500,31600,31521,-0.030674846625766916
2011-01-25,32300,32300,30900,31200,45798,-0.012658227848101222
2011-01-26,31200,32400,30850,32150,32181,0.03044871794871784
2011-01-27,32450,32800,31950,32200,24536,0.0015552099533437946
2011-01-28,32350,32500,31700,32250,23665,0.0015527950310558758
2011-01-31,31800,32150,31250,31300,22557,-0.029457364341085257
2011-02-01,31650,33350,31200,32800,33977,0.04792332268370614
2011-02-07,33200,33650,32850,33250,20193,0.013719512195121908
2011-02-08,33250,33850,33050,33250,18353,0.0
2011-02-09,33750,33750,32200,32200,22327,-0.03157894736842104
2011-02-10,32650,32650,31100,31100,30008,-0.03416149068322982
2011-02-11,31100,31750,30750,30900,22686,-0.006430868167202619
2011-02-14,31650,31650,30200,30500,29403,-0.012944983818770184
2011-02-15,30500,30900,30300,30700,36476,0.006557377049180246
2011-02-16,31200,31850,31150,31300,47259,0.019543973941368087
2011-02-17,31350,31850,30750,31450,42488,0.004792332268370503
2011-02-18,31500,31750,31150,31450,26522,0.0
2011-02-21,31950,32550,31400,32500,18756,0.03338632750397452
2011-02-22,32500,32750,31950,32450,16795,-0.0015384615384614886
2011-02-23,32400,32800,31700,32250,18444,-0.006163328197226536
2011-02-24,32250,32250,30050,30050,60835,-0.06821705426356595
2011-02-25,30000,30500,29200,30100,37453,0.0016638935108153063
2011-02-28,29700,30800,29700,30400,20670,0.009966777408637828
2011-03-02,29650,30200,29650,29750,32256,-0.021381578947368474
2011-03-03,29650,31200,29650,31200,20126,0.04873949579831938
2011-03-04,31200,31500,30750,31400,27684,0.0064102564102563875
2011-03-07,31400,31900,30850,31600,25640,0.006369426751592355
2011-03-08,31600,32750,31400,32550,44596,0.030063291139240444
2011-03-09,32700,32750,31700,31700,40959,-0.02611367127496156
2011-03-10,31550,32100,30400,30500,26327,-0.03785488958990535
2011-03-11,30300,31400,29900,30750,16943,0.008196721311475308
2011-03-14,30750,31200,28550,29650,45089,-0.03577235772357723
2011-03-15,30200,30200,27000,27550,92918,-0.0708263069139966
2011-03-16,27550,28250,26400,26700,75769,-0.030852994555353952
2011-03-17,25650,26450,24700,26100,125368,-0.022471910112359605
2011-03-18,26100,28050,26100,27500,100159,0.05363984674329503
2011-03-21,28100,28500,27800,28500,59345,0.036363636363636376
2011-03-22,28950,29300,27550,29100,93500,0.021052631578947434
2011-03-23,29100,29100,28050,28550,47374,-0.018900343642611728
2011-03-24,28400,28450,27450,27550,91865,-0.035026269702276736
2011-03-25,27950,28300,27500,27800,36654,0.00907441016333932
2011-03-28,27650,27950,26550,26600,49697,-0.043165467625899234
2011-03-29,26400,27700,25700,27350,85831,0.02819548872180455
2011-03-30,27850,27850,27150,27350,29540,0.0
2011-03-31,27450,28450,27350,28400,52922,0.03839122486288837
2011-04-01,28400,29200,28000,29000,40395,0.021126760563380254
2011-04-04,28800,29250,28050,28700,34938,-0.010344827586206917
2011-04-05,28500,28950,28200,28300,15239,-0.013937282229965153
2011-04-06,28300,29200,28000,28600,38726,0.010600706713780994
2011-04-07,28700,29000,27800,28000,23017,-0.020979020979020935
2011-04-08,28000,28200,27300,27600,25159,-0.014285714285714235
2011-04-11,27450,28250,27400,27800,22104,0.007246376811594235
2011-04-12,28000,28000,26450,26600,28163,-0.043165467625899234
2011-04-13,26400,27300,26200,27200,18680,0.022556390977443552
2011-04-14,26650,28050,26650,28050,30232,0.03125
2011-04-15,28000,28050,26750,26850,51393,-0.04278074866310155
2011-04-18,26800,27000,25450,25900,65761,-0.035381750465549366
2011-04-19,25600,27300,25100,27200,87266,0.05019305019305009
2011-04-20,27500,28400,27200,28350,44361,0.04227941176470584
2011-04-21,28450,28700,27550,28100,51844,-0.00881834215167554
2011-04-22,28100,28200,27400,27950,44965,-0.005338078291814985
2011-04-25,28000,30350,28000,30000,123915,0.07334525939177095
2011-04-26,29550,29950,28300,28800,43706,-0.040000000000000036
2011-04-27,28850,29500,28800,29400,25638,0.02083333333333326
2011-04-28,28700,29400,28650,28800,20195,-0.020408163265306145
2011-04-29,28900,29000,28050,28500,17825,-0.01041666666666663
2011-05-02,28500,28600,27050,27400,70705,-0.038596491228070184
2011-05-03,26600,27200,26050,26250,64443,-0.041970802919708006
2011-05-04,26350,26700,26300,26500,14975,0.00952380952380949
2011-05-06,26000,26950,25900,26600,21298,0.0037735849056603765
2011-05-09,27000,27300,26350,26800,17763,0.007518796992481258
2011-05-11,26650,27300,26400,26600,11224,-0.007462686567164201
2011-05-12,26000,27050,26000,26600,9061,0.0
2011-05-13,26850,27200,26200,27200,23258,0.022556390977443552
2011-05-16,27200,27350,26400,26800,13905,-0.014705882352941124
2011-05-17,26550,26550,24000,24600,95921,-0.08208955223880599
2011-05-18,24500,24500,23050,23800,145229,-0.03252032520325199
2011-05-19,23800,24000,22550,22600,57782,-0.050420168067226934
