Date,Open,High,Low,Close,Volume,Change
2019-01-25,16045,17513,14299,14426,3260466,
2019-01-28,14526,15615,13919,15286,1182048,0.05961458477748516
2019-01-29,15362,15412,13818,13818,742224,-0.09603558811984825
2019-01-30,13944,14223,13463,13742,412393,-0.005500072369373332
2019-01-31,13767,13894,13084,13262,346823,-0.034929413476932014
2019-02-01,13261,13337,12603,12983,234260,-0.021037550897300528
2019-02-07,13084,13514,12552,13262,237717,0.021489640298852253
2019-02-08,13160,13463,13033,13287,116557,0.0018850852058514
2019-02-11,13362,13717,13185,13666,157570,0.028524121321592544
2019-02-12,13641,13767,13337,13337,82215,-0.02407434509000439
2019-02-13,13463,13818,13261,13666,82362,0.024668216240533836
2019-02-14,13742,13919,13438,13464,58919,-0.01478120883945555
2019-02-15,13666,14071,13514,13970,173182,0.03758169934640532
2019-02-18,14096,14780,14071,14628,292809,0.04710093056549747
2019-02-19,14729,14830,14375,14476,115883,-0.010391030899644549
2019-02-20,14628,15463,14324,15413,265580,0.0647278253661232
2019-02-21,15488,16500,15488,16501,337911,0.07058976188931432
2019-02-22,16602,16829,15615,16273,164961,-0.013817344403369458
2019-02-25,16222,17133,15868,16830,240831,0.034228476617710335
2019-02-26,16880,17083,15463,16450,314937,-0.022578728461081443
2019-02-27,16450,17007,16247,16374,153957,-0.00462006079027355
2019-02-28,16222,16703,16121,16273,94506,-0.006168315622328113
2019-03-04,16273,16804,15741,15742,124150,-0.032630738032323525
2019-03-05,15944,15944,14805,15463,143596,-0.017723288019311445
2019-03-06,16703,18475,16273,17083,689113,0.10476621612882364
2019-03-07,17083,20322,17032,19563,1016804,0.1451735643622314
2019-03-08,19715,20246,18728,19614,446450,0.0026069621223738793
2019-03-11,19588,21107,19133,21006,425520,0.07096971550933007
2019-03-12,20778,21360,20575,20930,133562,-0.0036180139007901957
2019-03-13,20904,21967,20778,20778,236859,-0.007262302914476826
2019-03-14,21107,21587,20271,20930,200208,0.007315429781499683
2019-03-15,20980,22018,20575,21487,210326,0.026612517916865697
2019-03-18,21638,22018,20955,21411,120261,-0.0035370223856284744
2019-03-19,21815,22979,21410,22980,237172,0.07328008967353239
2019-03-20,22979,23131,21512,22347,188573,-0.0275456919060052
2019-03-21,22625,22625,21005,22119,146545,-0.010202711773392381
2019-03-22,22119,22119,21056,21487,81755,-0.028572720285727216
2019-03-25,20854,21183,20145,20449,125325,-0.04830827942476845
2019-03-26,20955,21461,20651,21107,101935,0.032177612597193095
2019-03-27,21107,22878,20955,22018,192370,0.04316103662292137
2019-03-28,22220,24852,22094,23866,390474,0.08393132891270771
2019-03-29,24245,24650,23005,23891,145317,0.0010475152937232668
2019-04-01,24802,25814,24473,24625,211301,0.03072286635134569
2019-04-02,24751,25662,24726,25283,110115,0.026720812182741138
2019-04-03,25282,25510,24549,24954,97056,-0.013012696278131508
2019-04-04,24802,25004,23916,24726,122188,-0.009136811733589822
2019-04-05,24802,27231,24549,26979,241472,0.09111866051929152
2019-04-08,26877,27737,26067,27029,127721,0.001853293302197967
2019-04-09,27130,27181,26118,26472,79848,-0.020607495652817387
2019-04-10,26472,26776,25561,25814,108107,-0.024856452100332382
2019-04-11,25966,27788,25966,27434,154247,0.06275664368172307
2019-04-12,27788,30268,26573,28902,321123,0.05351024276445293
2019-04-15,28648,30369,27940,29965,159341,0.03677946162895296
2019-04-16,30015,30015,29155,29509,73231,-0.015217754046387477
2019-04-17,29509,29711,28497,29358,116204,-0.005117082923853711
2019-04-18,29357,30521,29256,29358,112811,0.0
2019-04-19,29610,30876,29610,30876,89449,0.05170651951767824
2019-04-22,31129,31787,29458,29661,138191,-0.03935095219588025
2019-04-23,29661,30167,27586,28598,222764,-0.03583830619331785
2019-04-24,28699,29458,27282,28345,161126,-0.008846772501573508
2019-04-25,28446,29256,27889,29256,92643,0.03213970717939674
2019-04-26,29357,29610,27737,28446,100176,-0.02768662838392122
2019-04-29,28193,28446,26472,28345,155979,-0.003550587077269185
2019-04-30,28345,28952,27181,27282,95538,-0.03750220497442225
2019-05-02,27282,27889,26776,27839,70127,0.02041639176013499
2019-05-03,27839,31382,27839,30927,320981,0.11092352455188759
2019-05-07,30420,32799,30015,31888,189058,0.031073172308985653
2019-05-08,31078,33103,31027,32698,140731,0.025401404917210213
2019-05-09,32698,33457,30926,31180,138408,-0.046424857789467255
2019-05-10,30724,32597,30724,31990,110170,0.025978191148172014
2019-05-13,31888,32242,30572,31483,109155,-0.015848702719599927
2019-05-14,30622,31281,30167,31079,155441,-0.012832322205634794
2019-05-15,31584,32900,30572,32243,98961,0.03745294250136744
2019-05-16,32242,34672,31888,33458,122398,0.037682597773160076
2019-05-17,33862,34318,32799,33812,74629,0.010580429194811503
2019-05-20,33913,34166,32698,32698,54083,-0.03294688276351587
2019-05-21,32698,32748,31230,32445,63432,-0.0077374762982445056
2019-05-22,32141,33406,31787,32901,56102,0.014054553860379126
2019-05-23,33406,34368,32141,33660,76490,0.02306920762286868
2019-05-24,33659,33659,32546,33103,51472,-0.01654783125371362
2019-05-27,32900,33659,31888,32395,40550,-0.02138778962631782
