Date,Open,High,Low,Close,Volume,Change
2011-01-03,527,538,527,532,7777,0.0
2011-01-04,528,531,522,523,8120,-0.016917293233082664
2011-01-05,519,527,518,518,6044,-0.009560229445506718
2011-01-06,521,540,521,532,5882,0.027027027027026973
2011-01-07,547,547,532,540,14805,0.015037593984962516
2011-01-10,533,534,531,532,4429,-0.014814814814814836
2011-01-11,527,536,527,537,5983,0.009398496240601517
2011-01-12,534,540,531,541,2237,0.007448789571694592
2011-01-13,549,549,536,536,2529,-0.009242144177449174
2011-01-14,540,540,526,535,3752,-0.001865671641791078
2011-01-17,540,540,531,537,11123,0.0037383177570093906
2011-01-18,540,541,531,535,28321,-0.003724394785847296
2011-01-19,531,539,531,536,1085,0.0018691588785046953
2011-01-20,515,535,515,532,6372,-0.007462686567164201
2011-01-21,539,539,520,532,6733,0.0
2011-01-24,539,539,522,523,15501,-0.016917293233082664
2011-01-25,522,530,522,525,5680,0.003824091778202643
2011-01-26,530,530,522,525,21929,0.0
2011-01-27,531,542,521,542,18200,0.0323809523809524
2011-01-28,548,548,538,544,2175,0.0036900369003689537
2011-01-31,542,544,541,544,24531,0.0
2011-02-01,549,549,536,537,5815,-0.012867647058823484
2011-02-07,544,549,540,549,9157,0.022346368715083775
2011-02-08,549,553,545,546,10337,-0.005464480874316946
2011-02-09,557,557,536,537,10838,-0.016483516483516536
2011-02-10,551,616,551,617,55221,0.14897579143389206
2011-02-11,682,691,524,677,129600,0.0972447325769854
2011-02-14,622,659,619,638,56977,-0.057607090103397374
2011-02-15,620,684,620,673,41091,0.054858934169278895
2011-02-16,717,717,643,647,17688,-0.038632986627043064
2011-02-17,614,638,614,625,10387,-0.03400309119010814
2011-02-18,645,645,590,594,16356,-0.04959999999999998
2011-02-21,593,619,593,615,7775,0.03535353535353525
2011-02-22,638,638,603,619,20311,0.006504065040650486
2011-02-23,618,618,583,585,12029,-0.0549273021001615
2011-02-24,611,611,611,611,62237,0.04444444444444451
2011-02-25,593,631,593,619,6876,0.013093289689034338
2011-02-28,711,711,620,620,341585,0.001615508885298933
2011-03-02,637,637,601,621,23909,0.001612903225806539
2011-03-03,657,657,629,645,25768,0.03864734299516903
2011-03-04,646,646,620,642,659,-0.0046511627906976605
2011-03-07,670,670,624,648,20788,0.009345794392523255
2011-03-08,700,744,692,744,208314,0.14814814814814814
2011-03-09,775,855,757,856,255106,0.15053763440860224
2011-03-10,979,979,738,762,1004931,-0.10981308411214952
2011-03-11,731,757,686,691,266940,-0.09317585301837272
2011-03-14,661,691,602,641,174931,-0.0723589001447178
2011-03-15,640,651,544,593,203631,-0.0748829953198128
2011-03-16,610,620,568,614,26863,0.03541315345699836
2011-03-17,610,621,571,607,45882,-0.01140065146579805
2011-03-18,593,638,593,628,11584,0.034596375617792496
2011-03-21,620,659,620,651,68499,0.03662420382165599
2011-03-22,650,655,627,638,14281,-0.019969278033794113
2011-03-23,655,655,611,632,31045,-0.009404388714733591
2011-03-24,635,635,603,609,59727,-0.03639240506329111
2011-03-25,620,620,608,610,34393,0.0016420361247948545
2011-03-28,620,628,584,620,17625,0.016393442622950838
2011-03-29,630,630,603,603,37995,-0.02741935483870972
2011-03-30,628,635,606,635,45683,0.05306799336650081
2011-03-31,638,651,620,651,48302,0.025196850393700787
2011-04-01,658,658,629,646,2099,-0.007680491551459334
2011-04-04,659,716,655,686,55951,0.0619195046439629
2011-04-05,686,697,656,685,16323,-0.001457725947521915
2011-04-06,704,704,656,673,17746,-0.017518248175182438
2011-04-07,673,676,646,660,23394,-0.019316493313521588
2011-04-08,659,659,620,626,39402,-0.051515151515151514
2011-04-11,633,637,612,632,23413,0.009584664536741228
2011-04-12,645,645,602,625,29328,-0.011075949367088556
2011-04-13,624,624,594,623,22629,-0.0031999999999999806
2011-04-14,638,638,613,619,12313,-0.006420545746388395
2011-04-15,622,622,607,619,6235,0.0
2011-04-18,619,619,574,596,61179,-0.037156704361874016
2011-04-19,600,600,574,584,48353,-0.020134228187919434
2011-04-20,584,591,561,580,48700,-0.006849315068493178
2011-04-21,584,589,567,586,24220,0.010344827586206806
2011-04-22,584,584,553,572,45789,-0.023890784982935176
2011-04-25,577,577,553,572,1292,0.0
2011-04-26,573,575,544,549,24292,-0.04020979020979021
2011-04-27,549,571,514,545,28209,-0.007285974499089298
2011-04-28,522,571,522,555,6220,0.0183486238532109
2011-04-29,562,562,531,554,3230,-0.0018018018018017834
2011-05-02,565,579,531,554,33314,0.0
2011-05-03,549,549,527,548,18807,-0.010830324909747335
2011-05-04,547,567,526,551,11805,0.005474452554744547
2011-05-06,551,551,532,548,2251,-0.005444646098003658
2011-05-09,522,553,520,550,11146,0.0036496350364962904
2011-05-11,550,555,528,553,6368,0.005454545454545379
2011-05-12,555,555,514,547,24900,-0.010849909584086825
2011-05-13,544,553,529,550,11444,0.005484460694698434
2011-05-16,549,549,514,544,17361,-0.010909090909090868
2011-05-17,524,542,518,541,8387,-0.005514705882352922
2011-05-18,540,553,516,543,16113,0.003696857670979714
2011-05-19,543,543,505,516,44545,-0.04972375690607733
2011-05-20,507,530,505,519,9629,0.005813953488372103
2011-05-23,531,550,500,501,13403,-0.034682080924855474
2011-05-24,513,530,495,525,1184,0.0479041916167664
2011-05-25,501,528,501,526,1178,0.0019047619047618536
2011-05-26,513,580,505,536,7181,0.019011406844106515
2011-05-27,541,543,521,539,5700,0.005597014925373234
2011-05-30,552,552,524,532,2986,-0.012987012987012991
2011-05-31,528,542,526,538,5411,0.011278195488721776
2011-06-01,546,546,531,536,5076,-0.0037174721189591198
2011-06-02,527,545,527,536,969,0.0
2011-06-03,529,541,524,539,1523,0.005597014925373234
2011-06-07,548,548,523,532,2133,-0.012987012987012991
2011-06-08,531,562,522,536,2682,0.007518796992481258
2011-06-09,540,540,522,534,5100,-0.003731343283582045
2011-06-10,540,540,525,535,496,0.001872659176029856
2011-06-13,527,542,527,533,3320,-0.0037383177570093906
2011-06-14,539,539,513,529,6344,-0.007504690431519689
2011-06-15,543,543,518,528,5939,-0.001890359168241984
2011-06-16,531,531,517,528,849,0.0
2011-06-17,529,529,513,525,1307,-0.005681818181818232
2011-06-20,550,550,513,528,7153,0.005714285714285783
2011-06-21,528,539,521,530,1030,0.0037878787878788955
2011-06-22,529,529,518,525,5000,-0.009433962264150941
2011-06-23,547,547,517,530,3310,0.00952380952380949
2011-06-24,545,545,513,545,9315,0.028301886792452935
2011-06-27,544,544,517,539,7624,-0.011009174311926606
2011-06-28,548,548,515,529,9013,-0.01855287569573283
2011-06-29,527,536,516,529,4237,0.0
2011-06-30,522,535,518,518,16685,-0.020793950850661602
2011-07-01,515,531,505,518,27201,0.0
2011-07-04,510,549,510,517,64174,-0.0019305019305019266
2011-07-05,542,542,512,525,13134,0.015473887814313247
2011-07-06,560,560,515,522,7225,-0.005714285714285672
2011-07-07,513,539,512,525,31598,0.005747126436781658
2011-07-08,518,539,513,522,64690,-0.005714285714285672
2011-07-11,558,558,511,528,20798,0.011494252873563315
2011-07-12,535,540,508,525,16105,-0.005681818181818232
2011-07-13,528,536,518,524,9673,-0.0019047619047618536
2011-07-14,527,527,520,520,503,-0.007633587786259555
2011-07-15,521,530,506,529,22351,0.017307692307692246
2011-07-18,528,571,517,526,36414,-0.005671077504725952
2011-07-19,535,541,516,531,15944,0.009505703422053147
2011-07-20,536,579,513,531,57244,0.0
2011-07-21,536,536,524,531,4906,0.0
2011-07-22,531,534,521,530,9595,-0.0018832391713747842
2011-07-25,534,534,515,529,4029,-0.0018867924528301883
2011-07-26,536,536,521,529,8493,0.0
2011-07-27,547,547,509,526,36000,-0.005671077504725952
2011-07-28,533,533,511,525,22804,-0.0019011406844106071
2011-07-29,516,528,512,521,9590,-0.007619047619047636
2011-08-01,529,529,509,521,44013,0.0
