Date,Open,High,Low,Close,Volume,Change
2019-09-18,2059,2100,2059,2090,2417355,
2019-09-19,2089,2105,2089,2095,151319,0.0023923444976077235
2019-09-20,2089,2105,2089,2090,113706,-0.0023866348448687846
2019-09-23,2089,2105,2089,2100,70509,0.004784688995215225
2019-09-24,2100,2105,2095,2095,27881,-0.0023809523809523725
2019-09-25,2095,2105,2095,2100,30329,0.0023866348448686736
2019-09-26,2105,2105,2095,2105,36028,0.0023809523809523725
2019-09-27,2100,2120,2095,2110,51244,0.002375296912114022
2019-09-30,2110,2120,2095,2115,80791,0.0023696682464455776
2019-10-01,2115,2125,2105,2115,19152,0.0
2019-10-02,2100,2120,2100,2110,12663,-0.0023640661938534313
2019-10-04,2105,2120,2105,2105,4896,-0.0023696682464454666
2019-10-07,2105,2115,2095,2110,90742,0.002375296912114022
2019-10-08,2095,2115,2074,2100,98781,-0.004739336492891044
2019-10-10,2084,2100,2074,2100,44430,0.0
2019-10-11,2079,2100,2079,2080,27803,-0.00952380952380949
2019-10-14,2079,2089,2074,2085,15949,0.0024038461538462563
2019-10-15,2084,2110,2079,2085,2038,0.0
2019-10-16,2079,2089,2079,2090,8432,0.0023980815347721673
2019-10-17,2079,2100,2079,2090,2357,0.0
2019-10-18,2100,2100,2079,2090,854,0.0
2019-10-21,2079,2089,2074,2090,2888,0.0
2019-10-22,2079,2089,2074,2090,21739,0.0
2019-10-23,2089,2089,2074,2090,7692,0.0
2019-10-24,2089,2089,2069,2090,9219,0.0
2019-10-25,2089,2089,2069,2085,5037,-0.0023923444976076125
2019-10-28,2084,2105,2084,2105,12501,0.00959232613908867
2019-10-29,2100,2100,2064,2080,20069,-0.01187648456057011
2019-10-30,2069,2079,2069,2080,8191,0.0
2019-10-31,2089,2089,2059,2085,10497,0.0024038461538462563
2019-11-01,2089,2089,2064,2085,1861,0.0
2019-11-04,2064,2089,2064,2090,991,0.0023980815347721673
2019-11-05,2069,2089,2054,2090,5811,0.0
2019-11-06,2074,2089,2074,2090,20160,0.0
2019-11-07,2079,2095,2069,2090,11517,0.0
2019-11-08,2095,2095,2069,2090,3465,0.0
2019-11-11,2089,2089,2054,2080,9910,-0.004784688995215336
2019-11-12,2079,2084,2079,2085,2483,0.0024038461538462563
2019-11-13,2059,2084,2054,2085,5391,0.0
2019-11-14,2079,2084,2069,2080,3075,-0.0023980815347721673
2019-11-15,2069,2079,2069,2080,533,0.0
2019-11-18,2064,2079,2064,2075,5983,-0.0024038461538461453
2019-11-19,2074,2074,2069,2075,2126,0.0
2019-11-20,2084,2084,2064,2075,4080,0.0
2019-11-21,2074,2074,2059,2070,4700,-0.002409638554216831
2019-11-22,2074,2074,2069,2075,3797,0.0024154589371980784
2019-11-25,2074,2074,2059,2075,2120,0.0
2019-11-26,2074,2074,2049,2070,18608,-0.002409638554216831
2019-11-27,2069,2074,2054,2060,12140,-0.004830917874396157
2019-11-28,2074,2074,2049,2070,17145,0.004854368932038833
2019-11-29,2069,2074,2054,2075,7777,0.0024154589371980784
2019-12-02,2074,2100,2074,2100,20119,0.012048192771084265
2019-12-03,2089,2095,2074,2090,4869,-0.004761904761904745
2019-12-04,2089,2089,2074,2075,3206,-0.0071770334928229484
2019-12-05,2074,2089,2069,2080,932,0.002409638554216942
2019-12-06,2084,2084,2079,2080,1911,0.0
2019-12-09,2069,2089,2069,2075,10584,-0.0024038461538461453
2019-12-10,2069,2079,2069,2080,7495,0.002409638554216942
2019-12-11,2079,2079,2064,2080,5003,0.0
2019-12-12,2069,2079,2069,2080,1237,0.0
2019-12-13,2064,2079,2059,2080,5568,0.0
2019-12-16,2054,2079,2024,2080,41013,0.0
2019-12-17,2079,2079,2049,2080,7910,0.0
2019-12-18,2074,2079,2064,2070,3399,-0.004807692307692291
2019-12-19,2064,2074,2059,2075,1524,0.0024154589371980784
2019-12-20,2064,2074,2059,2075,2860,0.0
2019-12-23,2054,2074,2039,2070,20582,-0.002409638554216831
2019-12-24,2059,2059,2039,2060,15279,-0.004830917874396157
2019-12-26,2049,2059,2039,2060,7884,0.0
2019-12-27,2049,2069,2044,2070,10773,0.004854368932038833
2019-12-30,2064,2115,2049,2095,21124,0.012077294685990392
2020-01-02,2059,2079,2059,2080,89,-0.007159904534606243
2020-01-03,2079,2084,2074,2085,2200,0.0024038461538462563
2020-01-06,2064,2084,2049,2070,39300,-0.007194244604316502
2020-01-07,2059,2074,2059,2075,2079,0.0024154589371980784
2020-01-08,2059,2074,2054,2075,1652,0.0
2020-01-09,2064,2074,2064,2075,3055,0.0
2020-01-10,2074,2074,2074,2075,0,0.0
2020-01-13,2059,2069,2059,2070,4529,-0.002409638554216831
2020-01-14,2069,2074,2059,2075,10027,0.0024154589371980784
2020-01-15,2074,2089,2069,2080,94906,0.002409638554216942
2020-01-16,2095,2095,2079,2090,21901,0.004807692307692291
2020-01-17,2089,2095,2089,2090,11661,0.0
2020-01-20,2069,2095,2054,2095,8749,0.0023923444976077235
2020-01-21,2069,2095,2069,2095,206,0.0
2020-01-22,0,0,0,2095,0,0.0
2020-01-23,0,0,0,2095,0,0.0
2020-01-28,0,0,0,2095,0,0.0
2020-01-29,0,0,0,2095,0,0.0
2020-01-30,0,0,0,2095,0,0.0
2020-01-31,0,0,0,2095,0,0.0
2020-02-03,0,0,0,2095,0,0.0
2020-02-04,0,0,0,2095,0,0.0
2020-02-05,0,0,0,2095,0,0.0
2020-02-06,0,0,0,2095,0,0.0
2020-02-07,0,0,0,2095,0,0.0
2020-02-10,0,0,0,2095,0,0.0
2020-02-11,0,0,0,2095,0,0.0
2020-02-12,0,0,0,2095,0,0.0
2020-02-13,0,0,0,2095,0,0.0
2020-02-14,0,0,0,2095,0,0.0
2020-02-17,0,0,0,2095,0,0.0
2020-02-18,0,0,0,2095,0,0.0
2020-02-19,0,0,0,2095,0,0.0
2020-02-20,0,0,0,2095,0,0.0
2020-02-21,0,0,0,2095,0,0.0
2020-02-24,0,0,0,2095,0,0.0
2020-02-25,0,0,0,2095,0,0.0
2020-02-26,0,0,0,2095,0,0.0
2020-02-27,0,0,0,2095,0,0.0
2020-02-28,0,0,0,2095,0,0.0
2020-03-02,0,0,0,2095,0,0.0
2020-03-03,0,0,0,2095,0,0.0
2020-03-04,0,0,0,2095,0,0.0
2020-03-05,0,0,0,2095,0,0.0
2020-03-06,0,0,0,2095,0,0.0
2020-03-09,0,0,0,2095,0,0.0
2020-03-10,0,0,0,2095,0,0.0
2020-03-11,0,0,0,2095,0,0.0
2020-03-12,0,0,0,2095,0,0.0
2020-03-13,0,0,0,2095,0,0.0
2020-03-16,0,0,0,2095,0,0.0
2020-03-17,0,0,0,2095,0,0.0
2020-03-18,0,0,0,2095,0,0.0
2020-03-19,0,0,0,2095,0,0.0
2020-03-20,0,0,0,2095,0,0.0
2020-03-23,0,0,0,2095,0,0.0
2020-03-24,0,0,0,2095,0,0.0
2020-03-25,0,0,0,2095,0,0.0
2020-03-26,0,0,0,2095,0,0.0
2020-03-27,0,0,0,2095,0,0.0
2020-03-30,0,0,0,2095,0,0.0
2020-03-31,0,0,0,2095,0,0.0
2020-04-01,0,0,0,2095,0,0.0
2020-04-02,0,0,0,2095,0,0.0
2020-04-03,0,0,0,2095,0,0.0
2020-04-06,0,0,0,2095,0,0.0
2020-04-07,0,0,0,2095,0,0.0
2020-04-08,0,0,0,2095,0,0.0
2020-04-09,0,0,0,2095,0,0.0
2020-04-10,0,0,0,2095,0,0.0
2020-04-13,0,0,0,2095,0,0.0
2020-04-14,0,0,0,2095,0,0.0
2020-04-16,0,0,0,2095,0,0.0
2020-04-17,0,0,0,2095,0,0.0
2020-04-20,2095,2200,2055,2055,398577,-0.019093078758949833
2020-04-21,2075,2085,1980,2020,49216,-0.01703163017031628
2020-04-22,2050,2050,1975,2010,12942,-0.004950495049504955
2020-04-23,2020,2020,1960,1990,52365,-0.00995024875621886
2020-04-24,2035,2035,1970,1985,7191,-0.002512562814070307
2020-04-27,1995,1995,1960,1960,21118,-0.012594458438287104
2020-04-28,2010,2010,1960,1970,5840,0.005102040816326481
2020-04-29,2000,2000,1965,1980,2706,0.0050761421319796
2020-05-04,2000,2030,1970,2025,28056,0.022727272727272707
2020-05-06,2030,2030,2005,2015,14628,-0.004938271604938316
2020-05-07,2025,2025,1995,2015,2819,0.0
2020-05-08,1995,2015,1995,2015,3386,0.0
2020-05-11,2015,2040,2010,2020,15682,0.002481389578163684
2020-05-12,2040,2040,2010,2020,9100,0.0
2020-05-13,2020,2050,2005,2050,24086,0.014851485148514865
2020-05-14,2040,2040,2020,2030,10276,-0.009756097560975618
2020-05-15,2040,2040,2020,2030,11266,0.0
2020-05-18,2020,2030,2015,2030,8540,0.0
2020-05-19,2030,2050,2025,2030,5902,0.0
2020-05-20,2030,2055,2020,2045,13696,0.00738916256157629
2020-05-21,2045,2050,2025,2035,42013,-0.004889975550122272
2020-05-22,2030,2055,2025,2050,7863,0.0073710073710073765
2020-05-25,2010,2045,2010,2040,3809,-0.004878048780487809
2020-05-26,2015,2055,2015,2025,2382,-0.007352941176470562
2020-05-27,2025,2035,2015,2025,31071,0.0
2020-05-28,2025,2040,2015,2025,26866,0.0
2020-05-29,2020,2045,2010,2035,11667,0.004938271604938205
2020-06-01,2050,2070,2035,2035,55281,0.0
2020-06-02,2060,2060,2025,2055,43756,0.00982800982800991
2020-06-03,2040,2060,2040,2055,45863,0.0
2020-06-04,2030,2075,2030,2065,74634,0.0048661800486617945
2020-06-05,2045,2180,2045,2145,418963,0.03874092009685226
2020-06-08,2165,2175,2125,2140,145200,-0.002331002331002363
2020-06-09,2150,2150,2105,2120,133964,-0.009345794392523366
2020-06-10,2120,2245,2110,2225,612393,0.04952830188679247
2020-06-11,2240,2650,2220,2445,2607898,0.09887640449438195
2020-06-12,2305,2460,2250,2440,613633,-0.002044989775051076
2020-06-15,2460,2710,2310,2375,1615425,-0.026639344262295084
2020-06-16,2475,2575,2425,2505,845743,0.054736842105263195
2020-06-17,2490,2510,2410,2425,335736,-0.031936127744510934
2020-06-18,2430,2500,2305,2430,466326,0.0020618556701030855
2020-06-19,2470,2600,2400,2550,810737,0.04938271604938271
2020-06-22,2645,3315,2585,3315,2906088,0.30000000000000004
2020-06-23,3585,3685,2965,3100,2820066,-0.06485671191553544
2020-06-24,3060,3240,2930,3070,1080762,-0.009677419354838679
2020-06-25,2995,3280,2940,3185,1379472,0.037459283387622166
2020-06-26,3150,3195,3030,3070,339212,-0.03610675039246469
2020-06-29,3035,3100,2900,2950,205663,-0.039087947882736174
2020-06-30,3035,3045,2850,2850,243487,-0.03389830508474578
2020-07-01,2850,2900,2780,2790,201788,-0.021052631578947323
2020-07-02,2785,3150,2785,2965,364868,0.06272401433691766
2020-07-03,2965,3010,2910,2940,88684,-0.00843170320404718
2020-07-06,2995,2995,2835,2850,117688,-0.030612244897959218
2020-07-07,2860,2980,2815,2845,94518,-0.0017543859649122862
2020-07-08,2880,2985,2825,2940,92718,0.033391915641476366
2020-07-09,2990,2990,2875,2965,76006,0.008503401360544283
2020-07-10,2995,3290,2975,3150,568330,0.062394603709949426
2020-07-13,3185,3185,3060,3095,116399,-0.01746031746031751
2020-07-14,3110,3245,3070,3175,300186,0.025848142164781818
2020-07-15,3170,3255,3140,3195,192618,0.006299212598425141
2020-07-16,3180,3290,3135,3180,134407,-0.0046948356807511304
2020-07-17,3180,3990,3140,3665,2316644,0.15251572327044016
2020-07-20,3540,3540,3375,3375,583943,-0.07912687585266032
2020-07-21,3375,3950,3305,3590,1696899,0.0637037037037036
2020-07-22,3545,3790,3510,3560,415703,-0.00835654596100277
2020-07-23,3560,3735,3490,3655,240113,0.026685393258427004
2020-07-24,3610,3695,3520,3580,173817,-0.020519835841313228
2020-07-27,3580,3935,3520,3700,547526,0.033519553072625774
2020-07-28,3680,3910,3665,3840,263094,0.037837837837837895
2020-07-29,3830,4020,3750,3935,218737,0.02473958333333326
2020-07-30,3900,4370,3900,4005,435851,0.017789072426937835
2020-07-31,4045,4350,3970,3970,492617,-0.008739076154806513
2020-08-03,4055,4195,3905,3970,226013,0.0
2020-08-04,3975,4070,3760,3900,239695,-0.017632241813602012
2020-08-05,3840,3995,3465,3465,353068,-0.11153846153846159
2020-08-06,3550,3895,3295,3460,437062,-0.0014430014430014682
2020-08-07,3460,3490,3270,3280,221675,-0.052023121387283267
2020-08-10,3480,3630,3310,3605,279594,0.09908536585365857
2020-08-11,3630,3640,3445,3580,165794,-0.006934812760055475
2020-08-12,3580,3600,3460,3495,77104,-0.023743016759776525
2020-08-13,3495,3545,3420,3480,83491,-0.0042918454935622075
2020-08-14,3510,3540,3200,3320,146525,-0.04597701149425293
2020-08-18,3315,3315,2800,2900,189843,-0.12650602409638556
2020-08-19,2930,3010,2750,2775,137554,-0.0431034482758621
2020-08-20,2780,2850,2550,2640,177672,-0.048648648648648596
2020-08-21,2680,2750,2585,2730,77593,0.03409090909090917
2020-08-24,2730,2785,2605,2750,68405,0.0073260073260073
2020-08-25,2760,3400,2725,2985,825109,0.08545454545454545
2020-08-26,3005,3070,2910,2965,169224,-0.00670016750418756
2020-08-27,3005,3005,2820,2865,107006,-0.033726812816188834
2020-08-28,2850,2865,2780,2810,74154,-0.01919720767888311
2020-08-31,2835,2835,2715,2740,102808,-0.02491103202846978
2020-09-01,2740,2845,2705,2790,50112,0.018248175182481674
2020-09-02,2790,2815,2745,2795,56818,0.0017921146953405742
2020-09-03,2795,2850,2765,2810,98802,0.005366726296958779
2020-09-04,2705,2800,2575,2695,134733,-0.040925266903914626
2020-09-07,2695,2700,2610,2660,124257,-0.012987012987012991
2020-09-08,2660,2690,2600,2620,136907,-0.015037593984962405
2020-09-09,2590,2640,2565,2620,104956,0.0
2020-09-10,2620,2635,2595,2620,73898,0.0
2020-09-11,2590,2635,2515,2515,130927,-0.040076335877862634
2020-09-14,2585,2585,2480,2505,86718,-0.003976143141153132
2020-09-15,2505,2550,2480,2525,56274,0.007984031936127733
2020-09-16,2525,2645,2505,2610,186641,0.03366336633663369
2020-09-17,2625,3090,2580,2765,1396170,0.059386973180076685
2020-09-18,2765,2770,2645,2695,175127,-0.025316455696202556
2020-09-21,2705,2830,2665,2775,296874,0.029684601113172615
2020-09-22,2775,2800,2500,2650,168645,-0.04504504504504503
2020-09-23,2680,2725,2580,2650,122326,0.0
2020-09-24,2590,2700,2465,2475,150189,-0.06603773584905659
2020-09-25,2480,2595,2420,2475,51215,0.0
2020-09-28,2475,2535,2475,2510,24734,0.014141414141414232
2020-09-29,2560,2590,2480,2495,48760,-0.005976095617529875
2020-10-05,2515,2590,2505,2535,51471,0.01603206412825653
2020-10-06,2510,2550,2500,2550,40466,0.00591715976331364
2020-10-07,2550,2640,2505,2640,60299,0.03529411764705892
2020-10-08,2640,2695,2610,2650,64223,0.0037878787878788955
2020-10-12,2650,2740,2625,2720,157642,0.026415094339622636
2020-10-13,2740,2740,2625,2725,127296,0.0018382352941177516
2020-10-14,2725,2750,2615,2635,107396,-0.03302752293577982
2020-10-15,2600,2655,2565,2590,77151,-0.017077798861480087
2020-10-16,2570,2700,2485,2575,68193,-0.00579150579150578
2020-10-19,2575,2675,2530,2570,62064,-0.001941747572815511
2020-10-20,2570,2700,2540,2665,202860,0.03696498054474717
2020-10-21,2670,2680,2590,2665,94235,0.0
2020-10-22,2665,2700,2610,2665,370124,0.0
2020-10-23,2760,2980,2640,2640,1946457,-0.009380863039399667
2020-10-26,2640,2640,2475,2480,222609,-0.06060606060606055
2020-10-27,2480,2500,2415,2490,116137,0.0040322580645162365
2020-10-28,2455,2585,2455,2515,78187,0.010040160642570184
2020-10-29,2490,2550,2455,2500,49793,-0.005964214711729587
2020-10-30,2530,2530,2435,2470,80819,-0.01200000000000001
2020-11-02,2470,2530,2460,2495,91784,0.010121457489878471
2020-11-03,2500,2535,2460,2495,83703,0.0
2020-11-04,2510,2595,2475,2580,94961,0.03406813627254501
2020-11-05,2575,2615,2555,2610,73287,0.011627906976744207
2020-11-06,2640,2645,2530,2645,137277,0.013409961685823646
2020-11-09,2665,2710,2645,2705,200900,0.022684310018903586
2020-11-10,2800,2805,2655,2655,242009,-0.01848428835489835
2020-11-11,2740,2740,2655,2695,140951,0.015065913370998052
2020-11-12,2700,2705,2625,2655,73998,-0.014842300556586308
2020-11-13,2655,2670,2550,2655,48301,0.0
2020-11-16,2690,2720,2620,2665,100050,0.0037664783427495685
