Date,Open,High,Low,Close,Volume,Change
2011-01-03,2630,2775,2600,2720,66834,0.034220532319391594
2011-01-04,2720,2770,2700,2725,25901,0.0018382352941177516
2011-01-05,2695,2800,2695,2715,31648,-0.003669724770642202
2011-01-06,2795,2810,2720,2720,86842,0.0018416206261511192
2011-01-07,2720,2820,2710,2795,32068,0.02757352941176472
2011-01-10,2750,2960,2740,2895,190327,0.035778175313059046
2011-01-11,2915,2915,2795,2890,88248,-0.0017271157167529916
2011-01-12,2810,2970,2810,2910,64512,0.006920415224913601
2011-01-13,2860,2945,2790,2800,51082,-0.037800687285223344
2011-01-14,2850,2860,2755,2830,72570,0.010714285714285676
2011-01-17,2830,2875,2740,2830,20134,0.0
2011-01-18,2890,2890,2685,2715,71361,-0.04063604240282681
2011-01-19,2700,2720,2625,2655,71331,-0.02209944751381221
2011-01-20,2675,2700,2610,2635,63407,-0.007532956685499026
2011-01-21,2600,2785,2590,2695,122192,0.022770398481973375
2011-01-24,2795,2795,2680,2690,23597,-0.0018552875695733162
2011-01-25,2690,2735,2615,2690,45450,0.0
2011-01-26,2660,2730,2660,2680,41517,-0.0037174721189591198
2011-01-27,2725,2750,2645,2675,74184,-0.001865671641791078
2011-01-28,2680,2755,2630,2675,32971,0.0
2011-01-31,2700,2700,2580,2580,62642,-0.03551401869158877
2011-02-01,2600,2640,2540,2580,46641,0.0
2011-02-07,2570,2690,2570,2630,50263,0.019379844961240345
2011-02-08,2640,2695,2610,2630,33935,0.0
2011-02-09,2610,2680,2550,2600,62017,-0.011406844106463865
2011-02-10,2600,2600,2540,2575,21657,-0.009615384615384581
2011-02-11,2620,2720,2530,2575,80029,0.0
2011-02-14,2590,2590,2470,2565,51526,-0.003883495145631022
2011-02-15,2600,2610,2500,2510,40200,-0.021442495126705707
2011-02-16,2590,2590,2455,2495,30471,-0.005976095617529875
2011-02-17,2495,2545,2330,2400,83628,-0.038076152304609256
2011-02-18,2400,2590,2380,2545,65964,0.06041666666666656
2011-02-21,2540,2610,2540,2560,26733,0.005893909626718985
2011-02-22,2510,2560,2440,2475,46058,-0.033203125
2011-02-23,2410,2470,2390,2425,61546,-0.02020202020202022
2011-02-24,2395,2415,2355,2410,45256,-0.006185567010309256
2011-02-25,2400,2445,2365,2410,25439,0.0
2011-02-28,2410,2495,2395,2425,53083,0.006224066390041472
2011-03-02,2500,2750,2495,2615,257569,0.07835051546391747
2011-03-03,2645,2700,2600,2650,97554,0.013384321223709472
2011-03-04,2705,2745,2595,2635,125733,-0.005660377358490565
2011-03-07,2635,2650,2600,2610,79345,-0.009487666034155628
2011-03-08,2540,2630,2540,2615,63677,0.0019157088122605526
2011-03-09,2615,2640,2560,2570,67953,-0.017208413001912004
2011-03-10,2570,2630,2550,2605,49719,0.013618677042801508
2011-03-11,2570,2610,2530,2610,46617,0.0019193857965451588
2011-03-14,2600,2700,2565,2615,70284,0.0019157088122605526
2011-03-15,2615,2650,2450,2450,68760,-0.06309751434034416
2011-03-16,2485,2490,2395,2440,75135,-0.004081632653061273
2011-03-17,2400,2400,2315,2395,45246,-0.018442622950819665
2011-03-18,2405,2575,2400,2520,77069,0.05219206680584554
2011-03-21,2590,2620,2485,2530,55556,0.003968253968253954
2011-03-22,2485,2600,2485,2570,31325,0.015810276679841806
2011-03-23,2625,2625,2520,2560,54890,-0.0038910505836575737
2011-03-24,2560,2605,2540,2590,66601,0.01171875
2011-03-25,2630,2640,2570,2570,61131,-0.007722007722007707
2011-03-28,2560,2625,2505,2550,51193,-0.0077821011673151474
2011-03-29,2500,2560,2500,2560,76754,0.0039215686274509665
2011-03-30,2560,2720,2540,2655,106311,0.037109375
2011-03-31,2655,2720,2580,2600,83468,-0.020715630885122405
2011-04-01,2600,2650,2530,2570,56972,-0.011538461538461497
2011-04-04,2580,2675,2580,2590,45644,0.0077821011673151474
2011-04-05,2635,2635,2540,2550,51465,-0.015444015444015413
2011-04-06,2550,2595,2510,2540,99433,-0.0039215686274509665
2011-04-07,2525,2570,2515,2515,73896,-0.009842519685039353
2011-04-08,2515,2855,2495,2720,358703,0.08151093439363821
2011-04-11,2800,2905,2720,2800,364100,0.02941176470588225
2011-04-12,2815,2905,2775,2775,222654,-0.008928571428571397
2011-04-13,2780,2870,2745,2870,185982,0.03423423423423433
2011-04-14,2880,3035,2880,3020,586531,0.05226480836236935
2011-04-15,3065,3085,2930,2975,211883,-0.01490066225165565
2011-04-18,2980,3080,2930,2960,217529,-0.005042016806722671
2011-04-19,2950,2955,2805,2805,219737,-0.05236486486486491
2011-04-20,2830,2895,2830,2840,120651,0.012477718360071277
2011-04-21,2895,2950,2800,2845,222539,0.0017605633802817433
2011-04-22,2860,2910,2835,2845,89881,0.0
2011-04-25,2830,2910,2805,2860,128347,0.005272407732864748
2011-04-26,2895,3265,2860,3120,1448034,0.09090909090909083
2011-04-27,3150,3240,2950,2995,432304,-0.04006410256410253
2011-04-28,3000,3030,2850,2900,174652,-0.03171953255425708
2011-04-29,2985,2985,2800,2800,157016,-0.03448275862068961
2011-05-02,2775,2825,2765,2825,90941,0.008928571428571397
2011-05-03,2850,2860,2775,2830,80812,0.001769911504424737
2011-05-04,2830,2895,2740,2795,84386,-0.012367491166077715
2011-05-06,2755,3000,2660,2940,510726,0.051878354203935606
2011-05-09,2980,3055,2925,2985,216003,0.015306122448979664
2011-05-11,2985,3115,2945,3025,239503,0.01340033500837512
2011-05-12,2960,3080,2960,3015,165929,-0.0033057851239669533
2011-05-13,3100,3100,2920,2970,141823,-0.014925373134328401
2011-05-16,2950,3020,2925,3020,79730,0.01683501683501687
2011-05-17,3040,3040,2930,2990,69135,-0.009933774834437137
2011-05-18,3030,3030,2920,2960,100259,-0.010033444816053505
2011-05-19,2955,2980,2745,2750,208299,-0.07094594594594594
2011-05-20,2815,2815,2680,2695,106145,-0.020000000000000018
2011-05-23,2695,2750,2640,2675,67062,-0.007421150278293154
2011-05-24,2675,2720,2650,2680,52656,0.0018691588785046953
2011-05-25,2660,2735,2620,2620,51579,-0.02238805970149249
2011-05-26,2660,2815,2630,2790,62217,0.06488549618320616
2011-05-27,2845,2845,2780,2820,30810,0.010752688172043001
2011-05-30,2830,2835,2770,2820,28174,0.0
2011-05-31,2820,2880,2705,2815,67910,-0.0017730496453900457
2011-06-01,2815,2840,2790,2840,32974,0.008880994671403242
2011-06-02,2820,2820,2700,2760,146785,-0.028169014084507005
2011-06-03,2760,2845,2760,2815,94062,0.019927536231884035
2011-06-07,2750,2825,2740,2755,48756,-0.02131438721136769
2011-06-08,2770,2815,2685,2750,43157,-0.001814882032667886
2011-06-09,2750,2775,2700,2770,10418,0.0072727272727273196
2011-06-10,2770,2815,2750,2770,17811,0.0
2011-06-13,2680,2750,2605,2680,66217,-0.032490974729241895
2011-06-14,2600,2690,2550,2660,78550,-0.007462686567164201
2011-06-15,2680,2755,2660,2715,65383,0.020676691729323293
2011-06-16,2700,2700,2600,2640,36594,-0.027624309392265234
2011-06-17,2720,3035,2600,2885,1000802,0.09280303030303028
2011-06-20,3090,3235,3000,3000,1210339,0.03986135181975747
2011-06-21,3100,3100,2850,3010,514953,0.0033333333333334103
2011-06-22,3010,3460,2970,3460,1975235,0.1495016611295681
2011-06-23,3670,3865,3515,3695,4230139,0.06791907514450868
2011-06-24,3750,4030,3630,3880,3603493,0.05006765899864685
2011-06-27,3935,3935,3410,3410,1913079,-0.12113402061855671
2011-06-28,3450,3555,3315,3390,1232205,-0.0058651026392961825
2011-06-29,3455,3620,3390,3425,2006642,0.010324483775811188
2011-06-30,3435,3565,3210,3275,1510434,-0.04379562043795615
2011-07-01,3350,3395,3270,3300,1013611,0.007633587786259444
2011-07-04,3300,3375,3130,3280,934717,-0.0060606060606061
2011-07-05,3300,3605,3195,3605,1705900,0.09908536585365857
2011-07-06,3540,3610,3440,3535,1013275,-0.01941747572815533
2011-07-07,3570,3665,3510,3630,1010263,0.026874115983026803
2011-07-08,3630,3680,3555,3630,757994,0.0
2011-07-11,3570,3620,3500,3580,366419,-0.01377410468319562
2011-07-12,3520,3575,3330,3400,373412,-0.05027932960893855
2011-07-13,3385,3500,3330,3405,305226,0.0014705882352941124
2011-07-14,3390,3510,3300,3305,300995,-0.029368575624082238
2011-07-15,3305,3375,3230,3270,291013,-0.010590015128593033
2011-07-18,3270,3535,3260,3535,376712,0.08103975535168195
2011-07-19,3545,3565,3450,3550,245087,0.004243281471004279
2011-07-20,3630,4045,3580,3940,2520747,0.10985915492957754
2011-07-21,3890,3920,3725,3850,791963,-0.022842639593908642
2011-07-22,3810,3925,3755,3755,558010,-0.024675324675324628
2011-07-25,3755,3790,3565,3565,376580,-0.05059920106524629
2011-07-26,3555,3625,3300,3500,439121,-0.018232819074333828
2011-07-27,3535,3575,3470,3535,218418,0.010000000000000009
