Date,Open,High,Low,Close,Volume,Change
2011-01-03,1990,2030,1940,2015,211082,0.04404145077720201
2011-01-04,1965,2015,1955,2000,126255,-0.007444168734491274
2011-01-05,2050,2100,2000,2030,170318,0.014999999999999902
2011-01-06,2015,2070,1995,2010,145884,-0.009852216748768461
2011-01-07,1980,2040,1975,2000,206268,-0.00497512437810943
2011-01-10,2060,2065,1930,1935,325286,-0.03249999999999997
2011-01-11,1960,2145,1860,2080,817116,0.07493540051679592
2011-01-12,2100,2150,2040,2115,481296,0.016826923076923128
2011-01-13,2145,2150,2050,2075,346598,-0.01891252955082745
2011-01-14,2075,2100,1980,2035,295098,-0.01927710843373498
2011-01-17,2035,2040,1940,1985,310441,-0.02457002457002455
2011-01-18,2040,2110,1940,1985,292003,0.0
2011-01-19,1960,2000,1890,1910,203680,-0.03778337531486142
2011-01-20,1890,1925,1865,1920,180140,0.005235602094240788
2011-01-21,1950,1950,1850,1880,227219,-0.02083333333333337
2011-01-24,1895,1900,1785,1865,145426,-0.007978723404255317
2011-01-25,1855,1900,1840,1860,104633,-0.002680965147453085
2011-01-26,1870,1975,1830,1885,200315,0.013440860215053752
2011-01-27,1905,2070,1870,2030,465165,0.07692307692307687
2011-01-28,2055,2090,1980,2035,240529,0.0024630541871921707
2011-01-31,2010,2105,1955,2070,289612,0.017199017199017286
2011-02-01,2105,2110,2020,2075,253962,0.0024154589371980784
2011-02-07,2080,2105,2030,2040,232239,-0.016867469879518038
2011-02-08,2020,2080,2010,2070,159156,0.014705882352941124
2011-02-09,2070,2380,2050,2380,1863803,0.1497584541062802
2011-02-10,2460,2675,2420,2510,2319981,0.054621848739495826
2011-02-11,2500,2660,2420,2555,1188151,0.017928286852589626
2011-02-14,2520,2880,2520,2835,1457438,0.1095890410958904
2011-02-15,2815,2865,2665,2850,929035,0.005291005291005346
2011-02-16,2850,2985,2750,2900,785365,0.01754385964912286
2011-02-17,2880,2900,2725,2725,547757,-0.06034482758620685
2011-02-18,2780,2905,2695,2850,540603,0.04587155963302747
2011-02-21,3030,3040,2865,2880,448298,0.010526315789473717
2011-02-22,2860,2860,2735,2810,321400,-0.02430555555555558
2011-02-23,2730,2825,2535,2700,409046,-0.039145907473309594
2011-02-24,2700,2735,2500,2530,238280,-0.062962962962963
2011-02-25,2550,2800,2550,2780,370782,0.09881422924901195
2011-02-28,2820,2860,2600,2705,479683,-0.026978417266187105
2011-03-02,2620,2730,2520,2625,377682,-0.02957486136783738
2011-03-03,2630,2760,2630,2730,268970,0.040000000000000036
2011-03-04,2730,2750,2640,2710,263768,-0.0073260073260073
2011-03-07,2850,3115,2770,3115,823177,0.14944649446494473
2011-03-08,3270,3290,3000,3130,1809293,0.0048154093097914075
2011-03-09,3185,3185,3000,3135,1084536,0.0015974440894568342
2011-03-10,3140,3145,2675,2750,1370439,-0.1228070175438597
2011-03-11,2650,2850,2600,2710,657882,-0.014545454545454528
2011-03-14,2670,2710,2350,2450,817539,-0.09594095940959413
2011-03-15,2490,2515,2225,2405,651275,-0.01836734693877551
2011-03-16,2415,2480,2325,2430,407556,0.01039501039501034
2011-03-17,2340,2465,2300,2465,332372,0.014403292181069949
2011-03-18,2480,2555,2450,2465,392430,0.0
2011-03-21,2460,2580,2460,2575,233281,0.04462474645030423
2011-03-22,2590,2760,2510,2630,527406,0.021359223300970953
2011-03-23,2650,2670,2545,2575,154824,-0.020912547528517123
2011-03-24,2575,2600,2500,2540,204389,-0.013592233009708687
2011-03-25,2600,2685,2550,2675,312604,0.053149606299212504
2011-03-28,2705,2950,2680,2865,823159,0.07102803738317753
2011-03-29,2800,2955,2750,2850,462197,-0.005235602094240788
2011-03-30,2915,2915,2800,2850,227137,0.0
2011-03-31,2895,3000,2800,2840,1355946,-0.0035087719298245723
2011-04-01,2885,2895,2805,2830,342038,-0.0035211267605633756
2011-04-04,2875,2875,2760,2800,325352,-0.010600706713780883
2011-04-05,2800,2830,2755,2810,286855,0.0035714285714285587
2011-04-06,2865,2960,2815,2900,794268,0.03202846975088969
2011-04-07,2940,3000,2825,2930,1079033,0.010344827586206806
2011-04-08,2910,2960,2840,2895,483909,-0.011945392491467532
2011-04-11,2905,3000,2865,3000,690691,0.03626943005181338
2011-04-12,3000,3040,2935,2980,615869,-0.00666666666666671
2011-04-13,2990,2990,2800,2930,538647,-0.016778523489932917
2011-04-14,2930,3010,2840,2985,526862,0.018771331058020424
2011-04-15,3000,3105,2950,3090,564783,0.035175879396984966
2011-04-18,3160,3190,3030,3070,439722,-0.006472491909385147
2011-04-19,3220,3355,3090,3180,1549863,0.03583061889250816
2011-04-20,3240,3300,3120,3280,1052219,0.03144654088050314
2011-04-21,3365,3500,3280,3440,2169075,0.04878048780487809
2011-04-22,3440,3525,3300,3315,726571,-0.036337209302325535
2011-04-25,3315,3345,3145,3175,665690,-0.042232277526395134
2011-04-26,3220,3260,3110,3110,576749,-0.020472440944881876
2011-04-27,3150,3330,3070,3070,590752,-0.012861736334405127
2011-04-28,3120,3150,3030,3030,337130,-0.013029315960912058
2011-04-29,3050,3070,2810,2965,458765,-0.021452145214521434
2011-05-02,3000,3025,2870,2940,337769,-0.00843170320404718
2011-05-03,2920,2970,2785,2800,370048,-0.04761904761904767
2011-05-04,2795,2885,2605,2690,588571,-0.03928571428571426
2011-05-06,2635,2710,2500,2655,429935,-0.013011152416356864
2011-05-09,2660,2765,2620,2735,277934,0.030131826741996326
2011-05-11,2750,2840,2750,2830,294296,0.034734917733089565
2011-05-12,2760,2880,2725,2830,186321,0.0
2011-05-13,2890,2900,2775,2900,223129,0.02473498233215543
2011-05-16,2950,2950,2825,2825,236770,-0.025862068965517238
2011-05-17,2800,2800,2650,2650,303580,-0.06194690265486724
2011-05-18,2630,2730,2550,2650,253239,0.0
2011-05-19,2650,2695,2475,2530,285384,-0.04528301886792452
2011-05-20,2465,2555,2380,2490,233688,-0.015810276679841917
2011-05-23,2490,2490,2345,2350,238733,-0.05622489959839361
2011-05-24,2350,2410,2250,2370,235345,0.008510638297872353
2011-05-25,2325,2510,2250,2250,315793,-0.05063291139240511
2011-05-26,2320,2585,2300,2585,615990,0.14888888888888885
2011-05-27,2650,2780,2540,2590,858961,0.0019342359767891004
2011-05-30,2640,2650,2415,2500,297604,-0.03474903474903479
2011-05-31,2555,2575,2440,2470,208502,-0.01200000000000001
2011-06-01,2540,2540,2325,2380,362281,-0.036437246963562764
2011-06-02,2290,2365,2250,2350,204397,-0.012605042016806678
2011-06-03,2355,2395,2280,2310,164302,-0.017021276595744705
2011-06-07,2270,2380,2250,2350,96809,0.017316017316017396
2011-06-08,2350,2415,2285,2350,122357,0.0
2011-06-09,2305,2395,2305,2355,105840,0.0021276595744681437
2011-06-10,2355,2390,2205,2205,134527,-0.06369426751592355
2011-06-13,2070,2175,1950,2000,472502,-0.09297052154195007
2011-06-14,1995,2075,1945,2030,229086,0.014999999999999902
2011-06-15,2035,2130,2035,2080,177311,0.024630541871921263
2011-06-16,2050,2070,2010,2050,93263,-0.014423076923076872
2011-06-17,2040,2085,1950,2085,174482,0.017073170731707332
2011-06-20,2040,2075,1955,1960,220154,-0.05995203836930452
2011-06-21,1960,1985,1845,1880,311911,-0.04081632653061229
2011-06-22,1920,1950,1905,1935,163801,0.0292553191489362
2011-06-23,1910,1950,1875,1875,111208,-0.03100775193798455
