Date,Open,High,Low,Close,Volume,Change
2011-01-03,2440,2460,2405,2430,165667,0.004132231404958775
2011-01-04,2445,2470,2410,2430,148585,0.0
2011-01-05,2430,2480,2420,2450,125809,0.008230452674897082
2011-01-06,2465,2515,2425,2450,448311,0.0
2011-01-07,2455,2485,2410,2440,325440,-0.004081632653061273
2011-01-10,2450,2520,2420,2520,301606,0.032786885245901676
2011-01-11,2515,2520,2470,2510,197866,-0.003968253968253954
2011-01-12,2730,2780,2535,2535,903694,0.009960159362549792
2011-01-13,2520,2550,2450,2470,315814,-0.02564102564102566
2011-01-14,2480,2490,2440,2450,196635,-0.0080971659919028
2011-01-17,2455,2480,2430,2430,133074,-0.008163265306122436
2011-01-18,2460,2460,2425,2440,102534,0.004115226337448652
2011-01-19,2440,2460,2410,2440,160197,0.0
2011-01-20,2430,2440,2380,2405,145905,-0.014344262295082011
2011-01-21,2390,2550,2380,2515,637174,0.04573804573804563
2011-01-24,2570,2570,2480,2500,305302,-0.005964214711729587
2011-01-25,2525,2525,2460,2470,154962,-0.01200000000000001
2011-01-26,2470,2515,2455,2500,160455,0.012145748987854255
2011-01-27,2575,2680,2430,2430,1450936,-0.028000000000000025
2011-01-28,2435,2485,2390,2400,240940,-0.012345679012345734
2011-01-31,2400,2430,2295,2335,177616,-0.027083333333333348
2011-02-01,2310,2350,2295,2300,197047,-0.01498929336188437
2011-02-07,2310,2380,2300,2320,87317,0.008695652173912993
2011-02-08,2350,2355,2305,2320,91516,0.0
2011-02-09,2320,2335,2275,2290,142530,-0.012931034482758674
2011-02-10,2305,2325,2270,2285,58413,-0.0021834061135370675
2011-02-11,2285,2320,2240,2320,127938,0.015317286652078765
2011-02-14,2310,2345,1975,2220,297196,-0.0431034482758621
2011-02-15,2275,2275,2105,2195,272576,-0.011261261261261257
2011-02-16,2150,2225,2130,2175,135921,-0.009111617312072884
2011-02-17,2200,2220,2020,2100,126768,-0.03448275862068961
2011-02-18,2115,2240,2050,2240,264604,0.06666666666666665
2011-02-21,2210,2330,2175,2210,681060,-0.013392857142857095
2011-02-22,2200,2210,2130,2185,165923,-0.011312217194570096
2011-02-23,2185,2225,2140,2155,95049,-0.013729977116704761
2011-02-24,2180,2225,2155,2185,84379,0.0139211136890951
2011-02-25,2215,2215,2170,2200,46763,0.006864988558352492
2011-02-28,2190,2245,2175,2215,68607,0.006818181818181834
2011-03-02,2185,2255,2185,2240,74864,0.011286681715575675
2011-03-03,2260,2285,2230,2250,101445,0.0044642857142858094
2011-03-04,2280,2300,2220,2300,98549,0.022222222222222143
2011-03-07,2295,2325,2255,2275,31751,-0.010869565217391353
2011-03-08,2300,2315,2245,2290,53058,0.00659340659340657
2011-03-09,2310,2310,2250,2275,79589,-0.0065502183406113135
2011-03-10,2280,2360,2235,2250,233755,-0.01098901098901095
2011-03-11,2230,2245,2170,2180,125155,-0.03111111111111109
2011-03-14,2180,2210,2100,2105,122556,-0.0344036697247706
2011-03-15,2100,2140,1920,2020,493212,-0.040380047505938266
