Date,Open,High,Low,Close,Volume,Change
2011-01-03,3120,3120,3110,3110,1150,-0.0032051282051281937
2011-01-04,3090,3110,3010,3110,5440,0.0
2011-01-05,3070,3110,3070,3110,5440,0.0
2011-01-06,3110,3120,3110,3120,1270,0.003215434083601254
2011-01-07,3110,3260,3080,3210,10340,0.028846153846153744
2011-01-10,3200,3310,3200,3220,16070,0.0031152647975076775
2011-01-11,3210,3210,3110,3130,3347,-0.02795031055900621
2011-01-12,3100,3140,3090,3120,5620,-0.0031948881789137795
2011-01-13,3120,3130,3090,3120,2200,0.0
2011-01-14,3110,3130,3090,3100,5800,-0.0064102564102563875
2011-01-17,3110,3130,3100,3130,2733,0.00967741935483879
2011-01-18,3130,3130,3100,3100,2770,-0.009584664536741228
2011-01-19,3100,3100,3090,3100,1970,0.0
2011-01-20,3090,3090,3070,3090,1790,-0.003225806451612856
2011-01-21,3070,3090,3070,3080,1730,-0.003236245954692518
2011-01-24,3060,3100,3060,3100,720,0.006493506493506551
2011-01-25,3110,3110,3050,3100,3090,0.0
2011-01-26,3060,3090,3060,3090,1870,-0.003225806451612856
2011-01-27,3070,3090,3060,3080,790,-0.003236245954692518
2011-01-28,3070,3080,3070,3080,340,0.0
2011-01-31,3060,3120,3060,3120,1910,0.01298701298701288
2011-02-01,3060,3080,3060,3070,380,-0.01602564102564108
2011-02-07,3080,3080,3060,3070,1560,0.0
2011-02-08,3060,3070,3060,3070,176,0.0
2011-02-09,3050,3050,3050,3050,480,-0.006514657980456029
2011-02-10,3040,3050,3000,3050,1360,0.0
2011-02-11,3100,3100,3020,3060,1680,0.003278688524590123
2011-02-14,3020,3060,3020,3060,4320,0.0
2011-02-15,3030,3060,2980,3060,3430,0.0
2011-02-16,3050,3060,3000,3050,2680,-0.0032679738562091387
2011-02-17,3010,3040,2990,3020,42530,-0.00983606557377048
2011-02-18,3010,3010,2990,2990,38240,-0.009933774834437137
2011-02-21,2990,3000,2970,3000,5650,0.0033444816053511683
2011-02-22,2990,3000,2900,2940,13110,-0.020000000000000018
2011-02-23,2940,3000,2940,2980,1100,0.013605442176870763
2011-02-24,2970,3000,2970,3000,310,0.006711409395973256
2011-02-25,2990,3010,2990,3010,670,0.0033333333333334103
2011-02-28,3000,3030,2990,3020,2320,0.0033222591362125353
2011-03-02,3000,3000,3000,3000,430,-0.0066225165562914245
2011-03-03,3000,3010,3000,3010,350,0.0033333333333334103
2011-03-04,3000,3030,3000,3030,780,0.006644518272425293
2011-03-07,3000,3030,3000,3030,400,0.0
2011-03-08,3010,3040,3000,3040,1000,0.0033003300330032292
2011-03-09,3020,3060,3020,3060,1210,0.006578947368421018
2011-03-10,3030,3070,3020,3050,450,-0.0032679738562091387
2011-03-11,3020,3050,3020,3050,640,0.0
2011-03-14,3020,3040,3020,3040,860,-0.003278688524590123
2011-03-15,3030,3030,3000,3020,1890,-0.006578947368421018
2011-03-16,3020,3030,3020,3030,20,0.0033112582781456013
2011-03-17,3020,3030,3000,3030,1720,0.0
2011-03-18,3020,3030,3010,3030,40,0.0
