Date,Open,High,Low,Close,Volume,Change
2011-01-03,8830,8860,8750,8800,92694,0.0
2011-01-04,8900,8900,8800,8800,65928,0.0
2011-01-05,8850,8850,8750,8760,105519,-0.004545454545454519
2011-01-06,8740,8790,8670,8680,71321,-0.0091324200913242
2011-01-07,8680,8690,8630,8660,67513,-0.0023041474654378336
2011-01-10,8660,8750,8660,8720,62502,0.006928406466512715
2011-01-11,8700,8710,8640,8670,63883,-0.005733944954128489
2011-01-12,8670,8720,8650,8670,69715,0.0
2011-01-13,8670,8670,8580,8580,133593,-0.01038062283737029
2011-01-14,8590,8660,8490,8530,77292,-0.005827505827505797
2011-01-17,8490,8560,8420,8430,66480,-0.011723329425556872
2011-01-18,8400,8490,8300,8310,93252,-0.014234875444839812
2011-01-19,8320,8350,8250,8330,89397,0.002406738868832692
2011-01-20,8380,8380,8270,8310,45790,-0.0024009603841537164
2011-01-21,8310,8450,8290,8380,47447,0.008423586040914532
2011-01-24,8440,8440,8330,8330,26532,-0.005966587112171795
2011-01-25,8340,8420,8260,8260,56090,-0.008403361344537785
2011-01-26,8260,8370,8260,8350,40793,0.010895883777239712
2011-01-27,8350,8410,8290,8300,34492,-0.005988023952095856
2011-01-28,8370,8370,8260,8270,55149,-0.0036144578313253017
2011-01-31,8250,8290,8210,8260,20414,-0.0012091898428052694
2011-02-01,8260,8290,8210,8270,20161,0.001210653753026536
2011-02-07,8300,8430,8300,8400,34831,0.01571946795646917
2011-02-08,8430,8430,8360,8430,34062,0.0035714285714285587
2011-02-09,8430,8440,8390,8390,30274,-0.004744958481613271
2011-02-10,8390,8400,8260,8310,35530,-0.009535160905840279
2011-02-11,8270,8360,8190,8200,59072,-0.013237063778580027
2011-02-14,8260,8340,8210,8310,40959,0.013414634146341475
2011-02-15,8250,8380,8250,8320,27700,0.001203369434416457
2011-02-16,8370,8370,8260,8320,25955,0.0
2011-02-17,8320,8350,8280,8280,34023,-0.004807692307692291
2011-02-18,8290,8340,8280,8340,27598,0.007246376811594235
2011-02-21,8350,8380,8270,8340,35431,0.0
2011-02-22,8340,8340,8200,8230,36337,-0.013189448441247031
2011-02-23,8180,8270,8180,8200,28701,-0.0036452004860266785
2011-02-24,8200,8250,8200,8210,18120,0.0012195121951219523
2011-02-25,8250,8270,8200,8270,19344,0.0073081607795371095
2011-02-28,8280,8290,8210,8270,16713,0.0
2011-03-02,8250,8280,8210,8220,15490,-0.006045949214026569
2011-03-03,8220,8270,8200,8250,22429,0.0036496350364962904
2011-03-04,8250,8460,8250,8340,25501,0.01090909090909098
2011-03-07,8370,8400,8300,8310,18813,-0.003597122302158251
2011-03-08,8340,8350,8290,8340,16936,0.0036101083032491488
2011-03-09,8310,8400,8300,8400,52621,0.007194244604316502
2011-03-10,8430,8490,8320,8370,65351,-0.0035714285714285587
2011-03-11,8360,8390,8320,8340,28961,-0.0035842293906810374
2011-03-14,8330,8330,8230,8300,38486,-0.004796163069544335
2011-03-15,8300,8300,8020,8170,62860,-0.015662650602409678
2011-03-16,8140,8280,8020,8120,63985,-0.006119951040391647
2011-03-17,8050,8120,8020,8100,47912,-0.0024630541871921707
2011-03-18,8110,8260,8100,8210,38128,0.013580246913580174
2011-03-21,8220,8410,8220,8350,23563,0.01705237515225333
2011-03-22,8320,8500,8320,8460,68413,0.013173652694610682
2011-03-23,8450,8450,8360,8420,16506,-0.004728132387706863
2011-03-24,8480,8640,8430,8630,113058,0.02494061757719712
2011-03-25,8710,8760,8500,8500,116979,-0.015063731170335992
2011-03-28,8550,8550,8460,8460,16353,-0.004705882352941226
2011-03-29,8440,8500,8440,8470,18493,0.0011820330969267712
2011-03-30,8470,8500,8450,8500,49326,0.0035419126328217754
2011-03-31,8500,8650,8500,8640,60188,0.016470588235294015
2011-04-01,8650,8670,8600,8630,22130,-0.0011574074074074403
2011-04-04,8650,8700,8640,8660,44265,0.0034762456546928444
2011-04-05,8650,8690,8640,8640,45139,-0.002309468822170868
2011-04-06,8650,8670,8590,8600,29191,-0.00462962962962965
2011-04-07,8580,8630,8530,8610,29158,0.0011627906976743319
2011-04-08,8630,8650,8560,8580,24361,-0.0034843205574912606
2011-04-11,8580,8590,8500,8530,33852,-0.005827505827505797
2011-04-12,8520,8650,8520,8600,32200,0.008206330597889888
2011-04-13,8630,8690,8550,8670,27253,0.008139534883720989
2011-04-14,8670,8690,8590,8590,25730,-0.009227220299884653
2011-04-15,8650,8650,8490,8540,36184,-0.005820721769499437
2011-04-18,8590,8620,8530,8550,41808,0.0011709601873535203
2011-04-19,8510,8590,8500,8550,28463,0.0
2011-04-20,8570,8620,8520,8530,40163,-0.002339181286549752
2011-04-21,8550,8620,8530,8610,39753,0.009378663540445586
2011-04-22,8550,8860,8550,8750,108934,0.016260162601626105
2011-04-25,8800,8860,8730,8830,68569,0.00914285714285712
2011-04-26,8800,8800,8640,8690,51490,-0.015855039637599044
2011-04-27,8690,8740,8630,8710,48953,0.0023014959723819395
2011-04-28,8690,8760,8680,8700,36013,-0.0011481056257175437
2011-04-29,8730,8880,8700,8860,80904,0.01839080459770126
2011-05-02,8930,8960,8820,8860,39927,0.0
2011-05-03,8830,8850,8740,8800,43298,-0.006772009029345383
2011-05-04,8800,8850,8740,8800,58839,0.0
2011-05-06,8760,8780,8670,8750,40039,-0.005681818181818232
2011-05-09,8740,8750,8670,8690,25657,-0.006857142857142895
2011-05-11,8690,8710,8610,8620,30832,-0.008055235903337121
2011-05-12,8610,8610,8470,8510,48182,-0.012761020881670526
2011-05-13,8530,8620,8480,8480,43161,-0.003525264394829586
2011-05-16,8490,8540,8430,8480,41526,0.0
2011-05-17,8490,8540,8430,8440,37186,-0.004716981132075526
2011-05-18,8430,8490,8400,8450,40134,0.0011848341232227888
2011-05-19,8460,8550,8440,8440,25497,-0.0011834319526626835
2011-05-20,8460,8500,8430,8440,20844,0.0
2011-05-23,8430,8440,8300,8350,36560,-0.010663507109004766
2011-05-24,8300,8390,8280,8330,19750,-0.0023952095808382756
2011-05-25,8330,8350,8230,8340,40064,0.0012004801920768582
2011-05-26,8340,8440,8310,8440,16807,0.011990407673860837
2011-05-27,8440,8460,8350,8450,11124,0.0011848341232227888
2011-05-30,8450,8480,8380,8420,9582,-0.0035502958579881616
2011-05-31,8480,8590,8400,8590,24283,0.020190023752969077
2011-06-01,8550,8700,8500,8560,53452,-0.0034924330616996624
2011-06-02,8540,8540,8430,8430,19090,-0.015186915887850483
2011-06-03,8500,8530,8400,8480,12881,0.005931198102016699
2011-06-07,8410,8490,8390,8450,25723,-0.003537735849056589
2011-06-08,8430,8520,8370,8380,20231,-0.008284023668639007
2011-06-09,8380,8400,8310,8330,33128,-0.005966587112171795
2011-06-10,8350,8390,8270,8280,43630,-0.00600240096038418
2011-06-13,8310,8350,8200,8250,22811,-0.0036231884057971175
2011-06-14,8250,8280,8230,8280,17600,0.0036363636363636598
2011-06-15,8300,8330,8280,8300,11318,0.0024154589371980784
2011-06-16,8290,8290,8220,8250,8750,-0.0060240963855421326
2011-06-17,8350,8350,8230,8300,19865,0.0060606060606061
2011-06-20,8250,8330,8250,8310,11983,0.00120481927710836
2011-06-21,8300,8350,8290,8350,19951,0.004813477737665384
2011-06-22,8370,8450,8350,8450,20431,0.011976047904191711
2011-06-23,8450,8470,8360,8440,10733,-0.0011834319526626835
2011-06-24,8400,8480,8400,8480,20176,0.004739336492890933
2011-06-27,8490,8490,8380,8400,9715,-0.009433962264150941
2011-06-28,8400,8480,8400,8430,19608,0.0035714285714285587
2011-06-29,8490,8600,8450,8600,28101,0.02016607354685651
2011-06-30,8560,8630,8500,8620,23598,0.0023255813953488857
2011-07-01,8620,8640,8590,8600,8067,-0.002320185614849146
2011-07-04,8600,8650,8570,8610,30806,0.0011627906976743319
2011-07-05,8590,8650,8480,8540,38362,-0.008130081300813052
2011-07-06,8510,8590,8490,8550,12581,0.0011709601873535203
2011-07-07,8600,8610,8530,8580,22424,0.0035087719298245723
2011-07-08,8580,8600,8500,8540,20970,-0.004662004662004615
2011-07-11,8510,8620,8510,8600,28732,0.007025761124121788
2011-07-12,8520,8580,8400,8480,26315,-0.013953488372092981
2011-07-13,8450,8540,8450,8460,14196,-0.002358490566037763
2011-07-14,8440,8480,8380,8410,17840,-0.005910165484633523
2011-07-15,8440,8470,8390,8440,41662,0.00356718192627814
2011-07-18,8470,8510,8430,8440,38033,0.0
2011-07-19,8440,8500,8400,8470,52624,0.0035545023696681444
2011-07-20,8490,8560,8480,8500,38114,0.0035419126328217754
2011-07-21,8500,8580,8500,8540,19659,0.004705882352941115
2011-07-22,8550,8640,8540,8640,54369,0.011709601873536313
2011-07-25,8640,8710,8600,8660,51593,0.0023148148148148806
2011-07-26,8610,8690,8610,8690,14805,0.0034642032332563577
2011-07-27,8690,8720,8620,8650,31938,-0.004602991944764101
2011-07-28,8600,8720,8580,8690,28741,0.0046242774566473965
2011-07-29,8660,8850,8650,8750,96206,0.0069044879171460405
2011-08-01,8830,8830,8750,8770,49872,0.0022857142857142243
2011-08-02,8770,8820,8660,8660,87420,-0.012542759407069504
2011-08-03,8630,8670,8510,8590,124650,-0.008083140877598205
2011-08-04,8690,8690,8520,8530,45561,-0.006984866123399325
2011-08-05,8210,8390,8190,8310,112173,-0.02579132473622514
2011-08-08,8250,8310,7520,7890,135930,-0.05054151624548742
2011-08-09,7700,7730,7170,7540,176015,-0.04435994930291509
2011-08-10,7800,7900,7560,7750,91661,0.027851458885941538
2011-08-11,7460,7750,7460,7700,54813,-0.006451612903225823
2011-08-12,7820,7900,7680,7700,77208,0.0
2011-08-16,7870,8030,7870,7970,79881,0.03506493506493502
2011-08-17,7970,8050,7950,7970,62812,0.0
2011-08-18,8080,8110,7950,8050,108991,0.010037641154328814
2011-08-19,7860,7990,7830,7850,59212,-0.024844720496894457
2011-08-22,7810,7960,7810,7940,63689,0.01146496815286624
2011-08-23,7970,8050,7900,8050,57984,0.01385390428211597
2011-08-24,8090,8090,7890,7940,79862,-0.013664596273291973
2011-08-25,7920,7980,7890,7910,53795,-0.0037783375314861534
2011-08-26,7860,8010,7860,7990,49312,0.010113780025284402
2011-08-29,8100,8120,7980,8100,23820,0.013767209011264159
2011-08-30,8100,8200,8050,8190,102194,0.011111111111111072
2011-08-31,8190,8240,8110,8190,31853,0.0
2011-09-01,8220,8270,8180,8190,69082,0.0
2011-09-02,8130,8230,8120,8150,46670,-0.004884004884004867
2011-09-05,8140,8140,7950,7970,82214,-0.02208588957055213
2011-09-06,7930,8010,7870,7970,71848,0.0
2011-09-07,7990,8070,7980,8050,69517,0.010037641154328814
2011-09-08,8100,8110,8010,8010,21540,-0.004968944099378869
2011-09-09,7980,8070,7970,8000,66370,-0.0012484394506866447
2011-09-14,8000,8050,7870,7890,54602,-0.01375000000000004
2011-09-15,7930,8040,7900,7920,39218,0.0038022813688212143
2011-09-16,8040,8220,7960,8220,66072,0.037878787878787845
2011-09-19,8100,8200,8100,8200,68421,-0.0024330900243308973
2011-09-20,8200,8210,8080,8200,58532,0.0
2011-09-21,8200,8270,8150,8230,67210,0.003658536585365857
2011-09-22,8200,8210,8030,8180,71230,-0.0060753341433779084
2011-09-23,8020,8060,7900,7910,59962,-0.0330073349633252
2011-09-26,7930,8000,7770,7770,31810,-0.017699115044247815
2011-09-27,7810,7970,7810,7950,47270,0.02316602316602312
2011-09-28,7970,8100,7970,8020,54283,0.008805031446540879
2011-09-29,7970,8050,7970,8040,14022,0.0024937655860348684
2011-09-30,8010,8100,8010,8100,25541,0.00746268656716409
2011-10-04,7990,8100,7950,8070,45977,-0.0037037037037036535
2011-10-05,8050,8110,7950,8110,85455,0.004956629491945419
2011-10-06,8130,8180,8050,8120,24351,0.0012330456226881115
2011-10-07,8110,8220,8100,8200,54920,0.009852216748768461
2011-10-10,8200,8200,8160,8180,25899,-0.0024390243902439046
2011-10-11,8200,8220,8170,8200,104079,0.0024449877750611915
2011-10-12,8150,8220,8150,8200,46906,0.0
2011-10-13,8200,8260,8180,8230,58424,0.003658536585365857
2011-10-14,8230,8250,8160,8250,31088,0.002430133657351119
2011-10-17,8250,8270,8190,8210,52653,-0.00484848484848488
2011-10-18,8190,8200,8150,8190,33990,-0.0024360535931789995
2011-10-19,8220,8290,8200,8290,37662,0.012210012210012167
2011-10-20,8300,8300,8160,8190,17270,-0.012062726176115812
2011-10-21,8190,8230,8180,8200,7210,0.0012210012210012167
2011-10-24,8200,8270,8200,8270,35289,0.008536585365853666
2011-10-25,8270,8290,8210,8260,43951,-0.0012091898428052694
2011-10-26,8200,8290,8200,8270,17749,0.001210653753026536
2011-10-27,8260,8420,8260,8350,51601,0.0096735187424426
2011-10-28,8380,8420,8260,8300,52842,-0.005988023952095856
2011-10-31,8320,8350,8250,8350,35051,0.006024096385542244
2011-11-01,8330,8350,8260,8350,27162,0.0
2011-11-02,8220,8330,8200,8300,27969,-0.005988023952095856
2011-11-03,8350,8370,8280,8280,44681,-0.002409638554216831
2011-11-04,8350,8390,8320,8320,75411,0.004830917874396157
2011-11-07,8320,8400,8320,8400,28321,0.009615384615384581
2011-11-08,8400,8400,8360,8360,35686,-0.004761904761904745
2011-11-09,8380,8400,8370,8380,20689,0.0023923444976077235
2011-11-10,8300,8340,8230,8270,61823,-0.013126491646778038
2011-11-11,8300,8380,8280,8340,13742,0.00846432889963733
2011-11-14,8380,8460,8370,8390,83942,0.005995203836930418
2011-11-15,8430,8440,8370,8410,21800,0.0023837902264600697
2011-11-16,8450,8480,8390,8400,22493,-0.0011890606420927874
2011-11-17,8400,8430,8340,8390,26457,-0.0011904761904761862
2011-11-18,8380,8380,8270,8300,33210,-0.010727056019070313
2011-11-21,8310,8310,8240,8260,28810,-0.004819277108433773
2011-11-22,8250,8310,8210,8220,30403,-0.004842615012106588
2011-11-23,8230,8330,8200,8320,53091,0.012165450121654597
2011-11-24,8280,8370,8260,8360,26360,0.004807692307692291
2011-11-25,8360,8360,8230,8300,41430,-0.0071770334928229484
2011-11-28,8300,8400,8300,8360,9310,0.0072289156626506035
2011-11-29,8420,8450,8350,8410,52480,0.005980861244019087
2011-11-30,8410,8420,8350,8370,14931,-0.0047562425683710385
2011-12-01,8450,8450,8300,8390,61290,0.002389486260454099
2011-12-02,8400,8450,8370,8440,39411,0.005959475566150285
2011-12-05,8480,8480,8410,8440,24547,0.0
2011-12-06,8440,8440,8400,8410,21420,-0.0035545023696682554
2011-12-07,8450,8470,8400,8450,30240,0.0047562425683709275
2011-12-08,8450,8800,8450,8720,164126,0.031952662721893565
2011-12-09,8700,8710,8520,8590,56147,-0.014908256880733939
2011-12-12,8670,8670,8520,8650,45457,0.006984866123399325
2011-12-13,8610,8650,8510,8540,50621,-0.012716763005780396
2011-12-14,8520,8630,8460,8530,29400,-0.0011709601873536313
2011-12-15,8460,8550,8450,8470,29309,-0.007033997655334079
2011-12-16,8610,8610,8450,8470,33290,0.0
2011-12-19,8500,8500,8220,8380,104064,-0.010625737898465215
2011-12-20,8350,8440,8320,8370,33002,-0.0011933174224343368
