Date,Open,High,Low,Close,Volume,Change
2011-01-03,12050,12450,11750,12200,234371,0.03389830508474567
2011-01-04,12500,12750,12250,12450,308577,0.020491803278688492
2011-01-05,12450,12550,12000,12250,163832,-0.016064257028112428
2011-01-06,12350,12750,12150,12250,340903,0.0
2011-01-07,12200,12450,12000,12450,210107,0.01632653061224487
2011-01-10,12600,12650,12100,12100,195244,-0.028112449799196804
2011-01-11,12100,12300,11800,11900,178758,-0.016528925619834656
2011-01-12,11950,12550,11750,12400,325968,0.04201680672268915
2011-01-13,12600,14250,12550,13700,1833743,0.10483870967741926
2011-01-14,13750,14650,13500,13500,1043778,-0.014598540145985384
2011-01-17,13650,14400,13500,14300,684555,0.059259259259259345
2011-01-18,14200,14800,14000,14300,501967,0.0
2011-01-19,14500,14600,13400,14100,504025,-0.013986013986013957
2011-01-20,13800,14200,13600,13750,271224,-0.024822695035460973
2011-01-21,13600,13800,13200,13400,221182,-0.025454545454545507
2011-01-24,13600,13850,13350,13450,165544,0.003731343283582156
2011-01-25,13450,13650,12900,12900,179124,-0.040892193308550207
2011-01-26,12900,13250,12800,12950,112888,0.003875968992248069
2011-01-27,13100,13300,12700,12800,131587,-0.01158301158301156
2011-01-28,12850,13700,12550,13700,381309,0.0703125
2011-01-31,13450,13600,13300,13450,125827,-0.018248175182481785
2011-02-01,13700,14350,13600,14350,507538,0.06691449814126393
2011-02-07,14650,14650,13900,13900,253778,-0.03135888501742157
2011-02-08,13950,14300,13700,14250,154472,0.02517985611510798
2011-02-09,14300,14300,13650,13850,122071,-0.028070175438596467
2011-02-10,13800,14100,13550,14000,124139,0.010830324909747224
2011-02-11,14000,14400,13250,13600,179531,-0.02857142857142858
2011-02-14,13800,13900,13400,13600,79163,0.0
2011-02-15,13550,13800,13400,13750,101427,0.011029411764705843
2011-02-16,13550,13700,13000,13050,162629,-0.050909090909090904
2011-02-17,13200,13700,12800,13150,139261,0.00766283524904221
2011-02-18,13150,13450,12900,13450,124242,0.02281368821292773
2011-02-21,13600,13600,12600,12600,308988,-0.06319702602230481
2011-02-22,12150,12450,10800,11200,631774,-0.11111111111111116
2011-02-23,10750,11600,10750,11300,189980,0.008928571428571397
2011-02-24,11050,11250,10150,10600,182715,-0.06194690265486724
2011-02-25,10250,10750,9990,10450,354867,-0.014150943396226467
2011-02-28,11000,11400,10750,11300,381621,0.08133971291866038
2011-03-02,11100,11200,10900,10950,174554,-0.030973451327433676
2011-03-03,11100,11300,10950,10950,131506,0.0
2011-03-04,11200,12350,11200,12000,494907,0.09589041095890405
2011-03-07,12000,12300,11750,12000,183147,0.0
2011-03-08,12100,12550,11850,12550,161341,0.04583333333333339
2011-03-09,12250,12450,11600,11600,267470,-0.07569721115537853
2011-03-10,11600,11800,11050,11400,155364,-0.017241379310344862
2011-03-11,11050,11300,11000,11100,123224,-0.02631578947368418
2011-03-14,10750,11100,9700,10100,364525,-0.09009009009009006
2011-03-15,10250,10500,8650,9350,309621,-0.07425742574257421
2011-03-16,9200,9990,9000,9700,279740,0.03743315508021383
2011-03-17,9300,9390,8720,8970,408919,-0.07525773195876284
2011-03-18,9170,9270,9000,9210,203687,0.026755852842809347
2011-03-21,9260,9840,9250,9740,170786,0.057546145494028256
2011-03-22,9830,10000,9740,9780,105601,0.004106776180698102
2011-03-23,9800,9900,9500,9600,133362,-0.018404907975460127
2011-03-24,9780,9780,9530,9680,83896,0.008333333333333304
2011-03-25,9730,9730,9430,9550,119168,-0.013429752066115741
2011-03-28,9580,9800,9420,9550,110043,0.0
2011-03-29,9480,9640,9100,9230,104119,-0.03350785340314133
2011-03-30,9260,9900,9230,9900,131048,0.0725893824485373
2011-03-31,9900,10250,9710,9960,163182,0.0060606060606061
2011-04-01,10000,10600,9960,10450,195000,0.04919678714859432
2011-04-04,10500,10850,10500,10700,116849,0.02392344497607657
2011-04-05,10800,11050,10400,11000,123686,0.028037383177569986
2011-04-06,11000,11150,10700,10750,102390,-0.022727272727272707
2011-04-07,10700,10900,10600,10700,72817,-0.0046511627906976605
2011-04-08,10650,10800,10450,10500,81008,-0.01869158878504673
2011-04-11,10750,10850,10500,10750,57510,0.023809523809523725
2011-04-12,10550,10750,10150,10350,77448,-0.037209302325581395
2011-04-13,10100,10650,10100,10500,65161,0.01449275362318847
2011-04-14,10450,10550,10100,10250,58223,-0.023809523809523836
2011-04-15,10250,10400,9870,9900,95404,-0.034146341463414664
2011-04-18,9930,9980,9170,9240,214809,-0.06666666666666665
2011-04-19,9090,9330,8830,9330,184988,0.009740259740259827
2011-04-20,9370,9760,9340,9620,116623,0.031082529474812493
2011-04-21,9800,9990,9710,9850,93821,0.023908523908523938
2011-04-22,9800,9850,9400,9480,73899,-0.03756345177664977
2011-04-25,9480,9800,9350,9560,73576,0.00843881856540074
2011-04-26,9560,9720,9160,9210,82034,-0.03661087866108792
