Date,Open,High,Low,Close,Volume,Change
2019-07-15,3040,3150,2350,2420,10134140,
2019-07-16,2390,2490,2170,2190,2723407,-0.0950413223140496
2019-07-17,2190,2215,2125,2190,1362556,0.0
2019-07-18,2165,2170,2115,2135,814973,-0.02511415525114158
2019-07-19,2145,2210,2120,2130,967575,-0.0023419203747072626
2019-07-22,2160,2765,2125,2765,6372605,0.2981220657276995
2019-07-23,2955,3390,2340,2425,16150922,-0.12296564195298376
2019-07-24,2475,2645,2255,2300,4810543,-0.05154639175257736
2019-07-25,2355,2405,2200,2240,1195197,-0.02608695652173909
2019-07-26,2225,2860,2190,2440,11857871,0.08928571428571419
2019-07-29,2460,2470,2255,2310,2084783,-0.05327868852459017
2019-07-30,2300,2440,2250,2260,1593824,-0.02164502164502169
2019-07-31,2245,2315,2220,2295,971898,0.015486725663716783
2019-08-01,2265,2375,2230,2245,1551356,-0.02178649237472763
2019-08-02,2230,2330,2200,2240,531869,-0.00222717149220486
2019-08-05,2225,2235,2155,2190,599963,-0.022321428571428603
2019-08-06,2155,2245,2145,2145,360478,-0.020547945205479423
2019-08-07,2180,2180,2145,2150,158042,0.002331002331002363
2019-08-08,2155,2195,2150,2155,165297,0.0023255813953488857
2019-08-09,2190,2190,2150,2150,144755,-0.002320185614849146
2019-08-12,2155,2180,2145,2155,137769,0.0023255813953488857
2019-08-13,2160,2335,2145,2185,1930830,0.0139211136890951
2019-08-14,2195,2280,2190,2230,583645,0.020594965675057253
2019-08-16,2225,2240,2155,2160,307871,-0.03139013452914796
2019-08-19,2180,2180,2150,2160,130868,0.0
2019-08-20,2150,2180,2140,2150,117438,-0.00462962962962965
2019-08-21,2140,2190,2135,2135,402069,-0.006976744186046546
2019-08-22,2145,2170,2135,2145,117226,0.004683840749414525
2019-08-23,2150,2155,2125,2125,111724,-0.009324009324009341
2019-08-26,2120,2140,2120,2120,117954,-0.0023529411764705577
2019-08-27,2130,2155,2125,2125,44538,0.002358490566037652
2019-08-28,2150,2150,2120,2130,41732,0.0023529411764706687
2019-08-29,2150,2150,2125,2125,40935,-0.0023474178403756207
2019-08-30,2135,2145,2120,2130,25739,0.0023529411764706687
2019-09-02,2140,2150,2125,2125,48721,-0.0023474178403756207
