Date,Open,High,Low,Close,Volume,Change
2011-01-03,5520,5540,5430,5490,17801,0.0018248175182482562
2011-01-04,5500,5760,5460,5760,29540,0.049180327868852514
2011-01-05,5850,5850,5620,5680,28903,-0.01388888888888884
2011-01-06,5770,5770,5590,5630,32791,-0.008802816901408494
2011-01-07,5700,5810,5630,5800,45873,0.030195381882770933
2011-01-10,5800,5850,5680,5750,19960,-0.008620689655172376
2011-01-11,5790,5950,5700,5900,33621,0.026086956521739202
2011-01-12,5950,6060,5900,6040,46619,0.023728813559322104
2011-01-13,6080,6080,5960,6010,18671,-0.004966887417218513
2011-01-14,5960,6110,5900,5930,28939,-0.01331114808652245
2011-01-17,5950,6270,5900,6200,37247,0.045531197301855064
2011-01-18,6320,6320,6130,6300,25571,0.016129032258064502
2011-01-19,6300,6420,6130,6200,31310,-0.015873015873015928
2011-01-20,6280,6280,6100,6190,4233,-0.001612903225806428
2011-01-21,6100,6270,6050,6210,21381,0.003231017770597644
2011-01-24,6210,6210,6010,6180,21828,-0.004830917874396157
2011-01-25,6230,6230,6150,6160,14523,-0.003236245954692518
2011-01-26,6110,6220,6110,6200,18027,0.006493506493506551
2011-01-27,6200,6280,6150,6240,22336,0.006451612903225712
2011-01-28,6300,6300,6210,6260,17564,0.0032051282051281937
2011-01-31,6150,6250,6130,6200,31502,-0.009584664536741228
2011-02-01,6150,6260,6070,6150,13902,-0.008064516129032251
2011-02-07,6240,6240,6090,6090,8290,-0.009756097560975618
2011-02-08,6090,6170,6030,6110,19913,0.003284072249589487
2011-02-09,6110,6190,5970,6100,8041,-0.0016366612111292644
2011-02-10,6100,6100,5960,6000,8552,-0.016393442622950838
2011-02-11,6000,6300,5990,6000,13856,0.0
2011-02-14,6000,6070,5990,5990,9003,-0.0016666666666667052
2011-02-15,6060,6070,5840,6000,9362,0.0016694490818029983
2011-02-16,5860,5990,5860,5880,4421,-0.020000000000000018
2011-02-17,5840,5900,5750,5900,12234,0.00340136054421758
2011-02-18,5750,5960,5750,5920,4811,0.003389830508474523
2011-02-21,6000,6000,5800,5970,6286,0.008445945945946054
2011-02-22,6000,6000,5750,5880,14669,-0.015075376884422065
2011-02-23,5900,5900,5750,5750,7677,-0.022108843537414935
2011-02-24,5800,5800,5650,5650,9864,-0.017391304347826098
2011-02-25,5510,5700,5400,5700,34286,0.008849557522123908
2011-02-28,5650,5810,5580,5590,5267,-0.019298245614035037
2011-03-02,5750,5970,5600,5700,11329,0.019677996422182487
2011-03-03,5610,5780,5610,5660,5121,-0.007017543859649145
2011-03-04,5710,5800,5650,5700,7403,0.007067137809187329
2011-03-07,5730,5730,5600,5640,7805,-0.010526315789473717
2011-03-08,5700,5700,5610,5650,8196,0.0017730496453900457
2011-03-09,5690,5750,5610,5700,15562,0.008849557522123908
2011-03-10,5740,5740,5660,5740,448,0.007017543859649145
2011-03-11,5620,5700,5610,5610,6749,-0.022648083623693416
2011-03-14,5610,5700,5470,5540,3596,-0.012477718360071277
2011-03-15,5360,5580,5200,5320,7525,-0.03971119133574008
2011-03-16,5140,5500,5140,5280,12071,-0.007518796992481258
2011-03-17,5200,5370,5100,5370,6049,0.017045454545454586
2011-03-18,5430,5450,5200,5440,627,0.013035381750465591
2011-03-21,5310,5450,5310,5440,13640,0.0
