Date,Open,High,Low,Close,Volume,Change
2019-03-22,24600,31950,24600,31950,480793,
2019-03-25,37450,37850,30400,30550,2758700,-0.04381846635367759
2019-03-26,31400,34450,30150,31300,1446045,0.02454991816693952
2019-03-27,31400,31500,28300,28400,519498,-0.09265175718849838
2019-03-28,28400,28450,26400,27000,450715,-0.04929577464788737
2019-03-29,28250,28750,25950,26500,360591,-0.01851851851851849
2019-04-01,26700,27350,26050,26700,225409,0.007547169811320753
2019-04-02,27000,29400,26900,27800,689428,0.04119850187265928
2019-04-03,27650,27700,26850,27700,202658,-0.003597122302158251
2019-04-04,29150,29600,27800,27850,376519,0.005415162454873723
2019-04-05,27500,27850,27000,27550,166267,-0.010771992818671472
2019-04-08,28500,29800,27700,29750,585376,0.07985480943738654
2019-04-09,29150,29300,28600,28600,246084,-0.03865546218487392
2019-04-10,28200,28850,27700,28450,179209,-0.005244755244755206
2019-04-11,28600,28800,28150,28600,114543,0.005272407732864748
2019-04-12,28800,29550,28350,28900,253121,0.010489510489510412
2019-04-15,28800,29900,28700,29500,243718,0.02076124567474058
2019-04-16,29300,29450,28350,28600,121117,-0.03050847457627115
2019-04-17,28650,28750,27650,27750,118843,-0.029720279720279685
2019-04-18,27700,28150,27500,27600,74879,-0.00540540540540535
2019-04-19,27750,28250,27600,27800,37478,0.007246376811594235
2019-04-22,27100,27450,26900,27050,122789,-0.026978417266187105
2019-04-23,27100,27150,26350,26650,68051,-0.014787430683918634
2019-04-24,26700,26800,25600,25750,75878,-0.0337711069418386
2019-04-25,25600,25600,24850,25000,58149,-0.029126213592232997
2019-04-26,24850,26500,24850,26200,110291,0.04800000000000004
2019-04-29,26200,26650,25900,25950,57894,-0.009541984732824416
2019-04-30,25800,26000,25100,25450,67174,-0.019267822736030782
2019-05-02,25550,26000,25000,25850,68550,0.015717092337917515
2019-05-03,26200,28250,25650,27400,308979,0.05996131528046411
2019-05-07,26300,27800,26250,27100,73095,-0.010948905109489093
2019-05-08,26700,27100,25100,25750,126740,-0.04981549815498154
2019-05-09,25400,25950,24750,24850,86022,-0.03495145631067964
2019-05-10,24900,25500,24550,24800,45727,-0.002012072434607659
2019-05-13,25300,25300,24200,24350,40764,-0.01814516129032262
2019-05-14,23700,24550,23050,24050,65533,-0.012320328542094416
2019-05-15,24300,25550,23850,25350,90792,0.054054054054053946
2019-05-16,25500,26500,25050,25400,61238,0.0019723865877712132
2019-05-17,25700,26000,25050,25150,33643,-0.009842519685039353
2019-05-20,24800,25450,24800,25000,29648,-0.005964214711729587
2019-05-21,24550,26000,24550,26000,30029,0.040000000000000036
2019-05-22,26000,27200,25550,25550,140821,-0.017307692307692357
2019-05-23,26050,26050,24800,24850,39549,-0.0273972602739726
2019-05-24,24400,25100,23900,24050,57504,-0.03219315895372232
2019-05-27,23900,25000,23850,24400,15022,0.01455301455301461
2019-05-28,24400,24700,24100,24500,17347,0.004098360655737654
2019-05-29,24550,24550,23500,23500,38223,-0.04081632653061229
2019-05-30,23550,23850,22000,22450,60993,-0.044680851063829796
2019-05-31,22450,23100,22350,22650,30582,0.008908685968819663
2019-06-03,22500,22950,22250,22550,18457,-0.004415011037527616
2019-06-04,22600,22900,22000,22000,36866,-0.024390243902439046
2019-06-05,22150,22600,22100,22200,26579,0.009090909090909038
2019-06-07,22450,23600,22350,23550,39410,0.060810810810810745
2019-06-10,23900,24000,23450,23500,31057,-0.002123142250530785
2019-06-11,24000,24100,23550,23800,21758,0.012765957446808418
2019-06-12,23800,25300,23600,24650,63055,0.03571428571428581
2019-06-13,24950,24950,24100,24600,32041,-0.0020283975659228792
2019-06-14,24450,24700,23900,23900,22558,-0.028455284552845517
2019-06-17,23750,24250,23350,23450,17543,-0.01882845188284521
2019-06-18,23300,23700,22300,23000,29557,-0.019189765458422214
2019-06-19,23050,23850,23050,23300,20837,0.01304347826086949
2019-06-20,23250,23750,23150,23350,12148,0.0021459227467810482
2019-06-21,23800,23800,22650,22700,20348,-0.027837259100642386
2019-06-24,21800,22000,21500,21550,123688,-0.0506607929515418
2019-06-25,21550,21700,19400,19800,159677,-0.08120649651972156
2019-06-26,19800,20150,19400,19700,41751,-0.005050505050505083
2019-06-27,19600,19950,19050,19150,35036,-0.027918781725888353
2019-06-28,19050,19250,17750,18350,76201,-0.04177545691906004
2019-07-01,18500,19000,18350,18750,32856,0.021798365122615904
2019-07-02,18750,19300,18500,18800,65330,0.002666666666666595
2019-07-03,19200,19200,18250,18600,26286,-0.010638297872340385
2019-07-04,18600,18800,17950,18450,22615,-0.008064516129032251
2019-07-05,18650,18700,18000,18450,18575,0.0
2019-07-08,18250,18500,15400,16000,228036,-0.13279132791327908
2019-07-09,15850,16900,15800,16300,90243,0.018750000000000044
2019-07-10,16100,17450,16100,17000,64477,0.042944785276073594
2019-07-11,17000,17250,16500,17150,35659,0.008823529411764675
2019-07-12,17000,17600,16700,17150,27952,0.0
2019-07-15,17000,17400,16900,17000,20564,-0.008746355685131157
2019-07-16,17200,17350,16500,17000,32715,0.0
2019-07-17,16800,17000,15950,17000,45952,0.0
2019-07-18,17000,17000,16200,16500,26625,-0.02941176470588236
2019-07-19,16500,16800,16350,16600,18999,0.0060606060606061
2019-07-22,16600,17400,16400,17100,38590,0.030120481927710774
2019-07-23,17200,17400,16550,16650,30022,-0.02631578947368418
2019-07-24,16550,16800,16450,16450,16581,-0.012012012012011963
2019-07-25,16350,16550,15800,16000,30311,-0.027355623100303927
2019-07-26,15900,15950,15400,15600,31941,-0.025000000000000022
2019-07-29,15400,15500,14400,14450,37504,-0.07371794871794868
2019-07-30,14600,15250,14550,14800,30816,0.02422145328719716
2019-07-31,14500,15250,14350,15100,27218,0.020270270270270174
2019-08-01,15700,15700,14850,14900,8966,-0.013245033112582738
2019-08-02,14350,14950,14050,14550,16718,-0.023489932885906062
2019-08-05,14500,14500,12850,13100,62185,-0.09965635738831613
2019-08-06,12400,13850,12300,13200,50872,0.007633587786259444
2019-08-07,13200,13850,12750,13000,32889,-0.015151515151515138
2019-08-08,12900,13350,12850,13000,36988,0.0
2019-08-09,13000,13600,12950,13300,27200,0.023076923076922995
2019-08-12,13150,13300,12950,13100,22861,-0.015037593984962405
2019-08-13,13100,14250,13100,13500,57444,0.03053435114503822
2019-08-14,13700,13750,13400,13500,21750,0.0
2019-08-16,13200,13350,12900,13150,21994,-0.025925925925925908
2019-08-19,13200,13400,13000,13050,14940,-0.0076045627376425395
2019-08-20,13150,14900,13150,14050,233856,0.07662835249042144
2019-08-21,13950,14500,13150,14300,62070,0.017793594306049876
2019-08-22,14300,14750,14200,14200,33632,-0.006993006993006978
