Date,Open,High,Low,Close,Volume,Change
2011-04-27,10290,11818,8763,8763,5147150,
2011-04-28,8200,8843,7476,7477,1686574,-0.14675339495606532
2011-04-29,7251,8562,7082,8562,1875952,0.14511167580580442
2011-05-02,9205,9808,9084,9808,1275942,0.14552674608736282
2011-05-03,11175,11255,9727,10090,4400250,0.02875203915171287
2011-05-04,9969,10652,8602,8763,3736037,-0.13151635282457874
2011-05-06,8682,9004,7621,7798,1977962,-0.11012210430217961
2011-05-09,7838,8964,7838,8964,1117098,0.14952551936393954
2011-05-11,9406,9567,7886,7887,2604355,-0.12014725568942441
2011-05-12,7798,9004,7798,8281,2182686,0.04995562317738056
2011-05-13,8361,8682,7621,7638,1614260,-0.07764762709817652
2011-05-16,7822,7894,7042,7155,931813,-0.0632364493322859
2011-05-17,7155,7484,6528,6633,944353,-0.07295597484276728
2011-05-18,6753,7508,6656,7011,2103872,0.056987788331071876
2011-05-19,7155,7846,6897,7163,1422835,0.021680216802167918
2011-05-20,7275,7717,6954,7075,1018927,-0.01228535529805952
2011-05-23,7082,7179,6431,6432,344307,-0.09088339222614839
2011-05-24,6351,6592,6045,6190,515620,-0.03762437810945274
2011-05-25,6174,6391,5893,5893,408177,-0.04798061389337638
2011-05-26,5949,6174,5868,5998,419150,0.017817749872730326
2011-05-27,6246,6889,6142,6890,865197,0.14871623874624884
2011-05-30,7275,7436,6415,6753,1774077,-0.019883889695210488
2011-05-31,6753,6809,6367,6609,481714,-0.02132385606397158
2011-06-01,6761,6962,6294,6552,753366,-0.008624602814344073
2011-06-02,6311,6423,6053,6086,344717,-0.07112332112332109
2011-06-03,6150,6407,5981,6054,343832,-0.005257969109431437
2011-06-07,5868,6102,5772,5772,185998,-0.04658077304261643
2011-06-08,5868,5893,5233,5234,298993,-0.0932085932085932
2011-06-09,5265,5740,5265,5491,362321,0.04910202521971718
2011-06-10,5571,5571,5089,5145,248995,-0.06301220178473865
2011-06-13,5105,5137,4871,4952,156870,-0.03751214771622935
2011-06-14,4912,5257,4912,5186,228303,0.0472536348949919
2011-06-15,5611,5957,5265,5266,935987,0.015426147319706818
2011-06-16,5265,5330,5008,5041,181903,-0.04272692745917206
2011-06-17,5113,5265,4831,4904,174451,-0.027177147391390544
2011-06-20,4936,5064,4863,5041,161425,0.027936378466557832
2011-06-21,5137,5209,4928,4944,205499,-0.019242213846459078
2011-06-22,5040,5346,4944,5202,340810,0.05218446601941751
2011-06-23,5257,5507,5225,5427,378511,0.04325259515570945
2011-06-24,5426,5579,5306,5547,283930,0.022111663902708578
2011-06-27,5466,5547,5225,5338,322053,-0.03767802415720212
2011-06-28,5314,5450,4984,4985,171147,-0.06612963656800297
2011-06-29,5000,5209,5000,5033,220105,0.009628886659979852
2011-06-30,5089,5306,5032,5306,177179,0.05424200278164126
2011-07-01,5466,5828,5249,5250,610140,-0.01055408970976257
2011-07-04,5306,5466,5169,5427,216312,0.03371428571428581
2011-07-05,5619,6005,5507,5708,632028,0.05177814630550959
2011-07-06,5627,5860,5507,5861,273954,0.026804484933426798
2011-07-07,5876,6399,5868,6062,624111,0.03429448899505205
2011-07-08,6150,6206,5876,6110,315954,0.00791817881887158
2011-07-11,6222,6632,5957,6440,460603,0.054009819967266726
2011-07-12,6351,6479,6093,6335,209679,-0.016304347826086918
2011-07-13,6431,6672,6399,6408,401118,0.011523283346487778
2011-07-14,6455,6512,6118,6150,150581,-0.04026217228464424
2011-07-15,6150,6552,6150,6552,230233,0.06536585365853664
2011-07-18,6680,6777,6399,6488,278531,-0.009768009768009733
2011-07-19,6383,6431,6214,6239,178967,-0.03837854500616522
2011-07-20,6311,6471,6198,6335,180685,0.015387081263023017
2011-07-21,6335,6584,6294,6480,207338,0.022888713496448387
2011-07-22,6584,6873,6576,6721,418416,0.03719135802469142
2011-07-25,6721,6721,6351,6464,143872,-0.03823835738729353
2011-07-26,6479,6624,6335,6335,116287,-0.01995668316831678
2011-07-27,6431,6495,6270,6367,106907,0.0050513022888714065
2011-07-28,6343,7307,6190,6721,729064,0.055599183288832954
2011-07-29,6825,7227,6809,6906,356015,0.027525665823538104
2011-08-01,6986,7195,6616,6753,227551,-0.02215464813205903
2011-08-02,6753,6889,6447,6488,130937,-0.039241818451058785
2011-08-03,6359,6994,6182,6592,215861,0.01602959309494456
2011-08-04,6753,6873,6335,6335,155980,-0.038986650485436924
2011-08-05,5547,6182,5547,5740,99307,-0.09392265193370164
2011-08-08,6431,6471,5523,6207,281234,0.08135888501742161
2011-08-09,5796,6190,5281,5282,237092,-0.14902529402287734
2011-08-10,5627,5651,5362,5459,145147,0.033510034078000794
2011-08-11,4984,5458,4920,5266,169702,-0.03535446052390545
2011-08-12,5434,5563,5185,5322,164548,0.010634257500949484
2011-08-16,5491,5716,5434,5668,142248,0.06501315295001886
2011-08-17,5796,5989,5667,5708,144410,0.007057163020465662
2011-08-18,5788,5788,5314,5378,176327,-0.05781359495444993
2011-08-19,5378,5378,4582,4743,216154,-0.11807363332093712
2011-08-22,4743,4823,4196,4502,179753,-0.050811722538477766
2011-08-23,4510,5177,4486,5177,329606,0.1499333629498001
2011-08-24,5185,5233,4743,4751,265283,-0.08228703882557464
2011-08-25,5000,5105,4871,5033,117521,0.05935592506840659
2011-08-26,5024,5780,4984,5387,673310,0.07033578382674355
2011-08-29,5450,5595,5145,5539,382000,0.028216075737887536
2011-08-30,5571,5627,5386,5387,222386,-0.027441776493951964
2011-08-31,5426,5523,5209,5274,98503,-0.020976424726192655
2011-09-01,5362,5507,5040,5041,184677,-0.04417899127796743
2011-09-02,5129,5265,4936,5234,164035,0.038286054354294885
2011-09-05,5233,5378,4992,5001,119689,-0.044516622086358426
2011-09-06,5016,5161,4502,4631,129656,-0.07398520295940814
2011-09-07,4775,4976,4711,4727,58842,0.02072986396026777
2011-09-08,4823,4880,4365,4454,133902,-0.05775333192299559
2011-09-09,4437,4614,4437,4575,64774,0.027166591827570752
2011-09-14,4502,4550,4188,4309,81118,-0.05814207650273229
2011-09-15,4381,4566,4140,4229,62379,-0.018565792527268532
2011-09-16,4236,4333,4172,4293,101464,0.01513360132419006
2011-09-19,4269,4365,4116,4116,77354,-0.04122990915443747
2011-09-20,4108,4132,3975,4020,79107,-0.023323615160349864
2011-09-21,4059,4068,3963,3984,85105,-0.008955223880596996
2011-09-22,3939,3971,3625,3706,94352,-0.06977911646586343
2011-09-23,3529,3529,3187,3224,153066,-0.13005936319481926
2011-09-26,3231,3352,2741,2741,139252,-0.14981389578163773
2011-09-27,2878,3091,2825,3063,64645,0.11747537395111274
2011-09-28,3143,3296,3075,3119,60553,0.018282729350310056
2011-09-29,3018,3256,3018,3196,37339,0.024687399807630683
2011-09-30,3215,3392,3215,3320,51739,0.038798498122653235
2011-10-04,3087,3203,3006,3083,30826,-0.07138554216867465
2011-10-05,3207,3215,3030,3063,17484,-0.006487187804086969
2011-10-06,3091,3243,3091,3095,17745,0.010447273914462984
2011-10-07,3243,3448,3183,3280,48724,0.05977382875605808
2011-10-10,3252,3428,3247,3336,24237,0.017073170731707332
2011-10-11,3340,3424,3336,3381,42829,0.013489208633093552
2011-10-12,3448,3842,3376,3771,241579,0.11535048802129544
2011-10-13,3858,3979,3649,3650,90577,-0.03208697958101303
2011-10-14,3601,3722,3473,3706,33569,0.015342465753424683
2011-10-17,3714,3822,3666,3726,40464,0.005396654074473872
2011-10-18,3641,3658,3501,3501,29328,-0.06038647342995174
2011-10-19,3545,3694,3380,3537,33348,0.010282776349614497
2011-10-20,3653,3653,3392,3401,13415,-0.03845066440486289
2011-10-21,3501,3569,2894,3296,45603,-0.030873272566892096
2011-10-24,3296,3465,3296,3425,24851,0.03913834951456319
2011-10-25,3444,3569,3424,3481,17377,0.016350364963503727
2011-10-26,3384,3457,3348,3437,32966,-0.012640045963803526
2011-10-27,3440,3501,3320,3340,45051,-0.028222286878091363
2011-10-28,3388,3408,3304,3328,34242,-0.003592814371257469
2011-10-31,3344,3513,3336,3489,50264,0.048377403846153744
2011-11-01,3416,3995,3380,3706,193786,0.062195471481800046
2011-11-02,3649,3714,3497,3714,58722,0.0021586616297895045
2011-11-03,3726,3834,3561,3562,54609,-0.040926225094238045
2011-11-04,3698,3927,3698,3746,88011,0.05165637282425606
2011-11-07,3850,3850,3686,3710,21897,-0.009610250934329989
2011-11-08,3662,3750,3513,3533,70256,-0.04770889487870622
2011-11-09,3553,3641,3517,3533,41150,0.0
2011-11-10,3392,3690,3376,3389,50729,-0.04075856212850271
2011-11-11,3416,3577,3360,3405,34930,0.004721156683387351
2011-11-14,3489,3577,3412,3562,33790,0.04610866372980915
2011-11-15,3658,3778,3477,3654,74719,0.025828186412127918
2011-11-16,3826,4011,3666,3714,118929,0.016420361247947435
2011-11-17,3891,3939,3730,3923,58023,0.05627355950457735
2011-11-18,3923,3955,3778,3835,50471,-0.022431812388478245
2011-11-21,3850,3899,3658,3722,56784,-0.029465449804432886
2011-11-22,3625,3798,3625,3654,29651,-0.018269747447608786
2011-11-23,3653,3674,3432,3537,57696,-0.03201970443349755
2011-11-24,3469,3625,3448,3558,15111,0.00593723494486853
2011-11-25,3694,3694,3428,3614,33388,0.01573917931422142
2011-11-28,3549,3621,3537,3553,27164,-0.01687880464858882
2011-11-29,3625,3750,3521,3686,41970,0.03743315508021383
2011-11-30,3734,3899,3730,3875,45079,0.05127509495387961
2011-12-01,3939,4301,3883,3980,161540,0.02709677419354839
2011-12-02,3963,4092,3875,4076,52070,0.024120603015075348
2011-12-05,4164,4164,3987,3988,34694,-0.02158979391560356
2011-12-06,3991,4108,3822,3875,30373,-0.028335005015045156
2011-12-07,3987,3987,3778,3855,21345,-0.005161290322580614
2011-12-08,3967,3967,3806,3811,12896,-0.011413748378728883
2011-12-09,3730,3891,3706,3823,17454,0.0031487798478089246
2011-12-12,3947,4068,3879,4004,37367,0.04734501700235416
2011-12-13,4019,4019,3867,3939,27859,-0.016233766233766267
2011-12-14,3867,4011,3867,3939,15237,0.0
2011-12-15,3939,3939,3698,3883,12436,-0.014216806296014184
2011-12-16,3907,3955,3806,3919,26193,0.009271182075714757
2011-12-19,3999,4421,3621,3855,101811,-0.016330696606277062
2011-12-20,3891,4260,3891,4100,62201,0.06355382619974059
2011-12-21,4260,4341,4019,4060,72104,-0.009756097560975618
2011-12-22,4124,4662,4027,4663,293579,0.14852216748768465
2011-12-23,4703,5177,4687,4743,356597,0.017156337122024468
2011-12-26,4662,4823,4518,4583,136134,-0.03373392367699768
2011-12-27,4582,4662,4252,4285,85077,-0.06502291075714595
2011-12-28,4260,4638,4180,4462,76227,0.04130688448074671
2011-12-29,4349,4807,4309,4743,87414,0.06297624383684441
2012-01-02,4823,5386,4743,5145,197734,0.08475648323845664
2012-01-03,5137,5209,4992,5113,76649,-0.00621963070942666
2012-01-04,5185,5571,5113,5234,172605,0.02366516722080969
2012-01-05,5145,5290,4928,4944,67228,-0.05540695452808564
2012-01-06,4984,5161,4823,4848,46157,-0.01941747572815533
2012-01-09,4855,4920,4590,4824,40822,-0.004950495049504955
2012-01-10,4823,5185,4823,4840,50941,0.0033167495854062867
2012-01-11,4823,4992,4791,4808,27264,-0.006611570247933907
2012-01-12,4807,4976,4743,4824,26971,0.0033277870216306127
2012-01-13,4912,4912,4670,4848,22377,0.004975124378109541
2012-01-16,4775,4904,4711,4800,16898,-0.00990099009900991
2012-01-17,4807,4896,4695,4767,25594,-0.0068749999999999645
2012-01-18,4767,4912,4526,4623,59806,-0.030207677784770293
2012-01-19,4719,5064,4566,4703,130506,0.017304780445598134
2012-01-20,4880,4880,4646,4695,33789,-0.0017010418881564515
2012-01-25,4767,4767,4542,4550,51781,-0.030883919062832832
2012-01-26,4614,4622,4461,4526,29847,-0.005274725274725278
2012-01-27,4566,4566,4413,4414,23652,-0.024745912505523604
2012-01-30,4502,4526,4405,4462,20664,0.010874490258269143
2012-01-31,4437,4526,4132,4237,66755,-0.05042581801882562
2012-02-01,4132,4687,4132,4470,96296,0.05499173943828173
2012-02-02,4835,4945,4650,4775,61273,0.06823266219239366
2012-02-03,4840,4890,4635,4715,18519,-0.012565445026177957
2012-02-06,4655,4800,4500,4520,19399,-0.04135737009544005
2012-02-07,4535,4600,4210,4305,48700,-0.047566371681415975
2012-02-08,4495,4495,4290,4380,26139,0.017421602787456525
2012-02-09,4390,4470,4280,4420,17354,0.009132420091324311
2012-02-10,4430,4460,4275,4275,27041,-0.03280542986425339
2012-02-13,4210,4510,4210,4420,12503,0.03391812865497079
2012-02-14,4495,4590,4310,4430,14304,0.002262443438914019
2012-02-15,4485,4800,4360,4650,55422,0.04966139954853266
2012-02-16,4680,4680,4515,4580,28405,-0.01505376344086018
2012-02-17,4580,4670,4385,4530,47400,-0.01091703056768556
2012-02-20,4700,4850,4400,4400,46311,-0.028697571743929395
