Date,Open,High,Low,Close,Volume,Change
2011-01-03,6768,6768,6522,6592,1567052,-0.019485348802617874
2011-01-04,6573,7556,6573,7574,10847288,0.14896844660194164
2011-01-05,7561,7597,7211,7404,6672888,-0.02244520728809085
2011-01-06,7700,8490,7586,7815,24392872,0.05551053484602919
2011-01-07,7863,8284,7538,8135,9005562,0.04094689699296228
2011-01-10,8491,8570,8105,8246,6557723,0.013644744929317776
2011-01-11,8094,8137,7778,8085,3910449,-0.019524617996604432
2011-01-12,7934,8522,7873,8286,9606028,0.02486085343228206
2011-01-13,8300,8993,8168,8757,12426645,0.05684286748732803
2011-01-14,8564,8942,8406,8837,5295017,0.009135548703893992
2011-01-17,8742,9444,8575,9137,7654967,0.03394817245671611
2011-01-18,8990,9280,8736,8807,3743520,-0.0361168873809784
2011-01-19,8778,8822,8286,8506,5092953,-0.03417735891904172
2011-01-20,8610,8610,8259,8286,4208407,-0.025864095932283115
2011-01-21,9497,9497,8873,9207,27719915,0.11115133960897894
2011-01-24,8907,8994,8319,8556,8494488,-0.07070707070707072
2011-01-25,7276,7276,7276,7294,1397255,-0.14749883122954655
2011-01-26,6730,7186,6361,6643,11887962,-0.08925143953934744
2011-01-27,6650,6869,6650,6773,4240629,0.019569471624266255
2011-01-28,6705,6731,6398,6512,3531623,-0.038535360992174805
2011-01-31,6306,6833,6227,6552,4386968,0.006142506142506221
2011-02-01,6505,6690,6505,6673,2313323,0.018467643467643402
2011-02-07,6845,6845,6512,6582,3699727,-0.013637044807432885
2011-02-08,6561,6692,6341,6482,3675075,-0.015192950470981459
2011-02-09,6538,6810,5555,5591,7834077,-0.13745757482258558
2011-02-10,5494,6091,5152,5881,7989612,0.05186907529958873
2011-02-11,5763,5851,5570,5641,3364176,-0.040809386158816574
2011-02-14,5446,5630,5446,5631,1866202,-0.0017727353306151716
2011-02-15,5561,5596,5465,5571,1637309,-0.010655301012253648
2011-02-16,5545,5545,5405,5440,2170972,-0.023514629330461334
2011-02-17,5438,6044,5395,5641,3943269,0.03694852941176463
2011-02-18,5737,5737,5491,5641,1605773,0.0
2011-02-21,5630,5718,5560,5701,1208232,0.010636411983690808
2011-02-22,5710,5737,5561,5641,1513569,-0.01052446939133489
2011-02-23,5535,5842,5430,5851,2291681,0.03722744194291794
2011-02-24,6018,6255,5992,6072,2227235,0.03777132114168524
2011-02-25,6033,6033,5718,5911,1490896,-0.02651515151515149
2011-02-28,5786,5786,5540,5611,1530412,-0.050752833699881594
2011-03-02,5561,5851,5561,5641,1293299,0.005346640527535307
2011-03-03,5665,6209,5665,6051,1653480,0.0726821485552207
2011-03-04,6043,6184,5833,6202,1753473,0.02495455296645188
2011-03-07,6013,6803,6013,6452,2964759,0.04030957755562725
2011-03-08,6326,6476,6177,6362,1230340,-0.013949163050216984
2011-03-09,6279,6393,6235,6332,862054,-0.004715498270983942
2011-03-10,6400,6400,6163,6392,887439,0.009475679090334754
2011-03-11,6363,6363,6126,6232,923108,-0.025031289111389188
2011-03-14,6031,6137,5311,5821,1596667,-0.06594993581514763
2011-03-15,5715,5988,5426,5681,1379930,-0.024050850369352395
2011-03-16,5559,5988,5559,5831,2548585,0.02640380214750926
2011-03-17,5713,5844,5625,5731,1246882,-0.017149717029669054
2011-03-18,5862,5897,5739,5801,1247252,0.012214273250741536
2011-03-21,5793,5890,5740,5811,2254883,0.0017238407171178416
2011-03-22,5861,5948,5712,5721,2680254,-0.01548786783686118
2011-03-23,5644,5662,5495,5601,2350177,-0.02097535395909811
2011-03-24,5579,5719,5535,5571,1600206,-0.005356186395286566
2011-03-25,5564,5616,5502,5591,1397133,0.0035900197451086413
2011-03-28,5618,5670,5521,5530,1526804,-0.010910391700947986
2011-03-29,5506,5550,5410,5551,1497024,0.0037974683544304
2011-03-30,5553,5737,5465,5571,2557801,0.003602954422626592
2011-03-31,5545,5598,5510,5581,1051367,0.0017950098725543207
2011-04-01,5636,5750,5619,5751,2022221,0.03046049095144232
2011-04-04,5735,5744,5604,5631,1649232,-0.02086593635889411
2011-04-05,5589,5598,5484,5581,1276938,-0.008879417510211374
2011-04-06,5554,5554,5405,5440,1719390,-0.02526428955384341
2011-04-07,5504,5504,5416,5460,1122494,0.003676470588235281
2011-04-08,5088,5290,4798,4939,9550940,-0.09542124542124542
2011-04-11,4911,4929,4753,4859,3286380,-0.016197610852399236
2011-04-12,4803,5084,4794,5050,5367234,0.03930849969129446
2011-04-13,4985,5161,4941,5100,2744977,0.00990099009900991
2011-04-14,5163,5163,4970,5050,1600754,-0.009803921568627416
2011-04-15,5021,5171,4960,5110,1993053,0.011881188118811892
2011-04-18,5138,5191,5015,5200,2209747,0.017612524461839474
2011-04-19,5137,5207,5066,5190,2194207,-0.0019230769230769162
2011-04-20,5112,5191,5103,5130,1510544,-0.011560693641618491
2011-04-21,5142,5142,4905,4949,2231566,-0.035282651072124804
2011-04-22,4939,5070,4816,5080,1759707,0.0264699939381694
2011-04-25,5148,5613,5086,5490,7296032,0.08070866141732291
2011-04-26,5525,5779,5271,5490,5989974,0.0
2011-04-27,5520,5608,5125,5240,3135826,-0.04553734061930781
2011-04-28,5129,5226,4989,5060,2183495,-0.03435114503816794
2011-04-29,5099,5152,4924,4959,1710306,-0.01996047430830039
2011-05-02,4938,5157,4894,5140,1442148,0.03649929421254283
2011-05-03,5171,5171,4969,5040,1422200,-0.01945525291828798
2011-05-04,4998,5234,4919,5130,1662231,0.017857142857142794
2011-05-06,5034,5174,4990,5140,1251357,0.0019493177387914784
2011-05-09,5073,5257,4994,5240,2367840,0.01945525291828787
2011-05-11,5277,5321,5023,5050,2426713,-0.0362595419847328
2011-05-12,5017,5025,4841,4859,1903277,-0.037821782178217855
2011-05-13,4899,4943,4829,4899,1016531,0.008232146532208384
2011-05-16,4869,4974,4798,4939,865637,0.008164931618697802
2011-05-17,4928,4989,4849,4989,1447743,0.010123506782749647
2011-05-18,4930,4939,4860,4869,1011023,-0.0240529164161154
2011-05-19,4876,5025,4815,4859,2166137,-0.0020538098172109276
2011-05-20,4867,4938,4832,4859,1094571,0.0
2011-05-23,4935,5303,4900,5190,3502183,0.06812101255402347
2011-05-24,5128,5146,4979,5050,1428803,-0.026974951830443183
2011-05-25,4985,5099,4950,5030,1944401,-0.003960396039603964
2011-05-26,5033,5094,4945,4989,1868157,-0.008151093439363821
2011-05-27,5167,5202,4921,4939,2678150,-0.010022048506714731
2011-05-30,4879,4931,4852,4879,1717688,-0.012148208139299399
2011-05-31,4801,4801,4459,4609,4273427,-0.05533920885427346
2011-06-01,4509,5281,4509,5290,3305704,0.14775439357778253
2011-06-02,4498,4647,4480,4499,8130319,-0.14952741020793947
