Date,Open,High,Low,Close,Volume,Change
2011-01-03,2064,2106,2064,2080,89086,0.007263922518159882
2011-01-04,2118,2144,2075,2099,134166,0.009134615384615463
2011-01-05,2098,2144,2060,2069,204775,-0.014292520247736973
2011-01-06,2075,2083,1983,2019,263880,-0.024166263895601725
2011-01-07,2017,2037,1983,2015,102909,-0.001981178801386818
2011-01-10,2006,2053,2006,2041,157059,0.012903225806451646
2011-01-11,2075,2345,2075,2345,5357255,0.14894659480646744
2011-01-12,2290,2321,2183,2245,1660944,-0.04264392324093813
2011-01-13,2264,2321,2206,2265,1201924,0.008908685968819663
2011-01-14,2268,2290,2194,2223,376476,-0.018543046357615944
2011-01-17,2233,2260,2152,2177,569123,-0.02069275753486277
2011-01-18,2199,2199,2122,2122,269841,-0.025264124942581567
2011-01-19,2122,2183,2098,2146,226674,0.011310084825636224
2011-01-20,2144,2152,2110,2119,162900,-0.012581547064305698
2011-01-21,2149,2149,2037,2065,314036,-0.02548371873525246
2011-01-24,2053,2087,2037,2069,139027,0.0019370460048426796
2011-01-25,2075,2098,2029,2034,173805,-0.016916384726921252
2011-01-26,2037,2056,1995,2019,195732,-0.007374631268436627
2011-01-27,2041,2041,2006,2022,98890,0.0014858841010401136
2011-01-28,2053,2053,1998,2022,67472,0.0
2011-01-31,2006,2037,1995,2007,119673,-0.007418397626112738
2011-02-01,1998,2048,1998,2003,107634,-0.0019930244145490716
2011-02-07,2022,2087,2002,2088,166130,0.04243634548177733
2011-02-08,2079,2103,2045,2099,124898,0.005268199233716464
2011-02-09,2098,2106,2041,2046,86772,-0.02525011910433539
2011-02-10,2044,2079,1998,2011,92677,-0.017106549364613866
2011-02-11,2006,2053,1976,2000,110355,-0.005469915464942798
2011-02-14,1998,2029,1976,2030,132429,0.014999999999999902
2011-02-15,2006,2048,2006,2050,96548,0.009852216748768461
2011-02-16,2048,2352,2033,2353,1354675,0.1478048780487804
2011-02-17,2345,2345,2002,2003,2360808,-0.1487462813429664
2011-02-18,2029,2053,1983,2041,400071,0.01897154268597112
2011-02-21,2053,2133,2053,2061,592683,0.009799118079372837
2011-02-22,2022,2129,1987,2084,511426,0.011159631246967505
2011-02-23,2075,2110,2006,2030,359453,-0.025911708253358978
2011-02-24,2010,2053,1998,2003,173476,-0.013300492610837433
2011-02-25,2006,2187,2006,2053,746792,0.02496255616575138
2011-02-28,2053,2091,1995,1995,239265,-0.02825133950316605
2011-03-02,1960,2037,1852,1892,281369,-0.05162907268170425
2011-03-03,1891,1918,1825,1861,286398,-0.01638477801268501
2011-03-04,1902,1906,1849,1895,142911,0.018269747447608786
2011-03-07,1868,1906,1837,1895,130790,0.0
2011-03-08,1895,1918,1860,1895,130531,0.0
2011-03-09,1910,1918,1876,1876,125981,-0.010026385224274459
2011-03-10,1864,1887,1837,1876,196067,0.0
2011-03-11,1849,1876,1837,1873,101618,-0.0015991471215351938
2011-03-14,1845,1849,1607,1669,463067,-0.10891617725573943
2011-03-15,1653,1694,1421,1557,472493,-0.06710605152786098
2011-03-16,1510,1560,1499,1557,350151,0.0
2011-03-17,1507,1541,1483,1495,126445,-0.039820166987797
2011-03-18,1526,1560,1495,1557,151813,0.04147157190635453
2011-03-21,1564,1744,1564,1746,213458,0.12138728323699421
2011-03-22,1744,1749,1691,1715,116825,-0.017754868270332236
2011-03-23,1729,1871,1687,1768,520559,0.03090379008746358
2011-03-24,1768,1791,1699,1753,110610,-0.008484162895927572
2011-03-25,1752,1799,1729,1742,112827,-0.006274957216200749
2011-03-28,1729,1760,1679,1738,115652,-0.0022962112514350874
2011-03-29,1722,1729,1672,1707,76434,-0.01783659378596092
2011-03-30,1675,1718,1675,1692,52077,-0.008787346221441172
2011-03-31,1710,1749,1691,1746,77184,0.03191489361702127
