Date,Open,High,Low,Close,Volume,Change
2011-01-03,540,545,530,539,251660,0.007476635514018781
2011-01-04,535,539,518,523,579041,-0.029684601113172504
2011-01-05,523,600,509,590,1928643,0.12810707456978965
2011-01-06,605,605,551,583,674936,-0.011864406779661052
2011-01-07,563,585,563,575,305910,-0.013722126929674117
2011-01-10,565,644,565,618,1363007,0.07478260869565223
2011-01-11,630,660,617,628,740408,0.016181229773462702
2011-01-12,628,637,590,590,671851,-0.060509554140127375
2011-01-13,590,600,556,575,564340,-0.025423728813559365
2011-01-14,578,661,574,634,5949828,0.1026086956521739
2011-01-17,660,729,655,720,4454644,0.13564668769716093
2011-01-18,759,827,670,724,4141510,0.005555555555555536
2011-01-19,729,730,660,680,1767102,-0.06077348066298338
2011-01-20,649,748,635,685,1733185,0.007352941176470562
2011-01-21,683,728,652,711,1555878,0.03795620437956204
2011-01-24,711,711,617,622,1506642,-0.12517580872011247
2011-01-25,590,599,570,579,1973794,-0.06913183279742763
2011-01-26,572,591,556,576,662204,-0.005181347150259086
2011-01-27,571,591,571,590,664119,0.02430555555555558
2011-01-28,590,614,575,606,804278,0.027118644067796627
2011-01-31,604,605,581,582,397342,-0.03960396039603964
2011-02-01,575,605,572,586,671023,0.0068728522336769515
2011-02-07,590,615,589,600,362494,0.023890784982935065
2011-02-08,591,648,591,632,976768,0.05333333333333323
2011-02-09,635,699,626,670,1349133,0.06012658227848111
2011-02-10,675,701,635,670,1429540,0.0
2011-02-11,645,675,618,660,884848,-0.014925373134328401
2011-02-14,671,671,624,663,439348,0.00454545454545463
2011-02-15,663,675,635,659,512141,-0.006033182503770718
2011-02-16,659,659,633,642,436134,-0.025796661608497695
2011-02-17,642,650,594,609,458488,-0.051401869158878455
2011-02-18,600,632,590,632,425975,0.03776683087027921
2011-02-21,634,640,618,618,122132,-0.022151898734177222
2011-02-22,625,625,590,617,328460,-0.0016181229773463146
2011-02-23,615,617,587,587,382619,-0.0486223662884927
2011-02-24,586,597,575,587,444241,0.0
2011-02-25,591,617,581,600,269971,0.022146507666098714
