Date,Open,High,Low,Close,Volume,Change
2011-01-03,21215,21215,21032,21170,3190,-0.0021681749622926016
2011-01-04,21261,21261,21032,21079,3900,-0.004298535663674996
2011-01-05,20987,21078,20895,21033,3030,-0.0021822667109445693
2011-01-06,20895,21078,20850,21079,2274,0.0021870394142537997
2011-01-07,21078,21078,20850,20941,1368,-0.006546800132833597
2011-01-10,20850,20850,20667,20850,1976,-0.0043455422377154385
2011-01-11,20850,20850,20575,20759,3518,-0.004364508393285393
2011-01-12,20758,20758,20575,20713,6241,-0.002215906353870589
2011-01-13,20712,20712,20484,20621,2641,-0.004441654999275846
2011-01-14,20667,20667,20484,20621,1910,0.0
2011-01-17,20758,20758,20575,20667,1002,0.002230735657824612
2011-01-18,20667,20667,20575,20667,680,0.0
2011-01-19,20575,20575,20529,20576,710,-0.004403154787826047
2011-01-20,20575,20575,20392,20484,1803,-0.004471228615863132
2011-01-21,20164,20301,20072,20164,3745,-0.015621948838117516
2011-01-24,20209,20209,20072,20118,650,-0.002281293394167827
2011-01-25,20118,20118,20026,20073,2671,-0.0022368028631076786
2011-01-26,19981,20118,19935,20027,1940,-0.0022916355303143066
2011-01-27,20026,20118,20026,20027,1412,0.0
2011-01-28,20072,20164,19889,19981,2330,-0.0022968991860987664
2011-01-31,20026,20026,19752,19936,1770,-0.0022521395325558746
2011-02-01,19935,19981,19661,19936,1500,0.0
2011-02-07,19935,20072,19798,19890,2970,-0.002307383627608295
2011-02-08,19798,19844,19661,19798,2490,-0.00462543991955755
2011-02-09,19661,19798,19569,19661,2560,-0.0069198908980705465
2011-02-10,19661,19661,19478,19524,2190,-0.006968109455266824
2011-02-11,19569,19615,19569,19615,2072,0.004660930137266872
2011-02-14,19615,19752,19478,19753,1321,0.0070354320672954
2011-02-15,19752,19752,19569,19661,452,-0.00465752037665168
2011-02-16,19661,19661,19569,19615,1769,-0.0023396571893596896
2011-02-17,19615,19615,19524,19524,1321,-0.004639306653071662
2011-02-18,19524,19569,19478,19524,3490,0.0
2011-02-21,19524,19615,19386,19524,3201,0.0
2011-02-22,19524,19524,19249,19387,3324,-0.007017004712149166
2011-02-23,19295,19524,19295,19341,4620,-0.0023727239903027497
2011-02-24,19478,19478,19341,19341,752,0.0
2011-02-25,19341,19432,19112,19250,3691,-0.004705030763662688
2011-02-28,19158,19341,19112,19341,2013,0.004727272727272691
2011-03-02,19524,19524,19295,19341,2460,0.0
2011-03-03,19341,19569,19341,19341,1360,0.0
2011-03-04,19341,19386,19341,19341,1325,0.0
2011-03-07,19341,19341,19249,19341,1857,0.0
2011-03-08,19295,19386,19249,19341,1203,0.0
2011-03-09,19341,19341,19249,19341,1388,0.0
2011-03-10,19295,19386,19203,19341,1804,0.0
2011-03-11,19341,19341,19249,19341,1052,0.0
2011-03-14,19341,19341,19158,19204,2080,-0.007083397962876825
2011-03-15,19203,19295,18929,19021,6390,-0.009529264736513277
2011-03-16,18975,19066,18975,18975,5210,-0.00241837968561065
2011-03-17,18975,18975,18838,18975,1675,0.0
2011-03-18,18975,18975,18883,18930,2640,-0.002371541501976271
2011-03-21,18929,18975,18838,18838,5111,-0.004860010565240325
2011-03-22,18929,18929,18746,18884,5948,0.0024418728102770793
2011-03-23,18883,18929,18746,18838,4875,-0.002435924592247396
2011-03-24,18838,18883,18746,18838,5499,0.0
2011-03-25,18838,18838,18700,18792,6051,-0.0024418728102770793
2011-03-28,18746,18929,18746,18838,3855,0.0024478501489995086
2011-03-29,18838,18838,18700,18838,7287,0.0
2011-03-30,18838,18838,18655,18792,5103,-0.0024418728102770793
2011-03-31,18655,18838,18655,18838,7292,0.0024478501489995086
2011-04-01,18746,18792,18563,18792,10100,-0.0024418728102770793
2011-04-04,18792,18838,18700,18792,9485,0.0
2011-04-05,18792,19021,18746,18930,7356,0.007343550446998748
2011-04-06,18929,18975,18883,18884,5250,-0.0024300052826201624
2011-04-07,18883,18929,18792,18838,14371,-0.002435924592247396
2011-04-08,18838,19203,18838,19158,7262,0.016986941288884116
2011-04-11,19158,19203,18975,19067,2983,-0.0047499739012423214
2011-04-12,19021,19066,18838,18884,4332,-0.009597734305344274
2011-04-13,18838,18975,18792,18884,5870,0.0
2011-04-14,18883,18975,18838,18884,8570,0.0
2011-04-15,18883,18929,18746,18930,4094,0.002435924592247396
2011-04-18,18929,18929,18746,18792,3440,-0.007290015847860487
2011-04-19,18792,18838,18746,18792,4779,0.0
2011-04-20,18838,18838,18700,18792,2574,0.0
2011-04-21,18838,18838,18655,18747,4650,-0.002394636015325635
2011-04-22,18746,18838,18609,18747,8012,0.0
2011-04-25,18746,18929,18700,18701,3339,-0.002453725929482009
2011-04-26,18700,18700,18472,18655,5430,-0.00245976151007965
2011-04-27,18655,18655,18472,18655,3536,0.0
2011-04-28,18609,18746,18518,18518,3496,-0.007343875636558583
2011-04-29,18518,18609,18472,18610,1610,0.004968139107895064
2011-05-02,18655,18883,18655,18792,6580,0.00977968833960241
2011-05-03,18792,18838,18655,18838,1753,0.0024478501489995086
2011-05-04,18838,19021,18746,18838,4661,0.0
2011-05-06,18838,18975,18746,18884,5821,0.0024418728102770793
2011-05-09,18792,18838,18609,18838,4060,-0.002435924592247396
2011-05-11,18838,18929,18746,18838,7175,0.0
2011-05-12,18929,18929,18746,18792,4200,-0.0024418728102770793
2011-05-13,18883,18883,18700,18701,3130,-0.004842486164325255
2011-05-16,18883,18883,18700,18838,960,0.007325811453932962
2011-05-17,18655,18746,18655,18747,2670,-0.004830661429026439
2011-05-18,18746,18838,18655,18792,4150,0.002400384061449934
2011-05-19,18746,18746,18655,18747,2293,-0.002394636015325635
2011-05-20,18838,18929,18700,18838,2453,0.004854109990931832
2011-05-23,18700,18746,18609,18655,2755,-0.009714407049580598
2011-05-24,18883,18883,18563,18564,740,-0.004878048780487809
2011-05-25,18746,18746,18472,18610,3476,0.002477914242620116
2011-05-26,18700,18700,18563,18564,1450,-0.002471789360558807
2011-05-27,18518,18563,18472,18472,940,-0.004955828485240232
2011-05-30,18609,18655,18563,18655,403,0.009906886097877932
2011-05-31,18655,18655,18609,18610,910,-0.002412221924417035
2011-06-01,18609,18655,18563,18655,829,0.002418054809242287
2011-06-02,18518,18609,18472,18518,1810,-0.007343875636558583
2011-06-03,18518,18609,18518,18518,250,0.0
2011-06-07,18426,18563,18426,18518,800,0.0
2011-06-08,18518,18563,18518,18518,305,0.0
2011-06-09,18518,18563,18289,18564,9360,0.002484069553947421
2011-06-10,18563,18609,18380,18564,931,0.0
2011-06-13,18563,18609,18472,18472,1163,-0.004955828485240232
2011-06-14,18472,18563,18380,18472,1200,0.0
2011-06-15,18380,18700,18380,18701,381,0.012397141619748808
2011-06-16,18426,18655,18426,18518,303,-0.009785572964012612
2011-06-17,18426,18609,18426,18564,270,0.002484069553947421
2011-06-20,18472,18746,18472,18655,2072,0.004901960784313708
2011-06-21,18563,18563,18563,18564,122,-0.004878048780487809
2011-06-22,18472,18838,18472,18838,2132,0.014759750053867648
2011-06-23,18563,18883,18563,18564,520,-0.014545068478607037
2011-06-24,18609,18609,18563,18564,567,0.0
2011-06-27,18609,18700,18472,18472,1230,-0.004955828485240232
2011-06-28,18563,18700,18563,18564,331,0.004980511043741975
2011-06-29,18655,18655,18563,18655,1600,0.004901960784313708
2011-06-30,18655,18792,18655,18792,363,0.007343875636558472
2011-07-01,18655,18655,18609,18610,519,-0.00968497232865051
2011-07-04,18655,18746,18609,18747,1371,0.007361633530360123
2011-07-05,18746,18792,18655,18747,381,0.0
2011-07-06,18746,18792,18700,18747,530,0.0
2011-07-07,18838,18838,18746,18747,1800,0.0
2011-07-08,18838,20118,18746,18930,1760,0.009761561849896072
2011-07-11,18883,18883,18746,18747,240,-0.00966719492868462
2011-07-12,18746,18746,18563,18564,1712,-0.009761561849895961
