Date,Open,High,Low,Close,Volume,Change
2011-01-03,2420,2442,2033,2055,5729475,-0.1217948717948718
2011-01-04,2076,2146,2001,2017,3024566,-0.018491484184914864
2011-01-05,2017,2065,1990,2028,824044,0.005453644025780857
2011-01-06,2028,2065,1936,1947,848039,-0.0399408284023669
2011-01-07,1941,1979,1931,1980,359298,0.016949152542372836
2011-01-10,1995,2076,1958,2055,654253,0.037878787878787845
2011-01-11,2060,2114,1985,2017,708348,-0.018491484184914864
2011-01-12,2022,2060,1974,1974,434891,-0.021318790282597866
2011-01-13,1979,2001,1952,1985,358330,0.005572441742654588
2011-01-14,1995,2038,1958,1969,382453,-0.008060453400503764
2011-01-17,1968,1979,1909,1926,442326,-0.021838496698831866
2011-01-18,1915,1920,1872,1883,340285,-0.022326064382139132
2011-01-19,1898,1915,1872,1899,198781,0.00849707912904929
2011-01-20,1915,1941,1877,1877,156161,-0.011585044760400232
2011-01-21,1893,1915,1834,1840,215415,-0.019712306872669116
2011-01-24,1839,1855,1818,1829,126246,-0.005978260869565211
2011-01-25,1845,1866,1802,1829,222093,0.0
2011-01-26,1829,1855,1818,1856,133632,0.014762165117550463
2011-01-27,1855,1893,1829,1861,135018,0.0026939655172413257
2011-01-28,1850,1904,1845,1904,156030,0.023105857066093582
2011-01-31,1872,1888,1839,1861,157849,-0.02258403361344541
2011-02-01,1845,1888,1834,1867,146441,0.003224073078989864
2011-02-07,1866,1904,1855,1894,174731,0.014461703267273807
2011-02-08,1872,1968,1872,1964,272792,0.03695881731784589
2011-02-09,1974,2006,1915,1920,213659,-0.022403258655804503
2011-02-10,1936,1941,1855,1861,230440,-0.030729166666666696
2011-02-11,1872,1888,1823,1824,219597,-0.01988178398710372
2011-02-14,1823,1839,1785,1786,195239,-0.02083333333333337
2011-02-15,1780,1812,1780,1797,104952,0.006159014557670872
2011-02-16,1807,1839,1785,1829,120806,0.017807456872565464
2011-02-17,1829,1850,1759,1808,137155,-0.011481683980317126
2011-02-18,1812,1861,1780,1824,84607,0.008849557522123908
2011-02-21,1829,1845,1802,1824,63815,0.0
2011-02-22,1802,1861,1769,1775,104355,-0.026864035087719285
2011-02-23,1742,1780,1710,1748,197775,-0.01521126760563385
2011-02-24,1716,1753,1689,1711,161504,-0.021167048054919868
2011-02-25,1716,1791,1710,1727,191898,0.009351256575102385
2011-02-28,1721,1748,1699,1711,119289,-0.00926462072958889
2011-03-02,1694,1721,1689,1705,96045,-0.003506721215663311
2011-03-03,1694,1732,1694,1732,42874,0.015835777126099737
2011-03-04,1732,1764,1721,1738,60186,0.0034642032332563577
2011-03-07,1726,1742,1694,1705,58010,-0.01898734177215189
2011-03-08,1705,1742,1705,1727,55086,0.012903225806451646
2011-03-09,1721,1764,1721,1721,88089,-0.00347423277359582
2011-03-10,1737,1775,1716,1721,56104,0.0
2011-03-11,1721,1726,1689,1689,101491,-0.01859384079023818
2011-03-14,1683,1689,1603,1641,183979,-0.028419182948490218
2011-03-15,1613,1651,1517,1560,296534,-0.04936014625228524
2011-03-16,1538,1613,1538,1587,102742,0.017307692307692246
2011-03-17,1543,1581,1533,1560,101359,-0.017013232514177745
2011-03-18,1565,1603,1565,1592,70913,0.02051282051282044
2011-03-21,1597,1624,1560,1592,195927,0.0
2011-03-22,1592,1635,1592,1614,111946,0.013819095477386911
2011-03-23,1613,1710,1603,1635,487712,0.013011152416356975
2011-03-24,1635,1640,1619,1635,91957,0.0
2011-03-25,1662,1662,1624,1630,97886,-0.003058103975535187
2011-03-28,1640,1662,1624,1630,86103,0.0
2011-03-29,1635,1651,1624,1630,94313,0.0
2011-03-30,1640,1689,1635,1678,176660,0.02944785276073625
2011-03-31,1699,1705,1656,1695,52174,0.010131108462455352
2011-04-01,1699,1737,1667,1678,60850,-0.010029498525073732
2011-04-04,1678,1699,1646,1668,150230,-0.005959475566150174
2011-04-05,1651,1667,1651,1668,76208,0.0
2011-04-06,1667,1689,1656,1673,70231,0.002997601918465209
2011-04-07,1678,1683,1646,1657,62159,-0.009563658099222994
2011-04-08,1651,1667,1613,1657,213811,0.0
2011-04-11,1646,1710,1646,1678,94248,0.012673506336753126
2011-04-12,1667,1683,1635,1646,68779,-0.019070321811680557
2011-04-13,1651,1683,1629,1678,79554,0.019441069258809174
2011-04-14,1683,1721,1667,1721,193070,0.025625744934445693
2011-04-15,1732,1742,1699,1721,61768,0.0
2011-04-18,1699,1726,1673,1678,87624,-0.024985473561882632
2011-04-19,1656,1694,1635,1684,130621,0.0035756853396902155
2011-04-20,1683,1710,1667,1684,85461,0.0
2011-04-21,1689,1699,1673,1673,36501,-0.0065320665083135054
2011-04-22,1689,1689,1651,1684,82190,0.006575014943215773
2011-04-25,1796,1839,1710,1748,155651,0.03800475059382413
2011-04-26,1732,1791,1673,1689,126133,-0.03375286041189929
2011-04-27,1689,1705,1667,1673,30557,-0.009473060982830073
2011-04-28,1689,1694,1646,1657,34171,-0.009563658099222994
2011-04-29,1667,1678,1635,1673,73774,0.00965600482800233
2011-05-02,1678,1683,1651,1662,51895,-0.006575014943215773
2011-05-03,1678,1678,1651,1678,35397,0.00962695547533099
2011-05-04,1667,1683,1646,1668,36641,-0.005959475566150174
2011-05-06,1673,1673,1624,1646,57506,-0.013189448441247031
2011-05-09,1646,1673,1640,1662,15991,0.009720534629404698
2011-05-11,1646,1662,1640,1641,38547,-0.012635379061371799
2011-05-12,1629,1646,1597,1598,92029,-0.026203534430225495
2011-05-13,1613,1613,1581,1608,40210,0.006257822277847325
2011-05-16,1608,1619,1570,1592,56278,-0.00995024875621886
2011-05-17,1576,1823,1576,1657,138307,0.04082914572864316
2011-05-18,1640,1678,1608,1635,91490,-0.013277006638503286
2011-05-19,1619,1640,1586,1614,104717,-0.012844036697247652
2011-05-20,1608,1640,1581,1614,58326,0.0
2011-05-23,1586,1646,1560,1582,61268,-0.019826517967781898
2011-05-24,1570,1592,1565,1592,15804,0.006321112515802696
2011-05-25,1592,1608,1554,1592,72448,0.0
2011-05-26,1581,1619,1581,1608,19748,0.01005025125628145
2011-05-27,1597,1613,1592,1598,24497,-0.006218905472636815
2011-05-30,1597,1678,1581,1608,91729,0.006257822277847325
2011-05-31,1624,1678,1608,1635,117628,0.01679104477611948
2011-06-01,1656,1656,1608,1630,30634,-0.003058103975535187
2011-06-02,1613,1646,1586,1646,119186,0.009815950920245342
2011-06-03,1646,1689,1624,1668,50351,0.013365735115431265
2011-06-07,1667,1667,1592,1614,94052,-0.03237410071942448
2011-06-08,1608,1673,1597,1614,113445,0.0
2011-06-09,1608,1624,1560,1603,81204,-0.006815365551425034
2011-06-10,1603,1613,1581,1603,51689,0.0
2011-06-13,1603,1656,1581,1614,110252,0.006862133499688117
2011-06-14,1613,1635,1597,1614,40108,0.0
2011-06-15,1608,1651,1603,1635,52238,0.013011152416356975
2011-06-16,1619,1629,1586,1608,30284,-0.016513761467889854
2011-06-17,1613,1624,1576,1582,63402,-0.016169154228855676
2011-06-20,1581,1597,1576,1582,24112,0.0
2011-06-21,1581,1608,1565,1587,38062,0.003160556257901348
2011-06-22,1586,1619,1560,1576,167870,-0.006931316950220534
2011-06-23,1570,1597,1570,1582,39394,0.0038071065989848663
2011-06-24,1570,1592,1565,1582,76082,0.0
2011-06-27,1581,1619,1570,1582,94308,0.0
2011-06-28,1586,1608,1576,1576,90660,-0.0037926675094817064
2011-06-29,1581,1597,1576,1598,65837,0.013959390862944066
2011-06-30,1592,1624,1586,1619,65768,0.013141426783479293
2011-07-01,1613,1624,1592,1608,76261,-0.006794317479925871
2011-07-04,1613,1635,1603,1635,130446,0.01679104477611948
2011-07-05,1629,1651,1619,1641,127406,0.003669724770642091
2011-07-06,1635,1667,1629,1651,77889,0.006093845216331495
2011-07-07,1651,1651,1619,1635,83608,-0.009691096305269542
2011-07-08,1635,1646,1613,1641,59059,0.003669724770642091
2011-07-11,1640,1689,1640,1651,148885,0.006093845216331495
2011-07-12,1678,1769,1651,1684,447187,0.019987886129618326
2011-07-13,1705,1732,1662,1721,145952,0.02197149643705454
2011-07-14,1705,1732,1683,1732,110209,0.006391632771644451
2011-07-15,1726,1748,1673,1684,79792,-0.02771362586605086
2011-07-18,1683,1742,1683,1727,132502,0.025534441805225683
2011-07-19,1710,1748,1705,1716,81453,-0.006369426751592355
2011-07-20,1737,1742,1683,1705,166882,-0.0064102564102563875
2011-07-21,1699,1732,1689,1721,123932,0.009384164222873803
2011-07-22,1721,1764,1699,1716,169083,-0.0029052876234747504
2011-07-25,1721,1742,1705,1716,74036,0.0
2011-07-26,1737,1775,1721,1759,211526,0.02505827505827507
2011-07-27,1764,1769,1726,1764,68096,0.002842524161455362
2011-07-28,1737,1785,1721,1759,114344,-0.0028344671201814275
2011-07-29,1732,1759,1683,1689,251131,-0.03979533826037518
2011-08-01,1694,1716,1683,1695,103604,0.003552397868561208
2011-08-02,1694,1721,1683,1695,103726,0.0
2011-08-03,1694,1694,1667,1684,68781,-0.006489675516224147
2011-08-04,1694,1699,1629,1635,202668,-0.029097387173396716
2011-08-05,1581,1608,1506,1539,203687,-0.05871559633027523
2011-08-08,1527,1560,1344,1463,169595,-0.04938271604938271
2011-08-09,1323,1430,1317,1426,179833,-0.025290498974709474
2011-08-10,1430,1490,1430,1442,112998,0.011220196353436185
2011-08-11,1425,1452,1387,1447,117208,0.0034674063800277377
2011-08-12,1463,1533,1463,1479,106109,0.022114720110573582
2011-08-16,1495,1527,1495,1522,53503,0.029073698444895157
2011-08-17,1522,1533,1500,1506,58142,-0.010512483574244391
2011-08-18,1511,1511,1447,1463,129960,-0.028552456839309404
2011-08-19,1409,1436,1355,1377,169027,-0.058783321941216715
2011-08-22,1377,1436,1377,1377,75139,0.0
2011-08-23,1404,1420,1387,1415,73195,0.027596223674654974
2011-08-24,1430,1468,1398,1415,127128,0.0
2011-08-25,1430,1441,1404,1415,96781,0.0
2011-08-26,1409,1425,1398,1426,44101,0.007773851590106018
2011-08-29,1436,1436,1409,1431,127846,0.003506311360448766
2011-08-30,1441,1441,1414,1420,116355,-0.007686932215234088
2011-08-31,1420,1436,1404,1409,156791,-0.007746478873239426
2011-09-01,1409,1452,1398,1431,158273,0.015613910574875822
2011-09-02,1430,1484,1425,1442,170309,0.007686932215234199
2011-09-05,1436,1436,1366,1366,212526,-0.05270457697642161
2011-09-06,1344,1366,1334,1356,120930,-0.007320644216691097
