Date,Open,High,Low,Close,Volume,Change
2011-01-03,4650,4715,4630,4650,373042,0.003236245954692629
2011-01-04,4650,4705,4630,4650,457617,0.0
2011-01-05,4690,4885,4670,4795,1006833,0.031182795698924792
2011-01-06,4780,4815,4645,4645,593342,-0.031282586027111536
2011-01-07,4645,4675,4565,4590,461680,-0.011840688912809427
2011-01-10,4635,4740,4610,4720,464713,0.028322440087146017
2011-01-11,4740,4845,4720,4755,642344,0.00741525423728806
2011-01-12,4785,4790,4700,4730,374695,-0.00525762355415349
2011-01-13,4735,4970,4735,4925,1269386,0.04122621564482021
2011-01-14,4910,5030,4830,4975,790232,0.010152284263959421
2011-01-17,5020,5080,4965,4990,950591,0.0030150753768845018
2011-01-18,4990,5050,4890,4940,576216,-0.01002004008016033
2011-01-19,4960,4980,4845,4855,402974,-0.01720647773279349
2011-01-20,4880,4990,4850,4955,528171,0.020597322348094638
2011-01-21,4980,4985,4725,4725,874715,-0.0464177598385469
2011-01-24,4710,4830,4690,4815,429296,0.01904761904761898
2011-01-25,4840,4860,4725,4725,366660,-0.01869158878504673
2011-01-26,4725,4865,4705,4815,310657,0.01904761904761898
2011-01-27,4895,5000,4840,4995,893357,0.03738317757009346
2011-01-28,5040,5040,4890,5000,576295,0.0010010010010010895
2011-01-31,4920,5200,4920,5200,1304874,0.040000000000000036
2011-02-01,5270,5330,5140,5260,1237647,0.011538461538461497
2011-02-07,5310,5320,5170,5170,671106,-0.017110266159695797
2011-02-08,5230,5230,5060,5160,763921,-0.0019342359767892114
2011-02-09,5150,5200,4980,4990,633562,-0.032945736434108475
2011-02-10,5000,5020,4820,4835,619006,-0.03106212424849697
2011-02-11,4820,4925,4655,4665,598633,-0.0351602895553258
2011-02-14,4690,4750,4655,4710,274962,0.009646302250803762
2011-02-15,4690,4770,4670,4700,290545,-0.002123142250530785
2011-02-16,4665,4780,4665,4675,235510,-0.005319148936170248
2011-02-17,4700,4745,4470,4540,462224,-0.02887700534759363
2011-02-18,4545,4680,4545,4560,546855,0.004405286343612369
2011-02-21,4600,4630,4515,4515,280530,-0.009868421052631526
2011-02-22,4500,4515,4380,4440,451209,-0.01661129568106312
2011-02-23,4400,4480,4390,4410,394248,-0.006756756756756799
2011-02-24,4440,4510,4370,4370,495841,-0.009070294784580546
2011-02-25,4400,4400,4240,4275,575703,-0.021739130434782594
