Date,Open,High,Low,Close,Volume,Change
2013-12-19,3350,3400,2850,2850,1700944,
2013-12-20,2750,3015,2725,2755,2490055,-0.033333333333333326
2013-12-23,2840,2925,2740,2760,881217,0.001814882032667775
2013-12-24,2750,2790,2595,2625,590607,-0.048913043478260865
2013-12-26,2605,2665,2530,2530,258865,-0.03619047619047622
2013-12-27,2545,2630,2530,2570,350883,0.015810276679841806
2013-12-30,2600,2620,2535,2565,223416,-0.0019455252918287869
2014-01-02,2575,2610,2480,2485,228577,-0.031189083820662766
2014-01-03,2475,2525,2447,2500,169571,0.006036217303822866
2014-01-06,2500,2675,2475,2585,321884,0.03400000000000003
2014-01-07,2590,2650,2570,2595,156210,0.003868471953578423
2014-01-08,2635,2980,2625,2980,1281364,0.1483622350674374
2014-01-09,3005,3080,2910,2985,834411,0.001677852348993314
2014-01-10,2970,3100,2890,3100,813190,0.038525963149078635
2014-01-13,3050,3285,3015,3150,730332,0.016129032258064502
2014-01-14,3110,3145,3025,3025,297200,-0.03968253968253965
2014-01-15,3025,3425,2965,3260,1081733,0.07768595041322324
2014-01-16,3245,3700,3225,3300,1109618,0.012269938650306678
2014-01-17,3325,3795,3280,3750,1387773,0.13636363636363646
2014-01-20,3795,4150,3770,3950,903080,0.05333333333333323
2014-01-21,4065,4070,3715,3800,474527,-0.03797468354430378
2014-01-22,3800,4100,3755,4100,649866,0.07894736842105265
2014-01-23,4070,4120,3965,3990,267830,-0.02682926829268295
2014-01-24,3990,4015,3820,3940,282319,-0.01253132832080206
2014-01-27,3800,3855,3720,3800,212356,-0.035532994923857864
2014-01-28,3845,4015,3825,3960,331986,0.042105263157894646
2014-01-29,3975,3975,3855,3935,155945,-0.0063131313131312705
2014-02-03,3900,3920,3775,3855,216214,-0.020330368487928796
2014-02-04,3775,3890,3695,3880,326517,0.006485084306095956
2014-02-05,3950,4045,3750,3800,300351,-0.020618556701030966
2014-02-06,3770,3850,3715,3850,199963,0.013157894736842035
2014-02-07,3850,4215,3825,4100,808698,0.06493506493506485
