Date,Open,High,Low,Close,Volume,Change
2011-01-03,24677,24962,24203,24346,48285,0.00197547123220021
2011-01-04,24345,24535,24013,24346,52025,0.0
2011-01-05,24488,25342,24488,24725,110897,0.015567238971494257
2011-01-06,24867,25010,24203,24393,65791,-0.01342770475227506
2011-01-07,24440,25152,24108,24868,109886,0.019472799573648114
2011-01-10,25105,25342,24725,25153,68891,0.011460511500723802
2011-01-11,25389,25389,24488,24725,60079,-0.017015862918936087
2011-01-12,24677,24677,24155,24393,66768,-0.01342770475227506
2011-01-13,24440,24488,24061,24061,48294,-0.013610462017792035
2011-01-14,24250,24250,23633,23681,53282,-0.015793192302896775
2011-01-17,23681,24250,23586,24061,50072,0.01604661965288634
2011-01-18,24108,24203,23396,23586,58557,-0.01974149037862105
2011-01-19,23396,23966,23301,23966,66410,0.016111252437886803
2011-01-20,24677,26006,24488,24725,287418,0.031669865642994344
2011-01-21,24820,25010,24345,24346,75855,-0.015328614762386228
2011-01-24,24298,24820,24108,24678,64190,0.013636737040992442
2011-01-25,24535,24962,24061,24061,62515,-0.025002026096118013
2011-01-26,23966,24820,23966,24725,66559,0.027596525497693314
2011-01-27,24677,24867,24250,24298,54974,-0.017269969666329654
2011-01-28,24013,24250,23966,24203,56447,-0.003909786813729554
2011-01-31,23823,24061,23538,23776,61060,-0.017642441019708355
2011-02-01,23681,24155,23349,23492,54981,-0.011944818304172267
2011-02-07,23538,23918,23444,23586,55671,0.00400136216584368
2011-02-08,23491,23728,23206,23349,53197,-0.010048333757313621
2011-02-09,23159,23728,23159,23444,50196,0.004068696732194121
2011-02-10,23206,23633,22589,22590,61525,-0.036427230847978165
2011-02-11,22637,22827,22067,22068,66086,-0.023107569721115495
2011-02-14,22115,22400,21498,21546,74612,-0.023654159869494262
2011-02-15,21308,21735,20881,21261,67900,-0.013227513227513255
2011-02-16,21071,22589,21071,21925,74232,0.031230892244014763
2011-02-17,21355,21972,20786,21119,80925,-0.03676168757126563
2011-02-18,17986,17986,17986,17986,64604,-0.14834982716984702
2011-02-21,17891,18603,17416,18224,276242,0.013232514177693666
2011-02-22,18033,18555,17938,18034,85342,-0.010425812115891109
2011-02-23,18223,18223,16847,16990,123743,-0.057890650992569626
2011-02-24,16705,17844,16705,17322,164789,0.019540906415538517
2011-02-25,17986,18033,16942,16942,91188,-0.02193742062117543
2011-02-28,16847,17084,16705,16847,60792,-0.005607366308582273
2011-03-02,16705,17084,16610,16705,86623,-0.008428800379889578
2011-03-03,16277,16800,15993,16800,192322,0.005686920083807223
2011-03-04,17200,17350,16700,16950,61180,0.008928571428571397
2011-03-07,16900,16900,16150,16200,93705,-0.04424778761061943
2011-03-08,16150,16400,15850,16300,84974,0.006172839506172867
2011-03-09,16450,16950,16400,16700,65947,0.024539877300613577
2011-03-10,16700,16900,16650,16750,55002,0.0029940119760478723
2011-03-11,16700,17300,16450,17200,82884,0.02686567164179099
2011-03-14,16900,16900,16100,16250,73570,-0.05523255813953487
2011-03-15,16100,16350,15050,15400,100340,-0.05230769230769228
2011-03-16,15800,16000,15500,15750,41944,0.022727272727272707
2011-03-17,15550,16000,15300,15600,55306,-0.00952380952380949
2011-03-18,15600,17700,15550,16500,300405,0.05769230769230771
2011-03-21,16450,16850,16350,16700,66053,0.0121212121212122
2011-03-22,16900,16900,16500,16650,44472,-0.0029940119760478723
2011-03-23,16500,16600,16250,16300,43313,-0.02102102102102099
2011-03-24,16350,16700,16300,16550,33330,0.015337423312883347
2011-03-25,16600,17500,16500,17350,116507,0.048338368580060465
2011-03-28,17450,17900,16950,17650,163252,0.01729106628242083
2011-03-29,17600,17650,17150,17350,66364,-0.016997167138810165
2011-03-30,17300,17450,16900,17250,85857,-0.0057636887608069065
2011-03-31,17250,18350,17100,17950,150532,0.04057971014492745
2011-04-01,17950,19000,17950,18300,146892,0.01949860724233976
2011-04-04,18400,18550,17800,18000,57825,-0.016393442622950838
2011-04-05,18050,18500,17850,18300,51461,0.016666666666666607
2011-04-06,18250,18350,17600,17800,68865,-0.02732240437158473
2011-04-07,17700,17800,17300,17450,67589,-0.0196629213483146
2011-04-08,17350,18200,17050,18100,93440,0.0372492836676217
2011-04-11,18200,18600,17700,17750,130755,-0.01933701657458564
2011-04-12,17950,18750,17400,18000,96922,0.014084507042253502
2011-04-13,18000,18500,17700,18000,58489,0.0
2011-04-14,18050,18250,17800,18150,46702,0.008333333333333304
2011-04-15,17900,18150,17800,17900,53260,-0.01377410468319562
2011-04-18,19500,20550,19400,20550,249190,0.14804469273743015
2011-04-19,20550,20850,18650,18700,421642,-0.09002433090024331
2011-04-20,18700,18950,18500,18700,86928,0.0
2011-04-21,19300,19350,18600,18900,192719,0.010695187165775444
2011-04-22,18650,18700,18000,18250,93002,-0.03439153439153442
2011-04-25,18000,18000,17500,17900,117056,-0.019178082191780854
2011-04-26,17700,18000,17500,18000,82760,0.005586592178770999
2011-04-27,17900,18400,17800,17950,82555,-0.002777777777777768
2011-04-28,17950,18000,17600,17600,70874,-0.01949860724233987
2011-04-29,17500,17800,17250,17450,74723,-0.008522727272727293
2011-05-02,17450,17750,17350,17550,44153,0.005730659025787954
2011-05-03,17550,18100,17500,17700,68016,0.008547008547008517
2011-05-04,17650,18050,17650,17700,69714,0.0
2011-05-06,17550,17800,17000,17200,56774,-0.02824858757062143
2011-05-09,17200,17400,16800,16950,55685,-0.014534883720930258
2011-05-11,17000,17150,16800,16900,47388,-0.002949852507374673
2011-05-12,16900,16900,16300,16300,62309,-0.035502958579881616
2011-05-13,16350,16800,16000,16700,51633,0.024539877300613577
2011-05-16,16800,16900,16400,16400,38897,-0.017964071856287456
2011-05-17,16250,16700,16250,16350,26830,-0.0030487804878048808
2011-05-18,16050,16400,16050,16200,44721,-0.00917431192660545
