Date,Open,High,Low,Close,Volume,Change
2011-08-03,25435,29223,23578,29224,3353101,
2011-08-04,30723,32152,26507,29224,1532030,0.0
2011-08-05,26865,31366,25865,29297,1064381,0.0024979468929646753
2011-08-08,29150,29722,24900,24902,851811,-0.15001535993446424
2011-08-09,22648,23828,21184,22544,681274,-0.09469118946269373
2011-08-10,24006,24293,20684,21079,437501,-0.06498403122782115
2011-08-11,18968,21899,18719,21079,462659,0.0
2011-08-12,21791,23578,20969,22151,459452,0.05085630248114237
2011-08-16,22934,25472,22684,25474,354221,0.15001580064105458
2011-08-17,25721,27257,25472,25938,406800,0.01821465023160873
2011-08-18,26435,27114,24900,26653,179164,0.027565733672603843
2011-08-19,25435,27542,25007,25438,234543,-0.04558586275466181
2011-08-22,25721,27758,25721,26152,408196,0.02806824435883315
2011-08-23,26900,27542,25757,26439,207706,0.0109743040685224
2011-08-24,26579,26793,25292,26081,115053,-0.013540602897235132
2011-08-25,26793,27293,25577,25581,115187,-0.019171044055059205
2011-08-26,25113,25435,23184,24758,201237,-0.03217231539032872
2011-08-29,24722,24972,23756,24009,153375,-0.03025284756442359
2011-08-30,24006,25221,24006,24616,139967,0.02528218584697406
2011-08-31,24684,25113,23863,25080,113572,0.01884952876178092
2011-09-01,25149,27792,25149,26475,194186,0.05562200956937802
2011-09-02,26935,28651,26830,28188,255224,0.06470254957507082
2011-09-05,27650,29937,27365,28974,356034,0.027884206045125648
2011-09-06,28364,29188,26900,28583,151635,-0.013494857458410947
2011-09-07,28865,31009,28579,29511,154400,0.03246685092537516
2011-09-08,29652,30079,28723,28724,79676,-0.026668022093456645
2011-09-09,28937,30008,27508,29403,52936,0.023638768973680557
2011-09-14,29401,29472,27722,28296,59384,-0.037649219467401296
2011-09-15,29007,29545,26935,27690,98053,-0.021416454622561476
2011-09-16,28508,28937,27650,27974,46761,0.01025641025641022
2011-09-19,28080,29188,27650,27867,55166,-0.003824980338886119
2011-09-20,27937,28687,27150,28583,57193,0.025693472566117537
2011-09-21,29295,32046,29080,31083,408317,0.08746457684637732
2011-09-22,30365,32008,30079,31511,118724,0.013769584660425327
2011-09-23,30651,31045,29258,29297,113559,-0.07026117863603187
2011-09-26,30008,30545,26507,27153,99253,-0.07318155442536778
2011-09-27,28435,28937,27329,28333,106742,0.04345744484955616
2011-09-28,28579,28723,27079,27367,104004,-0.034094518759044234
2011-09-29,27150,28008,25507,28011,129888,0.023531991084152493
2011-09-30,28151,30723,28151,29868,223071,0.06629538395630297
2011-10-04,29365,31938,29365,30977,982018,0.03713003883755195
2011-10-05,31795,32403,30151,31797,230871,0.026471252865028827
2011-10-06,32653,33081,29866,30297,231911,-0.047174261722804034
2011-10-07,30937,31545,29652,31441,131721,0.037759514143314465
2011-10-10,31795,33402,30794,32869,144851,0.0454184027225597
2011-10-11,33688,33688,32152,32584,120642,-0.00867078402141841
2011-10-12,33010,33010,31580,32297,92452,-0.008808003928308383
2011-10-13,32438,32580,31222,32013,125171,-0.008793386382636159
2011-10-14,31973,33224,30937,33226,83191,0.03789085683940896
2011-10-17,33830,33938,32653,33440,88476,0.006440739180160193
2011-10-18,32616,37153,32473,35729,225277,0.06845095693779912
2011-10-19,36225,37582,35368,35729,148860,0.0
2011-10-20,35725,36011,34045,35335,112360,-0.011027456687844661
2011-10-21,36011,36725,35010,35443,62171,0.0030564596009621248
2011-10-24,35868,35939,34154,34870,132065,-0.016166803035860378
2011-10-25,34439,35224,32795,33584,151338,-0.036879839403498704
2011-10-26,33224,34439,33010,33584,127357,0.0
2011-10-27,34225,34831,33581,34835,71345,0.0372498808956645
2011-10-28,35224,35224,33081,33942,115206,-0.025635137074781156
2011-10-31,33581,34010,32331,33155,102621,-0.02318661245654352
2011-11-01,33152,33152,31295,32511,144025,-0.019423917961091886
2011-11-02,31331,34296,31295,34120,72725,0.0494909415274829
2011-11-03,34439,34581,33152,33297,71755,-0.02412075029308325
2011-11-04,33938,34439,33402,34441,73498,0.0343574496200858
2011-11-07,34868,34868,33724,33977,33606,-0.01347231497343282
2011-11-08,34154,34296,33509,33942,54005,-0.0010301086028784434
2011-11-09,34367,35546,33973,34728,73838,0.023157150433091855
2011-11-10,34367,34367,32866,34048,59802,-0.019580741764570364
2011-11-11,34189,34510,33617,34513,57154,0.013657189849624052
2011-11-14,35082,36581,35010,36298,135615,0.051719641874076405
2011-11-15,35868,37012,35511,36442,87495,0.0039671607251088314
2011-11-16,36938,36938,35439,35655,77540,-0.021595960704681394
2011-11-17,35725,35939,34439,35585,78431,-0.0019632590099565306
2011-11-18,34723,35189,34618,34870,24908,-0.020092735703245768
2011-11-21,34939,34939,33724,34513,59253,-0.01023802695726983
2011-11-22,33938,34296,33473,34012,49102,-0.01451626923188365
2011-11-23,33581,33724,31437,31441,124093,-0.07559096789368458
2011-11-24,30794,32152,30365,31797,62966,0.011322795076492476
2011-11-25,31902,32152,29295,30369,82538,-0.0449098971601094
2011-11-28,30723,31795,30365,31083,29650,0.023510816951496594
2011-11-29,31938,31938,29973,30724,72554,-0.011549721712833416
2011-11-30,31081,32008,30687,31797,58220,0.03492383804192167
2011-12-01,32473,32510,30902,31154,93197,-0.020222033525175376
2011-12-02,31009,31473,29973,30262,71858,-0.02863195737305002
2011-12-05,30438,30473,28508,29011,164526,-0.04133897296940059
2011-12-06,29295,29508,28723,28796,39502,-0.007410982041294645
2011-12-07,29043,29365,27650,28904,123738,0.003750520905681398
2011-12-08,28257,29508,28257,28939,100736,0.0012109050650428443
2011-12-09,28364,29722,28222,29297,59038,0.012370849027264263
2011-12-12,30329,30329,28616,28724,89976,-0.019558316551182675
2011-12-13,28080,28687,26830,27082,164181,-0.05716474028686813
2011-12-14,27007,27435,25792,26830,90412,-0.009305073480540549
2011-12-15,26150,27435,26150,27332,74125,0.018710398807305184
2011-12-16,27329,28364,26865,27797,77012,0.017013025025611084
