Date,Open,High,Low,Close,Volume,Change
2011-01-03,3200,3225,3100,3145,425299,-0.011006289308176154
2011-01-04,3160,3270,3110,3200,723673,0.01748807631160565
2011-01-05,3225,3350,3125,3125,776302,-0.0234375
2011-01-06,3175,3175,3050,3060,534651,-0.02080000000000004
2011-01-07,3070,3175,3070,3110,370416,0.016339869281045694
2011-01-10,3110,3185,3085,3120,326612,0.003215434083601254
2011-01-11,3130,3185,3040,3185,497755,0.02083333333333326
2011-01-12,3195,3200,3135,3155,341731,-0.009419152276295084
2011-01-13,3170,3175,3100,3155,296709,0.0
2011-01-14,3170,3280,3120,3270,738813,0.03645007923930277
2011-01-17,3290,3305,3245,3285,437029,0.004587155963302836
2011-01-18,3285,3390,3270,3390,886745,0.03196347031963476
2011-01-19,3490,3590,3410,3590,2112462,0.05899705014749257
2011-01-20,3680,3690,3450,3565,3861898,-0.0069637883008356605
2011-01-21,3515,3545,3355,3355,1209892,-0.058906030855540026
2011-01-24,3360,3410,3240,3280,1236708,-0.02235469448584204
2011-01-25,3300,3320,3085,3130,1384353,-0.04573170731707321
2011-01-26,3140,3250,3135,3200,800080,0.022364217252396124
2011-01-27,3200,3230,3175,3175,410182,-0.0078125
2011-01-28,3160,3280,3160,3240,505826,0.020472440944881987
2011-01-31,3245,3375,3230,3305,871144,0.020061728395061706
2011-02-01,3350,3370,3235,3265,469447,-0.012102874432677768
2011-02-07,3275,3330,3200,3200,390228,-0.019908116385911168
2011-02-08,3160,3195,3105,3125,569751,-0.0234375
2011-02-09,3125,3155,3055,3060,448250,-0.02080000000000004
2011-02-10,3055,3090,3050,3065,259213,0.0016339869281045694
2011-02-11,3070,3180,3070,3105,458874,0.013050570962479524
2011-02-14,3165,3170,3085,3155,304616,0.016103059581320522
2011-02-15,3120,3225,3110,3110,293359,-0.014263074484944571
2011-02-16,3140,3215,3115,3160,246096,0.016077170418006492
2011-02-17,3170,3250,3140,3250,415056,0.028481012658227778
2011-02-18,3250,3310,3205,3240,305501,-0.003076923076923088
2011-02-21,3260,3265,3150,3175,256356,-0.020061728395061706
2011-02-22,3150,3225,3115,3145,225304,-0.009448818897637823
2011-02-23,3120,3170,2945,2945,426096,-0.06359300476947538
2011-02-24,2910,2955,2780,2805,689844,-0.04753820033955858
2011-02-25,2825,2880,2810,2840,271571,0.012477718360071277
2011-02-28,2825,2870,2750,2750,298192,-0.03169014084507038
2011-03-02,2715,2815,2715,2775,196704,0.009090909090909038
2011-03-03,2790,2895,2790,2895,174359,0.043243243243243246
2011-03-04,2875,2930,2865,2885,104498,-0.003454231433506094
2011-03-07,2885,2990,2825,2880,171612,-0.0017331022530329143
2011-03-08,2880,2900,2815,2880,185981,0.0
2011-03-09,2900,2900,2830,2835,199512,-0.015625
2011-03-10,2830,2855,2805,2835,136716,0.0
2011-03-11,2775,2890,2760,2890,246826,0.01940035273368612
2011-03-14,2840,2865,2650,2755,283941,-0.04671280276816614
2011-03-15,2730,2770,2420,2550,405103,-0.074410163339383
2011-03-16,2515,2620,2495,2545,294083,-0.0019607843137254832
2011-03-17,2455,2480,2325,2390,775337,-0.06090373280943029
2011-03-18,2410,2530,2410,2500,360352,0.046025104602510414
2011-03-21,2510,2630,2510,2600,305580,0.040000000000000036
2011-03-22,2610,2635,2575,2590,173065,-0.0038461538461538325
2011-03-23,2590,2630,2540,2565,227363,-0.009652509652509633
2011-03-24,2610,2695,2595,2650,317803,0.033138401559454245
2011-03-25,2680,2695,2645,2675,160035,0.009433962264151052
2011-03-28,2685,2685,2600,2620,207538,-0.020560747663551426
2011-03-29,2610,2655,2610,2620,116861,0.0
2011-03-30,2630,2655,2600,2630,217313,0.003816793893129722
2011-03-31,2650,2745,2650,2745,286558,0.04372623574144496
2011-04-01,2765,2765,2710,2745,237154,0.0
2011-04-04,2795,2795,2730,2770,140193,0.00910746812386165
2011-04-05,2760,2790,2750,2775,146774,0.0018050541516245744
2011-04-06,2800,2800,2740,2755,137873,-0.007207207207207245
2011-04-07,2750,2790,2710,2715,177441,-0.014519056261342977
2011-04-08,2710,2740,2670,2675,265825,-0.014732965009208066
2011-04-11,2640,2790,2640,2705,290950,0.01121495327102795
2011-04-12,2720,2790,2705,2735,202354,0.01109057301293892
2011-04-13,2740,2780,2730,2770,192810,0.01279707495429605
2011-04-14,2795,2800,2740,2790,188705,0.0072202166064982976
2011-04-15,2790,2830,2760,2800,244917,0.0035842293906809264
2011-04-18,2810,2850,2805,2825,305055,0.008928571428571397
2011-04-19,2805,2830,2725,2745,194800,-0.02831858407079646
2011-04-20,2750,2790,2740,2750,227891,0.0018214936247722413
2011-04-21,2775,2785,2740,2740,323622,-0.0036363636363636598
2011-04-22,2750,2780,2725,2755,208224,0.005474452554744547
2011-04-25,2775,2825,2765,2790,339089,0.012704174228675091
2011-04-26,2790,2825,2700,2700,292185,-0.032258064516129004
2011-04-27,2730,2765,2700,2700,241941,0.0
2011-04-28,2705,2735,2680,2710,102987,0.0037037037037037646
2011-04-29,2705,2710,2580,2605,235856,-0.03874538745387457
2011-05-02,2555,2605,2500,2515,398147,-0.03454894433781186
2011-05-03,2515,2555,2490,2520,227145,0.001988071570576455
2011-05-04,2540,2575,2500,2525,121296,0.001984126984126977
2011-05-06,2525,2535,2430,2445,141681,-0.03168316831683171
2011-05-09,2525,2525,2440,2450,93392,0.002044989775051187
2011-05-11,2415,2475,2365,2395,217359,-0.022448979591836782
2011-05-12,2360,2445,2360,2440,132241,0.018789144050104456
2011-05-13,2470,2525,2420,2485,123265,0.018442622950819665
2011-05-16,2425,2495,2400,2470,183302,-0.006036217303822977
2011-05-17,2425,2495,2380,2400,152144,-0.028340080971659964
2011-05-18,2385,2440,2365,2400,189455,0.0
2011-05-19,2450,2460,2250,2270,219781,-0.054166666666666696
2011-05-20,2255,2285,2130,2200,287954,-0.03083700440528636
2011-05-23,2145,2195,2050,2050,318664,-0.06818181818181823
2011-05-24,2005,2280,2005,2185,434426,0.06585365853658542
2011-05-25,2190,2320,2190,2200,367839,0.006864988558352492
2011-05-26,2205,2265,2180,2220,114046,0.009090909090909038
2011-05-27,2200,2270,2200,2245,116940,0.011261261261261257
2011-05-30,2245,2270,2225,2255,54984,0.00445434298440972
2011-05-31,2220,2255,2155,2255,158288,0.0
2011-06-01,2265,2305,2245,2280,75733,0.011086474501108556
2011-06-02,2250,2295,2190,2210,68193,-0.030701754385964897
