Date,Open,High,Low,Close,Volume,Change
2011-01-03,338306,365541,321304,365594,47705,0.1474943660115129
2011-01-04,365561,410659,310990,311083,90719,-0.14910255638768688
2011-01-05,301560,356866,300516,357135,64619,0.148037661974457
2011-01-06,376670,385080,303324,319541,98450,-0.10526551584134847
2011-01-07,329563,334268,296793,316722,39195,-0.00882202909798746
2011-01-10,317476,361581,304402,352436,69706,0.11276134906953095
2011-01-11,344808,384165,328817,336459,67936,-0.045333053377067056
2011-01-12,332558,355135,310028,324240,21522,-0.03631646054942805
2011-01-13,331663,331663,276092,284769,35236,-0.12173390081421165
2011-01-14,289312,302643,260196,277249,31907,-0.026407368779607365
2011-01-17,280724,290137,270483,287588,19863,0.03729138788597974
2011-01-18,262072,268875,245293,245296,32610,-0.1470575962835723
2011-01-19,245206,281902,236795,279128,72819,0.13792316222033785
2011-01-20,285405,300352,255287,263152,70719,-0.05723539021524171
2011-01-21,257366,272313,246900,251874,26133,-0.042857360004864065
2011-01-24,253478,274185,250603,258453,25881,0.026120202958622274
2011-01-25,263044,280077,253631,261272,31628,0.010907205565422018
2011-01-26,260169,263002,245180,248114,10208,-0.050361309286873435
2011-01-27,248890,254641,234946,236836,11527,-0.04545491185503436
2011-01-28,241339,246874,225348,235898,12755,-0.00396054653853295
2011-01-31,234946,253597,229187,243416,13841,0.031869706398528264
2011-02-01,245180,248054,232841,241535,16465,-0.007727511749433091
2011-02-07,248955,262072,237662,245296,27017,0.015571242263026086
2011-02-08,247003,270577,242296,252813,23680,0.03064460896223342
2011-02-09,257568,290346,252821,290407,66459,0.14870279613785686
2011-02-10,301552,310004,265897,280068,53573,-0.03560175891077011
2011-02-11,293070,321133,264782,276310,76648,-0.013418169873030794
2011-02-14,280781,296732,258244,276310,49774,0.0
2011-02-15,272323,289150,264782,276310,25458,0.0
2011-02-16,277067,277895,250652,253754,16722,-0.08163294849987335
2011-02-17,247051,248881,216103,218979,38078,-0.1370421747046352
2011-02-18,218864,225443,209452,221798,25125,0.012873380552473002
2011-02-21,223348,223348,211234,213341,16817,-0.03812928881234279
2011-02-22,198118,214939,198118,213341,16666,0.0
2011-02-23,213241,226366,203001,204883,15222,-0.03964545024163191
2011-02-24,202862,210220,197104,199243,8533,-0.027527906170839
