Date,Open,High,Low,Close,Volume,Change
2011-01-03,5744,5923,5744,5854,70,-0.01181634031060097
2011-01-04,5854,5854,5566,5695,1853,-0.027160915613255843
2011-01-05,5695,5695,5576,5646,1340,-0.008604038630377508
2011-01-06,5665,5665,5586,5646,6792,0.0
2011-01-07,5645,5645,5506,5646,7210,0.0
2011-01-10,5546,5705,5526,5636,64130,-0.0017711654268508514
2011-01-11,5735,5735,5546,5715,610,0.014017033356990671
2011-01-12,5606,5715,5606,5715,18890,0.0
2011-01-13,5715,5715,5625,5705,7450,-0.0017497812773403787
2011-01-14,5695,5754,5655,5705,39940,0.0
2011-01-17,5705,5943,5556,5725,33550,0.0035056967572304476
2011-01-18,5635,5754,5606,5755,9510,0.005240174672489051
2011-01-19,5665,5903,5566,5894,7190,0.024152910512597714
2011-01-20,5655,5933,5655,5745,7632,-0.02527994570749914
2011-01-21,5725,5824,5606,5656,17230,-0.015491731940818099
2011-01-24,5665,5834,5615,5616,3160,-0.007072135785007094
2011-01-25,5645,5854,5556,5755,15930,0.024750712250712237
2011-01-26,5754,5923,5754,5804,18150,0.008514335360556124
2011-01-27,5735,5854,5735,5795,7820,-0.0015506547208821164
2011-01-28,5754,5794,5606,5656,13700,-0.023986194995685883
2011-01-31,5566,5854,5516,5735,24140,0.013967468175388964
2011-02-01,5715,5754,5685,5685,26850,-0.008718395815169977
2011-02-07,5725,5725,5725,5725,10,0.0070360598065084545
2011-02-08,5854,5923,5635,5745,4650,0.003493449781659441
2011-02-09,5725,5725,5655,5725,2130,-0.003481288076588318
2011-02-10,5407,5715,5407,5705,860,-0.003493449781659441
2011-02-11,5506,5695,5506,5537,1790,-0.02944785276073625
2011-02-14,5705,5705,5506,5556,950,0.0034314610800072476
2011-02-15,5556,5556,5457,5556,1370,0.0
2011-02-16,5566,5566,5556,5556,1280,0.0
2011-02-17,5546,5556,5546,5556,120,0.0
2011-02-18,5566,5566,5496,5566,260,0.0017998560115191076
2011-02-21,5467,5566,5467,5566,860,0.0
2011-02-22,5516,5566,5516,5566,2710,0.0
2011-02-23,5556,5556,5556,5556,10,-0.0017966223499820133
2011-02-24,5506,5655,5506,5656,1560,0.017998560115190854
2011-02-25,5635,5655,5635,5656,420,0.0
2011-02-28,5506,5556,5506,5556,50,-0.01768033946251768
2011-03-02,5556,5556,5427,5556,6510,0.0
2011-03-03,0,0,0,5556,0,0.0
2011-03-04,5457,5556,5417,5546,12280,-0.0017998560115191076
2011-03-07,5536,5536,5328,5388,4870,-0.02848900108186081
2011-03-08,5526,5556,5387,5546,20360,0.02932442464736451
2011-03-09,5526,5526,5506,5527,3770,-0.0034258925351604574
2011-03-10,5506,5536,5457,5527,1730,0.0
2011-03-11,5526,5556,5447,5556,190,0.005246969422833425
2011-03-14,5556,5556,5457,5556,19160,0.0
2011-03-15,5457,5457,5447,5457,1430,-0.0178185745140389
2011-03-16,5367,5457,5367,5457,110,0.0
2011-03-17,5447,5447,5447,5447,300,-0.0018325087044163135
2011-03-18,5457,5457,5377,5447,1840,0.0
2011-03-21,5447,5447,5387,5447,2170,0.0
2011-03-22,5447,5586,5397,5447,3080,0.0
2011-03-23,5437,5437,5437,5437,9840,-0.0018358729575913557
2011-03-24,5437,5437,5437,5437,4030,0.0
2011-03-25,5437,5437,5367,5437,590,0.0
2011-03-28,5437,5437,5437,5437,210,0.0
2011-03-29,5437,5437,5357,5437,8600,0.0
2011-03-30,5427,5437,5357,5437,2700,0.0
2011-03-31,5437,5437,5357,5437,7400,0.0
2011-04-01,5357,5417,5328,5328,29430,-0.020047820489240364
2011-04-04,5357,5437,5328,5358,6580,0.005630630630630629
2011-04-05,5338,5387,5338,5358,7380,0.0
2011-04-06,5457,5457,5338,5358,1750,0.0
2011-04-07,5328,5407,5060,5308,8010,-0.009331840238895106
2011-04-08,5308,5357,5238,5318,2650,0.0018839487565938118
2011-04-11,5318,5318,5109,5199,3230,-0.022376833396013485
2011-04-12,5169,5209,5169,5209,1380,0.0019234468166955399
2011-04-13,5209,5209,5209,5209,2940,0.0
2011-04-14,5149,5209,5149,5209,740,0.0
2011-04-15,5209,5209,5159,5209,1150,0.0
2011-04-18,5209,5209,5169,5209,1960,0.0
2011-04-19,5169,5258,5159,5259,1050,0.009598771357266278
2011-04-20,5179,5258,5169,5259,990,0.0
2011-04-21,5179,5258,5159,5199,18130,-0.01140901312036513
2011-04-22,5159,5209,5159,5199,5235,0.0
2011-04-25,5189,5189,5149,5189,3520,-0.0019234468166955399
2011-04-26,5189,5189,5060,5150,9840,-0.0075158990171516615
2011-04-27,5109,5149,5020,5110,21300,-0.007766990291262155
2011-04-28,5070,5109,5000,5060,28850,-0.009784735812133127
2011-04-29,5030,5149,5030,5140,20970,0.015810276679841806
2011-05-02,5248,5248,5199,5209,1090,0.01342412451361863
