Date,Open,High,Low,Close,Volume,Change
2015-11-06,41571,43251,38716,40397,2863479,
2015-11-09,40900,41278,37331,37794,418601,-0.06443547788202098
2015-11-10,36953,39305,35903,35904,311263,-0.05000793776789969
2015-11-11,36363,38421,36112,37542,329142,0.045621657754010725
2015-11-12,38297,38969,37499,38382,189032,0.022374940067124927
2015-11-13,37707,38170,36616,36996,93299,-0.03611067687978742
2015-11-16,35524,36448,34348,35358,193747,-0.04427505676289334
2015-11-17,35859,35859,32794,35274,230545,-0.0023756999830306658
2015-11-18,35273,35651,34476,34476,61183,-0.02262289505017856
2015-11-19,34476,35021,33383,33846,159852,-0.01827358162199788
2015-11-20,33845,33929,33342,33468,68555,-0.01116823258287536
2015-11-23,33383,33383,31284,31789,311668,-0.05016732401099555
2015-11-24,31787,32794,31073,32586,205690,0.02507156563591173
2015-11-25,32124,32628,31619,32335,113644,-0.007702694408641797
2015-11-26,32458,33130,31913,33006,103758,0.020751507654244605
2015-11-27,33340,34432,33047,34224,144236,0.03690238138520274
2015-11-30,33762,34602,33593,34392,93129,0.004908835904628317
2015-12-01,34390,34390,33550,33720,80857,-0.01953942777390094
2015-12-02,33634,33718,32290,33720,168285,0.0
2015-12-03,33552,33552,32880,32922,31975,-0.023665480427046304
2015-12-04,32752,33047,32164,32670,19313,-0.007654455986878084
2015-12-07,31074,31956,30696,31285,397201,-0.042393633302724165
2015-12-08,31788,32166,31536,31789,122382,0.01610995684832983
2015-12-09,31324,32248,31283,31957,44572,0.005284846959640044
2015-12-10,31746,32208,31536,31915,50880,-0.0013142660449979582
2015-12-11,31578,33593,31578,33468,256623,0.048660504464985044
2015-12-14,32753,34980,32753,34056,211032,0.017569021154535625
2015-12-15,34054,34432,32627,32964,68861,-0.03206483439041574
2015-12-16,33551,33551,31744,32964,88176,0.0
2015-12-17,34012,34432,33257,34308,157589,0.040771751001092094
2015-12-18,34433,35190,34307,35190,175353,0.025708289611752422
2015-12-21,34726,35944,34726,35946,77344,0.021483375959079343
2015-12-22,36112,36112,34768,34854,71496,-0.030378901685862103
2015-12-23,35356,35356,33677,34014,82435,-0.024100533654673795
2015-12-24,33592,33970,32920,33300,114858,-0.020991356500264624
2015-12-28,33718,34012,31913,33594,100731,0.008828828828828739
2015-12-29,33424,33424,32501,32754,48035,-0.025004465083050542
2015-12-30,32963,33762,32334,33678,53663,0.02821029492581051
2016-01-04,32963,34350,32460,34350,64717,0.01995367895955824
2016-01-05,33718,34390,33634,33804,23303,-0.015895196506550247
2016-01-06,33802,33802,32878,32964,48873,-0.024849130280440224
2016-01-07,33426,33426,31494,31495,89381,-0.04456376653318772
2016-01-08,31030,32752,30863,32083,43016,0.018669630100015766
2016-01-11,31913,32543,31493,32167,27492,0.002618209020353479
2016-01-12,31618,32123,30233,31453,106360,-0.02219666117449559
2016-01-13,31578,31704,30822,30991,100213,-0.014688582965058927
2016-01-14,30990,31325,30402,31201,74451,0.006776160820883392
2016-01-15,31241,31409,29897,30193,62241,-0.03230665683792189
2016-01-18,29645,29897,29225,29479,27830,-0.023647865399264778
2016-01-19,28933,29143,26371,27043,238595,-0.08263509617015508
2016-01-20,26285,27042,24522,24524,403352,-0.09314794956180894
2016-01-21,25194,26664,24606,25994,318962,0.05994128200946003
2016-01-22,26538,27251,25781,26288,133622,0.01131030237747166
2016-01-25,25866,27504,25866,26665,121063,0.014341144248326332
2016-01-26,27463,27799,26707,27043,91237,0.014175885992874449
2016-01-27,27293,27713,26874,27547,56977,0.018636985541544915
2016-01-28,26959,27420,26455,26665,96900,-0.03201800559044543
2016-01-29,26664,26664,25697,25784,94452,-0.0330395649728108
2016-02-01,25993,26287,24943,25910,100480,0.004886751473782258
2016-02-02,25279,26875,25279,26665,79696,0.029139328444615975
2016-02-03,26664,27545,25740,26204,97374,-0.01728858053628357
2016-02-04,24608,25615,24103,25616,804185,-0.0224393222408793
2016-02-05,25573,26959,25111,26540,228886,0.03607120549656462
2016-02-11,26119,27043,24691,27043,161762,0.018952524491333778
2016-02-12,26539,27379,25363,26246,198435,-0.029471582294863685
