Date,Open,High,Low,Close,Volume,Change
2016-06-09,2004,2004,1944,1944,199795,
2016-06-10,1954,1959,1939,1949,75326,0.002572016460905324
2016-06-13,1954,1954,1944,1949,133029,0.0
2016-06-14,1949,1959,1944,1944,76927,-0.002565418163160582
2016-06-15,1949,1959,1944,1949,16381,0.002572016460905324
2016-06-16,1949,1969,1944,1949,9508,0.0
2016-06-17,1944,1964,1944,1964,18029,0.007696254489481857
2016-06-20,1959,1979,1959,1974,13656,0.005091649694501044
2016-06-21,1989,2009,1969,1995,49831,0.010638297872340496
2016-06-22,1994,2009,1984,2010,53805,0.007518796992481258
2016-06-23,2009,2009,1989,1989,12076,-0.010447761194029903
2016-06-24,1994,1994,1984,1984,14630,-0.002513826043237799
2016-06-27,1999,1999,1984,1989,63,0.002520161290322509
2016-06-28,1989,1989,1989,1989,2780,0.0
2016-06-29,1989,2009,1989,1995,5965,0.003016591251885359
2016-06-30,2004,2009,1999,2005,32150,0.005012531328320913
2016-07-01,2009,2039,2009,2025,49290,0.009975062344139696
2016-07-04,2029,2029,2009,2015,3456,-0.004938271604938316
2016-07-05,2014,2029,2009,2010,7115,-0.002481389578163795
2016-07-06,2009,2039,2009,2030,9402,0.00995024875621886
2016-07-07,2014,2029,2014,2015,1884,-0.007389162561576401
2016-07-08,2029,2039,2019,2020,39,0.002481389578163684
2016-07-11,2029,2039,2019,2040,11660,0.00990099009900991
2016-07-12,2039,2356,2024,2135,117926,0.04656862745098045
2016-07-13,2260,2260,2095,2095,162825,-0.0187353629976581
2016-07-14,2100,2125,2059,2080,18999,-0.007159904534606243
2016-07-15,2079,2089,2074,2090,4583,0.004807692307692291
2016-07-18,2089,2110,2079,2105,8925,0.0071770334928229484
2016-07-19,2089,2165,2074,2075,43371,-0.014251781472684133
2016-07-20,2110,2155,2039,2115,140395,0.01927710843373487
2016-07-21,2120,2145,2074,2110,31527,-0.0023640661938534313
2016-07-22,2130,2130,2064,2095,24486,-0.007109004739336511
2016-07-25,2084,2110,2084,2095,2980,0.0
2016-07-26,2110,2110,2089,2100,1926,0.0023866348448686736
2016-07-27,2290,2290,2095,2100,13836,0.0
2016-07-28,2120,2190,2079,2120,813,0.00952380952380949
2016-07-29,2135,2135,2079,2130,1255,0.004716981132075526
2016-08-01,2130,2130,2074,2115,2537,-0.007042253521126751
2016-08-02,2120,2120,2074,2105,18409,-0.004728132387706863
2016-08-03,2110,2110,2059,2110,23543,0.002375296912114022
2016-08-04,2140,2140,2089,2110,5453,0.0
2016-08-05,2220,2220,2084,2115,13795,0.0023696682464455776
2016-08-08,2125,2125,2110,2110,3,-0.0023640661938534313
