Date,Open,High,Low,Close,Volume,Change
2016-06-23,37000,48100,37000,48100,179379,
2016-06-24,55800,62500,52200,62500,5304838,0.2993762993762994
2016-06-27,62000,65600,54800,55500,2314746,-0.11199999999999999
2016-06-28,53800,55300,49300,50600,1831899,-0.08828828828828827
2016-06-29,52900,53700,50100,50500,759131,-0.0019762845849802257
2016-06-30,50500,50700,47900,48200,599263,-0.045544554455445585
2016-07-01,48900,50000,48600,49150,506531,0.01970954356846466
2016-07-04,49700,51800,49100,49200,506374,0.0010172939979653517
2016-07-05,50200,50600,49350,49850,206286,0.013211382113821113
2016-07-06,49650,49800,46600,46600,399430,-0.06519558676028081
2016-07-07,46700,46900,44000,45100,370580,-0.03218884120171672
2016-07-08,44150,51800,43700,48000,1948890,0.06430155210643007
2016-07-11,48700,48900,45850,45950,347788,-0.04270833333333335
2016-07-12,45450,45750,44200,44500,290647,-0.031556039173014194
2016-07-13,45250,45650,44150,44150,170470,-0.00786516853932584
2016-07-14,44050,44650,42750,42750,187770,-0.0317100792751982
2016-07-15,42750,42800,40700,41200,218506,-0.03625730994152043
2016-07-18,40950,43750,40850,41700,204411,0.012135922330097193
2016-07-19,42400,42700,41650,41750,74894,0.0011990407673860837
2016-07-20,41800,41900,41250,41250,60794,-0.0119760479041916
2016-07-21,41550,43500,41300,42500,140983,0.030303030303030276
2016-07-22,42300,43500,42150,42300,98306,-0.004705882352941226
2016-07-25,39200,40900,39000,39000,730729,-0.07801418439716312
2016-07-26,39000,39400,37100,38150,301243,-0.02179487179487183
2016-07-27,38550,38850,37950,37950,167255,-0.005242463958060273
2016-07-28,37600,38550,37050,37350,171138,-0.015810276679841917
2016-07-29,37750,39200,37100,38100,164812,0.02008032128514059
2016-08-01,38450,38900,37000,37100,119877,-0.026246719160105014
2016-08-02,37100,37700,36700,36950,82759,-0.0040431266846361336
2016-08-03,36800,37250,35350,35500,143997,-0.03924221921515558
2016-08-04,36250,36450,34050,34050,181499,-0.04084507042253516
2016-08-05,34150,34400,32800,33000,182414,-0.03083700440528636
2016-08-08,32950,32950,31150,31150,256264,-0.05606060606060603
2016-08-09,31050,32900,31050,31500,245912,0.011235955056179803
2016-08-10,31750,33050,31500,32850,188736,0.04285714285714293
2016-08-11,32750,33300,32000,32700,126793,-0.004566210045662156
2016-08-12,32700,34450,32500,33450,229028,0.022935779816513735
2016-08-16,33800,34500,32600,33300,86447,-0.004484304932735439
2016-08-17,33000,33550,31950,32050,102051,-0.037537537537537524
2016-08-18,32450,32600,31300,31400,75287,-0.020280811232449292
2016-08-19,31400,32200,31350,32000,59187,0.019108280254777066
2016-08-22,32700,33850,32500,32600,140879,0.018750000000000044
2016-08-23,32950,33550,32450,32450,64833,-0.004601226993865004
2016-08-24,32300,33100,32250,32850,47145,0.012326656394453073
2016-08-25,33000,33000,32300,32300,34869,-0.016742770167427756
2016-08-26,32300,32350,31300,31550,57497,-0.023219814241486114
2016-08-29,31550,31650,29500,29500,166041,-0.0649762282091918
2016-08-30,29300,30200,28800,28850,83577,-0.02203389830508473
2016-08-31,29100,29300,27200,27600,135575,-0.04332755632582319
2016-09-01,27300,28850,27100,27850,107668,0.009057971014492683
2016-09-02,28000,30650,28000,29700,203711,0.06642728904847406
2016-09-05,29700,31350,29100,29850,141363,0.005050505050504972
2016-09-06,29800,30800,29000,30450,95099,0.0201005025125629
2016-09-07,30900,30900,29200,29200,85108,-0.04105090311986859
2016-09-08,29100,31450,28700,31250,155202,0.0702054794520548
2016-09-09,31250,33900,30350,31700,325808,0.014399999999999968
2016-09-12,31150,31800,29850,29850,114342,-0.05835962145110407
2016-09-13,30300,32350,30300,32000,145481,0.07202680067001666
2016-09-19,32100,33550,31850,32300,128028,0.009374999999999911
2016-09-20,32300,33100,31650,32250,94597,-0.001547987616099089
2016-09-21,32350,32500,31350,31500,78825,-0.023255813953488413
2016-09-22,31700,32100,31350,31500,51741,0.0
2016-09-23,31000,32050,31000,31550,68965,0.0015873015873015817
2016-09-26,31400,32000,30650,30650,62185,-0.02852614896988903
2016-09-27,30500,31500,29800,31100,82832,0.014681892332789603
2016-09-28,31450,33100,31450,32450,199609,0.04340836012861726
2016-09-29,32100,32450,31500,32250,84932,-0.006163328197226536
2016-09-30,32200,32200,30200,30350,125276,-0.058914728682170514
2016-10-04,29800,30350,29000,30000,80027,-0.011532125205930832
2016-10-05,29800,30600,29500,29600,57444,-0.013333333333333308
2016-10-06,29400,30300,29400,30100,51428,0.016891891891891886
2016-10-07,29950,30300,29000,29000,65457,-0.03654485049833889
2016-10-10,28600,29500,28600,28900,34174,-0.0034482758620689724
2016-10-11,29050,29700,28750,28950,33713,0.0017301038062282892
2016-10-12,28900,29600,28900,28950,26476,0.0
2016-10-13,28950,29600,28850,29100,32893,0.005181347150259086
2016-10-14,29550,29700,29100,29350,20959,0.00859106529209619
2016-10-17,29100,29350,28400,28550,44239,-0.027257240204429323
2016-10-18,28400,29050,28400,28850,23101,0.01050788091068311
2016-10-19,28850,28900,28450,28450,37886,-0.013864818024263426
2016-10-20,28650,29000,28400,28500,35259,0.0017574692442883233
2016-10-21,28550,28650,28000,28000,27295,-0.01754385964912286
2016-10-24,28000,28100,27050,27150,52941,-0.03035714285714286
2016-10-25,27050,27450,25700,25900,90915,-0.046040515653775316
2016-10-26,25450,27000,25450,26250,54754,0.013513513513513598
2016-10-27,26250,27150,26000,26550,51645,0.011428571428571344
2016-10-28,26550,26600,25750,25750,34126,-0.030131826741996215
2016-10-31,25500,25650,23950,23950,86949,-0.06990291262135917
2016-11-01,23500,24500,23150,23700,62283,-0.01043841336116913
2016-11-02,23250,23700,22500,22500,61335,-0.05063291139240511
2016-11-03,22000,23250,22000,22450,77339,-0.0022222222222222365
2016-11-04,22250,22850,22150,22850,56251,0.017817371937639104
2016-11-07,22850,23050,22500,22750,38502,-0.004376367614879695
2016-11-08,23000,23150,22800,23050,28112,0.01318681318681314
2016-11-09,23100,23400,21200,21800,98321,-0.05422993492407813
2016-11-10,22800,28300,22800,27700,928878,0.27064220183486243
2016-11-11,26700,28000,26000,27600,291982,-0.0036101083032491488
2016-11-14,27050,27600,26400,26800,104852,-0.02898550724637683
2016-11-15,26200,28450,26200,27600,221017,0.029850746268656803
2016-11-16,27350,28750,27200,27650,121731,0.0018115942028984477
2016-11-17,27650,27650,26550,26550,56326,-0.039783001808318286
2016-11-18,26600,26700,25000,25250,98922,-0.048964218455743835
2016-11-21,25000,25300,23500,24050,76400,-0.04752475247524757
2016-11-22,23950,24500,23550,23550,56192,-0.02079002079002079
2016-11-23,23450,23700,22800,22800,58528,-0.031847133757961776
2016-11-24,22800,23250,22200,22900,40221,0.004385964912280604
2016-11-25,22800,23700,22800,23200,45092,0.013100436681222627
2016-11-28,23300,23450,22600,22750,34188,-0.0193965517241379
2016-11-29,22800,23400,22550,22900,33657,0.00659340659340657
2016-11-30,22850,23300,22850,23200,23687,0.013100436681222627
2016-12-01,23350,23350,22450,22500,30055,-0.030172413793103425
2016-12-02,22500,22700,21650,21850,34299,-0.028888888888888853
2016-12-05,21500,22450,21100,21500,44277,-0.016018306636155555
2016-12-06,21500,22100,21500,21900,34087,0.018604651162790642
2016-12-07,21800,21800,20700,21000,55619,-0.04109589041095896
2016-12-08,21100,21400,20600,20950,26215,-0.0023809523809523725
2016-12-09,21000,21600,21000,21150,29088,0.009546539379474916
2016-12-12,21650,24300,21550,22700,150633,0.07328605200945626
2016-12-13,22850,23450,22450,23300,55009,0.026431718061673992
2016-12-14,23350,23450,22800,22900,31643,-0.01716738197424894
2016-12-15,22700,23500,22650,23150,43578,0.01091703056768556
2016-12-16,23250,23250,22700,23000,23495,-0.006479481641468721
2016-12-19,22950,22950,22550,22600,22462,-0.017391304347826098
2016-12-20,22800,23150,22450,22700,26084,0.004424778761061843
2016-12-21,22700,23000,22550,22600,18830,-0.004405286343612369
2016-12-22,22700,22800,21800,21800,44729,-0.03539823008849563
2016-12-23,21900,22450,21800,21950,32045,0.006880733944954143
2016-12-26,22000,22250,21700,22050,39148,0.004555808656036442
2016-12-27,22050,22150,21500,21900,70686,-0.006802721088435382
2016-12-28,22650,24550,22400,24100,329604,0.10045662100456632
2016-12-29,24050,24950,23800,24950,142137,0.03526970954356856
2017-01-02,25000,25300,24600,24900,68616,-0.002004008016032066
2017-01-03,24900,25100,24300,24750,44416,-0.0060240963855421326
2017-01-04,24750,25950,24400,25850,90122,0.04444444444444451
2017-01-05,25900,26450,25600,26200,89123,0.013539651837524147
2017-01-06,26200,26200,25500,25650,40810,-0.020992366412213692
2017-01-09,25600,25650,24500,24550,64690,-0.042884990253411304
2017-01-10,24550,24800,24100,24300,42865,-0.010183299389002087
2017-01-11,24550,24950,24300,24450,37613,0.006172839506172867
2017-01-12,24250,24400,23600,24150,59916,-0.012269938650306789
2017-01-13,24150,31250,24150,28800,2202129,0.1925465838509317
2017-01-16,28800,28800,26950,27300,506398,-0.05208333333333337
2017-01-17,27250,27800,27000,27400,188957,0.00366300366300365
2017-01-18,27800,31500,27800,29000,1330811,0.058394160583941535
2017-01-19,29000,29250,28100,28650,200016,-0.012068965517241348
2017-01-20,28650,28700,27600,28500,141434,-0.005235602094240788
2017-01-23,28500,28550,26750,26750,147914,-0.06140350877192979
2017-01-24,26700,27800,26600,27000,109795,0.009345794392523255
2017-01-25,27450,28550,27300,27500,150099,0.0185185185185186
2017-01-26,27300,27950,25900,26550,141214,-0.034545454545454546
2017-01-31,26550,26600,25650,25800,78018,-0.02824858757062143
2017-02-01,25800,26950,25800,26950,67319,0.04457364341085279
2017-02-02,26800,26900,26000,26000,52260,-0.03525046382189234
2017-02-03,26700,26700,25250,25400,74628,-0.023076923076923106
2017-02-06,25250,25550,24600,25500,67874,0.003937007874015741
2017-02-07,25550,25850,25350,25650,46471,0.00588235294117645
2017-02-08,25750,26600,25600,26000,68178,0.013645224171539905
2017-02-09,26050,26900,25700,26600,79101,0.023076923076922995
2017-02-10,26750,26750,26000,26050,37769,-0.020676691729323293
2017-02-13,26200,26550,25950,25950,36676,-0.0038387715930902067
2017-02-14,25950,26250,25250,25550,35107,-0.015414258188824692
2017-02-15,25400,26400,25400,26350,45310,0.03131115459882583
2017-02-16,26600,26600,25850,25850,32356,-0.018975332068311146
2017-02-17,25800,26050,25600,25800,24231,-0.0019342359767892114
2017-02-20,25800,26350,25700,26100,23952,0.011627906976744207
2017-02-21,25900,26950,25900,26850,70915,0.028735632183908066
