Date,Open,High,Low,Close,Volume,Change
2011-01-03,1205,1205,1145,1170,207879,-0.012658227848101222
2011-01-04,1170,1175,1120,1170,315637,0.0
2011-01-05,1180,1195,1140,1170,360326,0.0
2011-01-06,1160,1180,1130,1145,327301,-0.021367521367521403
2011-01-07,1150,1175,1135,1155,233817,0.008733624454148492
2011-01-10,1155,1160,1090,1150,176783,-0.0043290043290042934
2011-01-11,1150,1160,1110,1125,408156,-0.021739130434782594
2011-01-12,1140,1175,1115,1150,731754,0.022222222222222143
2011-01-13,1135,1140,1100,1120,726295,-0.02608695652173909
2011-01-14,1125,1145,1075,1100,875208,-0.017857142857142905
2011-01-17,1130,1130,1040,1040,986915,-0.054545454545454564
2011-01-18,1035,1060,999,1030,1367956,-0.009615384615384581
2011-01-19,1040,1115,1000,1105,698080,0.07281553398058249
2011-01-20,1105,1125,1070,1105,729326,0.0
2011-01-21,1105,1125,1080,1100,974894,-0.004524886877828038
2011-01-24,1105,1110,1040,1040,469575,-0.054545454545454564
2011-01-25,1040,1085,1025,1070,660779,0.028846153846153744
2011-01-26,1035,1125,1035,1110,1817073,0.03738317757009346
2011-01-27,1115,1180,1085,1135,1244331,0.022522522522522515
2011-01-28,1145,1295,1120,1250,2231342,0.1013215859030836
2011-01-31,1225,1370,1210,1340,2130271,0.07200000000000006
2011-02-01,1445,1445,1320,1330,1238132,-0.007462686567164201
2011-02-07,1360,1525,1310,1520,3671825,0.1428571428571428
2011-02-08,1480,1630,1480,1550,3083758,0.019736842105263053
2011-02-09,1550,1580,1440,1570,981897,0.012903225806451646
2011-02-10,1585,1805,1540,1805,3182311,0.14968152866242046
2011-02-11,1750,1900,1650,1765,2877676,-0.02216066481994461
2011-02-14,1810,1870,1745,1775,1572662,0.0056657223796034994
2011-02-15,1765,1800,1665,1795,1191806,0.011267605633802802
2011-02-16,1815,1890,1675,1675,1091227,-0.06685236768802227
2011-02-17,1650,1675,1475,1550,1697408,-0.07462686567164178
2011-02-18,1515,1610,1515,1585,814091,0.022580645161290214
2011-02-21,1625,1635,1540,1570,407027,-0.009463722397476393
2011-02-22,1525,1600,1505,1550,414856,-0.01273885350318471
2011-02-23,1560,1680,1515,1625,1145630,0.048387096774193505
2011-02-24,1625,1710,1400,1465,1347124,-0.09846153846153849
2011-02-25,1490,1540,1320,1390,1067539,-0.05119453924914674
2011-02-28,1420,1470,1330,1430,483312,0.02877697841726623
2011-03-02,1405,1490,1395,1420,355899,-0.006993006993006978
2011-03-03,1420,1465,1390,1415,403825,-0.0035211267605633756
2011-03-04,1455,1460,1350,1390,534348,-0.017667844522968212
2011-03-07,1390,1395,1355,1370,410487,-0.014388489208633115
2011-03-08,1360,1370,1275,1330,751657,-0.029197080291970767
2011-03-09,1325,1375,1300,1360,330847,0.022556390977443552
2011-03-10,1390,1500,1345,1485,896030,0.09191176470588225
