Date,Open,High,Low,Close,Volume,Change
2011-01-03,78400,79100,77800,78000,19303,-0.016393442622950838
2011-01-04,78000,78700,77300,78600,14849,0.007692307692307665
2011-01-05,77900,79900,77500,79500,24200,0.011450381679389388
2011-01-06,79800,79800,78200,79300,10700,-0.002515723270440251
2011-01-07,79300,79700,78500,79300,9468,0.0
2011-01-10,79700,79700,78100,78600,7532,-0.008827238335435084
2011-01-11,78500,79700,77100,79100,16751,0.006361323155216203
2011-01-12,78700,79500,78200,79200,8040,0.0012642225031604948
2011-01-13,79600,79600,77400,78700,15525,-0.0063131313131312705
2011-01-14,77600,78700,75200,76500,20205,-0.027954256670902122
2011-01-17,76800,76900,73000,74900,52437,-0.0209150326797386
2011-01-18,74000,76000,73700,75400,25385,0.006675567423231055
2011-01-19,76100,76500,74600,75500,16794,0.0013262599469496816
2011-01-20,75500,75500,73700,73800,19965,-0.02251655629139071
2011-01-21,73800,75600,73200,75600,22940,0.024390243902439046
2011-01-24,75500,75500,73900,74700,14751,-0.011904761904761862
2011-01-25,75500,77300,74500,76600,14733,0.025435073627844806
2011-01-26,77000,77400,75900,76700,21585,0.0013054830287206887
2011-01-27,76700,77500,74600,75700,13495,-0.013037809647979182
2011-01-28,75700,75700,74500,74500,10638,-0.015852047556142668
2011-01-31,74100,74400,73100,73100,13773,-0.018791946308724827
2011-02-01,73100,74200,73000,73200,6643,0.001367989056087593
2011-02-07,73000,73500,71000,71000,36405,-0.030054644808743203
2011-02-08,71400,72000,70900,71500,7554,0.007042253521126751
2011-02-09,71700,72000,70900,71500,7919,0.0
2011-02-10,71500,71800,70900,71600,14854,0.0013986013986013734
2011-02-11,70900,72000,70800,71600,13934,0.0
2011-02-14,71600,74900,71200,74900,22704,0.0460893854748603
2011-02-15,74900,75000,72500,74900,11135,0.0
2011-02-16,74500,75600,73700,74600,10903,-0.004005340453938633
2011-02-17,74000,75500,73100,75000,11936,0.00536193029490617
2011-02-18,75300,75300,73100,73600,12073,-0.01866666666666672
2011-02-21,72400,74400,72400,74200,5761,0.008152173913043459
2011-02-22,73500,74200,71300,71300,3263,-0.03908355795148244
2011-02-23,71200,72700,71200,71700,2957,0.005610098176718203
2011-02-24,71200,71700,70100,70300,6031,-0.019525801952580246
2011-02-25,70400,70600,68000,70000,11835,-0.004267425320056861
2011-02-28,71000,71000,68700,68700,2687,-0.018571428571428572
2011-03-02,68400,69500,66600,66700,5094,-0.02911208151382827
2011-03-03,67000,69100,66700,68600,5479,0.028485757121439192
2011-03-04,68400,69000,67500,68200,5981,-0.005830903790087438
2011-03-07,67800,69000,66900,67200,7611,-0.014662756598240456
2011-03-08,68300,68300,67000,67500,8236,0.0044642857142858094
2011-03-09,67300,69500,67300,69500,12440,0.029629629629629672
2011-03-10,68400,70000,68400,70000,10563,0.007194244604316502
2011-03-11,70000,70200,68500,70100,7996,0.0014285714285713347
2011-03-14,68600,69900,67600,69400,5007,-0.0099857346647646
2011-03-15,69000,70300,67800,69400,6909,0.0
2011-03-16,70500,70500,66800,68000,8810,-0.02017291066282423
2011-03-17,66900,70600,66900,68400,2681,0.00588235294117645
