Date,Open,High,Low,Close,Volume,Change
2011-01-03,1870,1880,1780,1820,174010,-0.03703703703703709
2011-01-04,1820,1840,1790,1810,75850,-0.005494505494505475
2011-01-05,1795,1820,1795,1800,46699,-0.0055248618784530246
2011-01-06,1800,1810,1780,1805,53958,0.002777777777777768
2011-01-07,1805,1815,1795,1810,26370,0.0027700831024930483
2011-01-10,1810,1825,1785,1815,30210,0.0027624309392264568
2011-01-11,1815,1820,1790,1820,26110,0.0027548209366390353
2011-01-12,1820,1830,1780,1805,24125,-0.008241758241758212
2011-01-13,1820,1825,1770,1805,52131,0.0
2011-01-14,1800,1810,1770,1805,31590,0.0
2011-01-17,1805,1805,1760,1790,54744,-0.008310249307479256
2011-01-18,1790,1790,1745,1780,47180,-0.005586592178770999
2011-01-19,1785,1790,1735,1735,49792,-0.0252808988764045
2011-01-20,1735,1790,1730,1765,39360,0.01729106628242083
2011-01-21,1760,1770,1730,1755,20960,-0.005665722379603388
2011-01-24,1770,1770,1735,1755,24420,0.0
2011-01-25,1760,1800,1730,1760,48970,0.002849002849002913
2011-01-26,1735,1775,1730,1760,114090,0.0
2011-01-27,1770,1815,1745,1770,119653,0.005681818181818121
2011-01-28,1780,1790,1760,1775,21806,0.0028248587570620654
2011-01-31,1775,1775,1745,1745,117439,-0.016901408450704203
2011-02-01,1770,1770,1750,1755,24260,0.005730659025787954
2011-02-07,1745,1775,1745,1755,22420,0.0
2011-02-08,1760,1770,1750,1750,39400,-0.002849002849002802
2011-02-09,1765,1765,1745,1760,7210,0.005714285714285783
2011-02-10,1750,1765,1740,1740,40820,-0.011363636363636354
2011-02-11,1760,1760,1730,1740,39820,0.0
2011-02-14,1750,1760,1725,1730,20370,-0.005747126436781658
2011-02-15,1740,1750,1700,1725,37449,-0.0028901734104046506
2011-02-16,1725,1730,1700,1700,43522,-0.01449275362318836
2011-02-17,1710,1715,1690,1705,19324,0.002941176470588225
2011-02-18,1700,1700,1680,1690,35973,-0.008797653958944274
2011-02-21,1690,1700,1650,1685,47906,-0.00295857988165682
2011-02-22,1685,1690,1670,1675,22960,-0.005934718100890191
2011-02-23,1670,1695,1665,1680,34260,0.0029850746268655914
2011-02-24,1670,1690,1660,1660,50381,-0.011904761904761862
2011-02-25,1660,1690,1660,1690,14380,0.01807228915662651
2011-02-28,1685,1700,1665,1685,30760,-0.00295857988165682
2011-03-02,1690,1695,1670,1690,14370,0.0029673590504450953
2011-03-03,1700,1730,1690,1710,10350,0.01183431952662728
2011-03-04,1705,1750,1705,1750,16810,0.023391812865497075
2011-03-07,1770,1770,1745,1755,60570,0.0028571428571428914
2011-03-08,1775,1775,1745,1755,33440,0.0
2011-03-09,1755,1775,1745,1765,63150,0.005698005698005604
2011-03-10,1775,1775,1755,1765,21910,0.0
2011-03-11,1765,1775,1760,1765,31610,0.0
2011-03-14,1765,1765,1735,1745,26920,-0.011331444759206777
2011-03-15,1760,1765,1710,1750,25220,0.002865329512893977
2011-03-16,1715,1745,1700,1710,24930,-0.02285714285714291
2011-03-17,1710,1725,1665,1690,70040,-0.011695906432748537
2011-03-18,1690,1735,1655,1700,49340,0.00591715976331364
2011-03-21,1705,1725,1705,1715,113628,0.008823529411764675
2011-03-22,1735,1735,1705,1725,19120,0.005830903790087438
2011-03-23,1725,1725,1700,1715,24540,-0.005797101449275366
2011-03-24,1705,1730,1695,1715,23971,0.0
2011-03-25,1705,1725,1705,1725,19240,0.005830903790087438
2011-03-28,1730,1735,1710,1720,19790,-0.0028985507246376274
2011-03-29,1720,1730,1710,1725,16740,0.0029069767441860517
2011-03-30,1740,1740,1710,1730,19880,0.0028985507246377384
2011-03-31,1730,1745,1715,1745,39114,0.00867052023121384
2011-04-01,1745,1755,1735,1750,21803,0.002865329512893977
2011-04-04,1755,1760,1740,1755,41211,0.0028571428571428914
2011-04-05,1745,1775,1745,1775,18288,0.01139601139601143
2011-04-06,1780,1800,1775,1800,49578,0.014084507042253502
2011-04-07,1805,1810,1750,1780,24201,-0.011111111111111072
2011-04-08,1775,1800,1730,1780,56597,0.0
2011-04-11,1770,1790,1760,1790,14870,0.00561797752808979
2011-04-12,1800,1975,1785,1850,509633,0.033519553072625774
2011-04-13,1850,1875,1800,1800,70814,-0.027027027027026973
2011-04-14,1810,1850,1810,1810,109612,0.005555555555555536
2011-04-15,1815,1840,1810,1825,69622,0.008287292817679592
2011-04-18,1815,1855,1800,1830,183510,0.00273972602739736
2011-04-19,1825,1840,1810,1830,35791,0.0
2011-04-20,1840,1865,1830,1855,83580,0.013661202185792254
2011-04-21,1855,1870,1835,1850,28890,-0.0026954177897574594
2011-04-22,1855,1855,1810,1830,49970,-0.010810810810810811
2011-04-25,1835,1835,1810,1825,66300,-0.002732240437158473
2011-04-26,1815,1825,1810,1825,58970,0.0
2011-04-27,1865,1870,1820,1825,25875,0.0
2011-04-28,1825,1835,1815,1820,20522,-0.002739726027397249
2011-04-29,1825,1830,1810,1820,35130,0.0
2011-05-02,1810,1825,1810,1820,27160,0.0
2011-05-03,1820,1850,1815,1840,27161,0.01098901098901095
2011-05-04,1820,1840,1805,1835,40060,-0.0027173913043477826
2011-05-06,1820,1840,1815,1830,27790,-0.0027247956403270157
2011-05-09,1820,1830,1815,1820,7923,-0.005464480874316946
2011-05-11,1810,1830,1810,1830,23941,0.005494505494505475
2011-05-12,1810,1835,1810,1835,35000,0.002732240437158362
2011-05-13,1840,1840,1800,1830,84460,-0.0027247956403270157
2011-05-16,1830,1835,1800,1830,31010,0.0
2011-05-17,1830,1840,1820,1840,19170,0.005464480874316946
2011-05-18,1845,1845,1820,1835,20240,-0.0027173913043477826
2011-05-19,1820,1840,1815,1815,23182,-0.010899182561307952
2011-05-20,1815,1830,1815,1830,35690,0.008264462809917328
2011-05-23,1830,1830,1800,1800,85920,-0.016393442622950838
2011-05-24,1785,1820,1785,1810,21490,0.005555555555555536
2011-05-25,1800,1820,1795,1795,44053,-0.008287292817679592
2011-05-26,1795,1825,1790,1820,47855,0.013927576601671321
2011-05-27,1820,1835,1810,1820,23020,0.0
2011-05-30,1820,1820,1800,1820,29590,0.0
2011-05-31,1805,1830,1800,1825,38470,0.0027472527472527375
2011-06-01,1815,1830,1810,1825,14310,0.0
2011-06-02,1805,1810,1795,1810,54670,-0.008219178082191747
2011-06-03,1820,1825,1800,1800,24840,-0.0055248618784530246
2011-06-07,1790,1820,1790,1790,34983,-0.005555555555555536
2011-06-08,1800,1815,1800,1810,16058,0.011173184357541999
2011-06-09,1815,1820,1800,1815,36361,0.0027624309392264568
2011-06-10,1825,1825,1800,1815,65630,0.0
2011-06-13,1800,1825,1800,1815,54883,0.0
2011-06-14,1815,1875,1815,1855,72640,0.02203856749311295
2011-06-15,1855,1870,1835,1865,22932,0.005390835579514919
2011-06-16,1865,1870,1835,1850,17130,-0.008042895442359255
2011-06-17,1830,1865,1825,1840,17900,-0.00540540540540535
2011-06-20,1850,1850,1820,1830,13205,-0.005434782608695676
2011-06-21,1830,1870,1810,1865,39470,0.0191256830601092
2011-06-22,1865,1870,1845,1860,18130,-0.002680965147453085
2011-06-23,1855,1855,1810,1830,25891,-0.016129032258064502
2011-06-24,1830,1830,1800,1830,56691,0.0
2011-06-27,1830,1845,1810,1825,18470,-0.002732240437158473
2011-06-28,1845,1850,1825,1845,17600,0.010958904109588996
2011-06-29,1825,1855,1825,1850,10590,0.0027100271002709064
2011-06-30,1855,1855,1835,1850,9846,0.0
2011-07-01,1855,1855,1840,1840,22770,-0.00540540540540535
2011-07-04,1865,1865,1830,1850,10560,0.005434782608695565
2011-07-05,1860,1895,1840,1880,47271,0.016216216216216273
2011-07-06,1870,1920,1870,1890,25296,0.005319148936170137
2011-07-07,1875,1930,1875,1900,27970,0.005291005291005346
2011-07-08,1900,1915,1870,1875,34000,-0.013157894736842146
2011-07-11,1885,1895,1870,1890,22440,0.008000000000000007
2011-07-12,1875,1895,1855,1855,31640,-0.01851851851851849
2011-07-13,1840,1890,1840,1890,42620,0.018867924528301883
2011-07-14,1900,1900,1850,1895,49540,0.002645502645502562
2011-07-15,1890,1900,1880,1900,40180,0.0026385224274405594
2011-07-18,1890,1925,1890,1920,83520,0.010526315789473717
2011-07-19,1910,1975,1910,1945,80951,0.01302083333333326
2011-07-20,1940,1990,1925,1940,40301,-0.0025706940874036244
2011-07-21,1950,1970,1870,1925,45458,-0.0077319587628865705
2011-07-22,1950,1950,1890,1925,46341,0.0
2011-07-25,1920,1925,1900,1915,41641,-0.0051948051948051965
2011-07-26,1930,1940,1915,1940,9430,0.01305483028720622
2011-07-27,1925,1965,1920,1950,24460,0.005154639175257714
2011-07-28,1960,1960,1930,1930,27470,-0.01025641025641022
2011-07-29,1945,1945,1925,1935,41097,0.002590673575129543
2011-08-01,1925,1945,1925,1935,59630,0.0
2011-08-02,1930,1955,1870,1935,124130,0.0
2011-08-03,1885,1910,1845,1880,137310,-0.028423772609819098
2011-08-04,1930,1930,1845,1895,42590,0.007978723404255428
2011-08-05,1840,1840,1760,1805,274410,-0.0474934036939314
2011-08-08,1800,1810,1700,1780,154630,-0.013850415512465353
2011-08-09,1775,1775,1600,1740,420130,-0.022471910112359605
2011-08-10,1745,1765,1720,1740,75606,0.0
2011-08-11,1725,1835,1705,1750,66800,0.005747126436781658
2011-08-12,1820,1860,1805,1805,82550,0.03142857142857136
2011-08-16,1875,1995,1845,1910,184682,0.05817174515235468
2011-08-17,1915,1950,1890,1920,82304,0.005235602094240788
2011-08-18,1920,1985,1905,1930,100140,0.005208333333333259
2011-08-19,1840,1970,1840,1900,75420,-0.015544041450777257
2011-08-22,1880,1910,1880,1895,24980,-0.0026315789473684292
2011-08-23,1910,1915,1850,1900,39590,0.0026385224274405594
2011-08-24,1925,1925,1880,1890,26990,-0.0052631578947368585
2011-08-25,1920,1940,1890,1900,25550,0.005291005291005346
2011-08-26,1900,1910,1860,1900,21010,0.0
2011-08-29,1900,1920,1865,1920,22920,0.010526315789473717
2011-08-30,1950,1950,1900,1915,27341,-0.0026041666666666297
2011-08-31,1900,1925,1880,1920,33315,0.0026109660574411553
2011-09-01,1905,1925,1885,1905,56792,-0.0078125
2011-09-02,1905,1905,1875,1875,13363,-0.015748031496062964
2011-09-05,1845,1890,1845,1870,54811,-0.002666666666666706
2011-09-06,1840,1880,1840,1855,38220,-0.008021390374331583
2011-09-07,1855,1890,1855,1875,33838,0.010781671159029615
2011-09-08,1870,1890,1870,1880,7410,0.002666666666666595
2011-09-09,1870,1915,1865,1890,15416,0.005319148936170137
2011-09-14,1890,1940,1850,1885,27820,-0.002645502645502673
2011-09-15,1885,1890,1850,1880,15675,-0.0026525198938992522
2011-09-16,1875,1895,1875,1895,11604,0.007978723404255428
2011-09-19,1905,1915,1870,1890,8390,-0.0026385224274406704
2011-09-20,1875,1900,1855,1885,11890,-0.002645502645502673
2011-09-21,1890,1895,1880,1880,7598,-0.0026525198938992522
2011-09-22,1875,1885,1850,1870,28980,-0.005319148936170248
2011-09-23,1830,1830,1740,1780,92851,-0.048128342245989275
2011-09-26,1860,1860,1720,1765,18236,-0.008426966292134797
2011-09-27,1750,1800,1730,1765,27922,0.0
2011-09-28,1800,1800,1750,1770,14900,0.0028328611898016387
2011-09-29,1780,1795,1745,1780,7220,0.005649717514124353
2011-09-30,1785,1800,1770,1790,23800,0.00561797752808979
2011-10-04,1730,1775,1720,1760,38531,-0.016759776536312887
2011-10-05,1770,1770,1720,1750,68811,-0.005681818181818232
2011-10-06,1780,1780,1755,1770,12900,0.011428571428571344
2011-10-07,1790,1795,1775,1795,20440,0.01412429378531077
2011-10-10,1775,1820,1775,1790,29887,-0.0027855153203342198
2011-10-11,1790,1830,1790,1820,16034,0.016759776536312776
2011-10-12,1820,1850,1820,1825,7961,0.0027472527472527375
2011-10-13,1830,1845,1820,1835,8580,0.005479452054794498
2011-10-14,1835,1850,1810,1850,9040,0.008174386920980936
2011-10-17,1880,1880,1810,1810,18510,-0.021621621621621623
2011-10-18,1805,1840,1805,1825,7410,0.008287292817679592
2011-10-19,1850,1850,1805,1835,11520,0.005479452054794498
2011-10-20,1835,1850,1800,1825,16830,-0.00544959128065392
2011-10-21,1840,1845,1790,1825,66251,0.0
2011-10-24,1825,1855,1825,1855,18430,0.016438356164383494
2011-10-25,1835,1875,1835,1850,13494,-0.0026954177897574594
2011-10-26,1820,1855,1820,1850,12310,0.0
2011-10-27,1890,1890,1830,1850,20094,0.0
2011-10-28,1840,1885,1840,1850,9380,0.0
2011-10-31,1835,1880,1830,1860,32895,0.00540540540540535
2011-11-01,1865,1865,1835,1850,13581,-0.005376344086021501
2011-11-02,1830,1850,1810,1850,15908,0.0
2011-11-03,1815,1855,1815,1855,10560,0.002702702702702675
2011-11-04,1855,1980,1855,1960,71599,0.05660377358490565
2011-11-07,1940,1940,1890,1935,45987,-0.012755102040816313
2011-11-08,1935,1980,1920,1955,108621,0.010335917312661591
2011-11-09,1970,1975,1940,1955,88338,0.0
2011-11-10,1905,1945,1900,1915,124696,-0.020460358056266004
2011-11-11,1915,1940,1900,1920,36284,0.0026109660574411553
2011-11-14,1935,1970,1925,1940,49100,0.01041666666666674
2011-11-15,1940,1945,1925,1930,19550,-0.005154639175257714
2011-11-16,1930,1940,1915,1925,53120,-0.002590673575129543
2011-11-17,1900,1930,1900,1925,29450,0.0
2011-11-18,1880,1925,1880,1920,13940,-0.0025974025974025983
2011-11-21,1900,1925,1900,1920,19830,0.0
2011-11-22,1915,1950,1910,1950,21698,0.015625
2011-11-23,1950,1960,1930,1940,68000,-0.00512820512820511
2011-11-24,1940,1950,1930,1945,64931,0.002577319587628857
2011-11-25,1945,1950,1935,1935,45068,-0.005141388174807249
2011-11-28,1940,1950,1940,1940,20614,0.0025839793281654533
2011-11-29,1950,1980,1940,1965,39569,0.012886597938144284
2011-11-30,1980,1980,1940,1960,16830,-0.0025445292620864812
2011-12-01,1995,2005,1955,1995,74940,0.017857142857142794
2011-12-02,1990,1990,1960,1985,27370,-0.005012531328320802
2011-12-05,1960,2200,1960,2155,447271,0.08564231738035266
2011-12-06,2215,2345,2105,2175,576423,0.009280742459396807
2011-12-07,2270,2280,2130,2160,204553,-0.006896551724137945
2011-12-08,2215,2480,2190,2470,2937276,0.1435185185185186
2011-12-09,2500,2600,2210,2220,2784127,-0.10121457489878538
2011-12-12,2315,2320,2050,2170,1083573,-0.022522522522522515
2011-12-13,2150,2220,2100,2150,366611,-0.009216589861751112
2011-12-14,2180,2210,2070,2085,324224,-0.03023255813953485
2011-12-15,2080,2185,2015,2085,380391,0.0
2011-12-16,2120,2140,2050,2080,239518,-0.0023980815347721673
2011-12-19,2090,2120,1930,2000,406227,-0.038461538461538436
2011-12-20,2045,2240,2040,2150,807251,0.07499999999999996
2011-12-21,2180,2180,2080,2080,245110,-0.032558139534883734
2011-12-22,2085,2120,2055,2100,112270,0.009615384615384581
2011-12-23,2135,2140,2050,2115,402700,0.0071428571428571175
2011-12-26,2140,2175,2110,2125,323630,0.004728132387706863
2011-12-27,2155,2170,2095,2130,346097,0.0023529411764706687
2011-12-28,2025,2025,1930,1950,316046,-0.08450704225352113
2011-12-29,1950,1985,1900,1935,229992,-0.007692307692307665
2012-01-02,1950,1950,1895,1910,116465,-0.012919896640826822
2012-01-03,1925,1940,1900,1900,131662,-0.005235602094240788
2012-01-04,1890,1905,1860,1890,201441,-0.0052631578947368585
2012-01-05,1900,2060,1895,1965,623613,0.039682539682539764
2012-01-06,2000,2000,1925,1935,128162,-0.01526717557251911
2012-01-09,1930,1960,1900,1905,104869,-0.015503875968992276
2012-01-10,1915,1995,1910,1940,100140,0.018372703412073532
2012-01-11,1950,1950,1900,1920,127371,-0.010309278350515427
2012-01-12,1930,1940,1900,1920,162240,0.0
2012-01-13,1930,1930,1900,1915,70971,-0.0026041666666666297
2012-01-16,1905,1905,1860,1890,63952,-0.01305483028720622
2012-01-17,1895,1895,1855,1880,208471,-0.005291005291005346
2012-01-18,1865,1895,1860,1870,70267,-0.005319148936170248
2012-01-19,1880,1890,1860,1870,63580,0.0
2012-01-20,1870,1910,1870,1880,142490,0.005347593582887722
2012-01-25,1870,1895,1850,1895,131599,0.007978723404255428
2012-01-26,1905,1905,1865,1895,81515,0.0
