Date,Open,High,Low,Close,Volume,Change
2011-01-03,2260,2345,2260,2300,22500,0.0
2011-01-04,2315,2315,2275,2285,13564,-0.006521739130434745
2011-01-05,2285,2320,2265,2275,24097,-0.004376367614879695
2011-01-06,2270,2295,2235,2250,50163,-0.01098901098901095
2011-01-07,2300,2300,2225,2245,18229,-0.0022222222222222365
2011-01-10,2225,2250,2210,2220,25204,-0.011135857461024523
2011-01-11,2240,2250,2225,2250,18945,0.013513513513513598
2011-01-12,2260,2325,2230,2310,23985,0.026666666666666616
2011-01-13,2300,2320,2285,2285,11071,-0.010822510822510845
2011-01-14,2300,2360,2300,2335,49132,0.02188183807439814
2011-01-17,2335,2345,2290,2290,91274,-0.01927194860813708
2011-01-18,2285,2305,2255,2255,39194,-0.015283842794759805
2011-01-19,2275,2275,2240,2240,29386,-0.006651884700665134
2011-01-20,2230,2240,2225,2225,20174,-0.006696428571428603
2011-01-21,2225,2250,2215,2235,11016,0.004494382022471877
2011-01-24,2210,2250,2180,2180,56364,-0.02460850111856827
2011-01-25,2200,2245,2170,2175,56489,-0.002293577981651418
2011-01-26,2175,2225,2170,2175,19318,0.0
2011-01-27,2195,2285,2185,2215,21139,0.01839080459770126
2011-01-28,2230,2230,2160,2200,23879,-0.006772009029345383
2011-01-31,2170,2195,2160,2180,20783,-0.009090909090909038
2011-02-01,2180,2245,2180,2195,13447,0.006880733944954143
2011-02-07,2200,2245,2180,2200,4405,0.002277904328018332
2011-02-08,2200,2235,2185,2185,17936,-0.006818181818181834
2011-02-09,2235,2235,2175,2185,13881,0.0
2011-02-10,2185,2190,2170,2175,7169,-0.004576659038901587
2011-02-11,2175,2235,2175,2220,11009,0.020689655172413834
2011-02-14,2220,2220,2165,2195,14656,-0.011261261261261257
2011-02-15,2220,2220,2175,2200,3881,0.002277904328018332
2011-02-16,2180,2210,2160,2190,15370,-0.004545454545454519
2011-02-17,2165,2205,2150,2180,16751,-0.004566210045662156
2011-02-18,2180,2195,2160,2190,10924,0.004587155963302836
2011-02-21,2195,2210,2185,2210,17044,0.009132420091324311
2011-02-22,2210,2210,2160,2165,9073,-0.020361990950226283
2011-02-23,2150,2215,2140,2170,11045,0.002309468822170979
2011-02-24,2180,2190,2125,2130,27167,-0.018433179723502335
2011-02-25,2120,2165,2110,2155,9624,0.011737089201877993
