Date,Open,High,Low,Close,Volume,Change
2017-12-08,24885,25710,22584,25060,8972478,
2017-12-11,24667,24928,23104,23105,2046497,-0.0780127693535515
2017-12-12,23321,23408,22236,22758,963997,-0.015018394286950842
2017-12-13,22843,23625,22713,23583,720298,0.0362509886633271
2017-12-14,23452,24060,23321,23887,601942,0.012890641563838345
2017-12-15,23930,24017,23452,23583,273856,-0.012726587683677293
2017-12-18,23669,23712,23061,23323,242627,-0.011024890811177523
2017-12-19,23191,23452,22670,22845,356793,-0.020494790550100728
2017-12-20,22930,23452,22584,22932,227506,0.003808273145108343
2017-12-21,23104,23321,22756,22801,167056,-0.005712541426827089
2017-12-22,22540,23321,22540,23236,232745,0.01907811060918374
2017-12-26,23061,23408,22887,23279,176293,0.0018505766913410326
2017-12-27,23147,23191,22887,22975,119948,-0.013058980196743897
2017-12-28,23017,23321,22800,23019,163593,0.001915125136017437
2018-01-02,23234,24060,23191,24017,324958,0.04335548894391583
2018-01-03,24017,24277,23799,24104,253106,0.003622434109172623
2018-01-04,24147,24234,23495,23974,236417,-0.0053932957185529595
2018-01-05,23973,24190,23799,24104,125981,0.005422541086176791
2018-01-08,24103,24234,23365,23626,202740,-0.019830733488217733
2018-01-09,23756,23799,23278,23410,101757,-0.009142470159993255
2018-01-10,23408,23930,23191,23800,161444,0.016659547202050318
2018-01-11,23886,23973,23495,23974,136169,0.007310924369748006
2018-01-12,23930,23973,23452,23626,208588,-0.014515725369149912
2018-01-15,23712,23712,23408,23540,130387,-0.0036400575637010046
2018-01-16,23539,25145,23495,24756,839411,0.05165675446049267
2018-01-17,24841,25189,24277,24973,567070,0.008765551785425707
2018-01-18,24798,24928,24364,24669,195614,-0.01217314699875871
2018-01-19,24537,25189,24494,25103,213158,0.01759293039847587
2018-01-22,24885,25450,24494,24843,172722,-0.01035732780942522
2018-01-23,24754,25232,24494,24495,214607,-0.01400797005192611
2018-01-24,24537,25276,24537,25147,266017,0.026617677076954394
2018-01-25,25580,26448,25493,26145,804788,0.039686642541853834
2018-01-26,26145,26926,25928,26884,443662,0.028265442723274026
2018-01-29,26926,27274,26405,26841,337836,-0.0015994643654217988
2018-01-30,26839,26839,25928,26319,239366,-0.019447859617748975
2018-01-31,25797,26318,25623,26145,157813,-0.006611193434400975
2018-02-01,26145,26926,26058,26841,217689,0.026620768789443527
2018-02-02,27143,27708,26752,27274,594321,0.016132036809358707
2018-02-05,26361,27317,26101,27100,328490,-0.006379702280560284
2018-02-06,25928,27143,25754,27058,418666,-0.0015498154981550272
2018-02-07,27621,27621,26492,26971,377481,-0.0032153152487249814
2018-02-08,27013,27361,26970,27231,180947,0.009639983686181353
2018-02-09,26839,27752,26578,27622,554548,0.014358635378796114
2018-02-12,27795,27882,26970,27100,269749,-0.018897979871117188
2018-02-13,27534,27534,26622,26754,170327,-0.01276752767527678
2018-02-14,26752,27621,26578,27492,128214,0.027584660237721437
2018-02-19,27534,27882,27491,27883,309768,0.014222319220136725
2018-02-20,27882,27968,27534,27796,146299,-0.0031201807552989624
2018-02-21,27795,27926,27534,27752,76873,-0.0015829615772053884
2018-02-22,27752,27795,27143,27274,121477,-0.017223983857019287
2018-02-23,27274,27491,26926,27100,129462,-0.006379702280560284
2018-02-26,27317,27317,25754,25841,256846,-0.04645756457564576
2018-02-27,25971,26578,25406,26406,126615,0.02186447892883403
2018-02-28,26101,26405,25797,26319,81113,-0.003294705748693505
2018-03-02,25884,27274,25884,27100,184329,0.02967437972567355
2018-03-05,27187,27274,26318,27014,111652,-0.003173431734317389
2018-03-06,27013,27752,27013,27622,244604,0.02250684830088101
2018-03-07,27621,27882,26145,27361,263874,-0.00944898993555865
2018-03-08,27361,27708,27187,27361,126593,0.0
2018-03-09,27708,27708,27274,27535,194888,0.006359416687986563
2018-03-12,27621,27621,26448,26884,232494,-0.02364263664427091
2018-03-13,26839,26970,26535,26667,53295,-0.008071715518524036
2018-03-14,26578,26622,26274,26406,78189,-0.009787377657779261
2018-03-15,26448,26883,26231,26667,146999,0.009884117246080404
2018-03-16,26578,27187,26535,26754,89852,0.003262459219259828
2018-03-19,26752,27100,26578,26667,62984,-0.0032518501906256825
2018-03-20,26492,26665,26231,26406,55075,-0.009787377657779261
2018-03-21,26448,26578,25710,25754,161451,-0.024691358024691357
2018-03-22,25928,26188,25667,26058,119196,0.011803991612953313
2018-03-23,25797,25928,25232,25494,119614,-0.021644024867603084
2018-03-26,25493,25623,25015,25277,121129,-0.008511806699615598
2018-03-27,25450,25450,25015,25190,117637,-0.003441864145270368
2018-03-28,25015,25710,24972,25407,118594,0.008614529575228236
2018-03-29,25406,26578,25406,26319,226099,0.03589561931751084
2018-03-30,26535,27230,26231,27058,324739,0.028078574413921586
2018-04-02,27578,27752,27317,27578,332571,0.019217976199275677
2018-04-03,27491,29141,27230,29098,796833,0.055116397128145644
2018-04-04,29141,29185,28316,29011,302901,-0.0029898962127981044
2018-04-05,28837,29098,28359,28361,147137,-0.022405294543449084
2018-04-06,28403,28663,27882,28143,107557,-0.007686611896618567
2018-04-09,27926,29272,27578,29098,260873,0.033933837899299935
2018-04-10,28881,29489,28229,29359,192494,0.008969688638394313
2018-04-11,29402,29792,28229,28274,263677,-0.036956299601485054
2018-04-12,28316,28576,26883,27144,390510,-0.03996604654452851
2018-04-13,27404,27448,26622,26971,324743,-0.006373415856174458
2018-04-16,27013,27100,26101,26363,398196,-0.02254273108153204
2018-04-17,26318,26709,26145,26667,295888,0.01153131282479225
2018-04-18,26622,28316,26492,27796,515314,0.042336970787865136
2018-04-19,27708,27926,26274,26580,626495,-0.04374730177003883
2018-04-20,26535,27100,26405,26536,293434,-0.001655379984951133
2018-04-23,26665,26839,25971,26710,312704,0.006557129936689776
2018-04-24,26796,26796,26058,26363,330233,-0.012991388992886543
2018-04-25,26015,27448,26015,27361,411341,0.03785608618139058
2018-04-26,27621,27621,27100,27318,208230,-0.001571579986111571
2018-04-27,27317,27752,27143,27578,118193,0.009517534226517244
2018-04-30,27317,27708,27230,27665,123476,0.003154688519834581
2018-05-02,27665,28229,27578,27578,301183,-0.003144767757093825
2018-05-03,27578,28055,27578,27796,149094,0.007904851693378845
2018-05-04,28055,28229,27621,27926,203508,0.004676931932652284
2018-05-08,27926,29011,27882,27883,317775,-0.0015397837141015724
2018-05-09,26578,27100,25319,26754,1303206,-0.04049062152566074
2018-05-10,26926,27752,26231,26667,506565,-0.0032518501906256825
2018-05-11,27795,29272,27708,28621,1237064,0.07327408407394898
2018-05-14,28533,29098,28359,28404,439343,-0.007581845498060846
2018-05-15,28359,28663,27361,27535,344775,-0.030594282495423175
2018-05-16,27534,28576,27056,28448,256415,0.03315779916469941
2018-05-17,28446,28620,27839,28230,104400,-0.0076631046119235435
2018-05-18,27968,28490,27839,27970,158857,-0.00921006021962456
2018-05-21,27968,28055,27404,27535,96353,-0.015552377547372154
2018-05-23,27317,27404,26665,27058,203430,-0.017323406573451994
2018-05-24,27143,27448,26665,27144,159479,0.0031783576021879867
2018-05-25,26665,27143,26448,26884,164769,-0.009578544061302652
2018-05-28,26926,27665,26926,27578,179378,0.025814610920993797
2018-05-29,27752,28098,27491,27492,120511,-0.0031184277322503506
2018-05-30,27100,27404,26361,26754,290099,-0.026844172850283732
2018-05-31,27013,27056,26188,26232,325741,-0.019511101143754206
2018-06-01,26231,26926,26231,26884,157082,0.024855138761817663
2018-06-04,26709,27230,26665,27100,115315,0.00803451867281657
2018-06-05,27143,27143,26578,26841,137261,-0.009557195571955668
2018-06-07,26578,26578,24711,25624,1117158,-0.04534108267203163
2018-06-08,25710,25841,25276,25580,354638,-0.0017171401810802678
2018-06-11,25797,26188,25276,26145,234070,0.022087568412822556
2018-06-12,26405,28185,26274,27535,655413,0.05316504111684828
2018-06-14,27534,27968,27056,27622,316548,0.003159615035409402
2018-06-15,27665,27795,25884,26058,359203,-0.056621533560205606
2018-06-18,26058,26709,25667,25754,198194,-0.011666282907360492
2018-06-19,25754,25797,24537,24886,291423,-0.03370350236856412
2018-06-20,24928,25928,24928,25885,147002,0.040143052318572625
2018-06-21,25884,25928,24321,24495,327926,-0.053699053505891436
2018-06-22,23886,23973,21932,23192,1563450,-0.05319452949581549
2018-06-25,23191,23234,22149,22671,488216,-0.022464642980338012
2018-06-26,22800,23104,22323,22714,488641,0.0018966962198403436
2018-06-27,22149,22410,20933,21368,1210286,-0.05925860702650343
2018-06-28,21106,22756,20846,22063,1086001,0.03252527143391992
2018-06-29,22236,23365,21280,21976,1645068,-0.003943253410687575
2018-07-02,22062,22236,20542,20586,666479,-0.0632508190753549
2018-07-03,20933,21063,19543,19761,654461,-0.04007577965607689
2018-07-04,19716,20108,19369,19674,312803,-0.0044026112038864085
2018-07-05,19499,21063,19499,20847,656697,0.05962183592558712
2018-07-06,20846,21193,19977,20890,255887,0.0020626469036311157
2018-07-09,21236,21975,21106,21586,270561,0.033317376735280124
2018-07-10,22323,22670,21932,22627,462676,0.048225701843787716
2018-07-11,22410,22843,21845,22367,262687,-0.011490696954965296
2018-07-12,22627,23017,22279,22497,248716,0.0058121339473331535
2018-07-13,22410,22497,21888,22193,389643,-0.013512912832822188
2018-07-16,21888,22106,21106,21325,311977,-0.03911143153246521
2018-07-17,21323,22670,21323,21455,546634,0.006096131301289498
2018-07-18,21671,22149,21454,21586,256858,0.006105802843160202
2018-07-19,21671,22062,20759,21151,242457,-0.02015195033818218
2018-07-20,20846,21063,20368,20586,207267,-0.026712684979433576
2018-07-23,20499,20672,20108,20238,156019,-0.016904692509472463
2018-07-24,19890,20064,19412,19979,501233,-0.012797707283328408
2018-07-25,19977,20499,19760,20022,340351,0.002152259872866491
2018-07-26,20151,21410,20108,20977,279350,0.04769753271401456
2018-07-27,21193,21367,20716,21151,186371,0.008294799065643232
2018-07-30,21367,21584,20368,20934,239797,-0.010259562195640837
2018-07-31,20542,21019,20325,20760,213031,-0.00831183720263684
2018-08-01,20759,20846,20412,20499,199739,-0.012572254335260102
2018-08-02,20368,21410,20368,20716,377663,0.010585882238157929
2018-08-03,20759,21019,20325,20760,259293,0.002123962154856107
2018-08-06,20759,20759,20455,20543,125428,-0.010452793834296759
2018-08-07,20542,20586,20238,20412,98419,-0.006376868032906602
2018-08-08,20238,20412,19934,20022,205543,-0.019106407995296837
2018-08-09,20064,20151,19847,20022,177274,0.0
2018-08-10,20064,20238,19890,20022,191368,0.0
2018-08-13,19630,19890,19282,19327,336000,-0.03471181700129855
2018-08-14,19282,19412,18501,18762,316138,-0.029233714492678642
2018-08-16,18457,19196,17675,18849,1242246,0.004637032299328325
2018-08-17,19456,23365,19282,20022,6109896,0.062231418112366654
2018-08-20,19977,20194,18805,18805,1475555,-0.06078313854759765
2018-08-21,18848,19109,18544,18805,557391,0.0
2018-08-22,18805,19238,18761,18805,444414,0.0
2018-08-23,18761,18935,18066,18198,633522,-0.03227864929540014
2018-08-24,18240,18761,18153,18501,309017,0.016650181338608627
2018-08-27,18544,18675,18240,18328,295327,-0.009350845900221616
2018-08-28,18327,19022,18283,18979,501135,0.03551942383238771
2018-08-29,19109,19238,18935,18979,262650,0.0
2018-08-30,18979,18979,18457,18545,296876,-0.02286737973549713
2018-08-31,18501,18675,18414,18545,151198,0.0
2018-09-03,18501,18675,18240,18328,209276,-0.011701267187921305
2018-09-04,18327,18370,18153,18241,204113,-0.004746835443038
2018-09-05,18283,18370,17892,17937,264598,-0.01666575297406936
2018-09-06,17892,18023,17675,17850,277141,-0.004850309416290388
2018-09-07,17718,17805,17588,17807,231498,-0.0024089635854341873
2018-09-10,17675,17762,17372,17416,317000,-0.02195765710113995
2018-09-11,17328,17805,17285,17633,266353,0.012459807073954998
2018-09-12,17632,17849,17459,17546,331034,-0.004933930698122868
2018-09-13,17459,17936,17459,17850,246579,0.017325886241878585
2018-09-14,17936,19153,17936,18936,956477,0.06084033613445383
2018-09-17,19109,19153,18588,18718,250582,-0.011512463033375608
2018-09-18,18718,18848,18414,18545,197283,-0.009242440431669996
2018-09-19,18761,18761,18196,18588,232528,0.0023186842814775233
2018-09-20,18588,18761,18240,18285,189331,-0.016300839251129795
2018-09-21,18240,18544,18066,18414,237946,0.00705496308449538
2018-09-27,18327,18414,17979,18068,255205,-0.018790051048115597
2018-09-28,18066,18848,18066,18805,424915,0.04079034757582467
2018-10-01,18761,18892,18544,18718,322727,-0.004626429141185828
2018-10-02,18718,18718,18066,18111,328707,-0.03242867827759377
2018-10-04,17979,18153,17459,17503,356848,-0.033570758102810405
2018-10-05,17415,17849,17328,17633,155537,0.007427298177455244
2018-10-08,17501,17936,17285,17590,107000,-0.0024386094255089974
2018-10-10,17459,17718,16807,16894,322132,-0.03956793632745881
2018-10-11,16155,16459,15851,16113,310489,-0.04622943056706519
2018-10-12,15851,16503,15851,16200,203445,0.005399366970769037
2018-10-15,16242,16285,15894,16026,188712,-0.010740740740740717
2018-10-16,15981,16416,15894,16113,156412,0.005428678397603859
2018-10-17,16285,16459,16025,16157,98707,0.002730714330044126
2018-10-18,16199,16546,16112,16417,127792,0.016092096305007075
2018-10-19,16372,17285,16155,17112,289178,0.04233416580373994
2018-10-22,17068,17372,16807,17068,96473,-0.00257129499766251
2018-10-23,17155,17155,16590,16590,121975,-0.0280056245605812
2018-10-24,16850,17068,16329,16461,149774,-0.007775768535262184
2018-10-25,15938,16199,15721,15809,232339,-0.03960877224955961
2018-10-26,15938,16068,14852,15418,241913,-0.024732747169333935
2018-10-29,15200,15417,14679,14767,272073,-0.04222337527565179
2018-10-30,14331,15157,14331,15070,169958,0.020518724182298387
2018-10-31,15070,15938,14939,15548,179705,0.03171864631718657
2018-11-01,15548,15981,15548,15809,104891,0.016786724980704992
2018-11-02,16155,16981,15938,16894,256923,0.06863179201720548
2018-11-05,16894,16981,16503,16894,100835,0.0
2018-11-06,16894,17588,16894,17372,171681,0.028294068900201363
2018-11-07,17545,17936,17198,17590,327548,0.012548929311535728
2018-11-08,17892,18196,17372,17459,119996,-0.007447413303013128
2018-11-09,17415,17762,17198,17677,145593,0.01248639670084195
2018-11-12,17675,17675,17241,17372,103885,-0.017254058946653883
2018-11-13,17024,17675,16677,17677,124696,0.017556988256965278
2018-11-14,18283,18457,18110,18198,598996,0.029473326921989118
2018-11-15,18370,18805,18023,18632,374581,0.023848774590614408
2018-11-16,19022,19238,18631,18936,387335,0.0163160154572779
2018-11-19,19109,19109,17849,18111,422528,-0.04356780735107735
2018-11-20,17762,18501,17675,18285,171362,0.009607420904422792
2018-11-21,18718,18761,18196,18285,185568,0.0
2018-11-22,18196,18240,17588,17720,174536,-0.030899644517363933
2018-11-23,17632,18327,17501,18155,155558,0.024548532731377026
2018-11-26,18544,18935,18327,18414,252426,0.014266042412558466
2018-11-27,18457,18544,18110,18458,163110,0.002389486260454099
2018-11-28,18501,18501,18066,18328,108693,-0.007043016578177519
2018-11-29,18501,18588,18153,18328,201668,0.0
2018-11-30,18240,18457,17849,18068,126574,-0.014185945002182399
2018-12-03,18110,18240,17936,18068,121480,0.0
2018-12-04,18066,18066,17415,17503,211272,-0.03127075492583575
2018-12-05,17372,17372,17111,17155,173270,-0.01988230589041884
2018-12-06,17155,17155,16590,16720,134037,-0.025357038764208695
2018-12-07,16763,17111,16677,16894,78797,0.010406698564593198
2018-12-10,16763,16763,16155,16287,132774,-0.035929915946489865
2018-12-11,16503,16503,15807,16070,168229,-0.01332350954749184
2018-12-12,15807,16285,15807,16287,121013,0.013503422526446762
2018-12-13,16372,16763,16242,16764,107470,0.029287161539878426
2018-12-14,16763,16763,16372,16504,74694,-0.015509424958243812
2018-12-17,16590,16590,16416,16548,63388,0.0026660203587010045
2018-12-18,16546,16590,16199,16504,95204,-0.0026589315929417268
2018-12-19,16633,17024,16633,16981,114252,0.028902084343189527
2018-12-20,16850,16981,16590,16807,110597,-0.010246746363582804
2018-12-21,16807,16850,16459,16851,90623,0.0026179568037127954
2018-12-24,16807,16807,16416,16461,71893,-0.023144027060708616
2018-12-26,16242,16416,16068,16070,141234,-0.02375311341959785
2018-12-27,16199,16285,15504,16287,126296,0.013503422526446762
2018-12-28,16416,16807,16068,16720,111880,0.026585620433474455
2019-01-02,16807,16850,16372,16504,49603,-0.01291866028708133
2019-01-03,16459,16546,16068,16113,91766,-0.023691226369365048
2019-01-04,15807,15894,15548,15809,152304,-0.01886675355303169
2019-01-07,15851,15894,15678,15852,173225,0.0027199696375481697
2019-01-08,15807,15981,15721,15809,88651,-0.002712591471107695
2019-01-09,15851,16329,15851,16200,124508,0.024732747169333935
2019-01-10,16416,16459,15981,16374,70080,0.010740740740740717
2019-01-11,16372,16372,16199,16287,58356,-0.005313301575668783
