Date,Open,High,Low,Close,Volume,Change
2011-01-03,3473,3546,3440,3509,271599,0.03785862170955334
2011-01-04,3534,3534,3408,3435,68814,-0.021088629239099488
2011-01-05,3417,3428,3364,3381,88738,-0.015720524017467263
2011-01-06,3430,3494,3378,3412,145910,0.009168884945282452
2011-01-07,3473,3484,3397,3443,122575,0.009085580304806662
2011-01-10,3526,3590,3442,3498,140181,0.015974440894568787
2011-01-11,3494,3641,3452,3582,236514,0.02401372212692965
2011-01-12,3621,4106,3598,4113,803912,0.14824120603015079
2011-01-13,4350,4724,3727,3963,2849440,-0.036469730123997124
2011-01-14,4013,4193,3855,4133,1127523,0.04289679535705271
2011-01-17,4152,4194,3706,3848,562472,-0.06895717396564238
2011-01-18,3812,3917,3727,3741,226031,-0.027806652806652843
2011-01-19,3770,3802,3599,3710,218867,-0.008286554397220036
2011-01-20,3685,3737,3609,3741,225386,0.008355795148248024
2011-01-21,3748,3770,3581,3604,254488,-0.036621224271585096
2011-01-24,3654,3706,3599,3636,202075,0.008879023307436285
2011-01-25,3654,3673,3389,3423,335360,-0.058580858085808596
2011-01-26,3410,3452,3378,3412,141282,-0.0032135553607945955
2011-01-27,3335,3389,3280,3371,157030,-0.012016412661195797
2011-01-28,3365,3397,3323,3371,78311,0.0
2011-01-31,3313,3365,3258,3318,91237,-0.015722337585286295
2011-02-01,3272,3397,3240,3391,55866,0.02200120554550944
2011-02-07,3390,3420,3304,3328,103141,-0.018578590386316707
2011-02-08,3389,3389,3323,3339,70421,0.003305288461538547
2011-02-09,3390,3591,3337,3412,278330,0.02186283318358795
2011-02-10,3410,3494,3355,3412,80721,0.0
2011-02-11,3409,3461,3365,3423,84544,0.0032239155920281704
2011-02-14,3410,3641,3397,3582,266625,0.04645048203330404
2011-02-15,3580,3609,3452,3498,105880,-0.02345058626465657
2011-02-16,3494,3568,3390,3412,116322,-0.02458547741566608
2011-02-17,3409,3483,3335,3371,102575,-0.012016412661195797
2011-02-18,3365,3429,3323,3391,87424,0.005932957579353415
2011-02-21,3344,3428,3322,3348,81783,-0.012680625184311456
