Date,Open,High,Low,Close,Volume,Change
2011-01-03,35600,35600,35600,35600,150,0.0
2011-01-04,35500,36750,35500,36450,270,0.023876404494381998
2011-01-05,35550,37400,35200,35250,1440,-0.03292181069958844
2011-01-06,35250,35450,35100,35450,690,0.005673758865248235
2011-01-07,35350,35550,35350,35400,120,-0.0014104372355430161
2011-01-10,35550,35550,35300,35300,580,-0.0028248587570621764
2011-01-11,35300,35300,35200,35200,110,-0.0028328611898017497
2011-01-12,35200,35400,35000,35200,380,0.0
2011-01-13,35600,36500,35500,35750,790,0.015625
2011-01-14,35550,35950,35500,35950,340,0.005594405594405494
2011-01-17,36000,37700,35700,37300,1900,0.037552155771905404
2011-01-18,37400,38200,37300,38200,1030,0.024128686327077764
2011-01-19,38150,38150,37250,37950,490,-0.00654450261780104
2011-01-20,37950,38000,36750,36950,870,-0.026350461133069825
2011-01-21,35550,38000,35550,37950,740,0.02706359945872805
2011-01-24,38000,38000,37000,37800,290,-0.0039525691699604515
2011-01-25,37250,37500,37000,37450,310,-0.0092592592592593
2011-01-26,37450,37450,37000,37000,100,-0.012016021361815787
2011-01-27,36750,36750,36600,36600,40,-0.010810810810810811
2011-01-28,36600,36600,36600,36600,10,0.0
2011-01-31,35800,36400,35600,35600,362,-0.02732240437158473
2011-02-01,36100,36100,35450,35450,64,-0.004213483146067398
2011-02-07,35900,36450,35500,35500,2110,0.0014104372355430161
2011-02-08,35500,35600,35400,35400,338,-0.0028169014084507005
2011-02-09,35400,35500,35250,35400,3070,0.0
2011-02-10,35900,38000,35450,35450,280,0.0014124293785311437
2011-02-11,35350,35550,35000,35500,200,0.0014104372355430161
2011-02-14,36450,37200,36200,37200,272,0.04788732394366191
2011-02-15,37200,37850,37050,37850,300,0.017473118279569988
2011-02-16,36700,37600,36550,37600,30,-0.006605019815059454
2011-02-17,0,0,0,37200,0,-0.010638297872340385
2011-02-18,35850,36500,35850,36500,64,-0.018817204301075252
2011-02-21,36500,38500,36500,36600,950,0.00273972602739736
2011-02-22,35750,36000,35500,35650,780,-0.025956284153005438
2011-02-23,35700,35950,35700,35950,171,0.008415147265077083
2011-02-24,35250,35500,35250,35400,58,-0.015299026425591111
2011-02-25,36300,36300,35300,35750,260,0.009887005649717562
2011-02-28,36650,36650,36650,36650,260,0.025174825174825166
2011-03-02,36550,36550,36550,36550,20,-0.0027285129604365244
2011-03-03,0,0,0,36550,0,0.0
2011-03-04,35350,35950,35350,35700,320,-0.023255813953488413
2011-03-07,35400,35600,35400,35400,60,-0.008403361344537785
2011-03-08,35400,35700,35400,35700,60,0.008474576271186418
2011-03-09,35500,35500,34250,34750,1182,-0.026610644257703098
2011-03-10,35000,35000,34850,34850,120,0.0028776978417266452
2011-03-11,34750,35000,34400,35000,370,0.004304160688665792
2011-03-14,34500,34950,34500,34950,50,-0.0014285714285714457
2011-03-15,34250,34300,33000,33350,760,-0.045779685264663805
2011-03-16,34150,34150,33300,33550,1110,0.0059970014992503096
2011-03-17,33000,34950,33000,33550,580,0.0
2011-03-18,33550,33800,33550,33800,540,0.007451564828613977
2011-03-21,33700,34250,33700,34250,120,0.013313609467455523
2011-03-22,0,0,0,34250,0,0.0
2011-03-23,34800,34800,34600,34600,30,0.010218978102189746
2011-03-24,34000,34250,34000,34250,60,-0.010115606936416222
2011-03-25,37000,37000,35500,35500,260,0.03649635036496357
2011-03-28,35400,35400,34200,34850,70,-0.018309859154929553
2011-03-29,34800,34800,34000,34400,390,-0.012912482065997155
2011-03-30,34400,34400,33900,33900,392,-0.014534883720930258
