Date,Open,High,Low,Close,Volume,Change
2011-01-03,4525,4580,4415,4525,3284984,0.01230425055928408
2011-01-04,4580,5075,4550,4775,9085846,0.05524861878453047
2011-01-05,4825,5045,4715,4855,5742216,0.01675392670157061
2011-01-06,4910,4965,4690,4720,3558224,-0.02780638516992795
2011-01-07,4690,4825,4605,4665,4310946,-0.01165254237288138
2011-01-10,4690,4745,4605,4690,2795030,0.005359056806002238
2011-01-11,4660,4800,4605,4635,2790039,-0.011727078891258014
2011-01-12,4660,4690,4550,4580,3162615,-0.011866235167206085
2011-01-13,4580,4635,4550,4580,2213820,0.0
2011-01-14,4580,4605,4495,4555,2522138,-0.00545851528384278
2011-01-17,4550,4550,4415,4470,3612257,-0.01866081229418226
2011-01-18,4470,4495,4415,4415,2442970,-0.01230425055928408
2011-01-19,4470,4690,4415,4445,6752251,0.006795016987542368
2011-01-20,4470,4495,4330,4360,4506893,-0.019122609673790758
2011-01-21,4385,4415,4140,4195,5734624,-0.037844036697247674
2011-01-24,4165,4195,3865,3925,5494417,-0.06436233611442188
2011-01-25,3840,3975,3345,3430,28007101,-0.12611464968152863
2011-01-26,3315,3400,3205,3320,8351031,-0.03206997084548102
2011-01-27,0,0,0,3320,0,0.0
2011-01-28,0,0,0,3320,0,0.0
2011-01-31,0,0,0,3320,0,0.0
2011-02-01,0,0,0,3320,0,0.0
2011-02-07,0,0,0,3320,0,0.0
2011-02-08,0,0,0,3320,0,0.0
2011-02-09,0,0,0,3320,0,0.0
2011-02-10,0,0,0,3320,0,0.0
2011-02-11,0,0,0,3320,0,0.0
2011-02-14,0,0,0,3320,0,0.0
2011-02-15,0,0,0,3320,0,0.0
2011-02-16,0,0,0,3320,0,0.0
2011-02-17,0,0,0,3320,0,0.0
2011-02-18,0,0,0,3320,0,0.0
2011-02-21,0,0,0,3320,0,0.0
2011-02-22,0,0,0,3320,0,0.0
2011-02-23,3455,3695,3220,3235,1475877,-0.025602409638554202
2011-02-24,3180,3180,2750,2815,1662906,-0.12982998454404948
2011-02-25,2740,2825,2675,2820,381936,0.001776198934280604
2011-02-28,2800,3215,2800,3020,997458,0.07092198581560294
2011-03-02,2900,2990,2860,2965,200531,-0.018211920529801362
2011-03-03,2960,3065,2835,2870,233815,-0.03204047217537942
2011-03-04,2835,2955,2835,2890,178973,0.006968641114982521
2011-03-07,2885,2915,2850,2890,145414,0.0
2011-03-08,2875,2900,2850,2885,212936,-0.0017301038062284002
2011-03-09,2885,2885,2770,2860,211085,-0.008665511265164683
2011-03-10,2830,2880,2810,2855,144503,-0.0017482517482517723
2011-03-11,2850,3280,2840,3005,1175223,0.0525394045534151
2011-03-14,3000,3005,2820,2835,392679,-0.056572379367720416
2011-03-15,2835,2880,2685,2740,299731,-0.0335097001763669
2011-03-16,2730,2795,2670,2685,377527,-0.02007299270072993
2011-03-17,2520,2715,2425,2580,366186,-0.03910614525139666
2011-03-18,2545,2625,2450,2475,646005,-0.04069767441860461
2011-03-21,2460,2555,2440,2465,371659,-0.004040404040404066
2011-03-22,2410,2460,2355,2375,478344,-0.0365111561866126
2011-03-23,2375,2425,2190,2205,829362,-0.07157894736842108
2011-03-24,2155,2185,1995,2085,1583064,-0.05442176870748294
2011-03-25,2130,2165,2050,2080,986410,-0.0023980815347721673
2011-03-28,2090,2190,2005,2040,1026955,-0.019230769230769273
2011-03-29,2015,2300,2015,2175,1577643,0.06617647058823528
2011-03-30,2190,2205,2105,2105,438986,-0.03218390804597704
2011-03-31,2100,2135,2055,2085,462491,-0.009501187648456089
2011-04-01,2160,2160,2060,2105,366965,0.00959232613908867
2011-04-04,2050,2050,1920,1960,1323002,-0.06888361045130642
2011-04-05,1945,2125,1935,2080,1012378,0.061224489795918435
2011-04-06,2100,2170,2080,2110,589319,0.014423076923076872
2011-04-07,2105,2425,2100,2425,2625584,0.14928909952606628
2011-04-08,2410,2600,2255,2440,1588839,0.006185567010309256
2011-04-11,2440,2780,2345,2680,2102130,0.09836065573770503
2011-04-12,2695,2865,2680,2815,1286739,0.050373134328358216
2011-04-13,2820,3230,2820,3230,1692927,0.147424511545293
2011-04-14,3235,3700,3220,3325,3010866,0.02941176470588225
2011-04-15,3345,3410,2830,3165,1997540,-0.048120300751879674
2011-04-18,3235,3310,3020,3135,476216,-0.009478672985781977
2011-04-19,3130,3165,2910,3020,577040,-0.036682615629984094
2011-04-20,3015,3130,2990,3045,515600,0.008278145695364225
2011-04-21,3025,3090,2880,2925,329553,-0.039408866995073843
2011-04-22,2925,2980,2740,2770,565403,-0.052991452991453025
2011-04-25,2875,3180,2770,3180,1005804,0.1480144404332131
2011-04-26,3200,3645,3125,3445,3437790,0.08333333333333326
2011-04-27,3455,3510,3075,3080,1136408,-0.10595065312046448
2011-04-28,3075,3260,2865,3145,722106,0.02110389610389607
2011-04-29,3175,3240,3030,3170,377657,0.007949125596184325
2011-05-02,2800,2995,2695,2700,2107665,-0.1482649842271293
2011-05-03,2695,2710,2445,2590,1027967,-0.040740740740740744
2011-05-04,2525,2655,2470,2540,552893,-0.019305019305019266
2011-05-06,2495,2770,2495,2530,480481,-0.003937007874015741
2011-05-09,2570,2605,2430,2460,604258,-0.02766798418972327
2011-05-11,2490,2490,2300,2305,583282,-0.0630081300813008
2011-05-12,2220,2335,2200,2305,206358,0.0
2011-05-13,2275,2350,2270,2280,248693,-0.010845986984815648
2011-05-16,2265,2300,2135,2195,380822,-0.037280701754385914
2011-05-17,2190,2220,2130,2155,333405,-0.018223234624145768
2011-05-18,2165,2180,2130,2160,300859,0.002320185614849146
2011-05-19,2200,2410,2170,2235,357471,0.03472222222222232
2011-05-20,2320,2355,2215,2320,197839,0.03803131991051445
2011-05-23,2335,2340,2220,2230,173870,-0.03879310344827591
2011-05-24,2225,2275,2190,2200,203939,-0.013452914798206317
2011-05-25,2190,2270,2145,2190,116314,-0.004545454545454519
2011-05-26,2260,2265,2135,2205,165573,0.006849315068493178
2011-05-27,2240,2240,2165,2165,70878,-0.01814058956916098
2011-05-30,2165,2215,2145,2150,95663,-0.006928406466512715
2011-05-31,2150,2220,2135,2165,61364,0.006976744186046435
2011-06-01,2215,2215,2145,2175,122376,0.004618937644341736
2011-06-02,2190,2190,2050,2090,204558,-0.039080459770114984
2011-06-03,2080,2205,2055,2165,122675,0.03588516746411474
2011-06-07,2165,2190,2115,2175,44684,0.004618937644341736
2011-06-08,2190,2395,2165,2260,290234,0.03908045977011487
2011-06-09,2305,2305,2220,2250,84814,-0.004424778761061954
2011-06-10,2245,2295,2130,2190,108959,-0.026666666666666616
2011-06-13,2240,2240,2035,2075,139109,-0.05251141552511418
2011-06-14,1975,2120,1975,2060,81418,-0.0072289156626506035
2011-06-15,2015,2110,1980,2040,184081,-0.009708737864077666
2011-06-16,2105,2115,2035,2040,125115,0.0
2011-06-17,2090,2090,2000,2020,69860,-0.009803921568627416
2011-06-20,2030,2030,1760,1885,298239,-0.06683168316831678
2011-06-21,1895,1935,1845,1900,140159,0.007957559681697646
2011-06-22,1900,1900,1810,1865,165654,-0.018421052631578894
2011-06-23,1895,1900,1780,1840,212869,-0.013404825737265424
2011-06-24,1815,1990,1795,1960,323950,0.0652173913043479
2011-06-27,1960,1965,1850,1895,258052,-0.03316326530612246
2011-06-28,1910,1940,1865,1895,110845,0.0
2011-06-29,1955,1955,1805,1855,305153,-0.02110817941952503
2011-06-30,1865,1870,1810,1835,116967,-0.010781671159029615
2011-07-01,1850,1850,1785,1815,272340,-0.010899182561307952
2011-07-04,1820,1835,1770,1800,187753,-0.008264462809917328
2011-07-05,1815,1845,1770,1835,227317,0.019444444444444375
2011-07-06,1865,1865,1815,1820,201464,-0.008174386920980936
2011-07-07,1795,1840,1780,1825,214610,0.0027472527472527375
2011-07-08,1820,1840,1785,1790,133113,-0.019178082191780854
2011-07-11,1780,1785,1705,1715,381141,-0.04189944134078216
2011-07-12,1715,1855,1715,1730,334131,0.008746355685131268
2011-07-13,1725,1750,1650,1680,454201,-0.028901734104046284
2011-07-14,1685,1750,1655,1670,256545,-0.005952380952380931
2011-07-15,1710,1710,1655,1695,258820,0.014970059880239583
2011-07-18,1700,1945,1700,1950,1370812,0.1504424778761062
2011-07-19,2235,2235,1875,1880,2367670,-0.03589743589743588
2011-07-20,1840,1920,1825,1865,309241,-0.007978723404255317
2011-07-21,1885,2075,1840,1900,618432,0.018766756032171594
2011-07-22,1945,2175,1890,2145,1210179,0.1289473684210527
2011-07-25,2120,2300,2060,2195,927068,0.02331002331002341
2011-07-26,2245,2245,2155,2165,327830,-0.013667425968109326
2011-07-27,2145,2210,2090,2105,281727,-0.02771362586605086
2011-07-28,2080,2145,1985,2060,170876,-0.02137767220902609
2011-07-29,2015,2095,1950,1980,209915,-0.03883495145631066
2011-08-01,1980,2015,1900,1925,443422,-0.02777777777777779
2011-08-02,1955,1960,1870,1965,273509,0.020779220779220786
2011-08-03,2030,2030,1870,1925,317721,-0.020356234096692072
2011-08-04,1955,1955,1865,1885,126152,-0.020779220779220786
2011-08-05,1830,1835,1680,1730,492529,-0.08222811671087538
2011-08-08,1750,1780,1515,1675,225887,-0.03179190751445082
2011-08-09,1665,1665,1425,1590,512705,-0.05074626865671639
2011-08-10,1600,1815,1600,1645,241833,0.03459119496855356
