Date,Open,High,Low,Close,Volume,Change
2011-01-03,4427,4778,4410,4728,239668,0.06702775897088697
2011-01-04,4706,4895,4706,4863,231726,0.02855329949238583
2011-01-05,4904,4904,4751,4871,82425,0.0016450750565495387
2011-01-06,4860,5032,4798,4917,118788,0.009443646068569178
2011-01-07,4923,5167,4888,5078,387026,0.032743542810656834
2011-01-10,5085,5130,4860,5133,333000,0.010831035840882297
2011-01-11,5327,5327,5085,5088,663135,-0.008766803039158333
2011-01-12,5095,5139,5048,5052,275044,-0.007075471698113178
2011-01-13,5111,5230,5067,5213,386051,0.03186856690419626
2011-01-14,5183,5445,5183,5421,386355,0.03990024937655856
2011-01-17,5472,5472,5211,5222,124964,-0.036709094263051134
2011-01-18,5283,5310,5039,5250,168638,0.00536193029490617
2011-01-19,5221,5283,5139,5250,118001,0.0
2011-01-20,5265,5382,5183,5313,178099,0.01200000000000001
2011-01-21,5365,5389,5130,5160,128280,-0.02879728966685491
2011-01-24,5175,5230,5039,5106,99649,-0.010465116279069764
2011-01-25,5166,5239,5023,5231,260358,0.02448100274187226
2011-01-26,5302,5760,5265,5701,933402,0.0898489772510036
2011-01-27,5779,5779,5508,5557,777485,-0.02525872653920369
2011-01-28,5553,5590,5302,5404,270500,-0.027532841461220037
2011-01-31,5239,5375,5130,5213,208203,-0.03534418948926721
2011-02-01,5273,5508,5230,5304,360008,0.0174563591022443
2011-02-07,5389,5590,5293,5583,355253,0.052601809954751166
2011-02-08,5671,5750,5580,5583,651032,0.0
2011-02-09,5590,5625,5310,5520,281314,-0.011284255776464303
2011-02-10,5436,5500,5399,5404,153729,-0.021014492753623215
2011-02-11,5356,5436,5139,5269,313984,-0.024981495188749037
2011-02-14,5302,5389,5211,5285,120071,0.0030366293414310075
2011-02-15,5399,5399,5158,5222,91755,-0.01192052980132452
2011-02-16,5239,5239,4951,5115,201890,-0.020490233626962895
2011-02-17,5067,5111,4770,5088,184695,-0.005278592375366542
2011-02-18,5095,5183,4995,5061,127432,-0.005306603773584939
2011-02-21,5048,5085,4832,4917,107369,-0.02845287492590398
2011-02-22,4879,4914,4734,4790,121955,-0.02582875737238155
2011-02-23,4716,4879,4716,4773,86969,-0.0035490605427974664
2011-02-24,4725,4832,4518,4673,115092,-0.02095118374188143
2011-02-25,4725,4725,4572,4664,60812,-0.0019259576289322178
2011-02-28,4654,4706,4509,4511,59482,-0.03280445969125212
2011-03-02,4509,4554,4455,4485,56356,-0.0057636887608069065
2011-03-03,4499,4995,4481,4701,348875,0.04816053511705687
2011-03-04,4634,4725,4562,4611,199448,-0.01914486279514993
2011-03-07,4608,4626,4562,4574,73446,-0.008024289741921486
2011-03-08,4572,4761,4554,4683,95811,0.023830345430695177
2011-03-09,4751,4850,4680,4763,92243,0.017083066410420678
2011-03-10,4743,4798,4654,4718,70028,-0.009447826999790077
2011-03-11,4671,4716,4582,4611,98378,-0.0226791013141161
2011-03-14,4562,4662,4373,4499,156062,-0.024289741921492136
2011-03-15,4410,4995,4410,4889,1370450,0.08668593020671267
2011-03-16,4951,5607,4770,5294,2410082,0.0828390263857639
2011-03-17,5625,5823,4788,4790,1564190,-0.09520211560256897
2011-03-18,4860,5014,4634,4737,505956,-0.011064718162839271
2011-03-21,4815,4879,4680,4836,269716,0.020899303356554766
2011-03-22,4904,5121,4860,4933,492095,0.020057899090157205
2011-03-23,4986,5076,4914,4933,259343,0.0
2011-03-24,5005,5076,4932,4952,245103,0.0038516115953781682
2011-03-25,5005,5048,4823,4927,230073,-0.005048465266558999
2011-03-28,5039,5149,4923,5124,633457,0.03998376293890815
2011-03-29,5221,5472,5039,5313,2454842,0.03688524590163933
2011-03-30,5346,5454,5014,5070,1194156,-0.04573687182382835
2011-03-31,5067,5111,4941,5070,295837,0.0
2011-04-01,5067,5167,5039,5168,298587,0.019329388560157756
2011-04-04,5167,5562,5048,5294,851395,0.02438080495356032
2011-04-05,5382,5500,5221,5222,1201645,-0.013600302228938377
2011-04-06,5230,5239,5048,5088,455405,-0.025660666411336686
2011-04-07,5103,5382,5039,5250,651262,0.03183962264150941
2011-04-08,5318,5318,4966,4998,676925,-0.04800000000000004
2011-04-11,4976,5039,4914,4972,208301,-0.005202080832332978
2011-04-12,4966,5048,4734,4817,257556,-0.03117457763475462
2011-04-13,4734,4807,4671,4683,196529,-0.02781814407307448
2011-04-14,4743,4770,4644,4728,103137,0.009609224855861687
2011-04-15,4734,4815,4689,4773,123501,0.009517766497461944
2011-04-18,4807,4815,4644,4692,143377,-0.016970458830923962
2011-04-19,4616,4698,4590,4638,119077,-0.011508951406649648
2011-04-20,4634,4770,4634,4728,124395,0.019404915912031084
2011-04-21,4716,4860,4689,4755,143182,0.005710659898477077
2011-04-22,4743,4743,4572,4638,131914,-0.02460567823343851
2011-04-25,4634,4689,4544,4548,91913,-0.019404915912031084
2011-04-26,4537,4608,4486,4574,116879,0.005716798592787953
2011-04-27,4572,4644,4527,4548,82388,-0.0056843025797989055
2011-04-28,4537,4634,4509,4511,93442,-0.008135444151275317
2011-04-29,4518,4590,4405,4485,89280,-0.0057636887608069065
2011-05-02,4509,4590,4468,4548,54402,0.014046822742474818
2011-05-03,4537,4562,4410,4461,70867,-0.01912928759894461
2011-05-04,4527,4554,4422,4476,40581,0.00336247478143914
2011-05-06,4472,4472,4320,4457,119631,-0.004244861483467366
2011-05-09,4455,4626,4437,4593,124151,0.030513798519183233
2011-05-11,4716,4888,4716,4790,297456,0.04289135641193109
2011-05-12,4770,4778,4616,4763,101304,-0.00563674321503127
2011-05-13,4807,4815,4634,4683,101555,-0.016796136888515667
2011-05-16,4644,4698,4410,4413,191597,-0.05765534913516979
2011-05-17,4499,4644,4422,4485,174972,0.016315431679129855
2011-05-18,4499,4544,4352,4457,179546,-0.006243032329988907
2011-05-19,4432,4527,4221,4251,156507,-0.04621943010993945
2011-05-20,4310,4310,4063,4160,88154,-0.021406727828746197
2011-05-23,4158,4230,3914,3944,126506,-0.05192307692307696
2011-05-24,3828,3938,3788,3912,82000,-0.008113590263691739
2011-05-25,3900,3987,3828,3886,40928,-0.006646216768916191
2011-05-26,3852,3949,3837,3905,55528,0.00488934637159022
2011-05-27,3852,3946,3837,3905,67372,0.0
2011-05-30,3909,3996,3832,3838,74687,-0.017157490396927044
2011-05-31,3923,3923,3783,3838,32925,0.0
2011-06-01,3832,3942,3832,3876,42792,0.00990099009900991
2011-06-02,3780,3820,3698,3741,60239,-0.03482972136222906
2011-06-03,3711,3806,3711,3773,24907,0.00855386260358193
2011-06-07,3775,3775,3568,3583,83014,-0.05035780545984625
2011-06-08,3582,3680,3496,3603,62978,0.00558191459670665
2011-06-09,3537,3636,3537,3615,34097,0.0033305578684430515
2011-06-10,3671,3680,3577,3607,25365,-0.0022130013831258566
2011-06-13,3586,3599,3522,3530,36619,-0.02134738009426118
2011-06-14,3519,3586,3402,3486,66522,-0.012464589235127499
2011-06-15,3481,3586,3481,3588,31348,0.029259896729776358
2011-06-16,3586,3644,3510,3598,38587,0.00278706800445927
2011-06-17,3594,3616,3473,3490,39043,-0.030016675931072823
2011-06-20,3553,3553,3428,3432,49256,-0.01661891117478509
2011-06-21,3424,3469,3374,3417,35950,-0.004370629370629375
2011-06-22,3419,3527,3409,3525,64012,0.03160667251975413
2011-06-23,3563,3563,3438,3515,36398,-0.0028368794326241176
2011-06-24,3515,3545,3433,3539,62770,0.006827880512090934
2011-06-27,3473,3775,3473,3638,90198,0.027974003955919757
2011-06-28,3644,3654,3558,3612,42986,-0.007146783947223789
2011-06-29,3649,3688,3563,3612,38442,0.0
2011-06-30,3594,3743,3594,3746,50596,0.03709856035437431
2011-07-01,3739,3798,3688,3746,54964,0.0
2011-07-04,3824,3949,3765,3921,116570,0.046716497597437234
2011-07-05,3923,3933,3780,3833,69367,-0.02244325427186944
2011-07-06,3832,3871,3743,3809,69352,-0.00626141403600311
2011-07-07,3914,3949,3654,3683,295116,-0.03307954843791017
2011-07-08,3680,3707,3616,3678,113426,-0.001357588922074382
2011-07-11,3671,3671,3594,3620,78193,-0.015769439912996175
2011-07-12,3590,3590,3450,3458,69080,-0.04475138121546962
2011-07-13,3455,3549,3455,3507,43309,0.014170040485830038
2011-07-14,3481,3541,3404,3409,63758,-0.027944111776447067
2011-07-15,3404,3519,3404,3453,44421,0.012907010853622669
2011-07-18,3558,3558,3500,3539,33919,0.024905878945844284
2011-07-19,3537,3586,3522,3580,38722,0.011585193557502205
2011-07-20,3608,3671,3604,3607,68558,0.00754189944134076
2011-07-21,3599,3671,3549,3628,50779,0.005822012752980221
2011-07-22,3613,3649,3553,3598,71527,-0.008269018743109147
2011-07-25,3558,3644,3519,3520,60148,-0.021678710394663736
2011-07-26,3500,3568,3424,3486,31445,-0.009659090909090895
2011-07-27,3473,3558,3469,3557,45052,0.020367183017785395
2011-07-28,3510,3688,3464,3655,95418,0.02755130728141686
2011-07-29,3631,3949,3631,3736,383462,0.022161422708618428
2011-08-01,3780,3909,3757,3881,131829,0.03881156316916479
2011-08-02,3904,4460,3878,4461,1759194,0.14944601906725064
2011-08-03,4472,4860,4125,4232,2209668,-0.05133378166330416
2011-08-04,4320,4554,3959,4097,1062816,-0.03189981096408323
2011-08-05,3780,3871,3481,3525,592874,-0.13961435196485228
2011-08-08,3346,3577,3013,3153,576240,-0.10553191489361702
2011-08-09,2869,2946,2676,2756,443282,-0.12591183000317163
2011-08-10,2925,2970,2861,2922,333213,0.06023222060957911
2011-08-11,2752,3130,2744,3043,200601,0.04140999315537308
2011-08-12,3121,3253,3059,3107,139472,0.02103187643772597
2011-08-16,3275,3275,3049,3061,379677,-0.014805278403604794
2011-08-17,3059,3063,2955,3030,283300,-0.010127409343351879
2011-08-18,3054,3082,2802,2899,233488,-0.043234323432343236
2011-08-19,2735,2789,2645,2660,215630,-0.08244222145567437
2011-08-22,2619,2835,2564,2696,213897,0.013533834586466176
2011-08-23,2752,2825,2718,2774,70700,0.028931750741839846
2011-08-24,2835,2861,2708,2729,63374,-0.016222062004325855
2011-08-25,2797,2830,2671,2701,67131,-0.010260168559912075
2011-08-26,2653,2752,2653,2737,49175,0.013328396890040617
2011-08-29,2752,2873,2735,2845,79763,0.039459261965655745
2011-08-30,2897,3059,2843,2892,110961,0.016520210896309395
2011-08-31,2915,2932,2815,2895,62064,0.0010373443983402453
2011-09-01,2932,3311,2892,3196,447858,0.10397236614853189
2011-09-02,3130,3284,2951,3035,191211,-0.05037546933667081
2011-09-05,2965,2986,2830,2899,81776,-0.04481054365733117
2011-09-06,2806,2864,2694,2769,64882,-0.04484304932735428
2011-09-07,2762,2869,2762,2869,48547,0.036114120621162815
2011-09-08,2897,2946,2785,2836,40446,-0.011502265597769235
2011-09-09,2770,2815,2735,2760,28488,-0.026798307475317307
2011-09-14,2762,2793,2619,2658,70399,-0.036956521739130443
2011-09-15,2657,2780,2614,2616,70590,-0.015801354401805856
2011-09-16,2662,2762,2649,2724,26627,0.041284403669724856
2011-09-19,2721,2793,2698,2719,29655,-0.0018355359765050983
2011-09-20,2735,2835,2657,2710,28566,-0.0033100404560499896
2011-09-21,2740,2770,2708,2737,41787,0.009963099630996286
2011-09-22,2770,2770,2626,2634,42799,-0.037632444282060695
