Date,Open,High,Low,Close,Volume,Change
2011-01-03,4030,4045,3915,4030,6888,-0.028915662650602414
2011-01-04,4000,4190,4000,4015,20515,-0.003722084367245637
2011-01-05,4140,4140,4000,4040,13601,0.0062266500622665255
2011-01-06,4235,4235,3810,3920,12828,-0.02970297029702973
2011-01-07,3920,4030,3850,3885,12315,-0.008928571428571397
2011-01-10,3900,3980,3860,3970,6580,0.02187902187902191
2011-01-11,4170,4170,3910,3990,2367,0.005037783375314797
2011-01-12,4190,4190,3930,4020,15444,0.007518796992481258
2011-01-13,4150,4150,3800,3835,28257,-0.04601990049751248
2011-01-14,4000,4000,3835,3960,5875,0.0325945241199479
2011-01-17,4100,4100,3850,4000,26434,0.010101010101010166
2011-01-18,4100,4100,3800,3985,2970,-0.003750000000000031
2011-01-19,4050,4050,3890,3900,9822,-0.021329987452948562
2011-01-20,3980,4100,3625,4100,18198,0.05128205128205132
2011-01-21,4095,4095,3890,4000,743,-0.024390243902439046
2011-01-24,4000,4000,3900,3900,2094,-0.025000000000000022
2011-01-25,4000,4085,3900,4040,18937,0.03589743589743599
2011-01-26,4100,4100,3915,4040,3508,0.0
2011-01-27,4040,4095,3950,4050,2580,0.0024752475247524774
2011-01-28,4080,4100,3900,4050,1668,0.0
2011-01-31,4100,4100,3990,4030,72840,-0.004938271604938316
2011-02-01,4045,4045,3800,4010,23311,-0.00496277915632759
2011-02-07,3930,4010,3900,4000,13841,-0.0024937655860348684
2011-02-08,4000,4030,3850,3945,9458,-0.01375000000000004
2011-02-09,3965,3965,3850,3905,3671,-0.010139416983523497
2011-02-10,3935,3935,3800,3880,15439,-0.006402048655569814
2011-02-11,3895,3895,3600,3770,19299,-0.028350515463917536
2011-02-14,3650,3800,3580,3670,20811,-0.02652519893899208
2011-02-15,3700,3700,3510,3670,449,0.0
2011-02-16,3700,3875,3640,3680,3709,0.0027247956403269047
2011-02-17,3870,3870,3515,3675,4260,-0.0013586956521739468
2011-02-18,3770,3770,3650,3685,979,0.0027210884353741083
2011-02-21,3700,3800,3565,3665,24942,-0.005427408412483015
2011-02-22,3635,3785,3470,3615,3179,-0.013642564802182844
2011-02-23,3650,3705,3555,3640,3326,0.006915629322268302
2011-02-24,3625,3625,3405,3550,6670,-0.02472527472527475
2011-02-25,3550,3590,3480,3555,10142,0.0014084507042253502
2011-02-28,3630,3630,3310,3530,9834,-0.007032348804500654
2011-03-02,3550,3675,3370,3480,20175,-0.014164305949008527
2011-03-03,3475,3595,3400,3530,4298,0.014367816091954033
2011-03-04,3600,3695,3475,3565,4327,0.009915014164305846
2011-03-07,3585,3770,3450,3510,2813,-0.015427769985974726
2011-03-08,3500,3690,3385,3460,29409,-0.014245014245014231
2011-03-09,3460,3550,3395,3400,5480,-0.017341040462427793
2011-03-10,3400,3580,3395,3500,38718,0.02941176470588225
2011-03-11,3390,3530,3310,3380,34733,-0.03428571428571425
2011-03-14,3525,3525,3315,3350,16440,-0.00887573964497046
2011-03-15,3385,3410,3050,3160,33920,-0.05671641791044779
2011-03-16,3150,3300,3120,3180,4332,0.006329113924050667
2011-03-17,3250,3250,2760,3100,6383,-0.02515723270440251
2011-03-18,3195,3495,3000,3130,22766,0.00967741935483879
2011-03-21,3150,3410,3090,3250,17153,0.03833865814696491
2011-03-22,3390,3390,3200,3300,12807,0.01538461538461533
2011-03-23,3315,3440,3200,3295,30834,-0.0015151515151514694
2011-03-24,3295,3395,3240,3260,8096,-0.01062215477996964
2011-03-25,3310,3395,3205,3255,6773,-0.0015337423312883347
2011-03-28,3285,3285,3195,3255,16482,0.0
2011-03-29,3285,3285,3120,3210,23439,-0.01382488479262678
2011-03-30,3280,3280,3180,3215,20123,0.0015576323987538387
