Date,Open,High,Low,Close,Volume,Change
2020-03-03,11500,12900,10000,10250,10942458,
2020-03-04,10300,10550,9290,9440,1918875,-0.0790243902439024
2020-03-05,9540,9810,8890,9020,1424213,-0.044491525423728806
2020-03-06,8860,9090,8420,8450,880977,-0.06319290465631933
2020-03-09,8380,8740,7740,7780,901889,-0.07928994082840235
2020-03-10,7740,7950,7450,7940,655145,0.020565552699228773
2020-03-11,7850,8000,6860,6860,619689,-0.1360201511335013
2020-03-12,6720,6820,5830,5920,579843,-0.13702623906705536
2020-03-13,5330,5340,4410,4890,755731,-0.1739864864864865
2020-03-16,4890,6290,4700,5300,2524367,0.08384458077709622
2020-03-17,4800,6270,4715,5710,2069285,0.07735849056603783
2020-03-18,5900,6480,5000,5000,980228,-0.12434325744308228
2020-03-19,5300,5790,4520,4780,458426,-0.04400000000000004
2020-03-20,5050,5600,4835,5340,909366,0.11715481171548126
2020-03-23,4755,5290,4755,5000,241582,-0.06367041198501877
2020-03-24,5250,5550,5140,5190,428239,0.038000000000000034
2020-03-25,5320,5620,5170,5290,492051,0.019267822736030782
2020-03-26,5500,6200,5470,5930,879704,0.12098298676748587
2020-03-27,6380,6550,5750,6020,418753,0.015177065767284947
2020-03-30,5800,6040,5570,5990,413281,-0.004983388704318914
2020-03-31,6100,6520,6000,6100,445332,0.01836393989983298
2020-04-01,6180,6400,6000,6030,303813,-0.011475409836065542
2020-04-02,6030,6150,5850,6150,112038,0.01990049751243772
2020-04-03,6160,6530,6110,6250,451698,0.016260162601626105
2020-04-06,6250,6290,6030,6150,230381,-0.016000000000000014
2020-04-07,6390,6720,6300,6570,721002,0.06829268292682933
2020-04-08,6480,6520,6290,6360,235070,-0.03196347031963476
2020-04-09,6450,8150,6440,7220,2811883,0.1352201257861636
2020-04-10,7440,8450,7300,8000,1784990,0.10803324099723
2020-04-13,7720,8020,7240,7250,393878,-0.09375
2020-04-14,7400,7990,7400,7850,589853,0.08275862068965512
2020-04-16,8100,9200,7850,9050,1486553,0.15286624203821653
2020-04-17,9750,10700,8230,8280,2692131,-0.08508287292817684
2020-04-20,8490,8830,8150,8250,685118,-0.0036231884057971175
2020-04-21,8260,8550,7650,8050,559642,-0.024242424242424288
2020-04-22,8020,8150,7660,7810,265884,-0.029813664596273326
2020-04-23,7920,8450,7880,8290,677163,0.06145966709346995
2020-04-24,8240,8550,8030,8030,366471,-0.03136308805790111
2020-04-27,8040,8190,7970,8110,114956,0.00996264009962644
2020-04-28,8180,8720,8150,8710,617552,0.07398273736128247
2020-04-29,8800,8800,8380,8400,258621,-0.03559127439724452
2020-05-04,8250,8440,8000,8410,137321,0.0011904761904761862
2020-05-06,8420,8450,8300,8400,92205,-0.0011890606420927874
2020-05-07,8360,8480,8330,8420,118333,0.0023809523809523725
2020-05-08,8550,8870,8520,8670,323342,0.029691211401425166
2020-05-11,8770,8770,8550,8560,123027,-0.012687427912341454
2020-05-12,8560,8880,8530,8850,340659,0.0338785046728971
2020-05-13,8700,8840,8630,8780,161927,-0.00790960451977396
2020-05-14,8780,9240,8720,8860,390780,0.009111617312072884
2020-05-15,8860,8980,8620,8870,110506,0.0011286681715576563
2020-05-18,8900,8900,8070,8360,209646,-0.05749718151071026
