Date,Open,High,Low,Close,Volume,Change
2014-04-07,63944,73120,63657,64232,669085,
2014-04-08,64805,73790,64614,73790,547635,0.14880433428820528
2014-04-09,72069,80958,69201,72739,1289933,-0.014243122374305472
2014-04-10,74267,77804,72642,74555,469749,0.024965974236654365
2014-04-11,73598,75319,69775,69776,295291,-0.06410032861645765
2014-04-14,70253,72069,69297,70827,132670,0.015062485668424719
2014-04-15,71591,73981,71018,72070,158050,0.017549804453103945
2014-04-16,71877,72642,69106,69298,171818,-0.03846260579991678
2014-04-17,69584,71304,69297,70827,110554,0.022064128834887065
2014-04-18,71877,71877,70062,70636,81066,-0.002696711705987842
2014-04-21,70922,71400,66429,67769,192668,-0.040588368537289754
2014-04-22,67863,68532,66525,66622,143415,-0.016925142764390833
2014-04-23,67290,67672,65761,65952,93002,-0.010056738014469713
2014-04-24,66334,66908,65091,65761,79807,-0.0028960456089277553
2014-04-25,65761,66620,64614,64805,88931,-0.014537491826462468
2014-04-28,64422,66811,64135,66717,91346,0.029503896304297506
2014-04-29,66811,67099,65761,66048,49598,-0.010027429290885403
2014-04-30,66716,68054,65761,66431,117602,0.005798812984496138
2014-05-02,66429,67385,65761,66813,53204,0.005750327407385125
2014-05-07,67003,68246,66908,68246,127057,0.02144792181162347
2014-05-08,68246,68246,66716,67386,54293,-0.012601471148492194
2014-05-09,67194,72165,67194,71783,198743,0.06525094233223516
2014-05-12,71782,73311,70348,72930,138712,0.015978713623002738
2014-05-13,72929,73407,71782,72547,56942,-0.005251611133964107
2014-05-14,72833,73311,71782,72547,53548,0.0
2014-05-15,73024,74076,71018,71592,100214,-0.013163879967469372
2014-05-16,72165,72451,70348,71018,101793,-0.008017655603978047
2014-05-19,71017,73693,70921,73694,116672,0.03768058801993868
2014-05-20,73502,73980,72641,73694,66240,0.0
2014-05-21,73503,74267,72547,72547,63365,-0.015564360734930949
2014-05-22,72833,74458,71782,74460,140395,0.026369112437454323
2014-05-23,74649,78282,73885,76849,141448,0.03208434058554932
2014-05-26,76848,78760,75892,76084,89733,-0.00995458626657475
2014-05-27,76561,76943,74267,76180,62048,0.0012617633142315565
2014-05-28,76179,77804,75510,76754,70393,0.007534786033079444
2014-05-29,77804,79333,76752,77518,83946,0.009953878625218238
2014-05-30,78377,79811,77708,78570,57961,0.01357104156453981
2014-06-02,78377,78568,76657,76945,42125,-0.020682194221713135
2014-06-03,75701,77134,74554,76371,74931,-0.007459873935928285
2014-06-05,75987,80098,75223,79238,89259,0.037540427649238595
2014-06-09,80098,82296,79333,82011,81540,0.03499583533153294
2014-06-10,82009,83157,80289,82584,60201,0.006986867615319969
2014-06-11,82966,83825,81341,81628,43059,-0.011576092221253553
2014-06-12,82009,82296,80958,81819,32282,0.002339883373352336
2014-06-13,81244,84590,80671,83922,65690,0.025703076302570294
2014-06-16,83922,84877,83348,84209,55348,0.0034198422344557944
2014-06-17,84877,88127,84590,87841,85354,0.04313078174541918
2014-06-18,89274,90134,87075,87650,105189,-0.0021743832606641034
2014-06-19,88318,90517,86406,87937,109559,0.003274386765544701
2014-06-20,88223,94818,87936,91760,149471,0.04347430546868791
2014-06-23,93193,95391,91759,92525,98815,0.008336965998256396
2014-06-24,93480,95486,93098,95201,101042,0.028921912996487498
2014-06-25,95104,95104,91281,93480,135124,-0.01807754120229832
2014-06-26,92046,92046,88509,89657,167542,-0.04089644843816864
2014-06-27,90038,90421,87171,87841,108953,-0.020254971725576332
2014-06-30,88223,91090,87171,90995,89191,0.03590578431484159
2014-07-01,92715,94722,92333,94436,98439,0.03781526457497675
2014-07-02,95295,95391,93480,95392,45123,0.010123258079545838
2014-07-03,96060,96060,94053,96061,48871,0.007013166722576347
2014-07-04,97494,99405,96060,97495,50551,0.014928014490792396
2014-07-07,96060,96538,93671,94054,65767,-0.03529411764705881
2014-07-08,92810,96060,92524,95583,68475,0.016256618538286416
2014-07-09,96538,104662,96060,103708,122189,0.08500465563960113
2014-07-10,103707,104185,100839,102274,76153,-0.013827284298221887
2014-07-11,100361,107531,100361,102274,139112,0.0
2014-07-14,103229,103707,100361,102752,59012,0.004673719615933658
2014-07-15,102274,104185,100361,102752,60294,0.0
2014-07-16,102274,102274,97017,100840,94717,-0.018607910308315212
2014-07-17,98450,100839,97017,98451,80293,-0.023690995636652112
2014-07-18,96538,100361,96538,97495,56218,-0.009710414317782412
2014-07-21,97494,99884,94339,95488,92441,-0.020585671060054378
2014-07-22,95104,96060,92906,94245,100138,-0.013017342493297557
2014-07-23,94913,96060,91855,93098,90582,-0.012170406918138865
2014-07-24,93098,93098,88032,88319,177286,-0.051333003931341215
2014-07-25,88318,90708,88318,90135,90932,0.020561827013440004
2014-07-28,90612,90612,85546,89370,123751,-0.008487269096355443
2014-07-29,88891,88891,85546,86885,124937,-0.027805751370706067
2014-07-30,86024,90325,84017,90135,122434,0.03740576624273473
2014-07-31,90325,90421,86119,89849,107282,-0.003173018250402171
2014-08-01,88414,94531,87649,93098,126020,0.036160669567830483
2014-08-04,93193,94722,91281,92716,61045,-0.004103203076328166
2014-08-05,92906,94148,91090,92430,42421,-0.003084688726864848
2014-08-06,91090,94436,88987,92525,80723,0.0010278048252732042
2014-08-07,92046,92428,87936,88319,107882,-0.04545798432855985
2014-08-08,88223,90517,87936,89370,52495,0.011900044158108747
2014-08-11,89847,92142,88796,89084,59749,-0.0032001790309947875
2014-08-12,89082,91281,89082,90517,53426,0.016085941358717548
2014-08-13,90803,95104,90803,94150,107533,0.04013610702961867
2014-08-14,95009,96538,92333,92812,81660,-0.014211364843335073
2014-08-18,93766,94339,89752,90899,143496,-0.020611558850148648
2014-08-19,91185,92142,90134,90804,92275,-0.001045116007876823
2014-08-20,90708,92619,88318,92333,127052,0.016838465265847313
2014-08-21,92715,92715,90612,90995,70796,-0.01449102704341898
2014-08-22,91759,99884,91759,98928,233833,0.087180614319468
2014-08-25,101795,113743,101317,105141,415147,0.06280325084910232
2014-08-26,107052,107531,102751,105141,208302,0.0
2014-08-27,106096,108964,102274,108965,149237,0.03637020762595
2014-08-28,107052,109442,99405,99884,160638,-0.08333868673427247
2014-08-29,100839,103229,99405,101318,65530,0.014356653718313295
2014-09-01,102274,105618,99884,104185,81415,0.028297044947590777
2014-09-02,103707,111353,103229,109921,155687,0.055055910159811816
2014-09-03,109442,111832,108008,110877,90996,0.008697155229664855
2014-09-04,110876,113265,104662,104664,92951,-0.05603506588381724
2014-09-05,102274,108964,101795,108965,53932,0.04109340365359637
2014-09-11,110876,113265,105618,107531,86212,-0.013160189051530269
2014-09-12,107531,108486,101317,102752,71543,-0.04444299783318295
2014-09-15,102751,107052,101317,103230,60986,0.004651977577078803
2014-09-16,104185,108964,103707,108965,52346,0.05555555555555558
2014-09-17,109919,114699,108964,112788,126361,0.035084660211994745
2014-09-18,112309,114221,111353,111832,42953,-0.008476079015498073
2014-09-19,111832,113743,110876,111832,34351,0.0
2014-09-22,113265,115655,110876,114222,44927,0.021371342728378373
2014-09-23,114221,118045,113265,113266,71093,-0.008369666088844485
2014-09-24,113265,115655,110876,114700,45976,0.012660462980947473
2014-09-25,115655,116610,113265,114700,34417,0.0
2014-09-26,113265,119478,113265,118045,63795,0.029163034001743693
2014-09-29,119478,125213,119000,123780,96757,0.04858316743614721
2014-09-30,123779,127603,121867,124258,74257,0.003861690095330328
2014-10-01,124736,124736,117089,119958,100350,-0.03460541775982229
2014-10-02,118045,125213,118045,124258,67630,0.03584587939112027
2014-10-06,127125,128559,121867,125215,103905,0.007701717394453578
2014-10-07,127124,127124,119000,120435,82168,-0.0381743401349679
2014-10-08,118522,123302,117566,123302,54535,0.02380537219246892
2014-10-10,124736,125691,121390,122346,64798,-0.007753321114012723
2014-10-13,119478,121867,104662,109443,230273,-0.10546319454661368
2014-10-14,108008,112309,106096,108965,92772,-0.004367570333415616
2014-10-15,110398,116133,109919,113266,114596,0.039471389895838094
2014-10-16,111832,115655,109919,112788,114490,-0.004220154326982528
2014-10-17,112788,117566,109919,112788,111410,0.0
2014-10-20,113743,117089,111832,112788,49737,0.0
2014-10-21,113743,117089,112309,114700,68566,0.016952158030996145
2014-10-22,116610,124736,116133,123302,156501,0.07499564080209242
2014-10-23,124257,129993,123302,127126,144180,0.031013284456050894
2014-10-24,125213,128080,121390,124258,102690,-0.022560294510957646
2014-10-27,122823,125691,118045,119001,112313,-0.042307135154275755
2014-10-28,119000,120912,114699,117089,129556,-0.016067091873177564
2014-10-29,116610,117566,109919,111355,126881,-0.048971295339442666
2014-10-30,110398,112309,105141,111355,167220,0.0
2014-10-31,109919,111353,101317,103230,223737,-0.07296484217143373
2014-11-03,102274,107052,102274,107054,161927,0.03704349510801119
2014-11-04,106575,107531,103707,106575,90518,-0.004474377417004516
2014-11-05,105141,108486,104185,107531,91016,0.008970208773164456
2014-11-06,106575,107052,96538,99407,131367,-0.07555030642326399
2014-11-07,99884,103229,97017,99884,99994,0.0047984548371844404
2014-11-10,101318,102274,91472,94054,189803,-0.058367706539585895
2014-11-11,93862,100839,93193,98451,128392,0.046749739511344535
2014-11-12,99884,100361,93193,93194,123703,-0.053397121410651005
2014-11-13,95295,95295,89943,91760,126922,-0.015387256690344908
2014-11-14,92524,93862,90994,91760,65860,0.0
2014-11-17,91855,92428,81818,81819,315063,-0.10833696599825637
2014-11-18,81818,94053,81818,93671,279508,0.14485632921448555
2014-11-19,94053,97494,91376,94150,134685,0.00511364242935386
2014-11-20,93671,94436,91663,92142,69966,-0.021327668613913997
2014-11-21,94339,95200,91855,92046,59084,-0.0010418701569316902
2014-11-24,93001,94053,88223,90517,96848,-0.01661125958759746
2014-11-25,91185,96538,89465,94627,134618,0.04540583536794185
