Date,Open,High,Low,Close,Volume,Change
2011-01-03,2070,2120,2040,2090,33992,0.012106537530266248
2011-01-04,2100,2225,2060,2190,113796,0.04784688995215314
2011-01-05,2190,2315,2155,2260,190459,0.03196347031963476
2011-01-06,2265,2545,2255,2470,384211,0.09292035398230092
2011-01-07,2470,2540,2295,2340,182233,-0.052631578947368474
2011-01-10,2365,2365,2225,2255,136619,-0.03632478632478631
2011-01-11,2290,2305,2250,2290,51383,0.015521064301552201
2011-01-12,2330,2335,2260,2305,59401,0.0065502183406114245
2011-01-13,2275,2470,2275,2395,148411,0.0390455531453362
2011-01-14,2405,2440,2365,2400,51267,0.0020876826722338038
2011-01-17,2405,2435,2330,2365,33106,-0.014583333333333282
2011-01-18,2385,2385,2290,2340,23735,-0.010570824524312905
2011-01-19,2365,2380,2300,2325,23907,-0.0064102564102563875
2011-01-20,2305,2400,2200,2200,35209,-0.053763440860215006
2011-01-21,2210,2270,2190,2200,41969,0.0
2011-01-24,2245,2275,2175,2240,21744,0.018181818181818077
2011-01-25,2235,2245,2185,2190,40388,-0.022321428571428603
2011-01-26,2190,2215,2180,2180,13552,-0.004566210045662156
2011-01-27,2240,2240,2140,2170,45722,-0.004587155963302725
2011-01-28,2165,2195,2120,2185,26696,0.00691244239631339
2011-01-31,2175,2205,2145,2205,9159,0.009153318077803174
2011-02-01,2210,2215,2130,2210,11693,0.0022675736961450532
2011-02-07,2210,2290,2210,2280,21624,0.03167420814479649
2011-02-08,2290,2315,2245,2305,16139,0.010964912280701844
2011-02-09,2345,2345,2245,2245,6818,-0.026030368763557465
2011-02-10,2185,2245,2160,2160,12447,-0.03786191536748329
2011-02-11,2110,2230,2070,2070,25539,-0.04166666666666663
2011-02-14,2070,2175,2070,2150,14721,0.03864734299516903
2011-02-15,2140,2175,2100,2165,15671,0.006976744186046435
2011-02-16,2165,2175,2140,2160,12698,-0.002309468822170868
2011-02-17,2160,2190,2060,2060,17354,-0.04629629629629628
2011-02-18,2075,2125,2075,2100,13536,0.01941747572815533
2011-02-21,2175,2175,2070,2100,14187,0.0
2011-02-22,2075,2100,2050,2050,8702,-0.023809523809523836
2011-02-23,2085,2085,1995,2010,17265,-0.019512195121951237
2011-02-24,2020,2020,1955,1960,24064,-0.02487562189054726
2011-02-25,1890,1980,1890,1960,26886,0.0
2011-02-28,2000,2000,1890,1925,31424,-0.017857142857142905
2011-03-02,1925,1930,1890,1915,26151,-0.0051948051948051965
