Date,Open,High,Low,Close,Volume,Change
2011-01-03,7511,7550,7377,7502,49018,-0.0013312034078807322
2011-01-04,7521,7598,7482,7569,63838,0.008930951746201066
2011-01-05,7569,7588,7502,7569,64609,0.0
2011-01-06,7588,8117,7588,7887,273287,0.04201347602061034
2011-01-07,7896,7934,7713,7714,109127,-0.02193482946621017
2011-01-10,7752,7771,7569,7598,81992,-0.015037593984962405
2011-01-11,7646,7675,7521,7560,81531,-0.005001316135825218
2011-01-12,7559,7598,7502,7589,61608,0.0038359788359787483
2011-01-13,7598,7646,7521,7531,57698,-0.007642640664119127
2011-01-14,7530,8656,7530,7743,831893,0.02815031204355334
2011-01-17,7809,7809,7569,7569,112569,-0.022471910112359605
2011-01-18,7521,7588,7434,7464,88419,-0.013872374157748668
2011-01-19,7482,7530,7319,7406,100890,-0.007770632368703123
2011-01-20,7357,7482,7357,7464,28526,0.007831487982716823
2011-01-21,7453,7540,7357,7358,40492,-0.014201500535905631
2011-01-24,7328,7377,7280,7339,31897,-0.0025822234302799174
2011-01-25,7328,7415,7319,7339,38448,0.0
2011-01-26,7357,7521,7338,7425,55650,0.01171821774083659
2011-01-27,7453,7502,7348,7367,49017,-0.007811447811447825
2011-01-28,7405,7463,7280,7281,69308,-0.01167367992398538
2011-01-31,7213,7502,7136,7214,44581,-0.009202032687817607
2011-02-01,7184,7280,7136,7214,62696,0.0
2011-02-07,7242,7300,7184,7214,39091,0.0
2011-02-08,7271,7309,7146,7214,36627,0.0
2011-02-09,7194,7194,7078,7117,50105,-0.013446077072359341
2011-02-10,7030,7203,7021,7050,40169,-0.009414078965856443
2011-02-11,7021,7136,7021,7040,36887,-0.0014184397163120588
2011-02-14,7040,7136,7011,7012,46743,-0.003977272727272774
2011-02-15,7021,7040,6876,6954,54497,-0.0082715345122647
2011-02-16,7001,7136,6838,7031,33303,0.011072763876905478
2011-02-17,7136,7155,6934,6944,30147,-0.012373773289717005
2011-02-18,7021,7194,7021,7194,43401,0.036002304147465525
2011-02-21,7194,7290,7117,7117,20432,-0.010703363914373099
2011-02-22,7078,7117,6953,7021,25963,-0.013488829563018112
2011-02-23,6973,7078,6905,6925,22517,-0.01367326591653606
2011-02-24,6925,7021,6886,7002,28304,0.01111913357400729
2011-02-25,7021,7232,7021,7089,64550,0.012425021422450833
2011-02-28,7203,7203,6973,6992,26631,-0.0136831711101707
2011-03-02,7078,7117,6925,6925,28876,-0.009582379862700274
2011-03-03,6925,7059,6876,6983,41332,0.008375451263537892
2011-03-04,7030,7117,7001,7108,20315,0.01790061578118296
2011-03-07,7107,7146,7030,7040,63699,-0.009566685424873378
2011-03-08,7001,7078,7001,7040,42270,0.0
2011-03-09,7059,7165,7030,7060,50193,0.0028409090909091717
2011-03-10,7069,7280,7069,7242,67683,0.02577903682719551
2011-03-11,7232,7357,7136,7175,72725,-0.009251587959127283
2011-03-14,7088,7165,6876,7060,83259,-0.016027874564459976
2011-03-15,7069,7126,6819,6973,50171,-0.01232294617563734
2011-03-16,6973,7059,6905,7012,62235,0.00559300157751319
2011-03-17,6973,7021,6838,6877,110212,-0.019252709640616095
2011-03-18,6896,6992,6867,6896,89247,0.0027628326305075834
2011-03-21,6963,7107,6953,7069,70952,0.02508700696055688
2011-03-22,7126,7175,7059,7137,50586,0.009619465270901184
2011-03-23,7040,7357,7040,7310,101866,0.02423987669889316
2011-03-24,7357,7550,7357,7416,103835,0.014500683994528085
2011-03-25,7434,7550,7319,7464,71407,0.006472491909385036
2011-03-28,7521,7550,7405,7454,55654,-0.001339764201500504
2011-03-29,7405,7550,7405,7492,57269,0.005097933995170445
2011-03-30,7540,7598,7415,7502,58784,0.0013347570742126003
2011-03-31,7502,7540,7415,7416,17289,-0.011463609704078892
2011-04-01,7473,7559,7377,7521,54707,0.014158576051779947
2011-04-04,7521,7684,7473,7637,111225,0.015423480920090382
2011-04-05,7665,7665,7511,7589,46313,-0.006285190519837669
2011-04-06,7598,7607,7482,7531,40517,-0.007642640664119127
2011-04-07,7588,7694,7579,7656,81612,0.01659806134643471
2011-04-08,7655,7684,7502,7579,62559,-0.010057471264367845
2011-04-11,7627,7665,7540,7579,41203,0.0
2011-04-12,7579,7627,7511,7589,45029,0.0013194352816994215
2011-04-13,7598,7646,7530,7598,49491,0.0011859269996046251
2011-04-14,7588,7790,7579,7685,87692,0.011450381679389388
2011-04-15,7713,7848,7655,7800,75244,0.014964216005205033
2011-04-18,7934,8021,7857,7896,168052,0.012307692307692353
2011-04-19,7781,7925,7761,7781,50542,-0.014564336372847042
2011-04-20,7790,7896,7713,7839,104676,0.007454054748746941
